MA: Massachusetts, Lifetables (period 1x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02379	0.02330	0.11	100000	2330	97924	6774090	67.74
1960-1969	1	0.00117	0.00117	0.5	97670	114	97613	6676167	68.35
1960-1969	2	0.00084	0.00084	0.5	97556	82	97516	6578553	67.43
1960-1969	3	0.00068	0.00068	0.5	97475	67	97441	6481038	66.49
1960-1969	4	0.00057	0.00057	0.5	97408	56	97380	6383596	65.53
1960-1969	5	0.00054	0.00054	0.5	97353	53	97326	6286216	64.57
1960-1969	6	0.00050	0.00050	0.5	97300	48	97275	6188890	63.61
1960-1969	7	0.00049	0.00049	0.5	97251	47	97227	6091614	62.64
1960-1969	8	0.00035	0.00035	0.5	97204	34	97187	5994387	61.67
1960-1969	9	0.00034	0.00034	0.5	97169	33	97153	5897200	60.69
1960-1969	10	0.00038	0.00038	0.5	97136	37	97118	5800047	59.71
1960-1969	11	0.00035	0.00035	0.5	97099	34	97082	5702930	58.73
1960-1969	12	0.00037	0.00037	0.5	97065	36	97047	5605848	57.75
1960-1969	13	0.00042	0.00042	0.5	97029	40	97008	5508801	56.77
1960-1969	14	0.00048	0.00048	0.5	96988	47	96965	5411793	55.80
1960-1969	15	0.00058	0.00058	0.5	96941	56	96913	5314828	54.83
1960-1969	16	0.00086	0.00086	0.5	96885	83	96844	5217915	53.86
1960-1969	17	0.00108	0.00108	0.5	96802	104	96750	5121071	52.90
1960-1969	18	0.00122	0.00122	0.5	96697	118	96639	5024322	51.96
1960-1969	19	0.00124	0.00124	0.5	96580	120	96520	4927683	51.02
1960-1969	20	0.00126	0.00126	0.5	96460	122	96399	4831163	50.08
1960-1969	21	0.00145	0.00144	0.5	96338	139	96269	4734764	49.15
1960-1969	22	0.00135	0.00135	0.5	96199	130	96134	4638495	48.22
1960-1969	23	0.00134	0.00134	0.5	96069	128	96005	4542361	47.28
1960-1969	24	0.00126	0.00126	0.5	95941	121	95880	4446356	46.34
1960-1969	25	0.00111	0.00111	0.5	95820	107	95767	4350476	45.40
1960-1969	26	0.00107	0.00107	0.5	95713	103	95662	4254709	44.45
1960-1969	27	0.00111	0.00111	0.5	95611	106	95557	4159047	43.50
1960-1969	28	0.00139	0.00139	0.5	95504	133	95438	4063490	42.55
1960-1969	29	0.00124	0.00124	0.5	95371	118	95312	3968052	41.61
1960-1969	30	0.00136	0.00136	0.5	95253	130	95188	3872740	40.66
1960-1969	31	0.00150	0.00150	0.5	95123	143	95052	3777552	39.71
