MD: Maryland, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02584	0.02527	0.13	100000	2527	97790	7213071	72.13
1959	1	0.00126	0.00126	0.5	97473	123	97411	7115282	73.00
1959	2	0.00064	0.00064	0.5	97350	62	97319	7017871	72.09
1959	3	0.00078	0.00078	0.5	97288	76	97250	6920551	71.13
1959	4	0.00065	0.00065	0.5	97212	63	97180	6823301	70.19
1959	5	0.00047	0.00047	0.5	97149	45	97126	6726121	69.24
1959	6	0.00051	0.00051	0.5	97103	50	97078	6628995	68.27
1959	7	0.00040	0.00040	0.5	97054	39	97034	6531917	67.30
1959	8	0.00020	0.00020	0.5	97014	19	97005	6434883	66.33
1959	9	0.00017	0.00017	0.5	96995	16	96987	6337878	65.34
1959	10	0.00010	0.00010	0.5	96979	10	96974	6240891	64.35
1959	11	0.00033	0.00033	0.5	96969	32	96954	6143917	63.36
1959	12	0.00037	0.00037	0.5	96938	36	96920	6046963	62.38
1959	13	0.00015	0.00015	0.5	96902	15	96895	5950043	61.40
1959	14	0.00034	0.00034	0.5	96887	33	96871	5853149	60.41
1959	15	0.00025	0.00025	0.5	96854	25	96842	5756278	59.43
1959	16	0.00064	0.00064	0.5	96829	62	96799	5659437	58.45
1959	17	0.00058	0.00058	0.5	96768	57	96740	5562638	57.48
1959	18	0.00059	0.00059	0.5	96711	57	96683	5465898	56.52
1959	19	0.00057	0.00057	0.5	96654	55	96627	5369216	55.55
1959	20	0.00084	0.00084	0.5	96599	81	96558	5272589	54.58
1959	21	0.00095	0.00095	0.5	96517	92	96472	5176031	53.63
1959	22	0.00081	0.00080	0.5	96426	78	96387	5079559	52.68
1959	23	0.00063	0.00063	0.5	96348	61	96318	4983172	51.72
1959	24	0.00067	0.00067	0.5	96287	65	96255	4886855	50.75
1959	25	0.00083	0.00083	0.5	96222	80	96182	4790600	49.79
1959	26	0.00055	0.00055	0.5	96143	53	96116	4694418	48.83
1959	27	0.00108	0.00108	0.5	96090	104	96038	4598301	47.85
1959	28	0.00083	0.00083	0.5	95986	79	95946	4502263	46.91
1959	29	0.00070	0.00070	0.5	95907	67	95873	4406317	45.94
1959	30	0.00077	0.00077	0.5	95839	74	95802	4310444	44.98
1959	31	0.00070	0.00070	0.5	95765	67	95732	4214641	44.01
1959	32	0.00128	0.00128	0.5	95699	122	95637	4118909	43.04
1959	33	0.00155	0.00155	0.5	95576	148	95502	4023272	42.09
1959	34	0.00146	0.00146	0.5	95428	140	95358	3927770	41.16
1959	35	0.00155	0.00155	0.5	95288	148	95214	3832412	40.22
1959	36	0.00139	0.00139	0.5	95141	132	95075	3737197	39.28
1959	37	0.00232	0.00232	0.5	95008	220	94898	3642123	38.33
1959	38	0.00261	0.00261	0.5	94788	247	94664	3547224	37.42
1959	39	0.00217	0.00217	0.5	94541	205	94438	3452560	36.52
1959	40	0.00296	0.00295	0.5	94336	279	94196	3358122	35.60
1959	41	0.00217	0.00217	0.5	94057	204	93955	3263925	34.70
1959	42	0.00393	0.00392	0.5	93853	368	93669	3169970	33.78
1959	43	0.00379	0.00378	0.5	93485	353	93309	3076301	32.91
1959	44	0.00381	0.00381	0.5	93132	354	92955	2982992	32.03
1959	45	0.00337	0.00336	0.5	92778	312	92621	2890038	31.15
1959	46	0.00418	0.00417	0.5	92465	386	92273	2797416	30.25
1959	47	0.00458	0.00457	0.5	92080	421	91869	2705144	29.38
1959	48	0.00536	0.00534	0.5	91659	490	91414	2613274	28.51
1959	49	0.00602	0.00600	0.5	91169	547	90896	2521860	27.66
1959	50	0.00582	0.00580	0.5	90622	526	90359	2430965	26.83
