ME: Maine, Lifetables (period 1x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02697	0.02634	0.12	100000	2634	97690	6992863	69.93
1959	1	0.00181	0.00181	0.5	97366	176	97278	6895173	70.82
1959	2	0.00102	0.00102	0.5	97190	99	97140	6797896	69.94
1959	3	0.00072	0.00072	0.5	97090	70	97056	6700756	69.02
1959	4	0.00086	0.00086	0.5	97021	83	96979	6603700	68.06
1959	5	0.00072	0.00072	0.5	96938	70	96903	6506721	67.12
1959	6	0.00065	0.00065	0.5	96868	63	96837	6409818	66.17
1959	7	0.00047	0.00047	0.5	96806	46	96783	6312981	65.21
1959	8	0.00043	0.00043	0.5	96760	42	96739	6216198	64.24
1959	9	0.00053	0.00053	0.5	96718	51	96692	6119459	63.27
1959	10	0.00052	0.00052	0.5	96667	50	96642	6022767	62.30
1959	11	0.00046	0.00046	0.5	96616	44	96594	5926125	61.34
1959	12	0.00047	0.00047	0.5	96572	45	96550	5829531	60.36
1959	13	0.00029	0.00029	0.5	96527	28	96513	5732981	59.39
1959	14	0.00051	0.00051	0.5	96499	49	96475	5636468	58.41
1959	15	0.00073	0.00073	0.5	96450	71	96415	5539993	57.44
1959	16	0.00031	0.00031	0.5	96379	30	96364	5443579	56.48
1959	17	0.00055	0.00055	0.5	96349	53	96323	5347214	55.50
1959	18	0.00109	0.00109	0.5	96297	105	96244	5250891	54.53
1959	19	0.00108	0.00108	0.5	96192	103	96140	5154647	53.59
1959	20	0.00186	0.00186	0.5	96088	178	95999	5058507	52.64
1959	21	0.00166	0.00166	0.5	95910	159	95830	4962507	51.74
1959	22	0.00081	0.00080	0.5	95751	77	95712	4866677	50.83
1959	23	0.00109	0.00109	0.5	95674	104	95622	4770965	49.87
1959	24	0.00108	0.00108	0.5	95570	103	95518	4675343	48.92
1959	25	0.00118	0.00118	0.5	95467	113	95410	4579824	47.97
1959	26	0.00108	0.00108	0.5	95354	103	95302	4484414	47.03
1959	27	0.00096	0.00096	0.5	95251	92	95205	4389112	46.08
1959	28	0.00158	0.00158	0.5	95160	150	95085	4293907	45.12
1959	29	0.00156	0.00156	0.5	95010	148	94935	4198822	44.19
1959	30	0.00188	0.00187	0.5	94861	178	94772	4103887	43.26
1959	31	0.00124	0.00124	0.5	94683	118	94624	4009115	42.34
1959	32	0.00124	0.00124	0.5	94566	117	94507	3914490	41.39
1959	33	0.00132	0.00132	0.5	94449	125	94386	3819983	40.45
