PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ME,m,1959,0,0.03000,0.02924,0.13,100000,2924,97443,6686153,66.86
ME,m,1959,1,0.00178,0.00178,0.5,97076,173,96990,6588709,67.87
ME,m,1959,2,0.00145,0.00145,0.5,96903,141,96833,6491719,66.99
ME,m,1959,3,0.00047,0.00047,0.5,96763,45,96740,6394886,66.09
ME,m,1959,4,0.00123,0.00123,0.5,96717,119,96658,6298146,65.12
ME,m,1959,5,0.00076,0.00076,0.5,96598,73,96562,6201489,64.20
ME,m,1959,6,0.00117,0.00117,0.5,96525,113,96468,6104927,63.25
ME,m,1959,7,0.00062,0.00062,0.5,96412,60,96382,6008459,62.32
ME,m,1959,8,0.00064,0.00064,0.5,96352,62,96321,5912077,61.36
ME,m,1959,9,0.00052,0.00052,0.5,96290,50,96265,5815756,60.40
ME,m,1959,10,0.00061,0.00061,0.5,96240,59,96210,5719492,59.43
ME,m,1959,11,0.00060,0.00060,0.5,96181,58,96152,5623281,58.47
ME,m,1959,12,0.00030,0.00030,0.5,96123,29,96108,5527130,57.50
ME,m,1959,13,0.00057,0.00057,0.5,96094,54,96066,5431021,56.52
ME,m,1959,14,0.00061,0.00061,0.5,96039,58,96010,5334955,55.55
ME,m,1959,15,0.00071,0.00071,0.5,95981,68,95947,5238945,54.58
ME,m,1959,16,0.00036,0.00036,0.5,95913,35,95896,5142998,53.62
ME,m,1959,17,0.00096,0.00096,0.5,95878,92,95832,5047102,52.64
ME,m,1959,18,0.00172,0.00172,0.5,95786,165,95704,4951270,51.69
ME,m,1959,19,0.00146,0.00146,0.5,95622,140,95552,4855566,50.78
ME,m,1959,20,0.00306,0.00305,0.5,95482,291,95336,4760014,49.85
ME,m,1959,21,0.00266,0.00266,0.5,95191,253,95064,4664678,49.00
ME,m,1959,22,0.00123,0.00123,0.5,94938,117,94879,4569613,48.13
ME,m,1959,23,0.00128,0.00128,0.5,94821,121,94760,4474734,47.19
ME,m,1959,24,0.00126,0.00126,0.5,94700,119,94640,4379974,46.25
ME,m,1959,25,0.00144,0.00144,0.5,94581,136,94513,4285334,45.31
ME,m,1959,26,0.00177,0.00177,0.5,94445,167,94361,4190821,44.37
ME,m,1959,27,0.00158,0.00158,0.5,94278,149,94204,4096459,43.45
ME,m,1959,28,0.00234,0.00233,0.5,94129,220,94020,4002256,42.52
ME,m,1959,29,0.00214,0.00214,0.5,93910,201,93809,3908236,41.62
ME,m,1959,30,0.00293,0.00292,0.5,93709,274,93572,3814427,40.71
ME,m,1959,31,0.00135,0.00135,0.5,93435,126,93372,3720855,39.82
ME,m,1959,32,0.00135,0.00135,0.5,93309,126,93246,3627483,38.88
ME,m,1959,33,0.00168,0.00168,0.5,93183,156,93104,3534237,37.93
ME,m,1959,34,0.00250,0.00249,0.5,93026,232,92910,3441133,36.99
ME,m,1959,35,0.00152,0.00152,0.5,92794,141,92724,3348223,36.08
ME,m,1959,36,0.00289,0.00288,0.5,92654,267,92520,3255499,35.14
ME,m,1959,37,0.00280,0.00280,0.5,92386,258,92257,3162979,34.24
ME,m,1959,38,0.00197,0.00196,0.5,92128,181,92038,3070722,33.33
ME,m,1959,39,0.00169,0.00168,0.5,91947,155,91870,2978684,32.40
ME,m,1959,40,0.00324,0.00324,0.5,91792,297,91644,2886814,31.45
ME,m,1959,41,0.00297,0.00297,0.5,91495,272,91360,2795171,30.55
ME,m,1959,42,0.00401,0.00401,0.5,91224,365,91041,2703811,29.64
ME,m,1959,43,0.00718,0.00716,0.5,90858,650,90533,2612770,28.76
ME,m,1959,44,0.00394,0.00393,0.5,90208,355,90031,2522237,27.96
ME,m,1959,45,0.00630,0.00628,0.5,89853,565,89571,2432206,27.07
ME,m,1959,46,0.00755,0.00752,0.5,89289,671,88953,2342635,26.24
ME,m,1959,47,0.00751,0.00749,0.5,88617,663,88286,2253682,25.43
ME,m,1959,48,0.01146,0.01140,0.5,87954,1003,87453,2165396,24.62
ME,m,1959,49,0.00920,0.00916,0.5,86952,796,86553,2077943,23.90
ME,m,1959,50,0.00756,0.00753,0.5,86155,649,85831,1991390,23.11
ME,m,1959,51,0.01011,0.01006,0.5,85506,861,85076,1905559,22.29
ME,m,1959,52,0.01156,0.01149,0.5,84646,973,84159,1820483,21.51
ME,m,1959,53,0.01113,0.01107,0.5,83673,926,83210,1736324,20.75
ME,m,1959,54,0.01374,0.01364,0.5,82747,1129,82182,1653114,19.98
ME,m,1959,55,0.01726,0.01711,0.5,81618,1396,80920,1570932,19.25
ME,m,1959,56,0.01772,0.01756,0.5,80221,1409,79517,1490013,18.57
ME,m,1959,57,0.02113,0.02091,0.5,78812,1648,77989,1410496,17.90
ME,m,1959,58,0.01819,0.01802,0.5,77165,1391,76469,1332507,17.27
ME,m,1959,59,0.01784,0.01768,0.5,75774,1340,75104,1256038,16.58
ME,m,1959,60,0.02132,0.02109,0.5,74434,1570,73649,1180934,15.87
ME,m,1959,61,0.02384,0.02356,0.5,72864,1717,72006,1107285,15.20
ME,m,1959,62,0.02740,0.02703,0.5,71147,1923,70186,1035279,14.55
ME,m,1959,63,0.03102,0.03054,0.5,69224,2114,68167,965093,13.94
ME,m,1959,64,0.03095,0.03047,0.5,67110,2045,66088,896926,13.36
ME,m,1959,65,0.03614,0.03549,0.5,65065,2309,63910,830838,12.77
ME,m,1959,66,0.03405,0.03348,0.5,62756,2101,61705,766928,12.22
ME,m,1959,67,0.04207,0.04120,0.5,60654,2499,59405,705223,11.63
ME,m,1959,68,0.04997,0.04875,0.5,58155,2835,56738,645818,11.11
ME,m,1959,69,0.04869,0.04753,0.5,55320,2630,54005,589081,10.65
ME,m,1959,70,0.04913,0.04795,0.5,52690,2527,51427,535075,10.16
ME,m,1959,71,0.04886,0.04770,0.5,50164,2393,48967,483648,9.64
ME,m,1959,72,0.06599,0.06388,0.5,47771,3052,46245,434681,9.10
ME,m,1959,73,0.06729,0.06510,0.5,44719,2911,43264,388436,8.69
ME,m,1959,74,0.07975,0.07669,0.5,41808,3206,40205,345172,8.26
ME,m,1959,75,0.07622,0.07342,0.5,38602,2834,37185,304967,7.90
ME,m,1959,76,0.08520,0.08172,0.5,35768,2923,34306,267782,7.49
ME,m,1959,77,0.09045,0.08653,0.5,32845,2842,31424,233476,7.11
ME,m,1959,78,0.08907,0.08527,0.5,30003,2558,28724,202052,6.73
ME,m,1959,79,0.08944,0.08561,0.5,27444,2350,26270,173328,6.32
ME,m,1959,80,0.10758,0.10209,0.5,25095,2562,23814,147059,5.86
ME,m,1959,81,0.12081,0.11393,0.5,22533,2567,21249,123245,5.47
ME,m,1959,82,0.13810,0.12918,0.5,19966,2579,18676,101996,5.11
ME,m,1959,83,0.15648,0.14513,0.5,17387,2523,16125,83319,4.79
ME,m,1959,84,0.16473,0.15219,0.5,14864,2262,13732,67194,4.52
ME,m,1959,85,0.19561,0.17818,0.5,12601,2245,11479,53462,4.24
ME,m,1959,86,0.20302,0.18431,0.5,10356,1909,9402,41983,4.05
ME,m,1959,87,0.23092,0.20702,0.5,8447,1749,7573,32581,3.86
ME,m,1959,88,0.21955,0.19783,0.5,6699,1325,6036,25008,3.73
ME,m,1959,89,0.23583,0.21095,0.5,5373,1134,4807,18972,3.53
ME,m,1959,90,0.25292,0.22453,0.5,4240,952,3764,14165,3.34
ME,m,1959,91,0.27082,0.23852,0.5,3288,784,2896,10402,3.16
ME,m,1959,92,0.28949,0.25289,0.5,2504,633,2187,7506,3.00
ME,m,1959,93,0.30891,0.26758,0.5,1871,501,1620,5319,2.84
ME,m,1959,94,0.32902,0.28254,0.5,1370,387,1176,3698,2.70
ME,m,1959,95,0.34978,0.29771,0.5,983,293,837,2522,2.57
ME,m,1959,96,0.37113,0.31304,0.5,690,216,582,1685,2.44
ME,m,1959,97,0.39299,0.32845,0.5,474,156,396,1103,2.33
ME,m,1959,98,0.41529,0.34388,0.5,318,110,264,707,2.22
ME,m,1959,99,0.43794,0.35927,0.5,209,75,171,443,2.12
ME,m,1959,100,0.46085,0.37455,0.5,134,50,109,272,2.03
ME,m,1959,101,0.48393,0.38965,0.5,84,33,67,163,1.94
ME,m,1959,102,0.50708,0.40452,0.5,51,21,41,95,1.87
ME,m,1959,103,0.53019,0.41909,0.5,30,13,24,55,1.79
ME,m,1959,104,0.55318,0.43333,0.5,18,8,14,31,1.73
ME,m,1959,105,0.57595,0.44717,0.5,10,4,8,17,1.67
ME,m,1959,106,0.59839,0.46059,0.5,6,3,4,9,1.61
ME,m,1959,107,0.62043,0.47354,0.5,3,1,2,5,1.56
ME,m,1959,108,0.64199,0.48599,0.5,2,1,1,2,1.52
ME,m,1959,109,0.66298,0.49793,0.5,1,0,1,1,1.49
ME,m,1959,110+,0.68336,1.00000,1.46,0,0,1,1,1.46
ME,m,1960,0,0.03212,0.03125,0.13,100000,3125,97285,6673944,66.74
ME,m,1960,1,0.00134,0.00134,0.5,96875,130,96810,6576658,67.89
ME,m,1960,2,0.00125,0.00125,0.5,96745,121,96685,6479848,66.98
ME,m,1960,3,0.00091,0.00091,0.5,96624,88,96580,6383163,66.06
ME,m,1960,4,0.00103,0.00103,0.5,96536,100,96486,6286583,65.12
ME,m,1960,5,0.00057,0.00057,0.5,96436,55,96409,6190097,64.19
ME,m,1960,6,0.00048,0.00048,0.5,96381,46,96358,6093688,63.22
ME,m,1960,7,0.00088,0.00088,0.5,96335,85,96293,5997330,62.25
ME,m,1960,8,0.00031,0.00031,0.5,96250,30,96235,5901037,61.31
ME,m,1960,9,0.00054,0.00054,0.5,96220,52,96195,5804801,60.33
ME,m,1960,10,0.00063,0.00063,0.5,96169,61,96138,5708607,59.36
ME,m,1960,11,0.00010,0.00010,0.5,96108,10,96103,5612468,58.40
ME,m,1960,12,0.00061,0.00061,0.5,96098,58,96069,5516365,57.40
ME,m,1960,13,0.00031,0.00031,0.5,96040,30,96025,5420296,56.44
ME,m,1960,14,0.00115,0.00115,0.5,96010,110,95955,5324271,55.46
ME,m,1960,15,0.00135,0.00135,0.5,95900,129,95836,5228316,54.52
ME,m,1960,16,0.00131,0.00131,0.5,95771,125,95709,5132480,53.59
ME,m,1960,17,0.00148,0.00147,0.5,95646,141,95575,5036772,52.66
ME,m,1960,18,0.00180,0.00180,0.5,95505,172,95419,4941196,51.74
ME,m,1960,19,0.00174,0.00173,0.5,95333,165,95251,4845777,50.83
ME,m,1960,20,0.00148,0.00148,0.5,95168,140,95098,4750527,49.92
ME,m,1960,21,0.00231,0.00231,0.5,95028,219,94918,4655429,48.99
ME,m,1960,22,0.00143,0.00142,0.5,94808,135,94741,4560511,48.10
ME,m,1960,23,0.00160,0.00160,0.5,94673,151,94598,4465770,47.17
ME,m,1960,24,0.00257,0.00257,0.5,94522,243,94401,4371172,46.24
ME,m,1960,25,0.00126,0.00126,0.5,94280,119,94220,4276771,45.36
ME,m,1960,26,0.00181,0.00181,0.5,94161,170,94076,4182551,44.42
ME,m,1960,27,0.00089,0.00089,0.5,93990,83,93949,4088476,43.50
