MI: Michigan, Lifetables (period 5x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02375	0.02326	0.11	100000	2326	97939	7032621	70.33
1960-1964	1-4	0.00085	0.00339	1.63	97674	331	389908	6934681	71.00
1960-1964	5-9	0.00042	0.00211	2.3	97342	205	486157	6544773	67.23
1960-1964	10-14	0.00038	0.00192	2.69	97137	187	485253	6058616	62.37
1960-1964	15-19	0.00083	0.00416	2.75	96950	403	483844	5573363	57.49
1960-1964	20-24	0.00116	0.00580	2.5	96547	560	481337	5089519	52.72
1960-1964	25-29	0.00110	0.00550	2.52	95987	527	478627	4608182	48.01
1960-1964	30-34	0.00144	0.00720	2.62	95459	687	475663	4129555	43.26
1960-1964	35-39	0.00207	0.01032	2.71	94772	978	471624	3653891	38.55
1960-1964	40-44	0.00338	0.01678	2.67	93794	1574	465300	3182267	33.93
1960-1964	45-49	0.00554	0.02737	2.7	92221	2524	455306	2716967	29.46
1960-1964	50-54	0.00901	0.04410	2.67	89697	3956	439277	2261661	25.21
1960-1964	55-59	0.01378	0.06675	2.65	85740	5723	415247	1822384	21.25
1960-1964	60-64	0.02094	0.09974	2.62	80017	7981	381094	1407137	17.59
1960-1964	65-69	0.03224	0.14959	2.59	72037	10776	334243	1026043	14.24
1960-1964	70-74	0.04911	0.21947	2.58	61261	13445	273767	691800	11.29
1960-1964	75-79	0.07328	0.30997	2.52	47816	14822	202256	418034	8.74
1960-1964	80-84	0.11504	0.44483	2.45	32994	14677	127577	215778	6.54
1960-1964	85-89	0.17664	0.59774	2.3	18318	10949	61987	88200	4.82
1960-1964	90-94	0.25761	0.74016	2.13	7368	5454	21171	26214	3.56
1960-1964	95-99	0.36552	0.85611	1.9	1915	1639	4484	5043	2.63
1960-1964	100-104	0.48568	0.92612	1.66	275	255	525	559	2.03
1960-1964	105-109	0.60870	0.96280	1.45	20	20	32	33	1.63
1960-1964	110+	0.70498	1.00000	1.42	1	1	1	1	1.42
1965-1969	0	0.02227	0.02184	0.11	100000	2184	98057	7024318	70.24
1965-1969	1-4	0.00081	0.00325	1.63	97816	318	390511	6926261	70.81
1965-1969	5-9	0.00043	0.00213	2.29	97498	207	486929	6535751	67.03
1965-1969	10-14	0.00040	0.00202	2.75	97291	197	486013	6048822	62.17
1965-1969	15-19	0.00104	0.00518	2.86	97094	503	484397	5562809	57.29
1965-1969	20-24	0.00132	0.00659	2.53	96591	636	481382	5078412	52.58
1965-1969	25-29	0.00134	0.00666	2.49	95955	639	478173	4597031	47.91
1965-1969	30-34	0.00161	0.00802	2.6	95316	764	474746	4118858	43.21
1965-1969	35-39	0.00229	0.01139	2.66	94552	1077	470244	3644112	38.54
1965-1969	40-44	0.00363	0.01798	2.65	93475	1681	463433	3173868	33.95
1965-1969	45-49	0.00569	0.02809	2.67	91795	2579	452960	2710435	29.53
1965-1969	50-54	0.00898	0.04399	2.67	89216	3924	436949	2257475	25.30
1965-1969	55-59	0.01392	0.06739	2.66	85291	5747	413030	1820526	21.34
1965-1969	60-64	0.02132	0.10147	2.63	79544	8071	378594	1407497	17.69
1965-1969	65-69	0.03191	0.14819	2.6	71472	10592	331934	1028903	14.40
1965-1969	70-74	0.04774	0.21398	2.58	60881	13027	272855	696968	11.45
1965-1969	75-79	0.07299	0.30891	2.51	47853	14782	202519	424114	8.86
1965-1969	80-84	0.11111	0.43278	2.45	33071	14313	128815	221595	6.70
1965-1969	85-89	0.16988	0.58317	2.31	18759	10939	64394	92780	4.95
1965-1969	90-94	0.25262	0.73186	2.13	7819	5723	22652	28387	3.63
1965-1969	95-99	0.35052	0.84351	1.93	2097	1769	5045	5735	2.74
1965-1969	100-104	0.46779	0.91827	1.69	328	301	644	689	2.10
1965-1969	105-109	0.59007	0.95867	1.48	27	26	44	45	1.68
1965-1969	110+	0.68709	1.00000	1.46	1	1	2	2	1.46
1970-1974	0	0.01903	0.01871	0.1	100000	1871	98318	7102119	71.02
1970-1974	1-4	0.00076	0.00305	1.68	98129	299	391823	7003800	71.37
1970-1974	5-9	0.00038	0.00188	2.37	97830	184	488665	6611977	67.59
1970-1974	10-14	0.00037	0.00187	2.75	97646	183	487819	6123312	62.71
