MI: Michigan, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02141	0.02101	0.11	100000	2101	98136	7332933	73.33
1959	1	0.00134	0.00134	0.5	97899	132	97833	7234797	73.90
1959	2	0.00078	0.00077	0.5	97767	76	97730	7136964	73.00
1959	3	0.00066	0.00066	0.5	97692	64	97660	7039234	72.06
1959	4	0.00049	0.00049	0.5	97627	47	97604	6941575	71.10
1959	5	0.00048	0.00048	0.5	97580	47	97557	6843971	70.14
1959	6	0.00040	0.00040	0.5	97533	39	97514	6746414	69.17
1959	7	0.00038	0.00038	0.5	97494	37	97476	6648900	68.20
1959	8	0.00031	0.00031	0.5	97457	30	97442	6551425	67.22
1959	9	0.00034	0.00034	0.5	97427	34	97410	6453982	66.24
1959	10	0.00019	0.00019	0.5	97393	19	97384	6356572	65.27
1959	11	0.00026	0.00026	0.5	97375	25	97362	6259188	64.28
1959	12	0.00035	0.00035	0.5	97349	34	97332	6161826	63.30
1959	13	0.00027	0.00027	0.5	97315	26	97302	6064494	62.32
1959	14	0.00038	0.00038	0.5	97289	37	97271	5967192	61.33
1959	15	0.00035	0.00035	0.5	97253	34	97236	5869920	60.36
1959	16	0.00062	0.00062	0.5	97219	60	97189	5772684	59.38
1959	17	0.00063	0.00063	0.5	97159	61	97128	5675496	58.41
1959	18	0.00070	0.00070	0.5	97098	68	97064	5578367	57.45
1959	19	0.00056	0.00056	0.5	97030	54	97003	5481304	56.49
1959	20	0.00071	0.00071	0.5	96976	69	96941	5384301	55.52
1959	21	0.00040	0.00040	0.5	96907	39	96888	5287359	54.56
1959	22	0.00075	0.00075	0.5	96868	72	96832	5190472	53.58
1959	23	0.00085	0.00085	0.5	96796	82	96755	5093640	52.62
1959	24	0.00062	0.00062	0.5	96713	60	96683	4996885	51.67
1959	25	0.00077	0.00077	0.5	96653	74	96616	4900202	50.70
1959	26	0.00074	0.00074	0.5	96579	71	96544	4803585	49.74
1959	27	0.00081	0.00081	0.5	96508	78	96469	4707042	48.77
1959	28	0.00102	0.00102	0.5	96430	98	96381	4610573	47.81
1959	29	0.00086	0.00086	0.5	96332	82	96291	4514192	46.86
1959	30	0.00077	0.00077	0.5	96250	74	96213	4417901	45.90
1959	31	0.00126	0.00126	0.5	96175	121	96115	4321689	44.94
1959	32	0.00110	0.00110	0.5	96054	106	96001	4225574	43.99
1959	33	0.00127	0.00127	0.5	95949	121	95888	4129572	43.04
1959	34	0.00144	0.00144	0.5	95827	138	95758	4033684	42.09
1959	35	0.00120	0.00120	0.5	95689	115	95631	3937926	41.15
1959	36	0.00147	0.00147	0.5	95574	140	95504	3842295	40.20
1959	37	0.00143	0.00142	0.5	95433	136	95365	3746791	39.26
1959	38	0.00174	0.00174	0.5	95297	166	95214	3651426	38.32
1959	39	0.00205	0.00205	0.5	95131	195	95034	3556212	37.38
1959	40	0.00240	0.00240	0.5	94936	228	94823	3461178	36.46
1959	41	0.00233	0.00232	0.5	94709	220	94599	3366355	35.54
1959	42	0.00273	0.00273	0.5	94489	258	94360	3271756	34.63
1959	43	0.00247	0.00247	0.5	94231	233	94115	3177396	33.72
1959	44	0.00359	0.00358	0.5	93998	337	93830	3083282	32.80
1959	45	0.00339	0.00338	0.5	93662	317	93503	2989452	31.92
1959	46	0.00347	0.00346	0.5	93345	323	93183	2895948	31.02
1959	47	0.00391	0.00390	0.5	93022	363	92840	2802765	30.13
1959	48	0.00444	0.00443	0.5	92659	410	92454	2709924	29.25
1959	49	0.00513	0.00511	0.5	92248	472	92012	2617471	28.37
1959	50	0.00538	0.00537	0.5	91777	492	91530	2525458	27.52
1959	51	0.00599	0.00597	0.5	91284	545	91012	2433928	26.66
1959	52	0.00663	0.00661	0.5	90739	600	90440	2342916	25.82
1959	53	0.00667	0.00664	0.5	90140	599	89840	2252477	24.99
1959	54	0.00725	0.00723	0.5	89541	647	89217	2162636	24.15
1959	55	0.00835	0.00832	0.5	88894	739	88524	2073419	23.32
1959	56	0.00876	0.00872	0.5	88154	769	87770	1984895	22.52
1959	57	0.00966	0.00961	0.5	87386	840	86966	1897125	21.71
1959	58	0.01068	0.01062	0.5	86546	919	86086	1810159	20.92
1959	59	0.01133	0.01126	0.5	85627	964	85144	1724073	20.13
1959	60	0.01303	0.01294	0.5	84662	1096	84114	1638929	19.36
1959	61	0.01252	0.01245	0.5	83566	1040	83046	1554815	18.61
1959	62	0.01492	0.01481	0.5	82526	1222	81915	1471768	17.83
1959	63	0.01596	0.01583	0.5	81304	1287	80660	1389853	17.09
