PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MI,m,1960-1969,0,0.02606,0.02547,0.11,100000,2547,97746,6707467,67.07
MI,m,1960-1969,1-4,0.00093,0.00372,1.65,97453,363,388960,6609721,67.82
MI,m,1960-1969,5-9,0.00050,0.00248,2.32,97090,241,484806,6220761,64.07
MI,m,1960-1969,10-14,0.00049,0.00245,2.76,96850,238,483715,5735955,59.23
MI,m,1960-1969,15-19,0.00137,0.00685,2.87,96612,662,481652,5252241,54.36
MI,m,1960-1969,20-24,0.00187,0.00931,2.5,95950,893,477516,4770588,49.72
MI,m,1960-1969,25-29,0.00167,0.00831,2.46,95057,789,473276,4293073,45.16
MI,m,1960-1969,30-34,0.00194,0.00965,2.59,94267,909,469142,3819797,40.52
MI,m,1960-1969,35-39,0.00262,0.01301,2.67,93358,1215,463964,3350656,35.89
MI,m,1960-1969,40-44,0.00433,0.02144,2.66,92144,1976,456087,2886691,31.33
MI,m,1960-1969,45-49,0.00709,0.03488,2.69,90168,3145,443586,2430604,26.96
MI,m,1960-1969,50-54,0.01169,0.05690,2.67,87023,4951,423587,1987018,22.83
MI,m,1960-1969,55-59,0.01837,0.08805,2.65,82072,7226,393400,1563432,19.05
MI,m,1960-1969,60-64,0.02816,0.13192,2.61,74845,9874,350596,1170032,15.63
MI,m,1960-1969,65-69,0.04224,0.19156,2.57,64972,12446,294621,819435,12.61
MI,m,1960-1969,70-74,0.06256,0.27108,2.54,52526,14238,227604,524814,9.99
MI,m,1960-1969,75-79,0.09124,0.37043,2.46,38287,14183,155437,297210,7.76
MI,m,1960-1969,80-84,0.13516,0.49930,2.38,24105,12036,89044,141773,5.88
MI,m,1960-1969,85-89,0.20138,0.64664,2.23,12069,7804,38754,52729,4.37
MI,m,1960-1969,90-94,0.28600,0.77750,2.07,4265,3316,11594,13975,3.28
MI,m,1960-1969,95-99,0.38627,0.87075,1.85,949,826,2139,2381,2.51
MI,m,1960-1969,100-104,0.49923,0.93079,1.63,123,114,229,242,1.98
MI,m,1960-1969,105-109,0.61285,0.96322,1.44,8,8,13,14,1.62
MI,m,1960-1969,110+,0.70148,1.00000,1.43,0,0,0,0,1.43
MI,m,1970-1979,0,0.01897,0.01865,0.1,100000,1865,98314,6825699,68.26
MI,m,1970-1979,1-4,0.00076,0.00305,1.71,98135,300,391854,6727385,68.55
MI,m,1970-1979,5-9,0.00042,0.00209,2.38,97835,204,488641,6335531,64.76
MI,m,1970-1979,10-14,0.00044,0.00219,2.83,97631,214,487689,5846890,59.89
MI,m,1970-1979,15-19,0.00152,0.00759,2.92,97417,739,485546,5359201,55.01
MI,m,1970-1979,20-24,0.00229,0.01140,2.5,96678,1102,480633,4873655,50.41
MI,m,1970-1979,25-29,0.00199,0.00989,2.5,95576,945,475517,4393023,45.96
MI,m,1970-1979,30-34,0.00205,0.01019,2.56,94630,964,470799,3917506,41.40
MI,m,1970-1979,35-39,0.00270,0.01341,2.67,93666,1256,465403,3446707,36.80
MI,m,1970-1979,40-44,0.00414,0.02053,2.68,92410,1897,457655,2981303,32.26
MI,m,1970-1979,45-49,0.00670,0.03298,2.66,90513,2986,445589,2523649,27.88
MI,m,1970-1979,50-54,0.01036,0.05058,2.66,87528,4428,427268,2078060,23.74
MI,m,1970-1979,55-59,0.01626,0.07832,2.66,83100,6508,400278,1650792,19.87
MI,m,1970-1979,60-64,0.02585,0.12176,2.62,76592,9326,360780,1250513,16.33
MI,m,1970-1979,65-69,0.03891,0.17785,2.59,67266,11963,307444,889734,13.23
MI,m,1970-1979,70-74,0.05745,0.25199,2.56,55303,13936,242560,582289,10.53
MI,m,1970-1979,75-79,0.08549,0.35180,2.49,41367,14553,170242,339730,8.21
MI,m,1970-1979,80-84,0.12334,0.46704,2.4,26814,12523,101534,169488,6.32
MI,m,1970-1979,85-89,0.18067,0.60605,2.28,14291,8661,47939,67954,4.76
MI,m,1970-1979,90-94,0.26031,0.74105,2.09,5630,4172,16027,20015,3.56
MI,m,1970-1979,95-99,0.35142,0.84308,1.91,1458,1229,3498,3988,2.74
MI,m,1970-1979,100-104,0.45825,0.91282,1.7,229,209,456,491,2.14
MI,m,1970-1979,105-109,0.56943,0.95295,1.51,20,19,33,35,1.75
MI,m,1970-1979,110+,0.65827,1.00000,1.52,1,1,1,1,1.52
MI,m,1980-1989,0,0.01293,0.01277,0.08,100000,1277,98824,7073386,70.73
MI,m,1980-1989,1-4,0.00058,0.00231,1.67,98723,228,394360,6974562,70.65
MI,m,1980-1989,5-9,0.00029,0.00144,2.43,98495,142,492109,6580202,66.81
MI,m,1980-1989,10-14,0.00035,0.00177,2.85,98353,174,491389,6088093,61.90
MI,m,1980-1989,15-19,0.00122,0.00608,2.89,98179,597,489633,5596704,57.01
MI,m,1980-1989,20-24,0.00163,0.00810,2.5,97582,790,485938,5107072,52.34
MI,m,1980-1989,25-29,0.00175,0.00870,2.55,96792,842,481899,4621134,47.74
MI,m,1980-1989,30-34,0.00203,0.01009,2.55,95949,968,477373,4139235,43.14
MI,m,1980-1989,35-39,0.00248,0.01234,2.59,94981,1172,472079,3661862,38.55
MI,m,1980-1989,40-44,0.00336,0.01668,2.64,93809,1565,465344,3189784,34.00
MI,m,1980-1989,45-49,0.00522,0.02579,2.65,92244,2379,455635,2724440,29.54
MI,m,1980-1989,50-54,0.00842,0.04129,2.66,89864,3710,440656,2268805,25.25
MI,m,1980-1989,55-59,0.01354,0.06561,2.66,86154,5652,417517,1828149,21.22
MI,m,1980-1989,60-64,0.02122,0.10099,2.63,80502,8130,383201,1410632,17.52
MI,m,1980-1989,65-69,0.03239,0.15028,2.6,72372,10876,335798,1027430,14.20
MI,m,1980-1989,70-74,0.05046,0.22467,2.56,61496,13816,273817,691633,11.25
MI,m,1980-1989,75-79,0.07492,0.31566,2.51,47680,15051,200895,417816,8.76
MI,m,1980-1989,80-84,0.11402,0.44139,2.44,32629,14402,126310,216921,6.65
MI,m,1980-1989,85-89,0.16934,0.58296,2.33,18227,10626,62745,90612,4.97
MI,m,1980-1989,90-94,0.24996,0.72850,2.14,7601,5538,22154,27866,3.67
MI,m,1980-1989,95-99,0.34631,0.83932,1.93,2064,1732,5002,5712,2.77
MI,m,1980-1989,100-104,0.45844,0.91343,1.71,332,303,661,710,2.14
MI,m,1980-1989,105-109,0.57538,0.95481,1.5,29,27,48,50,1.73
MI,m,1980-1989,110+,0.66853,1.00000,1.5,1,1,2,2,1.50
MI,m,1990-1999,0,0.01018,0.01009,0.07,100000,1009,99064,7266518,72.67
MI,m,1990-1999,1-4,0.00048,0.00191,1.68,98991,189,395527,7167453,72.40
MI,m,1990-1999,5-9,0.00023,0.00114,2.41,98802,113,493719,6771927,68.54
MI,m,1990-1999,10-14,0.00030,0.00149,3,98689,147,493152,6278207,63.62
MI,m,1990-1999,15-19,0.00115,0.00574,2.88,98542,566,491511,5785055,58.71
MI,m,1990-1999,20-24,0.00158,0.00786,2.51,97977,770,487968,5293544,54.03
MI,m,1990-1999,25-29,0.00153,0.00765,2.54,97207,743,484208,4805577,49.44
MI,m,1990-1999,30-34,0.00179,0.00892,2.58,96464,861,480234,4321369,44.80
MI,m,1990-1999,35-39,0.00232,0.01152,2.6,95603,1101,475369,3841134,40.18
MI,m,1990-1999,40-44,0.00326,0.01619,2.63,94502,1530,468879,3365765,35.62
MI,m,1990-1999,45-49,0.00464,0.02294,2.62,92972,2133,459778,2896886,31.16
MI,m,1990-1999,50-54,0.00684,0.03366,2.65,90839,3058,447018,2437109,26.83
MI,m,1990-1999,55-59,0.01080,0.05269,2.66,87781,4625,428094,1990090,22.67
MI,m,1990-1999,60-64,0.01730,0.08313,2.64,83155,6913,399491,1561996,18.78
MI,m,1990-1999,65-69,0.02763,0.12963,2.62,76242,9884,357720,1162505,15.25
MI,m,1990-1999,70-74,0.04217,0.19126,2.57,66359,12691,300978,804786,12.13
MI,m,1990-1999,75-79,0.06426,0.27773,2.56,53667,14905,231936,503808,9.39
MI,m,1990-1999,80-84,0.10282,0.40805,2.47,38762,15817,153828,271871,7.01
MI,m,1990-1999,85-89,0.16014,0.56148,2.34,22945,12883,80449,118044,5.14
MI,m,1990-1999,90-94,0.24255,0.71832,2.16,10062,7228,29799,37595,3.74
MI,m,1990-1999,95-99,0.34789,0.84185,1.94,2834,2386,6858,7796,2.75
MI,m,1990-1999,100-104,0.46978,0.91954,1.69,448,412,877,938,2.09
MI,m,1990-1999,105-109,0.59602,0.96020,1.47,36,35,58,60,1.67
MI,m,1990-1999,110+,0.69524,1.00000,1.44,1,1,2,2,1.44
MI,m,2000-2009,0,0.00876,0.00869,0.07,100000,869,99191,7469278,74.69
MI,m,2000-2009,1-4,0.00031,0.00125,1.6,99131,124,396226,7370087,74.35
MI,m,2000-2009,5-9,0.00016,0.00082,2.44,99007,81,494826,6973861,70.44
MI,m,2000-2009,10-14,0.00021,0.00105,2.87,98926,104,494407,6479035,65.49
MI,m,2000-2009,15-19,0.00082,0.00408,2.97,98822,403,493291,5984627,60.56
MI,m,2000-2009,20-24,0.00130,0.00647,2.55,98419,637,490532,5491337,55.80
MI,m,2000-2009,25-29,0.00149,0.00742,2.5,97782,725,487097,5000805,51.14
MI,m,2000-2009,30-34,0.00159,0.00794,2.55,97057,771,483394,4513708,46.51
MI,m,2000-2009,35-39,0.00201,0.01000,2.62,96286,963,479134,4030314,41.86
MI,m,2000-2009,40-44,0.00290,0.01440,2.67,95323,1373,473412,3551180,37.25
MI,m,2000-2009,45-49,0.00452,0.02238,2.65,93951,2103,464815,3077768,32.76
MI,m,2000-2009,50-54,0.00680,0.03345,2.63,91848,3072,451951,2612952,28.45
MI,m,2000-2009,55-59,0.00948,0.04635,2.63,88776,4115,434134,2161002,24.34
MI,m,2000-2009,60-64,0.01411,0.06826,2.63,84661,5779,409623,1726868,20.40
MI,m,2000-2009,65-69,0.02133,0.10150,2.63,78882,8007,375417,1317244,16.70
MI,m,2000-2009,70-74,0.03343,0.15485,2.63,70876,10975,328324,941827,13.29
MI,m,2000-2009,75-79,0.05306,0.23518,2.59,59901,14087,265513,613504,10.24
MI,m,2000-2009,80-84,0.08692,0.35757,2.52,45814,16382,188464,347990,7.60
MI,m,2000-2009,85-89,0.14454,0.52572,2.41,29432,15473,107048,159526,5.42
MI,m,2000-2009,90-94,0.23929,0.71751,2.21,13959,10016,41857,52478,3.76
MI,m,2000-2009,95-99,0.35486,0.84988,1.93,3943,3351,9444,10622,2.69
