PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MN,b,1960-1969,0,0.02022,0.01986,0.1,100000,1986,98222,7234571,72.35
MN,b,1960-1969,1,0.00124,0.00124,0.5,98014,121,97953,7136350,72.81
MN,b,1960-1969,2,0.00083,0.00083,0.5,97892,81,97852,7038397,71.90
MN,b,1960-1969,3,0.00064,0.00064,0.5,97811,63,97780,6940545,70.96
MN,b,1960-1969,4,0.00051,0.00051,0.5,97749,50,97724,6842765,70.00
MN,b,1960-1969,5,0.00048,0.00048,0.5,97699,47,97675,6745041,69.04
MN,b,1960-1969,6,0.00042,0.00042,0.5,97652,41,97632,6647366,68.07
MN,b,1960-1969,7,0.00039,0.00039,0.5,97611,38,97592,6549734,67.10
MN,b,1960-1969,8,0.00037,0.00037,0.5,97573,36,97555,6452142,66.13
MN,b,1960-1969,9,0.00038,0.00038,0.5,97537,37,97518,6354587,65.15
MN,b,1960-1969,10,0.00034,0.00034,0.5,97500,33,97483,6257068,64.18
MN,b,1960-1969,11,0.00037,0.00037,0.5,97467,36,97449,6159585,63.20
MN,b,1960-1969,12,0.00035,0.00035,0.5,97431,34,97414,6062136,62.22
MN,b,1960-1969,13,0.00044,0.00044,0.5,97397,43,97376,5964721,61.24
MN,b,1960-1969,14,0.00051,0.00051,0.5,97355,50,97330,5867345,60.27
MN,b,1960-1969,15,0.00062,0.00062,0.5,97305,60,97275,5770016,59.30
MN,b,1960-1969,16,0.00080,0.00080,0.5,97245,77,97206,5672741,58.33
MN,b,1960-1969,17,0.00102,0.00102,0.5,97167,99,97118,5575535,57.38
MN,b,1960-1969,18,0.00117,0.00117,0.5,97068,113,97011,5478417,56.44
MN,b,1960-1969,19,0.00122,0.00122,0.5,96955,118,96896,5381406,55.50
MN,b,1960-1969,20,0.00112,0.00112,0.5,96836,108,96782,5284510,54.57
MN,b,1960-1969,21,0.00129,0.00129,0.5,96728,124,96666,5187728,53.63
MN,b,1960-1969,22,0.00114,0.00114,0.5,96604,110,96549,5091062,52.70
MN,b,1960-1969,23,0.00101,0.00101,0.5,96494,98,96445,4994513,51.76
MN,b,1960-1969,24,0.00105,0.00105,0.5,96396,102,96345,4898068,50.81
MN,b,1960-1969,25,0.00103,0.00103,0.5,96295,99,96245,4801723,49.86
MN,b,1960-1969,26,0.00103,0.00103,0.5,96196,99,96146,4705478,48.92
