MN: Minnesota, Lifetables (period 5x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02130	0.02091	0.11	100000	2091	98134	7214713	72.15
1960-1964	1-4	0.00086	0.00342	1.61	97909	335	390838	7116578	72.69
1960-1964	5-9	0.00042	0.00208	2.36	97574	203	487338	6725740	68.93
1960-1964	10-14	0.00040	0.00198	2.65	97372	192	486406	6238402	64.07
1960-1964	15-19	0.00085	0.00426	2.8	97179	414	484987	5751996	59.19
1960-1964	20-24	0.00111	0.00556	2.42	96765	538	482439	5267009	54.43
1960-1964	25-29	0.00103	0.00512	2.47	96228	493	479892	4784571	49.72
1960-1964	30-34	0.00120	0.00598	2.63	95735	573	477318	4304678	44.96
1960-1964	35-39	0.00176	0.00876	2.68	95162	834	473874	3827360	40.22
1960-1964	40-44	0.00278	0.01380	2.71	94329	1302	468661	3353486	35.55
1960-1964	45-49	0.00453	0.02240	2.68	93027	2084	460309	2884826	31.01
1960-1964	50-54	0.00742	0.03648	2.66	90943	3317	446943	2424516	26.66
1960-1964	55-59	0.01126	0.05483	2.66	87626	4805	426863	1977574	22.57
1960-1964	60-64	0.01711	0.08230	2.68	82821	6816	398273	1550711	18.72
1960-1964	65-69	0.02630	0.12368	2.6	76005	9400	357484	1152438	15.16
1960-1964	70-74	0.04208	0.19128	2.62	66605	12740	302743	794954	11.94
1960-1964	75-79	0.06630	0.28517	2.55	53865	15360	231671	492211	9.14
1960-1964	80-84	0.10755	0.42326	2.49	38504	16297	151536	260540	6.77
1960-1964	85-89	0.16971	0.58366	2.33	22207	12961	76373	109004	4.91
1960-1964	90-94	0.25915	0.74462	2.14	9246	6884	26566	32631	3.53
1960-1964	95-99	0.37501	0.86471	1.88	2361	2042	5444	6066	2.57
1960-1964	100-104	0.50717	0.93531	1.63	319	299	589	621	1.94
1960-1964	105-109	0.64011	0.96924	1.4	21	20	31	32	1.56
1960-1964	110+	0.74143	1.00000	1.35	1	1	1	1	1.35
1965-1969	0	0.01888	0.01857	0.1	100000	1857	98331	7256002	72.56
1965-1969	1-4	0.00075	0.00298	1.66	98143	292	391889	7157672	72.93
