MN: Minnesota, Lifetables (period 1x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01723	0.01697	0.1	100000	1697	98475	7599044	75.99
1960-1969	1	0.00112	0.00112	0.5	98303	110	98248	7500569	76.30
1960-1969	2	0.00075	0.00075	0.5	98193	74	98156	7402321	75.39
1960-1969	3	0.00054	0.00054	0.5	98119	53	98093	7304165	74.44
1960-1969	4	0.00042	0.00042	0.5	98066	41	98046	7206072	73.48
1960-1969	5	0.00041	0.00041	0.5	98025	40	98005	7108027	72.51
1960-1969	6	0.00033	0.00033	0.5	97985	33	97969	7010021	71.54
1960-1969	7	0.00032	0.00032	0.5	97953	31	97937	6912052	70.57
1960-1969	8	0.00030	0.00030	0.5	97922	29	97907	6814115	69.59
1960-1969	9	0.00031	0.00031	0.5	97892	31	97877	6716208	68.61
1960-1969	10	0.00022	0.00022	0.5	97862	21	97851	6618331	67.63
1960-1969	11	0.00028	0.00028	0.5	97840	28	97826	6520480	66.64
1960-1969	12	0.00026	0.00026	0.5	97812	25	97800	6422653	65.66
1960-1969	13	0.00026	0.00026	0.5	97787	25	97775	6324853	64.68
1960-1969	14	0.00035	0.00035	0.5	97762	34	97745	6227078	63.70
1960-1969	15	0.00039	0.00039	0.5	97728	38	97709	6129333	62.72
1960-1969	16	0.00052	0.00052	0.5	97690	50	97665	6031624	61.74
1960-1969	17	0.00059	0.00059	0.5	97640	57	97611	5933959	60.77
1960-1969	18	0.00059	0.00059	0.5	97583	57	97554	5836347	59.81
1960-1969	19	0.00068	0.00068	0.5	97525	66	97492	5738793	58.84
1960-1969	20	0.00060	0.00060	0.5	97459	58	97430	5641301	57.88
1960-1969	21	0.00067	0.00067	0.5	97401	65	97368	5543871	56.92
1960-1969	22	0.00058	0.00058	0.5	97336	57	97307	5446503	55.96
1960-1969	23	0.00048	0.00048	0.5	97279	47	97255	5349196	54.99
1960-1969	24	0.00051	0.00051	0.5	97232	50	97207	5251941	54.01
1960-1969	25	0.00058	0.00058	0.5	97182	57	97153	5154734	53.04
1960-1969	26	0.00060	0.00060	0.5	97125	59	97096	5057581	52.07
1960-1969	27	0.00060	0.00060	0.5	97066	58	97037	4960485	51.10
1960-1969	28	0.00064	0.00064	0.5	97008	62	96977	4863448	50.13
1960-1969	29	0.00065	0.00065	0.5	96946	63	96914	4766472	49.17
1960-1969	30	0.00077	0.00077	0.5	96883	75	96846	4669557	48.20
1960-1969	31	0.00081	0.00081	0.5	96808	79	96769	4572712	47.23
1960-1969	32	0.00083	0.00083	0.5	96730	81	96689	4475943	46.27
1960-1969	33	0.00079	0.00079	0.5	96649	76	96611	4379253	45.31
1960-1969	34	0.00092	0.00092	0.5	96573	89	96529	4282642	44.35
1960-1969	35	0.00112	0.00112	0.5	96484	108	96430	4186114	43.39
1960-1969	36	0.00110	0.00110	0.5	96376	106	96323	4089684	42.43
1960-1969	37	0.00132	0.00132	0.5	96270	127	96206	3993361	41.48
1960-1969	38	0.00141	0.00141	0.5	96143	135	96075	3897155	40.54
1960-1969	39	0.00146	0.00146	0.5	96007	140	95937	3801080	39.59
1960-1969	40	0.00155	0.00155	0.5	95867	149	95793	3705143	38.65
1960-1969	41	0.00206	0.00206	0.5	95718	197	95620	3609350	37.71
1960-1969	42	0.00206	0.00206	0.5	95521	197	95423	3513731	36.78
1960-1969	43	0.00216	0.00216	0.5	95325	206	95222	3418308	35.86
1960-1969	44	0.00236	0.00236	0.5	95119	225	95006	3323086	34.94
1960-1969	45	0.00271	0.00271	0.5	94894	257	94766	3228079	34.02
1960-1969	46	0.00290	0.00289	0.5	94637	274	94500	3133314	33.11
1960-1969	47	0.00308	0.00308	0.5	94363	291	94218	3038813	32.20
1960-1969	48	0.00347	0.00346	0.5	94073	325	93910	2944595	31.30
1960-1969	49	0.00380	0.00379	0.5	93747	355	93570	2850685	30.41
1960-1969	50	0.00428	0.00427	0.5	93392	399	93193	2757115	29.52
1960-1969	51	0.00456	0.00455	0.5	92993	423	92782	2663922	28.65
1960-1969	52	0.00523	0.00522	0.5	92570	483	92329	2571141	27.78
1960-1969	53	0.00526	0.00525	0.5	92087	483	91845	2478812	26.92
1960-1969	54	0.00566	0.00564	0.5	91604	517	91345	2386967	26.06
1960-1969	55	0.00617	0.00615	0.5	91087	561	90807	2295621	25.20
1960-1969	56	0.00654	0.00652	0.5	90526	590	90231	2204815	24.36
1960-1969	57	0.00731	0.00728	0.5	89936	655	89609	2114583	23.51
1960-1969	58	0.00793	0.00790	0.5	89282	705	88929	2024974	22.68
1960-1969	59	0.00850	0.00846	0.5	88576	749	88201	1936046	21.86
1960-1969	60	0.00921	0.00917	0.5	87827	805	87424	1847844	21.04
1960-1969	61	0.00976	0.00971	0.5	87021	845	86599	1760420	20.23
1960-1969	62	0.01158	0.01151	0.5	86176	992	85680	1673821	19.42
1960-1969	63	0.01239	0.01232	0.5	85185	1049	84660	1588141	18.64
1960-1969	64	0.01314	0.01305	0.5	84135	1098	83586	1503481	17.87
1960-1969	65	0.01509	0.01498	0.5	83037	1244	82415	1419894	17.10
1960-1969	66	0.01589	0.01577	0.5	81793	1289	81149	1337479	16.35
1960-1969	67	0.01840	0.01823	0.5	80504	1467	79770	1256330	15.61
1960-1969	68	0.01971	0.01952	0.5	79036	1543	78265	1176560	14.89
1960-1969	69	0.02122	0.02100	0.5	77494	1627	76680	1098295	14.17
1960-1969	70	0.02388	0.02360	0.5	75866	1790	74971	1021615	13.47
1960-1969	71	0.02691	0.02655	0.5	74076	1967	73093	946644	12.78
1960-1969	72	0.03104	0.03057	0.5	72109	2204	71007	873551	12.11
1960-1969	73	0.03437	0.03379	0.5	69905	2362	68724	802544	11.48
1960-1969	74	0.03861	0.03788	0.5	67543	2559	66264	733819	10.86
1960-1969	75	0.04333	0.04241	0.5	64985	2756	63607	667556	10.27
1960-1969	76	0.04624	0.04519	0.5	62229	2812	60822	603949	9.71
1960-1969	77	0.05225	0.05092	0.5	59416	3025	57904	543127	9.14
1960-1969	78	0.05764	0.05603	0.5	56391	3160	54811	485223	8.60
1960-1969	79	0.06499	0.06294	0.5	53231	3351	51556	430412	8.09
1960-1969	80	0.07047	0.06807	0.5	49881	3395	48183	378855	7.60
1960-1969	81	0.07864	0.07566	0.5	46485	3517	44727	330672	7.11
1960-1969	82	0.08831	0.08457	0.5	42968	3634	41151	285945	6.65
1960-1969	83	0.09735	0.09283	0.5	39334	3651	37509	244794	6.22
1960-1969	84	0.11205	0.10611	0.5	35683	3786	33790	207285	5.81
1960-1969	85	0.12164	0.11467	0.5	31897	3658	30068	173496	5.44
1960-1969	86	0.13420	0.12576	0.5	28239	3551	26463	143428	5.08
1960-1969	87	0.15177	0.14106	0.5	24688	3483	22946	116965	4.74
1960-1969	88	0.16312	0.15082	0.5	21205	3198	19606	94018	4.43
1960-1969	89	0.17704	0.16264	0.5	18007	2929	16543	74412	4.13
1960-1969	90	0.20108	0.18271	0.5	15078	2755	13701	57870	3.84
1960-1969	91	0.21756	0.19622	0.5	12323	2418	11114	44169	3.58
1960-1969	92	0.24990	0.22215	0.5	9905	2200	8805	33054	3.34
1960-1969	93	0.26210	0.23173	0.5	7705	1785	6812	24249	3.15
1960-1969	94	0.28558	0.24990	0.5	5919	1479	5180	17437	2.95
1960-1969	95	0.31028	0.26860	0.5	4440	1193	3844	12257	2.76
1960-1969	96	0.33610	0.28775	0.5	3248	934	2780	8414	2.59
1960-1969	97	0.36295	0.30720	0.5	2313	711	1958	5633	2.44
1960-1969	98	0.39067	0.32683	0.5	1602	524	1341	3676	2.29
1960-1969	99	0.41912	0.34651	0.5	1079	374	892	2335	2.16
1960-1969	100	0.44812	0.36610	0.5	705	258	576	1443	2.05
1960-1969	101	0.47748	0.38546	0.5	447	172	361	867	1.94
1960-1969	102	0.50699	0.40446	0.5	275	111	219	506	1.84
1960-1969	103	0.53646	0.42300	0.5	164	69	129	287	1.76
1960-1969	104	0.56567	0.44095	0.5	94	42	74	158	1.68
1960-1969	105	0.59443	0.45824	0.5	53	24	41	85	1.61
1960-1969	106	0.62256	0.47477	0.5	29	14	22	44	1.54
1960-1969	107	0.64989	0.49050	0.5	15	7	11	22	1.49
1960-1969	108	0.67627	0.50538	0.5	8	4	6	11	1.44
1960-1969	109	0.70157	0.51938	0.5	4	2	3	5	1.40
1960-1969	110+	0.72570	1.00000	1.38	2	2	3	3	1.38
1970-1979	0	0.01215	0.01202	0.09	100000	1202	98903	7826911	78.27
1970-1979	1	0.00080	0.00080	0.5	98798	79	98758	7728008	78.22
1970-1979	2	0.00056	0.00056	0.5	98719	55	98691	7629250	77.28
1970-1979	3	0.00046	0.00046	0.5	98663	45	98641	7530559	76.33
1970-1979	4	0.00038	0.00038	0.5	98618	38	98599	7431918	75.36
1970-1979	5	0.00032	0.00032	0.5	98580	32	98564	7333319	74.39
1970-1979	6	0.00036	0.00036	0.5	98548	35	98531	7234755	73.41
1970-1979	7	0.00031	0.00031	0.5	98513	31	98498	7136224	72.44
1970-1979	8	0.00021	0.00021	0.5	98483	21	98472	7037726	71.46
1970-1979	9	0.00024	0.00024	0.5	98462	23	98450	6939254	70.48
1970-1979	10	0.00029	0.00029	0.5	98438	29	98424	6840804	69.49
1970-1979	11	0.00021	0.00021	0.5	98410	21	98399	6742381	68.51
1970-1979	12	0.00021	0.00021	0.5	98388	21	98378	6643982	67.53
1970-1979	13	0.00036	0.00036	0.5	98368	36	98350	6545603	66.54
1970-1979	14	0.00027	0.00027	0.5	98332	27	98319	6447253	65.57
1970-1979	15	0.00039	0.00039	0.5	98305	38	98286	6348935	64.58
1970-1979	16	0.00046	0.00046	0.5	98267	45	98245	6250648	63.61
1970-1979	17	0.00057	0.00057	0.5	98222	56	98194	6152404	62.64
1970-1979	18	0.00063	0.00063	0.5	98166	62	98135	6054210	61.67
1970-1979	19	0.00062	0.00062	0.5	98104	61	98074	5956075	60.71
1970-1979	20	0.00054	0.00054	0.5	98044	53	98017	5858001	59.75
1970-1979	21	0.00060	0.00060	0.5	97991	59	97961	5759983	58.78
1970-1979	22	0.00054	0.00054	0.5	97932	53	97905	5662022	57.82
1970-1979	23	0.00047	0.00047	0.5	97879	46	97856	5564117	56.85
1970-1979	24	0.00056	0.00056	0.5	97832	55	97805	5466261	55.87
1970-1979	25	0.00050	0.00050	0.5	97778	49	97753	5368456	54.90
1970-1979	26	0.00050	0.00050	0.5	97728	49	97704	5270703	53.93
1970-1979	27	0.00056	0.00056	0.5	97680	54	97652	5173000	52.96
1970-1979	28	0.00056	0.00056	0.5	97625	55	97598	5075347	51.99
1970-1979	29	0.00065	0.00065	0.5	97570	63	97538	4977750	51.02
1970-1979	30	0.00058	0.00058	0.5	97507	57	97478	4880211	50.05
1970-1979	31	0.00068	0.00068	0.5	97450	66	97417	4782733	49.08
1970-1979	32	0.00073	0.00073	0.5	97384	71	97348	4685316	48.11
1970-1979	33	0.00080	0.00080	0.5	97312	77	97274	4587968	47.15
1970-1979	34	0.00088	0.00088	0.5	97235	85	97192	4490694	46.18
1970-1979	35	0.00088	0.00088	0.5	97150	85	97107	4393502	45.22
1970-1979	36	0.00097	0.00097	0.5	97064	94	97018	4296395	44.26
1970-1979	37	0.00102	0.00102	0.5	96971	99	96921	4199377	43.31
1970-1979	38	0.00124	0.00124	0.5	96871	120	96811	4102456	42.35
1970-1979	39	0.00129	0.00129	0.5	96751	125	96689	4005645	41.40
1970-1979	40	0.00133	0.00133	0.5	96627	128	96563	3908956	40.45
1970-1979	41	0.00157	0.00157	0.5	96498	152	96423	3812393	39.51
1970-1979	42	0.00159	0.00158	0.5	96347	153	96271	3715970	38.57
1970-1979	43	0.00182	0.00182	0.5	96194	175	96107	3619700	37.63
1970-1979	44	0.00196	0.00196	0.5	96019	188	95925	3523593	36.70
1970-1979	45	0.00224	0.00224	0.5	95831	214	95724	3427668	35.77
1970-1979	46	0.00244	0.00243	0.5	95617	233	95501	3331944	34.85
1970-1979	47	0.00273	0.00273	0.5	95384	260	95254	3236443	33.93
1970-1979	48	0.00264	0.00264	0.5	95124	251	94998	3141189	33.02
1970-1979	49	0.00320	0.00320	0.5	94873	303	94721	3046191	32.11
1970-1979	50	0.00330	0.00330	0.5	94569	312	94413	2951470	31.21
1970-1979	51	0.00400	0.00399	0.5	94257	376	94070	2857056	30.31
1970-1979	52	0.00396	0.00395	0.5	93882	371	93696	2762987	29.43
1970-1979	53	0.00471	0.00470	0.5	93510	439	93291	2669291	28.55
1970-1979	54	0.00494	0.00493	0.5	93071	459	92842	2576000	27.68
1970-1979	55	0.00522	0.00520	0.5	92612	482	92371	2483158	26.81
1970-1979	56	0.00595	0.00593	0.5	92130	547	91857	2390787	25.95
1970-1979	57	0.00651	0.00649	0.5	91584	594	91287	2298930	25.10
1970-1979	58	0.00706	0.00704	0.5	90990	640	90669	2207643	24.26
1970-1979	59	0.00767	0.00764	0.5	90349	691	90004	2116974	23.43
1970-1979	60	0.00877	0.00873	0.5	89659	783	89267	2026970	22.61
1970-1979	61	0.00889	0.00885	0.5	88876	787	88482	1937702	21.80
1970-1979	62	0.01029	0.01024	0.5	88089	902	87638	1849220	20.99
1970-1979	63	0.01087	0.01081	0.5	87187	942	86716	1761582	20.20
1970-1979	64	0.01203	0.01196	0.5	86245	1031	85729	1674866	19.42
1970-1979	65	0.01336	0.01327	0.5	85213	1131	84648	1589138	18.65
1970-1979	66	0.01343	0.01334	0.5	84082	1122	83522	1504490	17.89
1970-1979	67	0.01593	0.01580	0.5	82961	1311	82305	1420968	17.13
1970-1979	68	0.01638	0.01625	0.5	81650	1327	80986	1338663	16.40
1970-1979	69	0.01829	0.01813	0.5	80323	1456	79595	1257677	15.66
1970-1979	70	0.02011	0.01991	0.5	78867	1571	78082	1178082	14.94
1970-1979	71	0.02282	0.02256	0.5	77296	1744	76424	1100000	14.23
1970-1979	72	0.02414	0.02386	0.5	75553	1802	74651	1023576	13.55
1970-1979	73	0.02739	0.02702	0.5	73750	1993	72754	948924	12.87
1970-1979	74	0.02981	0.02937	0.5	71757	2108	70704	876171	12.21
1970-1979	75	0.03377	0.03321	0.5	69650	2313	68493	805467	11.56
1970-1979	76	0.03737	0.03668	0.5	67337	2470	66102	736974	10.94
1970-1979	77	0.04194	0.04108	0.5	64867	2664	63534	670872	10.34
1970-1979	78	0.04708	0.04600	0.5	62202	2861	60772	607337	9.76
1970-1979	79	0.05249	0.05115	0.5	59341	3035	57823	546566	9.21
1970-1979	80	0.05718	0.05559	0.5	56306	3130	54741	488742	8.68
1970-1979	81	0.06222	0.06034	0.5	53176	3209	51571	434002	8.16
1970-1979	82	0.06932	0.06700	0.5	49967	3348	48293	382430	7.65
1970-1979	83	0.07825	0.07530	0.5	46619	3510	44864	334137	7.17
1970-1979	84	0.08708	0.08344	0.5	43109	3597	41310	289273	6.71
1970-1979	85	0.09871	0.09406	0.5	39512	3717	37653	247963	6.28
1970-1979	86	0.10990	0.10418	0.5	35795	3729	33930	210310	5.88
1970-1979	87	0.11852	0.11189	0.5	32066	3588	30272	176379	5.50
1970-1979	88	0.13245	0.12423	0.5	28478	3538	26709	146107	5.13
1970-1979	89	0.15135	0.14070	0.5	24940	3509	23186	119398	4.79
1970-1979	90	0.16033	0.14843	0.5	21431	3181	19841	96212	4.49
1970-1979	91	0.17788	0.16335	0.5	18250	2981	16760	76372	4.18
1970-1979	92	0.19662	0.17902	0.5	15269	2733	13902	59612	3.90
1970-1979	93	0.21582	0.19480	0.5	12536	2442	11315	45710	3.65
1970-1979	94	0.23634	0.21136	0.5	10094	2133	9027	34395	3.41
1970-1979	95	0.25817	0.22865	0.5	7960	1820	7050	25368	3.19
1970-1979	96	0.28127	0.24659	0.5	6140	1514	5383	18318	2.98
1970-1979	97	0.30559	0.26508	0.5	4626	1226	4013	12935	2.80
1970-1979	98	0.33104	0.28403	0.5	3400	966	2917	8922	2.62
1970-1979	99	0.35752	0.30330	0.5	2434	738	2065	6005	2.47
1970-1979	100	0.38490	0.32278	0.5	1696	547	1422	3940	2.32
1970-1979	101	0.41303	0.34233	0.5	1148	393	952	2518	2.19
1970-1979	102	0.44173	0.36182	0.5	755	273	619	1566	2.07
1970-1979	103	0.47084	0.38112	0.5	482	184	390	947	1.97
1970-1979	104	0.50014	0.40009	0.5	298	119	239	557	1.87
1970-1979	105	0.52944	0.41862	0.5	179	75	142	318	1.78
1970-1979	106	0.55854	0.43661	0.5	104	45	81	177	1.70
1970-1979	107	0.58725	0.45395	0.5	59	27	45	96	1.63
1970-1979	108	0.61537	0.47058	0.5	32	15	24	50	1.57
1970-1979	109	0.64274	0.48642	0.5	17	8	13	26	1.52
1970-1979	110+	0.66921	1.00000	1.49	9	9	13	13	1.49
1980-1989	0	0.00784	0.00778	0.07	100000	778	99280	8031386	80.31
1980-1989	1	0.00061	0.00061	0.5	99222	61	99192	7932106	79.94
1980-1989	2	0.00036	0.00036	0.5	99161	35	99143	7832914	78.99
1980-1989	3	0.00026	0.00026	0.5	99126	26	99113	7733771	78.02
1980-1989	4	0.00020	0.00020	0.5	99100	20	99090	7634658	77.04
1980-1989	5	0.00021	0.00021	0.5	99080	21	99070	7535568	76.06
1980-1989	6	0.00024	0.00024	0.5	99060	24	99048	7436498	75.07
1980-1989	7	0.00015	0.00015	0.5	99036	14	99028	7337450	74.09
1980-1989	8	0.00018	0.00018	0.5	99021	18	99013	7238422	73.10
1980-1989	9	0.00019	0.00019	0.5	99004	19	98994	7139409	72.11
1980-1989	10	0.00011	0.00011	0.5	98985	11	98979	7040415	71.13
