PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MN,f,1960-1964,0,0.01811,0.01782,0.1,100000,1782,98403,7565708,75.66
MN,f,1960-1964,1,0.00130,0.00130,0.5,98218,127,98154,7467305,76.03
MN,f,1960-1964,2,0.00079,0.00079,0.5,98091,77,98052,7369151,75.13
MN,f,1960-1964,3,0.00056,0.00056,0.5,98014,55,97986,7271099,74.18
MN,f,1960-1964,4,0.00042,0.00042,0.5,97959,41,97938,7173113,73.23
MN,f,1960-1964,5,0.00042,0.00042,0.5,97918,41,97897,7075174,72.26
MN,f,1960-1964,6,0.00034,0.00034,0.5,97877,34,97860,6977277,71.29
MN,f,1960-1964,7,0.00034,0.00034,0.5,97843,34,97827,6879417,70.31
MN,f,1960-1964,8,0.00034,0.00034,0.5,97810,34,97793,6781590,69.33
MN,f,1960-1964,9,0.00029,0.00029,0.5,97776,28,97762,6683797,68.36
MN,f,1960-1964,10,0.00021,0.00021,0.5,97748,20,97738,6586035,67.38
MN,f,1960-1964,11,0.00028,0.00028,0.5,97728,27,97714,6488297,66.39
MN,f,1960-1964,12,0.00027,0.00027,0.5,97700,26,97687,6390583,65.41
MN,f,1960-1964,13,0.00024,0.00024,0.5,97674,24,97662,6292896,64.43
MN,f,1960-1964,14,0.00030,0.00030,0.5,97650,29,97636,6195234,63.44
MN,f,1960-1964,15,0.00035,0.00035,0.5,97621,34,97605,6097598,62.46
MN,f,1960-1964,16,0.00054,0.00054,0.5,97588,53,97561,5999993,61.48
MN,f,1960-1964,17,0.00052,0.00052,0.5,97535,51,97509,5902432,60.52
MN,f,1960-1964,18,0.00042,0.00042,0.5,97484,41,97463,5804923,59.55
MN,f,1960-1964,19,0.00065,0.00065,0.5,97443,63,97411,5707459,58.57
MN,f,1960-1964,20,0.00052,0.00052,0.5,97380,51,97354,5610048,57.61
MN,f,1960-1964,21,0.00066,0.00066,0.5,97329,64,97297,5512694,56.64
MN,f,1960-1964,22,0.00055,0.00055,0.5,97264,53,97238,5415397,55.68
MN,f,1960-1964,23,0.00044,0.00044,0.5,97211,43,97190,5318159,54.71
MN,f,1960-1964,24,0.00052,0.00052,0.5,97168,51,97143,5220970,53.73
MN,f,1960-1964,25,0.00056,0.00056,0.5,97117,54,97090,5123827,52.76
MN,f,1960-1964,26,0.00064,0.00064,0.5,97063,62,97032,5026737,51.79
MN,f,1960-1964,27,0.00066,0.00066,0.5,97001,64,96969,4929705,50.82
MN,f,1960-1964,28,0.00064,0.00064,0.5,96937,62,96906,4832736,49.85
MN,f,1960-1964,29,0.00060,0.00060,0.5,96875,59,96846,4735830,48.89
MN,f,1960-1964,30,0.00068,0.00068,0.5,96816,66,96783,4638984,47.92
MN,f,1960-1964,31,0.00084,0.00084,0.5,96750,81,96710,4542201,46.95
MN,f,1960-1964,32,0.00086,0.00086,0.5,96670,84,96628,4445491,45.99
MN,f,1960-1964,33,0.00079,0.00079,0.5,96586,77,96548,4348863,45.03
MN,f,1960-1964,34,0.00102,0.00102,0.5,96509,98,96460,4252315,44.06
MN,f,1960-1964,35,0.00107,0.00106,0.5,96411,103,96360,4155854,43.11
MN,f,1960-1964,36,0.00104,0.00104,0.5,96309,100,96259,4059494,42.15
MN,f,1960-1964,37,0.00132,0.00132,0.5,96209,127,96145,3963235,41.19
MN,f,1960-1964,38,0.00137,0.00137,0.5,96081,132,96016,3867090,40.25
MN,f,1960-1964,39,0.00146,0.00146,0.5,95950,140,95880,3771075,39.30
MN,f,1960-1964,40,0.00163,0.00163,0.5,95810,156,95732,3675195,38.36
MN,f,1960-1964,41,0.00198,0.00198,0.5,95654,190,95559,3579463,37.42
MN,f,1960-1964,42,0.00213,0.00213,0.5,95464,203,95363,3483905,36.49
MN,f,1960-1964,43,0.00211,0.00210,0.5,95261,201,95161,3388542,35.57
MN,f,1960-1964,44,0.00245,0.00245,0.5,95060,233,94944,3293381,34.65
MN,f,1960-1964,45,0.00260,0.00259,0.5,94828,246,94705,3198437,33.73
MN,f,1960-1964,46,0.00271,0.00270,0.5,94582,256,94454,3103733,32.82
MN,f,1960-1964,47,0.00287,0.00287,0.5,94326,271,94191,3009279,31.90
MN,f,1960-1964,48,0.00357,0.00356,0.5,94055,335,93888,2915088,30.99
MN,f,1960-1964,49,0.00394,0.00393,0.5,93720,369,93536,2821201,30.10
MN,f,1960-1964,50,0.00441,0.00440,0.5,93352,411,93146,2727665,29.22
MN,f,1960-1964,51,0.00455,0.00454,0.5,92941,422,92730,2634518,28.35
MN,f,1960-1964,52,0.00518,0.00517,0.5,92519,478,92280,2541788,27.47
MN,f,1960-1964,53,0.00543,0.00542,0.5,92041,499,91791,2449508,26.61
MN,f,1960-1964,54,0.00551,0.00550,0.5,91542,503,91290,2357717,25.76
MN,f,1960-1964,55,0.00626,0.00624,0.5,91039,568,90755,2266427,24.90
MN,f,1960-1964,56,0.00648,0.00646,0.5,90471,584,90179,2175672,24.05
MN,f,1960-1964,57,0.00751,0.00748,0.5,89887,672,89551,2085493,23.20
MN,f,1960-1964,58,0.00811,0.00808,0.5,89215,721,88854,1995942,22.37
MN,f,1960-1964,59,0.00841,0.00838,0.5,88494,741,88123,1907087,21.55
MN,f,1960-1964,60,0.00912,0.00908,0.5,87753,797,87354,1818964,20.73
MN,f,1960-1964,61,0.00994,0.00989,0.5,86956,860,86526,1731610,19.91
MN,f,1960-1964,62,0.01176,0.01169,0.5,86096,1007,85592,1645084,19.11
MN,f,1960-1964,63,0.01327,0.01318,0.5,85089,1122,84528,1559491,18.33
MN,f,1960-1964,64,0.01380,0.01370,0.5,83967,1151,83392,1474963,17.57
MN,f,1960-1964,65,0.01544,0.01532,0.5,82817,1269,82182,1391571,16.80
MN,f,1960-1964,66,0.01586,0.01573,0.5,81548,1283,80907,1309389,16.06
MN,f,1960-1964,67,0.01925,0.01907,0.5,80265,1531,79500,1228482,15.31
MN,f,1960-1964,68,0.02046,0.02025,0.5,78734,1594,77937,1148982,14.59
MN,f,1960-1964,69,0.02206,0.02182,0.5,77140,1683,76298,1071045,13.88
MN,f,1960-1964,70,0.02383,0.02355,0.5,75456,1777,74568,994747,13.18
MN,f,1960-1964,71,0.02777,0.02739,0.5,73679,2018,72670,920179,12.49
MN,f,1960-1964,72,0.03245,0.03193,0.5,71661,2288,70517,847509,11.83
MN,f,1960-1964,73,0.03694,0.03627,0.5,69373,2516,68115,776992,11.20
MN,f,1960-1964,74,0.04031,0.03951,0.5,66857,2642,65536,708877,10.60
MN,f,1960-1964,75,0.04449,0.04352,0.5,64215,2795,62818,643341,10.02
MN,f,1960-1964,76,0.04618,0.04514,0.5,61421,2773,60035,580523,9.45
MN,f,1960-1964,77,0.05407,0.05265,0.5,58648,3088,57104,520488,8.87
MN,f,1960-1964,78,0.06094,0.05914,0.5,55560,3286,53918,463384,8.34
MN,f,1960-1964,79,0.06645,0.06431,0.5,52275,3362,50594,409467,7.83
MN,f,1960-1964,80,0.07463,0.07194,0.5,48913,3519,47153,358873,7.34
MN,f,1960-1964,81,0.08325,0.07992,0.5,45394,3628,43580,311719,6.87
MN,f,1960-1964,82,0.09323,0.08908,0.5,41766,3720,39906,268140,6.42
MN,f,1960-1964,83,0.10133,0.09644,0.5,38046,3669,36211,228234,6.00
MN,f,1960-1964,84,0.11955,0.11281,0.5,34376,3878,32437,192023,5.59
MN,f,1960-1964,85,0.12685,0.11929,0.5,30498,3638,28679,159586,5.23
MN,f,1960-1964,86,0.14117,0.13187,0.5,26860,3542,25089,130906,4.87
MN,f,1960-1964,87,0.16215,0.14999,0.5,23318,3498,21570,105817,4.54
MN,f,1960-1964,88,0.17544,0.16129,0.5,19821,3197,18222,84247,4.25
MN,f,1960-1964,89,0.18231,0.16708,0.5,16624,2778,15235,66025,3.97
MN,f,1960-1964,90,0.21129,0.19110,0.5,13846,2646,12523,50790,3.67
MN,f,1960-1964,91,0.23020,0.20644,0.5,11200,2312,10044,38266,3.42
MN,f,1960-1964,92,0.26956,0.23754,0.5,8888,2111,7832,28222,3.18
MN,f,1960-1964,93,0.27724,0.24349,0.5,6777,1650,5952,20390,3.01
MN,f,1960-1964,94,0.30187,0.26228,0.5,5127,1345,4454,14438,2.82
MN,f,1960-1964,95,0.32770,0.28156,0.5,3782,1065,3250,9983,2.64
MN,f,1960-1964,96,0.35461,0.30120,0.5,2717,818,2308,6734,2.48
MN,f,1960-1964,97,0.38248,0.32107,0.5,1899,610,1594,4426,2.33
MN,f,1960-1964,98,0.41114,0.34103,0.5,1289,440,1069,2832,2.20
MN,f,1960-1964,99,0.44042,0.36094,0.5,849,307,696,1763,2.07
MN,f,1960-1964,100,0.47011,0.38064,0.5,543,207,440,1066,1.96
MN,f,1960-1964,101,0.50003,0.40002,0.5,336,134,269,627,1.86
MN,f,1960-1964,102,0.52994,0.41893,0.5,202,85,159,358,1.77
MN,f,1960-1964,103,0.55963,0.43728,0.5,117,51,92,198,1.69
MN,f,1960-1964,104,0.58891,0.45495,0.5,66,30,51,107,1.62
MN,f,1960-1964,105,0.61757,0.47187,0.5,36,17,27,56,1.55
MN,f,1960-1964,106,0.64544,0.48796,0.5,19,9,14,28,1.50
MN,f,1960-1964,107,0.67235,0.50319,0.5,10,5,7,14,1.44
MN,f,1960-1964,108,0.69817,0.51752,0.5,5,2,4,7,1.40
MN,f,1960-1964,109,0.72280,0.53093,0.5,2,1,2,3,1.36
MN,f,1960-1964,110+,0.74615,1.00000,1.34,1,1,1,1,1.34
MN,f,1965-1969,0,0.01615,0.01592,0.1,100000,1592,98564,7632600,76.33
MN,f,1965-1969,1,0.00090,0.00090,0.5,98408,89,98364,7534036,76.56
MN,f,1965-1969,2,0.00071,0.00071,0.5,98319,69,98284,7435672,75.63
MN,f,1965-1969,3,0.00052,0.00052,0.5,98250,51,98224,7337388,74.68
MN,f,1965-1969,4,0.00042,0.00042,0.5,98199,41,98178,7239164,73.72
MN,f,1965-1969,5,0.00040,0.00040,0.5,98158,39,98138,7140985,72.75
MN,f,1965-1969,6,0.00032,0.00032,0.5,98119,32,98103,7042847,71.78
MN,f,1965-1969,7,0.00029,0.00029,0.5,98087,29,98073,6944745,70.80
MN,f,1965-1969,8,0.00026,0.00026,0.5,98058,25,98046,6846672,69.82
MN,f,1965-1969,9,0.00034,0.00034,0.5,98033,33,98017,6748626,68.84
MN,f,1965-1969,10,0.00023,0.00023,0.5,98000,22,97989,6650609,67.86
MN,f,1965-1969,11,0.00029,0.00029,0.5,97978,28,97963,6552621,66.88
MN,f,1965-1969,12,0.00024,0.00024,0.5,97949,24,97937,6454657,65.90
MN,f,1965-1969,13,0.00027,0.00027,0.5,97926,27,97912,6356720,64.91
MN,f,1965-1969,14,0.00039,0.00039,0.5,97899,38,97880,6258807,63.93
MN,f,1965-1969,15,0.00043,0.00043,0.5,97861,42,97840,6160927,62.96
MN,f,1965-1969,16,0.00049,0.00049,0.5,97819,48,97795,6063088,61.98
MN,f,1965-1969,17,0.00064,0.00064,0.5,97771,62,97739,5965293,61.01
MN,f,1965-1969,18,0.00072,0.00072,0.5,97708,70,97673,5867554,60.05
