PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MN,m,1960-1969,0,0.02307,0.02261,0.11,100000,2261,97981,6903559,69.04
MN,m,1960-1969,1,0.00136,0.00136,0.5,97739,132,97673,6805578,69.63
MN,m,1960-1969,2,0.00090,0.00090,0.5,97607,88,97563,6707905,68.72
MN,m,1960-1969,3,0.00074,0.00074,0.5,97519,72,97483,6610343,67.79
MN,m,1960-1969,4,0.00060,0.00060,0.5,97447,59,97417,6512860,66.84
MN,m,1960-1969,5,0.00055,0.00055,0.5,97388,53,97361,6415443,65.88
MN,m,1960-1969,6,0.00050,0.00050,0.5,97335,49,97310,6318081,64.91
MN,m,1960-1969,7,0.00046,0.00046,0.5,97286,44,97264,6220771,63.94
MN,m,1960-1969,8,0.00044,0.00044,0.5,97242,43,97220,6123507,62.97
MN,m,1960-1969,9,0.00044,0.00044,0.5,97199,43,97177,6026287,62.00
MN,m,1960-1969,10,0.00045,0.00045,0.5,97156,44,97134,5929109,61.03
MN,m,1960-1969,11,0.00045,0.00045,0.5,97112,43,97090,5831976,60.05
MN,m,1960-1969,12,0.00044,0.00044,0.5,97068,42,97047,5734886,59.08
MN,m,1960-1969,13,0.00062,0.00062,0.5,97026,60,96996,5637839,58.11
MN,m,1960-1969,14,0.00068,0.00067,0.5,96966,65,96933,5540843,57.14
MN,m,1960-1969,15,0.00085,0.00085,0.5,96900,82,96859,5443910,56.18
MN,m,1960-1969,16,0.00108,0.00108,0.5,96818,105,96766,5347051,55.23
MN,m,1960-1969,17,0.00148,0.00148,0.5,96713,143,96642,5250285,54.29
MN,m,1960-1969,18,0.00179,0.00179,0.5,96570,173,96484,5153643,53.37
MN,m,1960-1969,19,0.00181,0.00180,0.5,96398,174,96311,5057159,52.46
MN,m,1960-1969,20,0.00169,0.00169,0.5,96224,162,96143,4960848,51.56
MN,m,1960-1969,21,0.00196,0.00195,0.5,96061,188,95968,4864706,50.64
MN,m,1960-1969,22,0.00174,0.00174,0.5,95874,167,95790,4768738,49.74
MN,m,1960-1969,23,0.00158,0.00158,0.5,95707,151,95631,4672948,48.83
MN,m,1960-1969,24,0.00163,0.00163,0.5,95556,156,95478,4577317,47.90
MN,m,1960-1969,25,0.00150,0.00150,0.5,95400,143,95329,4481838,46.98
MN,m,1960-1969,26,0.00149,0.00149,0.5,95257,142,95187,4386510,46.05
MN,m,1960-1969,27,0.00148,0.00147,0.5,95116,140,95046,4291323,45.12
MN,m,1960-1969,28,0.00146,0.00146,0.5,94976,139,94906,4196277,44.18
MN,m,1960-1969,29,0.00139,0.00139,0.5,94837,132,94771,4101371,43.25
MN,m,1960-1969,30,0.00147,0.00147,0.5,94705,139,94635,4006600,42.31
MN,m,1960-1969,31,0.00141,0.00141,0.5,94566,133,94499,3911965,41.37
MN,m,1960-1969,32,0.00154,0.00154,0.5,94433,146,94360,3817466,40.43
MN,m,1960-1969,33,0.00171,0.00171,0.5,94287,161,94206,3723106,39.49
MN,m,1960-1969,34,0.00171,0.00171,0.5,94126,161,94045,3628899,38.55
MN,m,1960-1969,35,0.00191,0.00191,0.5,93965,179,93875,3534854,37.62
MN,m,1960-1969,36,0.00180,0.00180,0.5,93785,169,93701,3440979,36.69
MN,m,1960-1969,37,0.00221,0.00221,0.5,93617,207,93513,3347279,35.76
MN,m,1960-1969,38,0.00249,0.00249,0.5,93410,232,93293,3253765,34.83
