MS: Mississippi, Lifetables (period 5x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.04523	0.04358	0.17	100000	4358	96367	6476401	64.76
1959	1-4	0.00174	0.00695	1.63	95642	665	380993	6380034	66.71
1959	5-9	0.00061	0.00304	2.5	94977	289	474160	5999041	63.16
1959	10-14	0.00081	0.00404	2.81	94688	383	472603	5524881	58.35
1959	15-19	0.00187	0.00932	2.98	94305	879	469753	5052278	53.57
1959	20-24	0.00300	0.01488	2.43	93426	1390	463564	4582525	49.05
1959	25-29	0.00280	0.01390	2.71	92036	1279	457249	4118962	44.75
1959	30-34	0.00268	0.01331	2.49	90757	1208	450757	3661712	40.35
1959	35-39	0.00468	0.02317	2.8	89548	2075	443168	3210955	35.86
1959	40-44	0.00553	0.02731	2.61	87474	2389	431664	2767788	31.64
1959	45-49	0.00780	0.03827	2.61	85085	3256	417658	2336124	27.46
1959	50-54	0.01327	0.06441	2.71	81829	5270	397074	1918466	23.44
1959	55-59	0.01939	0.09270	2.63	76558	7097	365968	1521392	19.87
1959	60-64	0.02512	0.11826	2.53	69461	8215	327051	1155424	16.63
1959	65-69	0.03942	0.18009	2.61	61246	11030	279824	828373	13.53
1959	70-74	0.05554	0.24308	2.44	50216	12207	219780	548548	10.92
1959	75-79	0.08407	0.34661	2.47	38010	13175	156704	328769	8.65
1959	80-84	0.11706	0.44588	2.33	24835	11074	94599	172065	6.93
1959	85-89	0.15845	0.55178	2.25	13762	7593	47924	77467	5.63
1959	90-94	0.18941	0.61945	2.21	6168	3821	20173	29543	4.79
1959	95-99	0.23428	0.69890	2.11	2347	1641	7003	9370	3.99
1959	100-104	0.28591	0.77053	2.01	707	545	1905	2367	3.35
1959	105-109	0.34369	0.83117	1.89	162	135	392	462	2.85
1959	110+	0.39027	1.00000	2.56	27	27	70	70	2.56
1960	0	0.04867	0.04680	0.18	100000	4680	96142	6443455	64.43
1960	1-4	0.00187	0.00744	1.53	95320	709	379527	6347312	66.59
1960	5-9	0.00076	0.00378	2.27	94611	357	472080	5967785	63.08
1960	10-14	0.00074	0.00371	2.57	94254	350	470418	5495706	58.31
1960	15-19	0.00155	0.00771	2.95	93904	724	468036	5025288	53.52
1960	20-24	0.00239	0.01188	2.5	93180	1107	463140	4557252	48.91
1960	25-29	0.00270	0.01343	2.61	92074	1237	457408	4094112	44.47
1960	30-34	0.00269	0.01338	2.63	90837	1216	451305	3636705	40.04
1960	35-39	0.00372	0.01845	2.9	89621	1654	444626	3185399	35.54
1960	40-44	0.00620	0.03051	2.54	87967	2684	433247	2740774	31.16
1960	45-49	0.00897	0.04392	2.6	85283	3746	417432	2307526	27.06
1960	50-54	0.01281	0.06216	2.65	81537	5068	395757	1890094	23.18
1960	55-59	0.01955	0.09347	2.66	76469	7147	365583	1494337	19.54
1960	60-64	0.02629	0.12379	2.65	69321	8581	326467	1128754	16.28
1960	65-69	0.03919	0.17852	2.51	60740	10844	276669	802287	13.21
1960	70-74	0.06069	0.26343	2.5	49896	13144	216598	525618	10.53
1960	75-79	0.08294	0.34209	2.44	36752	12572	151581	309020	8.41
1960	80-84	0.12199	0.46342	2.41	24180	11205	91854	157440	6.51
1960	85-89	0.17963	0.59643	2.18	12974	7738	43079	65585	5.05
1960	90-94	0.21295	0.66438	2.17	5236	3479	16336	22506	4.30
1960	95-99	0.26915	0.75045	2.05	1757	1319	4900	6170	3.51
1960	100-104	0.33373	0.82308	1.92	439	361	1082	1270	2.90
1960	105-109	0.40511	0.87952	1.78	78	68	168	189	2.43
1960	110+	0.46346	1.00000	2.16	9	9	20	20	2.16
1961	0	0.04394	0.04238	0.16	100000	4238	96452	6518932	65.19
1961	1-4	0.00171	0.00679	1.61	95762	651	381491	6422480	67.07
1961	5-9	0.00058	0.00289	2.48	95111	275	474862	6040988	63.52
1961	10-14	0.00078	0.00387	2.9	94836	367	473408	5566126	58.69
1961	15-19	0.00139	0.00694	2.67	94469	655	470816	5092718	53.91
1961	20-24	0.00243	0.01210	2.53	93814	1135	466261	4621902	49.27
1961	25-29	0.00271	0.01347	2.73	92679	1249	460564	4155641	44.84
1961	30-34	0.00263	0.01306	2.71	91430	1194	454416	3695077	40.41
1961	35-39	0.00406	0.02008	2.49	90236	1812	446623	3240661	35.91
1961	40-44	0.00519	0.02562	2.58	88424	2266	436627	2794039	31.60
1961	45-49	0.00894	0.04377	2.57	86158	3771	421620	2357412	27.36
1961	50-54	0.01327	0.06435	2.68	82387	5302	399629	1935791	23.50
1961	55-59	0.01777	0.08535	2.69	77085	6579	370200	1536162	19.93
1961	60-64	0.02777	0.13034	2.65	70506	9190	330901	1165962	16.54
1961	65-69	0.03687	0.16891	2.52	61316	10357	280896	835061	13.62
1961	70-74	0.05661	0.24797	2.5	50959	12636	223214	554166	10.87
1961	75-79	0.08038	0.33502	2.52	38323	12839	159716	330952	8.64
1961	80-84	0.11534	0.44467	2.43	25484	11332	98245	171236	6.72
1961	85-89	0.17431	0.58860	2.24	14152	8330	47789	72991	5.16
1961	90-94	0.20976	0.65946	2.19	5822	3839	18304	25201	4.33
1961	95-99	0.27085	0.75350	2.06	1983	1494	5516	6898	3.48
1961	100-104	0.34181	0.83137	1.91	489	406	1189	1382	2.83
1961	105-109	0.42052	0.88985	1.76	82	73	174	193	2.34
1961	110+	0.48528	1.00000	2.06	9	9	19	19	2.06
1962	0	0.04455	0.04295	0.16	100000	4295	96412	6441198	64.41
1962	1-4	0.00159	0.00635	1.46	95705	608	381278	6344786	66.30
1962	5-9	0.00057	0.00286	2.46	95097	272	474794	5963509	62.71
1962	10-14	0.00076	0.00379	2.96	94825	359	473392	5488714	57.88
1962	15-19	0.00148	0.00736	2.73	94466	695	470753	5015322	53.09
1962	20-24	0.00222	0.01102	2.53	93771	1033	466307	4544569	48.46
1962	25-29	0.00252	0.01254	2.45	92738	1163	460724	4078262	43.98
1962	30-34	0.00356	0.01767	2.63	91575	1618	454041	3617538	39.50
1962	35-39	0.00420	0.02078	2.54	89957	1869	445180	3163497	35.17
1962	40-44	0.00547	0.02700	2.71	88087	2378	434983	2718317	30.86
1962	45-49	0.00960	0.04693	2.59	85709	4022	418866	2283334	26.64
1962	50-54	0.01310	0.06356	2.7	81687	5192	396469	1864467	22.82
1962	55-59	0.01945	0.09305	2.67	76495	7118	365898	1467998	19.19
1962	60-64	0.02981	0.13952	2.71	69377	9680	324726	1102099	15.89
1962	65-69	0.04072	0.18452	2.46	59697	11015	270487	777373	13.02
1962	70-74	0.06214	0.27002	2.58	48682	13145	211553	506886	10.41
1962	75-79	0.08125	0.33685	2.46	35537	11970	147331	295333	8.31
