PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MT,b,1960-1964,0,0.02569,0.02512,0.12,100000,2512,97789,6991360,69.91
MT,b,1960-1964,1-4,0.00111,0.00443,1.54,97488,432,388890,6893571,70.71
MT,b,1960-1964,5-9,0.00050,0.00248,2.23,97056,241,484610,6504681,67.02
MT,b,1960-1964,10-14,0.00053,0.00266,2.74,96815,258,483493,6020071,62.18
MT,b,1960-1964,15-19,0.00124,0.00621,2.94,96557,599,481551,5536578,57.34
MT,b,1960-1964,20-24,0.00188,0.00933,2.4,95958,895,477464,5055027,52.68
MT,b,1960-1964,25-29,0.00161,0.00800,2.33,95063,760,473282,4577563,48.15
MT,b,1960-1964,30-34,0.00190,0.00946,2.56,94302,892,469335,4104280,43.52
MT,b,1960-1964,35-39,0.00255,0.01270,2.66,93410,1186,464278,3634945,38.91
MT,b,1960-1964,40-44,0.00383,0.01900,2.72,92224,1752,457130,3170668,34.38
MT,b,1960-1964,45-49,0.00565,0.02788,2.73,90472,2522,446634,2713538,29.99
MT,b,1960-1964,50-54,0.00923,0.04521,2.69,87950,3976,430549,2266904,25.78
MT,b,1960-1964,55-59,0.01298,0.06290,2.58,83974,5282,407065,1836356,21.87
MT,b,1960-1964,60-64,0.01933,0.09240,2.63,78692,7271,376192,1429290,18.16
MT,b,1960-1964,65-69,0.02906,0.13585,2.6,71421,9702,333822,1053098,14.74
MT,b,1960-1964,70-74,0.04672,0.20974,2.57,61719,12945,277096,719276,11.65
MT,b,1960-1964,75-79,0.06825,0.29269,2.57,48774,14276,209155,442180,9.07
MT,b,1960-1964,80-84,0.10995,0.42961,2.46,34498,14821,134791,233025,6.75
MT,b,1960-1964,85-89,0.16820,0.58005,2.33,19677,11414,67858,98234,4.99
MT,b,1960-1964,90-94,0.24822,0.72651,2.15,8264,6004,24186,30376,3.68
MT,b,1960-1964,95-99,0.34995,0.84310,1.93,2260,1905,5445,6190,2.74
MT,b,1960-1964,100-104,0.46772,0.91826,1.69,355,326,696,745,2.10
MT,b,1960-1964,105-109,0.59020,0.95870,1.48,29,28,47,49,1.68
MT,b,1960-1964,110+,0.68715,1.00000,1.46,1,1,2,2,1.46
MT,b,1965-1969,0,0.02244,0.02200,0.11,100000,2200,98042,7036537,70.37
MT,b,1965-1969,1-4,0.00107,0.00427,1.68,97800,418,390229,6938495,70.95
MT,b,1965-1969,5-9,0.00046,0.00227,2.35,97382,221,486322,6548266,67.24
MT,b,1965-1969,10-14,0.00048,0.00241,2.91,97161,234,485314,6061944,62.39
MT,b,1965-1969,15-19,0.00153,0.00761,2.83,96926,738,483030,5576630,57.53
MT,b,1965-1969,20-24,0.00195,0.00968,2.4,96189,931,478522,5093600,52.95
MT,b,1965-1969,25-29,0.00167,0.00830,2.54,95258,791,474341,4615077,48.45
MT,b,1965-1969,30-34,0.00191,0.00950,2.63,94467,897,470212,4140737,43.83
MT,b,1965-1969,35-39,0.00250,0.01241,2.58,93570,1161,465039,3670525,39.23
MT,b,1965-1969,40-44,0.00370,0.01831,2.6,92409,1692,457986,3205486,34.69
MT,b,1965-1969,45-49,0.00544,0.02684,2.65,90716,2435,447860,2747499,30.29
MT,b,1965-1969,50-54,0.00897,0.04394,2.67,88281,3879,432371,2299639,26.05
MT,b,1965-1969,55-59,0.01319,0.06397,2.66,84403,5400,409356,1867268,22.12
MT,b,1965-1969,60-64,0.01943,0.09286,2.61,79003,7336,377508,1457912,18.45
MT,b,1965-1969,65-69,0.02899,0.13562,2.62,71667,9719,335245,1080404,15.08
MT,b,1965-1969,70-74,0.04320,0.19553,2.58,61948,12113,280384,745158,12.03
MT,b,1965-1969,75-79,0.06503,0.28058,2.56,49835,13983,215025,464774,9.33
MT,b,1965-1969,80-84,0.10327,0.40982,2.48,35852,14693,142271,249749,6.97
MT,b,1965-1969,85-89,0.16281,0.56856,2.35,21159,12030,73892,107478,5.08
MT,b,1965-1969,90-94,0.24684,0.72540,2.16,9129,6622,26828,33586,3.68
MT,b,1965-1969,95-99,0.35554,0.84880,1.92,2507,2128,5985,6758,2.70
MT,b,1965-1969,100-104,0.48192,0.92514,1.67,379,351,728,774,2.04
MT,b,1965-1969,105-109,0.61178,0.96374,1.45,28,27,45,46,1.63
MT,b,1965-1969,110+,0.71271,1.00000,1.4,1,1,1,1,1.40
MT,b,1970-1974,0,0.02033,0.01997,0.11,100000,1997,98213,7113510,71.14
MT,b,1970-1974,1-4,0.00100,0.00400,1.85,98003,392,391172,7015297,71.58
MT,b,1970-1974,5-9,0.00054,0.00269,2.11,97611,263,487299,6624125,67.86
MT,b,1970-1974,10-14,0.00047,0.00233,2.71,97349,227,486225,6136827,63.04
MT,b,1970-1974,15-19,0.00152,0.00756,2.74,97122,734,483956,5650602,58.18
MT,b,1970-1974,20-24,0.00191,0.00949,2.44,96388,915,479601,5166646,53.60
MT,b,1970-1974,25-29,0.00157,0.00781,2.5,95474,745,475503,4687045,49.09
MT,b,1970-1974,30-34,0.00186,0.00924,2.53,94728,875,471476,4211542,44.46
MT,b,1970-1974,35-39,0.00262,0.01301,2.72,93853,1221,466482,3740065,39.85
MT,b,1970-1974,40-44,0.00378,0.01871,2.67,92632,1734,459113,3273583,35.34
MT,b,1970-1974,45-49,0.00511,0.02526,2.61,90898,2296,448992,2814470,30.96
MT,b,1970-1974,50-54,0.00810,0.03972,2.65,88602,3520,434730,2365479,26.70
MT,b,1970-1974,55-59,0.01232,0.05985,2.6,85082,5092,413207,1930749,22.69
MT,b,1970-1974,60-64,0.01856,0.08882,2.6,79990,7105,382882,1517542,18.97
MT,b,1970-1974,65-69,0.02770,0.13010,2.67,72885,9482,342347,1134660,15.57
MT,b,1970-1974,70-74,0.04095,0.18640,2.59,63402,11818,288586,792313,12.50
MT,b,1970-1974,75-79,0.06233,0.27051,2.56,51584,13954,223853,503727,9.77
MT,b,1970-1974,80-84,0.09323,0.37816,2.5,37630,14230,152638,279875,7.44
MT,b,1970-1974,85-89,0.14800,0.53336,2.38,23400,12481,84329,127237,5.44
MT,b,1970-1974,90-94,0.22722,0.69475,2.2,10919,7586,33388,42908,3.93
MT,b,1970-1974,95-99,0.33276,0.82881,1.97,3333,2762,8302,9520,2.86
MT,b,1970-1974,100-104,0.45929,0.91535,1.71,571,522,1137,1218,2.13
MT,b,1970-1974,105-109,0.59303,0.95992,1.48,48,46,78,81,1.68
MT,b,1970-1974,110+,0.69868,1.00000,1.43,2,2,3,3,1.43
MT,b,1975-1979,0,0.01382,0.01365,0.09,100000,1365,98753,7332628,73.33
MT,b,1975-1979,1-4,0.00085,0.00340,1.77,98635,335,393793,7233875,73.34
MT,b,1975-1979,5-9,0.00039,0.00194,2.29,98299,191,490980,6840082,69.58
MT,b,1975-1979,10-14,0.00046,0.00231,2.83,98109,226,490053,6349102,64.71
MT,b,1975-1979,15-19,0.00162,0.00807,2.81,97882,790,487680,5859049,59.86
MT,b,1975-1979,20-24,0.00162,0.00809,2.42,97093,785,483440,5371369,55.32
MT,b,1975-1979,25-29,0.00148,0.00735,2.45,96307,708,479733,4887929,50.75
MT,b,1975-1979,30-34,0.00145,0.00725,2.56,95599,693,476309,4408196,46.11
MT,b,1975-1979,35-39,0.00179,0.00892,2.55,94906,846,472455,3931888,41.43
MT,b,1975-1979,40-44,0.00284,0.01408,2.71,94060,1325,467272,3459432,36.78
MT,b,1975-1979,45-49,0.00443,0.02192,2.69,92735,2032,458991,2992161,32.27
MT,b,1975-1979,50-54,0.00662,0.03258,2.68,90703,2955,446649,2533170,27.93
MT,b,1975-1979,55-59,0.01040,0.05078,2.69,87748,4456,428447,2086520,23.78
MT,b,1975-1979,60-64,0.01666,0.08015,2.63,83292,6676,400651,1658073,19.91
MT,b,1975-1979,65-69,0.02464,0.11628,2.59,76616,8909,361648,1257422,16.41
MT,b,1975-1979,70-74,0.03674,0.16899,2.63,67707,11442,311457,895774,13.23
MT,b,1975-1979,75-79,0.05651,0.24812,2.55,56265,13961,247061,584317,10.39
MT,b,1975-1979,80-84,0.08351,0.34602,2.52,42304,14638,175283,337256,7.97
MT,b,1975-1979,85-89,0.13318,0.49541,2.42,27666,13706,102909,161973,5.85
MT,b,1975-1979,90-94,0.20670,0.65907,2.25,13960,9201,44513,59064,4.23
MT,b,1975-1979,95-99,0.30745,0.80333,2.03,4759,3823,12436,14551,3.06
MT,b,1975-1979,100-104,0.43195,0.90156,1.77,936,844,1954,2115,2.26
MT,b,1975-1979,105-109,0.56746,0.95387,1.52,92,88,155,161,1.75
MT,b,1975-1979,110+,0.67645,1.00000,1.48,4,4,6,6,1.48
MT,b,1980-1984,0,0.01016,0.01006,0.08,100000,1006,99071,7456630,74.57
MT,b,1980-1984,1-4,0.00062,0.00249,1.36,98994,247,395324,7357560,74.32
MT,b,1980-1984,5-9,0.00031,0.00155,2.41,98747,153,493339,6962236,70.51
MT,b,1980-1984,10-14,0.00036,0.00181,2.87,98594,179,492589,6468897,65.61
MT,b,1980-1984,15-19,0.00134,0.00668,2.82,98415,657,490646,5976307,60.73
MT,b,1980-1984,20-24,0.00149,0.00743,2.46,97758,726,486948,5485661,56.11
MT,b,1980-1984,25-29,0.00138,0.00688,2.45,97032,668,483453,4998714,51.52
MT,b,1980-1984,30-34,0.00150,0.00745,2.51,96364,718,480034,4515260,46.86
MT,b,1980-1984,35-39,0.00176,0.00876,2.66,95646,838,476269,4035227,42.19
MT,b,1980-1984,40-44,0.00260,0.01291,2.52,94808,1224,471008,3558958,37.54
MT,b,1980-1984,45-49,0.00395,0.01958,2.55,93584,1832,463427,3087950,33.00
