PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MT,f,1960-1969,0,0.02123,0.02084,0.11,100000,2084,98151,7452908,74.53
MT,f,1960-1969,1-4,0.00098,0.00393,1.64,97916,385,390759,7354758,75.11
MT,f,1960-1969,5-9,0.00041,0.00207,2.24,97532,202,487102,6963999,71.40
MT,f,1960-1969,10-14,0.00037,0.00185,2.86,97330,180,486264,6476897,66.55
MT,f,1960-1969,15-19,0.00074,0.00367,2.84,97150,357,484980,5990632,61.66
MT,f,1960-1969,20-24,0.00090,0.00447,2.3,96793,433,482800,5505653,56.88
MT,f,1960-1969,25-29,0.00100,0.00496,2.55,96361,478,480632,5022853,52.13
MT,f,1960-1969,30-34,0.00117,0.00583,2.62,95882,559,478082,4542221,47.37
MT,f,1960-1969,35-39,0.00177,0.00883,2.56,95323,841,474561,4064139,42.64
MT,f,1960-1969,40-44,0.00254,0.01264,2.62,94482,1194,469564,3589578,37.99
MT,f,1960-1969,45-49,0.00386,0.01912,2.58,93287,1784,462128,3120015,33.45
MT,f,1960-1969,50-54,0.00606,0.02988,2.72,91504,2734,451283,2657886,29.05
MT,f,1960-1969,55-59,0.00805,0.03946,2.59,88770,3503,435400,2206604,24.86
MT,f,1960-1969,60-64,0.01226,0.05962,2.69,85267,5084,414582,1771204,20.77
MT,f,1960-1969,65-69,0.01911,0.09146,2.67,80183,7334,383854,1356623,16.92
MT,f,1960-1969,70-74,0.03223,0.14972,2.63,72849,10907,338427,972769,13.35
MT,f,1960-1969,75-79,0.05213,0.23205,2.63,61942,14373,275715,634342,10.24
MT,f,1960-1969,80-84,0.08971,0.36706,2.53,47569,17460,194634,358627,7.54
MT,f,1960-1969,85-89,0.14660,0.53041,2.39,30108,15970,108937,163992,5.45
MT,f,1960-1969,90-94,0.22929,0.69869,2.21,14139,9879,43083,55056,3.89
MT,f,1960-1969,95-99,0.33879,0.83475,1.96,4260,3556,10497,11972,2.81
MT,f,1960-1969,100-104,0.46832,0.91964,1.7,704,647,1382,1476,2.10
MT,f,1960-1969,105-109,0.60304,0.96214,1.46,57,54,90,93,1.65
MT,f,1960-1969,110+,0.70824,1.00000,1.41,2,2,3,3,1.41
MT,f,1970-1979,0,0.01472,0.01453,0.09,100000,1453,98684,7663892,76.64
MT,f,1970-1979,1-4,0.00075,0.00301,1.72,98547,296,393515,7565207,76.77
MT,f,1970-1979,5-9,0.00037,0.00186,2.19,98251,183,490742,7171693,72.99
MT,f,1970-1979,10-14,0.00028,0.00139,2.83,98068,136,490046,6680951,68.13
MT,f,1970-1979,15-19,0.00098,0.00488,2.67,97932,478,488545,6190905,63.22
MT,f,1970-1979,20-24,0.00082,0.00410,2.42,97454,400,486240,5702360,58.51
MT,f,1970-1979,25-29,0.00088,0.00438,2.63,97055,425,484266,5216120,53.74
