PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MT,m,1960-1964,0,0.02955,0.02881,0.12,100000,2881,97477,6641390,66.41
MT,m,1960-1964,1-4,0.00124,0.00494,1.51,97119,480,387281,6543912,67.38
MT,m,1960-1964,5-9,0.00055,0.00273,2.28,96639,264,482479,6156631,63.71
MT,m,1960-1964,10-14,0.00071,0.00352,2.62,96375,339,481071,5674152,58.88
MT,m,1960-1964,15-19,0.00188,0.00936,2.99,96036,898,478375,5193081,54.07
MT,m,1960-1964,20-24,0.00277,0.01376,2.43,95138,1309,472322,4714706,49.56
MT,m,1960-1964,25-29,0.00234,0.01161,2.24,93829,1089,466143,4242384,45.21
MT,m,1960-1964,30-34,0.00255,0.01268,2.54,92740,1176,460801,3776240,40.72
MT,m,1960-1964,35-39,0.00337,0.01674,2.66,91564,1533,454234,3315440,36.21
MT,m,1960-1964,40-44,0.00504,0.02491,2.74,90031,2243,445078,2861205,31.78
MT,m,1960-1964,45-49,0.00717,0.03530,2.79,87788,3099,432094,2416127,27.52
MT,m,1960-1964,50-54,0.01210,0.05881,2.64,84689,4980,411707,1984033,23.43
MT,m,1960-1964,55-59,0.01748,0.08390,2.6,79708,6687,382484,1572326,19.73
MT,m,1960-1964,60-64,0.02615,0.12297,2.59,73021,8979,343440,1189841,16.29
MT,m,1960-1964,65-69,0.03881,0.17742,2.58,64042,11362,292723,846401,13.22
MT,m,1960-1964,70-74,0.05860,0.25571,2.51,52680,13471,229869,553678,10.51
MT,m,1960-1964,75-79,0.08018,0.33389,2.5,39209,13091,163266,323809,8.26
MT,m,1960-1964,80-84,0.12754,0.47929,2.41,26117,12518,98144,160542,6.15
MT,m,1960-1964,85-89,0.18917,0.62374,2.27,13600,8483,44840,62398,4.59
MT,m,1960-1964,90-94,0.27057,0.75690,2.09,5117,3873,14314,17558,3.43
MT,m,1960-1964,95-99,0.37035,0.85895,1.88,1244,1068,2885,3243,2.61
MT,m,1960-1964,100-104,0.48247,0.92406,1.66,175,162,336,358,2.04
MT,m,1960-1964,105-109,0.59691,0.95981,1.47,13,13,21,22,1.67
MT,m,1960-1964,110+,0.68699,1.00000,1.46,1,1,1,1,1.46
MT,m,1965-1969,0,0.02412,0.02361,0.11,100000,2361,97898,6672907,66.73
MT,m,1965-1969,1-4,0.00115,0.00458,1.65,97639,447,389505,6575010,67.34
MT,m,1965-1969,5-9,0.00053,0.00263,2.35,97191,255,485280,6185505,63.64
MT,m,1965-1969,10-14,0.00058,0.00290,3.02,96936,281,484123,5700225,58.80
MT,m,1965-1969,15-19,0.00220,0.01095,2.81,96655,1058,480963,5216102,53.97
MT,m,1965-1969,20-24,0.00306,0.01519,2.43,95597,1452,474260,4735139,49.53
