PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NC,b,1960-1969,0,0.02993,0.02917,0.13,100000,2917,97466,6862767,68.63
NC,b,1960-1969,1,0.00186,0.00186,0.5,97083,181,96992,6765302,69.69
NC,b,1960-1969,2,0.00113,0.00113,0.5,96902,110,96847,6668309,68.81
NC,b,1960-1969,3,0.00082,0.00082,0.5,96792,79,96753,6571462,67.89
NC,b,1960-1969,4,0.00069,0.00069,0.5,96713,67,96680,6474709,66.95
NC,b,1960-1969,5,0.00064,0.00064,0.5,96647,62,96616,6378029,65.99
NC,b,1960-1969,6,0.00062,0.00062,0.5,96585,60,96555,6281414,65.04
NC,b,1960-1969,7,0.00056,0.00056,0.5,96525,54,96498,6184859,64.08
NC,b,1960-1969,8,0.00048,0.00048,0.5,96471,46,96448,6088361,63.11
NC,b,1960-1969,9,0.00045,0.00045,0.5,96425,43,96404,5991912,62.14
NC,b,1960-1969,10,0.00044,0.00044,0.5,96382,42,96361,5895508,61.17
NC,b,1960-1969,11,0.00046,0.00046,0.5,96340,44,96318,5799147,60.19
NC,b,1960-1969,12,0.00047,0.00047,0.5,96296,45,96273,5702829,59.22
NC,b,1960-1969,13,0.00054,0.00054,0.5,96251,52,96225,5606556,58.25
NC,b,1960-1969,14,0.00058,0.00058,0.5,96199,56,96171,5510331,57.28
NC,b,1960-1969,15,0.00073,0.00073,0.5,96144,70,96109,5414159,56.31
NC,b,1960-1969,16,0.00100,0.00100,0.5,96074,96,96026,5318051,55.35
NC,b,1960-1969,17,0.00121,0.00121,0.5,95978,116,95920,5222025,54.41
NC,b,1960-1969,18,0.00145,0.00144,0.5,95862,138,95792,5126105,53.47
NC,b,1960-1969,19,0.00151,0.00151,0.5,95723,144,95651,5030313,52.55
NC,b,1960-1969,20,0.00151,0.00151,0.5,95579,144,95507,4934662,51.63
NC,b,1960-1969,21,0.00160,0.00160,0.5,95435,152,95358,4839155,50.71
NC,b,1960-1969,22,0.00158,0.00158,0.5,95282,150,95207,4743797,49.79
NC,b,1960-1969,23,0.00158,0.00158,0.5,95132,150,95057,4648589,48.86
NC,b,1960-1969,24,0.00148,0.00147,0.5,94982,140,94912,4553533,47.94
NC,b,1960-1969,25,0.00160,0.00160,0.5,94842,152,94766,4458621,47.01
NC,b,1960-1969,26,0.00167,0.00167,0.5,94690,158,94611,4363855,46.09
NC,b,1960-1969,27,0.00164,0.00164,0.5,94531,155,94454,4269244,45.16
NC,b,1960-1969,28,0.00175,0.00175,0.5,94376,165,94294,4174791,44.24
NC,b,1960-1969,29,0.00175,0.00174,0.5,94212,164,94129,4080497,43.31
NC,b,1960-1969,30,0.00206,0.00206,0.5,94047,193,93950,3986367,42.39
NC,b,1960-1969,31,0.00206,0.00206,0.5,93854,193,93757,3892417,41.47
NC,b,1960-1969,32,0.00206,0.00206,0.5,93661,193,93564,3798660,40.56
NC,b,1960-1969,33,0.00229,0.00229,0.5,93468,214,93361,3705095,39.64
NC,b,1960-1969,34,0.00245,0.00245,0.5,93254,228,93140,3611734,38.73
NC,b,1960-1969,35,0.00269,0.00268,0.5,93026,250,92901,3518594,37.82
NC,b,1960-1969,36,0.00273,0.00273,0.5,92776,253,92650,3425693,36.92
NC,b,1960-1969,37,0.00299,0.00298,0.5,92523,276,92385,3333043,36.02
NC,b,1960-1969,38,0.00343,0.00343,0.5,92247,316,92089,3240657,35.13
NC,b,1960-1969,39,0.00364,0.00363,0.5,91931,334,91764,3148568,34.25
NC,b,1960-1969,40,0.00398,0.00397,0.5,91597,364,91415,3056804,33.37
