NC: North Carolina, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03164	0.03080	0.14	100000	3080	97339	6854604	68.55
1960-1964	1	0.00203	0.00203	0.5	96920	196	96822	6757264	69.72
1960-1964	2	0.00111	0.00111	0.5	96724	107	96670	6660442	68.86
1960-1964	3	0.00084	0.00084	0.5	96617	81	96576	6563772	67.94
1960-1964	4	0.00072	0.00072	0.5	96536	69	96501	6467196	66.99
1960-1964	5	0.00069	0.00069	0.5	96466	66	96433	6370695	66.04
1960-1964	6	0.00064	0.00064	0.5	96400	62	96369	6274262	65.09
1960-1964	7	0.00056	0.00056	0.5	96338	54	96311	6177893	64.13
1960-1964	8	0.00050	0.00050	0.5	96284	48	96260	6081582	63.16
1960-1964	9	0.00045	0.00045	0.5	96236	43	96215	5985322	62.19
1960-1964	10	0.00046	0.00046	0.5	96193	44	96171	5889107	61.22
1960-1964	11	0.00047	0.00047	0.5	96149	45	96127	5792936	60.25
1960-1964	12	0.00045	0.00045	0.5	96104	44	96082	5696809	59.28
1960-1964	13	0.00053	0.00053	0.5	96060	51	96035	5600727	58.30
1960-1964	14	0.00057	0.00057	0.5	96009	55	95982	5504692	57.33
1960-1964	15	0.00072	0.00072	0.5	95954	69	95920	5408710	56.37
1960-1964	16	0.00100	0.00100	0.5	95885	96	95837	5312790	55.41
1960-1964	17	0.00113	0.00112	0.5	95789	108	95735	5216953	54.46
1960-1964	18	0.00131	0.00131	0.5	95682	125	95619	5121218	53.52
1960-1964	19	0.00145	0.00145	0.5	95556	138	95487	5025599	52.59
1960-1964	20	0.00144	0.00143	0.5	95418	137	95350	4930111	51.67
1960-1964	21	0.00146	0.00146	0.5	95281	139	95212	4834762	50.74
1960-1964	22	0.00145	0.00145	0.5	95142	138	95073	4739550	49.82
1960-1964	23	0.00151	0.00151	0.5	95004	143	94933	4644477	48.89
1960-1964	24	0.00136	0.00136	0.5	94861	129	94797	4549544	47.96
1960-1964	25	0.00160	0.00159	0.5	94732	151	94657	4454747	47.02
1960-1964	26	0.00171	0.00171	0.5	94581	162	94500	4360090	46.10
1960-1964	27	0.00159	0.00159	0.5	94420	150	94344	4265590	45.18
1960-1964	28	0.00159	0.00159	0.5	94269	150	94194	4171246	44.25
1960-1964	29	0.00169	0.00169	0.5	94120	159	94040	4077051	43.32
1960-1964	30	0.00202	0.00202	0.5	93961	189	93866	3983011	42.39
1960-1964	31	0.00202	0.00202	0.5	93771	190	93676	3889145	41.47
1960-1964	32	0.00198	0.00198	0.5	93582	185	93489	3795469	40.56
1960-1964	33	0.00221	0.00220	0.5	93397	206	93294	3701980	39.64
1960-1964	34	0.00239	0.00239	0.5	93191	223	93079	3608686	38.72
1960-1964	35	0.00252	0.00251	0.5	92968	234	92851	3515607	37.82
1960-1964	36	0.00263	0.00263	0.5	92734	244	92612	3422756	36.91
1960-1964	37	0.00298	0.00298	0.5	92490	276	92353	3330143	36.01
1960-1964	38	0.00347	0.00347	0.5	92215	320	92055	3237791	35.11
1960-1964	39	0.00361	0.00361	0.5	91895	331	91729	3145736	34.23
1960-1964	40	0.00385	0.00385	0.5	91564	352	91388	3054006	33.35
1960-1964	41	0.00397	0.00397	0.5	91212	362	91031	2962618	32.48
1960-1964	42	0.00485	0.00484	0.5	90850	440	90630	2871588	31.61
1960-1964	43	0.00505	0.00503	0.5	90410	455	90183	2780957	30.76
1960-1964	44	0.00533	0.00532	0.5	89955	479	89716	2690775	29.91
1960-1964	45	0.00594	0.00592	0.5	89476	530	89212	2601059	29.07
1960-1964	46	0.00615	0.00614	0.5	88947	546	88674	2511847	28.24
1960-1964	47	0.00709	0.00706	0.5	88401	624	88089	2423174	27.41
1960-1964	48	0.00749	0.00746	0.5	87777	655	87449	2335085	26.60
1960-1964	49	0.00796	0.00792	0.5	87122	690	86777	2247635	25.80
1960-1964	50	0.00888	0.00884	0.5	86431	764	86049	2160859	25.00
1960-1964	51	0.00950	0.00945	0.5	85667	810	85262	2074809	24.22
1960-1964	52	0.01119	0.01113	0.5	84858	944	84385	1989547	23.45
1960-1964	53	0.01118	0.01112	0.5	83913	933	83447	1905162	22.70
1960-1964	54	0.01204	0.01197	0.5	82980	993	82484	1821715	21.95
1960-1964	55	0.01266	0.01258	0.5	81987	1031	81472	1739231	21.21
1960-1964	56	0.01384	0.01374	0.5	80956	1113	80400	1657759	20.48
1960-1964	57	0.01485	0.01474	0.5	79843	1177	79255	1577360	19.76
1960-1964	58	0.01668	0.01654	0.5	78666	1301	78016	1498105	19.04
1960-1964	59	0.01765	0.01750	0.5	77365	1354	76688	1420090	18.36
1960-1964	60	0.01903	0.01885	0.5	76011	1433	75295	1343402	17.67
1960-1964	61	0.01938	0.01919	0.5	74578	1431	73863	1268107	17.00
1960-1964	62	0.02255	0.02230	0.5	73147	1631	72331	1194244	16.33
1960-1964	63	0.02449	0.02419	0.5	71516	1730	70651	1121913	15.69
1960-1964	64	0.02669	0.02634	0.5	69786	1838	68867	1051262	15.06
1960-1964	65	0.03046	0.03000	0.5	67948	2039	66929	982395	14.46
1960-1964	66	0.02950	0.02907	0.5	65909	1916	64951	915467	13.89
1960-1964	67	0.03378	0.03321	0.5	63993	2126	62930	850516	13.29
1960-1964	68	0.03564	0.03501	0.5	61868	2166	60784	787585	12.73
1960-1964	69	0.03691	0.03624	0.5	59701	2164	58620	726801	12.17
1960-1964	70	0.04140	0.04056	0.5	57538	2334	56371	668181	11.61
1960-1964	71	0.04249	0.04161	0.5	55204	2297	54056	611810	11.08
1960-1964	72	0.04972	0.04851	0.5	52907	2567	51624	557755	10.54
1960-1964	73	0.05161	0.05031	0.5	50341	2533	49074	506131	10.05
1960-1964	74	0.05406	0.05264	0.5	47808	2517	46549	457057	9.56
1960-1964	75	0.05962	0.05790	0.5	45291	2622	43980	410507	9.06
1960-1964	76	0.06388	0.06190	0.5	42669	2641	41348	366527	8.59
1960-1964	77	0.06632	0.06419	0.5	40028	2570	38743	325179	8.12
1960-1964	78	0.07652	0.07370	0.5	37458	2761	36078	286436	7.65
1960-1964	79	0.08161	0.07841	0.5	34697	2721	33337	250358	7.22
1960-1964	80	0.09165	0.08763	0.5	31977	2802	30576	217021	6.79
1960-1964	81	0.09766	0.09311	0.5	29174	2716	27816	186446	6.39
1960-1964	82	0.11228	0.10631	0.5	26458	2813	25052	158630	6.00
1960-1964	83	0.12436	0.11708	0.5	23645	2768	22261	133578	5.65
1960-1964	84	0.13993	0.13078	0.5	20877	2730	19512	111317	5.33
1960-1964	85	0.14408	0.13440	0.5	18147	2439	16927	91805	5.06
1960-1964	86	0.16335	0.15101	0.5	15708	2372	14522	74878	4.77
1960-1964	87	0.17693	0.16255	0.5	13336	2168	12252	60356	4.53
1960-1964	88	0.18399	0.16849	0.5	11168	1882	10227	48104	4.31
1960-1964	89	0.19342	0.17637	0.5	9286	1638	8467	37877	4.08
1960-1964	90	0.21508	0.19419	0.5	7648	1485	6906	29410	3.85
1960-1964	91	0.22557	0.20271	0.5	6163	1249	5539	22504	3.65
1960-1964	92	0.24225	0.21608	0.5	4914	1062	4383	16966	3.45
1960-1964	93	0.25977	0.22991	0.5	3852	886	3409	12583	3.27
1960-1964	94	0.27813	0.24417	0.5	2966	724	2604	9173	3.09
1960-1964	95	0.29728	0.25881	0.5	2242	580	1952	6569	2.93
1960-1964	96	0.31721	0.27379	0.5	1662	455	1434	4617	2.78
1960-1964	97	0.33786	0.28903	0.5	1207	349	1032	3183	2.64
1960-1964	98	0.35917	0.30449	0.5	858	261	727	2150	2.51
1960-1964	99	0.38109	0.32010	0.5	597	191	501	1423	2.38
1960-1964	100	0.40353	0.33578	0.5	406	136	338	922	2.27
1960-1964	101	0.42642	0.35148	0.5	270	95	222	584	2.17
1960-1964	102	0.44965	0.36711	0.5	175	64	143	362	2.07
1960-1964	103	0.47313	0.38262	0.5	111	42	89	219	1.98
1960-1964	104	0.49676	0.39792	0.5	68	27	55	130	1.90
1960-1964	105	0.52043	0.41297	0.5	41	17	33	75	1.82
1960-1964	106	0.54403	0.42769	0.5	24	10	19	42	1.76
1960-1964	107	0.56747	0.44204	0.5	14	6	11	23	1.70
1960-1964	108	0.59062	0.45597	0.5	8	4	6	13	1.64
1960-1964	109	0.61341	0.46943	0.5	4	2	3	7	1.60
1960-1964	110+	0.63573	1.00000	1.57	2	2	3	3	1.57
1965-1969	0	0.02797	0.02730	0.13	100000	2730	97613	6872869	68.73
1965-1969	1	0.00168	0.00168	0.5	97270	163	97189	6775256	69.65
1965-1969	2	0.00116	0.00116	0.5	97107	112	97051	6678067	68.77
1965-1969	3	0.00079	0.00079	0.5	96995	77	96956	6581016	67.85
1965-1969	4	0.00066	0.00066	0.5	96918	64	96886	6484060	66.90
1965-1969	5	0.00059	0.00059	0.5	96854	57	96825	6387174	65.95
1965-1969	6	0.00060	0.00060	0.5	96797	58	96768	6290349	64.99
1965-1969	7	0.00055	0.00055	0.5	96739	53	96712	6193581	64.02
1965-1969	8	0.00046	0.00046	0.5	96686	44	96664	6096868	63.06
1965-1969	9	0.00045	0.00045	0.5	96642	43	96620	6000204	62.09
1965-1969	10	0.00042	0.00042	0.5	96599	41	96578	5903584	61.11
1965-1969	11	0.00045	0.00045	0.5	96558	43	96536	5807006	60.14
1965-1969	12	0.00048	0.00048	0.5	96515	46	96491	5710469	59.17
1965-1969	13	0.00054	0.00054	0.5	96468	52	96442	5613978	58.20
1965-1969	14	0.00058	0.00058	0.5	96416	56	96388	5517536	57.23
1965-1969	15	0.00073	0.00073	0.5	96360	70	96325	5421148	56.26
1965-1969	16	0.00100	0.00100	0.5	96290	97	96241	5324823	55.30
1965-1969	17	0.00128	0.00128	0.5	96193	123	96132	5228582	54.36
