NC: North Carolina, Lifetables (period 1x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02628	0.02569	0.13	100000	2569	97756	7282283	72.82
1960-1969	1	0.00172	0.00172	0.5	97431	168	97347	7184526	73.74
1960-1969	2	0.00107	0.00106	0.5	97263	104	97211	7087179	72.87
1960-1969	3	0.00074	0.00074	0.5	97160	72	97124	6989968	71.94
1960-1969	4	0.00064	0.00064	0.5	97088	62	97057	6892844	71.00
1960-1969	5	0.00058	0.00058	0.5	97026	57	96997	6795788	70.04
1960-1969	6	0.00055	0.00055	0.5	96969	53	96943	6698790	69.08
1960-1969	7	0.00043	0.00043	0.5	96916	41	96895	6601848	68.12
1960-1969	8	0.00041	0.00041	0.5	96874	40	96854	6504953	67.15
1960-1969	9	0.00033	0.00033	0.5	96834	32	96819	6408098	66.18
1960-1969	10	0.00032	0.00032	0.5	96803	31	96787	6311279	65.20
1960-1969	11	0.00035	0.00035	0.5	96772	34	96755	6214492	64.22
1960-1969	12	0.00033	0.00033	0.5	96737	32	96722	6117738	63.24
1960-1969	13	0.00037	0.00037	0.5	96706	36	96688	6021016	62.26
1960-1969	14	0.00037	0.00037	0.5	96670	36	96652	5924329	61.28
1960-1969	15	0.00045	0.00045	0.5	96634	44	96612	5827677	60.31
1960-1969	16	0.00060	0.00060	0.5	96590	58	96561	5731065	59.33
1960-1969	17	0.00065	0.00065	0.5	96532	63	96501	5634504	58.37
1960-1969	18	0.00069	0.00069	0.5	96469	67	96436	5538003	57.41
1960-1969	19	0.00075	0.00075	0.5	96403	72	96366	5441567	56.45
1960-1969	20	0.00075	0.00075	0.5	96330	72	96294	5345200	55.49
1960-1969	21	0.00078	0.00078	0.5	96258	75	96220	5248906	54.53
1960-1969	22	0.00082	0.00082	0.5	96183	79	96143	5152686	53.57
1960-1969	23	0.00081	0.00081	0.5	96104	78	96065	5056543	52.62
1960-1969	24	0.00082	0.00082	0.5	96026	79	95986	4960478	51.66
1960-1969	25	0.00088	0.00088	0.5	95947	85	95905	4864492	50.70
1960-1969	26	0.00099	0.00099	0.5	95863	95	95815	4768587	49.74
1960-1969	27	0.00098	0.00098	0.5	95768	93	95721	4672772	48.79
1960-1969	28	0.00115	0.00115	0.5	95674	110	95619	4577051	47.84
1960-1969	29	0.00103	0.00103	0.5	95564	99	95514	4481432	46.89
1960-1969	30	0.00128	0.00128	0.5	95465	122	95404	4385918	45.94
1960-1969	31	0.00139	0.00139	0.5	95343	132	95277	4290513	45.00
1960-1969	32	0.00139	0.00139	0.5	95211	132	95145	4195236	44.06
1960-1969	33	0.00170	0.00170	0.5	95079	161	94998	4100091	43.12
1960-1969	34	0.00188	0.00188	0.5	94917	178	94828	4005093	42.20
1960-1969	35	0.00201	0.00201	0.5	94739	190	94644	3910265	41.27
1960-1969	36	0.00193	0.00193	0.5	94549	182	94458	3815621	40.36
1960-1969	37	0.00222	0.00221	0.5	94367	209	94263	3721163	39.43
1960-1969	38	0.00253	0.00253	0.5	94158	238	94039	3626900	38.52
1960-1969	39	0.00266	0.00266	0.5	93920	250	93795	3532861	37.62
1960-1969	40	0.00290	0.00289	0.5	93670	271	93535	3439066	36.71
1960-1969	41	0.00279	0.00278	0.5	93399	260	93269	3345531	35.82
1960-1969	42	0.00324	0.00323	0.5	93140	301	92989	3252261	34.92
1960-1969	43	0.00359	0.00358	0.5	92839	333	92672	3159272	34.03
1960-1969	44	0.00384	0.00383	0.5	92506	354	92329	3066600	33.15
1960-1969	45	0.00389	0.00389	0.5	92152	358	91973	2974271	32.28
1960-1969	46	0.00420	0.00420	0.5	91794	385	91601	2882298	31.40
1960-1969	47	0.00472	0.00471	0.5	91408	430	91193	2790697	30.53
1960-1969	48	0.00512	0.00511	0.5	90978	465	90746	2699504	29.67
1960-1969	49	0.00512	0.00510	0.5	90513	462	90282	2608758	28.82
1960-1969	50	0.00576	0.00574	0.5	90051	517	89793	2518476	27.97
1960-1969	51	0.00600	0.00598	0.5	89534	535	89267	2428683	27.13
1960-1969	52	0.00700	0.00697	0.5	88999	621	88689	2339416	26.29
1960-1969	53	0.00728	0.00726	0.5	88379	641	88058	2250727	25.47
1960-1969	54	0.00748	0.00746	0.5	87737	654	87410	2162669	24.65
1960-1969	55	0.00775	0.00772	0.5	87083	672	86747	2075259	23.83
1960-1969	56	0.00862	0.00858	0.5	86411	742	86040	1988512	23.01
1960-1969	57	0.00966	0.00961	0.5	85669	823	85258	1902472	22.21
1960-1969	58	0.01028	0.01022	0.5	84846	867	84412	1817214	21.42
1960-1969	59	0.01121	0.01114	0.5	83979	936	83511	1732802	20.63
1960-1969	60	0.01237	0.01229	0.5	83043	1021	82532	1649291	19.86
1960-1969	61	0.01210	0.01203	0.5	82022	987	81529	1566759	19.10
1960-1969	62	0.01516	0.01504	0.5	81035	1219	80426	1485230	18.33
1960-1969	63	0.01628	0.01615	0.5	79816	1289	79172	1404804	17.60
1960-1969	64	0.01735	0.01720	0.5	78528	1350	77852	1325632	16.88
1960-1969	65	0.01987	0.01968	0.5	77177	1518	76418	1247780	16.17
1960-1969	66	0.02035	0.02014	0.5	75659	1524	74897	1171362	15.48
1960-1969	67	0.02328	0.02301	0.5	74135	1706	73282	1096465	14.79
1960-1969	68	0.02554	0.02522	0.5	72429	1827	71516	1023183	14.13
1960-1969	69	0.02644	0.02610	0.5	70602	1843	69681	951668	13.48
1960-1969	70	0.03095	0.03048	0.5	68760	2096	67712	881987	12.83
1960-1969	71	0.03200	0.03149	0.5	66664	2099	65614	814275	12.21
1960-1969	72	0.03677	0.03610	0.5	64564	2331	63399	748661	11.60
1960-1969	73	0.04001	0.03922	0.5	62234	2441	61013	685262	11.01
1960-1969	74	0.04362	0.04269	0.5	59792	2552	58516	624249	10.44
1960-1969	75	0.04853	0.04738	0.5	57240	2712	55884	565733	9.88
1960-1969	76	0.05301	0.05164	0.5	54528	2816	53120	509849	9.35
1960-1969	77	0.05584	0.05432	0.5	51712	2809	50307	456729	8.83
1960-1969	78	0.06255	0.06066	0.5	48903	2966	47420	406421	8.31
