PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NC,m,1959,0,0.03768,0.03651,0.15,100000,3651,96883,6502217,65.02
NC,m,1959,1,0.00232,0.00232,0.5,96349,223,96238,6405334,66.48
NC,m,1959,2,0.00120,0.00120,0.5,96126,116,96068,6309097,65.63
NC,m,1959,3,0.00098,0.00098,0.5,96010,94,95963,6213029,64.71
NC,m,1959,4,0.00081,0.00081,0.5,95916,78,95877,6117066,63.78
NC,m,1959,5,0.00075,0.00075,0.5,95839,72,95802,6021188,62.83
NC,m,1959,6,0.00072,0.00072,0.5,95766,69,95732,5925386,61.87
NC,m,1959,7,0.00059,0.00059,0.5,95697,57,95669,5829654,60.92
NC,m,1959,8,0.00063,0.00063,0.5,95641,60,95611,5733985,59.95
NC,m,1959,9,0.00062,0.00062,0.5,95580,60,95551,5638375,58.99
NC,m,1959,10,0.00057,0.00057,0.5,95521,55,95494,5542824,58.03
NC,m,1959,11,0.00058,0.00058,0.5,95466,55,95439,5447331,57.06
NC,m,1959,12,0.00045,0.00045,0.5,95411,43,95389,5351892,56.09
NC,m,1959,13,0.00041,0.00041,0.5,95368,40,95348,5256503,55.12
NC,m,1959,14,0.00072,0.00072,0.5,95328,69,95294,5161155,54.14
NC,m,1959,15,0.00106,0.00106,0.5,95260,101,95209,5065861,53.18
NC,m,1959,16,0.00174,0.00173,0.5,95159,165,95076,4970651,52.24
NC,m,1959,17,0.00141,0.00141,0.5,94994,134,94927,4875575,51.33
NC,m,1959,18,0.00185,0.00184,0.5,94860,175,94773,4780648,50.40
NC,m,1959,19,0.00184,0.00184,0.5,94685,174,94598,4685876,49.49
NC,m,1959,20,0.00185,0.00185,0.5,94511,174,94424,4591277,48.58
NC,m,1959,21,0.00282,0.00282,0.5,94337,266,94204,4496853,47.67
NC,m,1959,22,0.00298,0.00297,0.5,94071,280,93931,4402649,46.80
NC,m,1959,23,0.00208,0.00208,0.5,93792,195,93694,4308718,45.94
NC,m,1959,24,0.00223,0.00222,0.5,93597,208,93493,4215024,45.03
NC,m,1959,25,0.00254,0.00253,0.5,93389,237,93270,4121531,44.13
NC,m,1959,26,0.00269,0.00269,0.5,93152,250,93027,4028261,43.24
NC,m,1959,27,0.00199,0.00199,0.5,92902,185,92809,3935234,42.36
NC,m,1959,28,0.00205,0.00205,0.5,92717,190,92622,3842424,41.44
NC,m,1959,29,0.00220,0.00220,0.5,92527,203,92425,3749803,40.53
NC,m,1959,30,0.00223,0.00223,0.5,92324,206,92221,3657377,39.61
NC,m,1959,31,0.00349,0.00348,0.5,92118,321,91958,3565157,38.70
NC,m,1959,32,0.00305,0.00305,0.5,91797,280,91657,3473199,37.84
NC,m,1959,33,0.00244,0.00244,0.5,91517,223,91406,3381542,36.95
NC,m,1959,34,0.00391,0.00390,0.5,91294,356,91116,3290136,36.04
NC,m,1959,35,0.00321,0.00321,0.5,90938,292,90792,3199020,35.18
NC,m,1959,36,0.00385,0.00384,0.5,90646,349,90472,3108227,34.29
NC,m,1959,37,0.00350,0.00349,0.5,90298,315,90140,3017755,33.42
NC,m,1959,38,0.00421,0.00420,0.5,89983,378,89794,2927615,32.54
NC,m,1959,39,0.00491,0.00490,0.5,89605,439,89386,2837821,31.67
NC,m,1959,40,0.00558,0.00557,0.5,89166,497,88918,2748435,30.82
NC,m,1959,41,0.00497,0.00496,0.5,88670,440,88450,2659517,29.99
NC,m,1959,42,0.00643,0.00641,0.5,88230,566,87947,2571068,29.14
NC,m,1959,43,0.00631,0.00629,0.5,87664,551,87388,2483120,28.33
NC,m,1959,44,0.00759,0.00756,0.5,87113,658,86784,2395732,27.50
NC,m,1959,45,0.00693,0.00690,0.5,86454,597,86156,2308948,26.71
NC,m,1959,46,0.00867,0.00863,0.5,85858,741,85487,2222792,25.89
NC,m,1959,47,0.00928,0.00924,0.5,85117,787,84723,2137305,25.11
NC,m,1959,48,0.01114,0.01108,0.5,84330,934,83863,2052581,24.34
NC,m,1959,49,0.01124,0.01118,0.5,83396,932,82930,1968719,23.61
NC,m,1959,50,0.01173,0.01166,0.5,82464,962,81983,1885789,22.87
NC,m,1959,51,0.01248,0.01241,0.5,81502,1011,80996,1803806,22.13
NC,m,1959,52,0.01360,0.01351,0.5,80491,1087,79947,1722810,21.40
NC,m,1959,53,0.01516,0.01504,0.5,79404,1194,78806,1642863,20.69
NC,m,1959,54,0.01553,0.01541,0.5,78209,1206,77606,1564056,20.00
NC,m,1959,55,0.01704,0.01689,0.5,77004,1301,76353,1486450,19.30
NC,m,1959,56,0.01867,0.01849,0.5,75703,1400,75003,1410097,18.63
NC,m,1959,57,0.01886,0.01869,0.5,74303,1388,73608,1335094,17.97
NC,m,1959,58,0.02257,0.02232,0.5,72914,1627,72100,1261486,17.30
NC,m,1959,59,0.02428,0.02399,0.5,71287,1710,70431,1189386,16.68
NC,m,1959,60,0.02474,0.02444,0.5,69576,1700,68726,1118954,16.08
NC,m,1959,61,0.02666,0.02631,0.5,67876,1786,66983,1050228,15.47
NC,m,1959,62,0.02970,0.02926,0.5,66090,1934,65123,983245,14.88
NC,m,1959,63,0.03329,0.03275,0.5,64156,2101,63106,918122,14.31
NC,m,1959,64,0.03274,0.03222,0.5,62055,1999,61056,855016,13.78
NC,m,1959,65,0.03635,0.03570,0.5,60056,2144,58984,793960,13.22
NC,m,1959,66,0.03740,0.03672,0.5,57912,2126,56849,734976,12.69
NC,m,1959,67,0.04349,0.04256,0.5,55786,2374,54599,678127,12.16
NC,m,1959,68,0.04390,0.04295,0.5,53412,2294,52265,623528,11.67
NC,m,1959,69,0.04542,0.04441,0.5,51117,2270,49982,571264,11.18
NC,m,1959,70,0.04958,0.04838,0.5,48847,2363,47666,521281,10.67
NC,m,1959,71,0.05039,0.04915,0.5,46484,2285,45342,473616,10.19
NC,m,1959,72,0.05776,0.05614,0.5,44199,2481,42959,428274,9.69
NC,m,1959,73,0.06229,0.06041,0.5,41718,2520,40458,385316,9.24
NC,m,1959,74,0.06675,0.06460,0.5,39198,2532,37932,344858,8.80
NC,m,1959,75,0.08272,0.07944,0.5,36666,2913,35209,306926,8.37
NC,m,1959,76,0.07016,0.06778,0.5,33753,2288,32609,271717,8.05
NC,m,1959,77,0.07490,0.07220,0.5,31465,2272,30329,239108,7.60
NC,m,1959,78,0.08860,0.08485,0.5,29193,2477,27955,208779,7.15
NC,m,1959,79,0.09605,0.09165,0.5,26716,2449,25492,180824,6.77
NC,m,1959,80,0.11805,0.11147,0.5,24268,2705,22915,155331,6.40
NC,m,1959,81,0.09920,0.09451,0.5,21563,2038,20544,132416,6.14
NC,m,1959,82,0.12741,0.11978,0.5,19525,2339,18355,111872,5.73
NC,m,1959,83,0.12190,0.11490,0.5,17186,1975,16199,93517,5.44
NC,m,1959,84,0.14961,0.13920,0.5,15211,2117,14153,77318,5.08
NC,m,1959,85,0.16132,0.14928,0.5,13094,1955,12117,63166,4.82
NC,m,1959,86,0.17156,0.15800,0.5,11139,1760,10259,51049,4.58
NC,m,1959,87,0.18810,0.17193,0.5,9379,1613,8573,40790,4.35
NC,m,1959,88,0.16780,0.15481,0.5,7767,1202,7166,32217,4.15
NC,m,1959,89,0.22697,0.20383,0.5,6564,1338,5895,25051,3.82
NC,m,1959,90,0.26578,0.23460,0.5,5226,1226,4613,19156,3.67
NC,m,1959,91,0.23144,0.20744,0.5,4000,830,3585,14542,3.64
NC,m,1959,92,0.24654,0.21948,0.5,3170,696,2822,10957,3.46
NC,m,1959,93,0.26229,0.23188,0.5,2475,574,2188,8135,3.29
NC,m,1959,94,0.27867,0.24459,0.5,1901,465,1668,5947,3.13
NC,m,1959,95,0.29567,0.25759,0.5,1436,370,1251,4279,2.98
NC,m,1959,96,0.31326,0.27084,0.5,1066,289,922,3028,2.84
NC,m,1959,97,0.33139,0.28429,0.5,777,221,667,2106,2.71
NC,m,1959,98,0.35005,0.29791,0.5,556,166,473,1439,2.59
NC,m,1959,99,0.36917,0.31164,0.5,391,122,330,966,2.47
NC,m,1959,100,0.38871,0.32546,0.5,269,88,225,636,2.37
NC,m,1959,101,0.40862,0.33930,0.5,181,62,151,411,2.27
NC,m,1959,102,0.42883,0.35312,0.5,120,42,99,261,2.17
NC,m,1959,103,0.44928,0.36687,0.5,78,28,63,162,2.09
NC,m,1959,104,0.46990,0.38050,0.5,49,19,40,99,2.01
NC,m,1959,105,0.49063,0.39398,0.5,30,12,24,59,1.93
NC,m,1959,106,0.51139,0.40726,0.5,18,8,15,34,1.87
NC,m,1959,107,0.53211,0.42029,0.5,11,5,9,20,1.81
NC,m,1959,108,0.55272,0.43305,0.5,6,3,5,11,1.75
NC,m,1959,109,0.57315,0.44549,0.5,4,2,3,6,1.71
NC,m,1959,110+,0.59334,1.00000,1.69,2,2,3,3,1.69
NC,m,1960,0,0.03731,0.03616,0.15,100000,3616,96909,6449681,64.50
NC,m,1960,1,0.00228,0.00228,0.5,96384,220,96274,6352772,65.91
NC,m,1960,2,0.00101,0.00101,0.5,96164,97,96115,6256498,65.06
NC,m,1960,3,0.00094,0.00094,0.5,96067,90,96021,6160383,64.13
NC,m,1960,4,0.00081,0.00081,0.5,95976,78,95937,6064361,63.19
NC,m,1960,5,0.00081,0.00081,0.5,95898,78,95860,5968424,62.24
NC,m,1960,6,0.00043,0.00043,0.5,95821,42,95800,5872565,61.29
NC,m,1960,7,0.00069,0.00069,0.5,95779,66,95746,5776764,60.31
NC,m,1960,8,0.00053,0.00053,0.5,95714,51,95688,5681018,59.35
NC,m,1960,9,0.00052,0.00052,0.5,95663,50,95638,5585330,58.39
NC,m,1960,10,0.00048,0.00048,0.5,95613,46,95590,5489692,57.42
NC,m,1960,11,0.00041,0.00041,0.5,95567,39,95547,5394103,56.44
NC,m,1960,12,0.00054,0.00054,0.5,95527,52,95501,5298556,55.47
NC,m,1960,13,0.00067,0.00067,0.5,95476,64,95444,5203055,54.50
NC,m,1960,14,0.00075,0.00075,0.5,95411,71,95376,5107611,53.53
NC,m,1960,15,0.00115,0.00114,0.5,95340,109,95286,5012235,52.57
NC,m,1960,16,0.00125,0.00125,0.5,95231,119,95172,4916949,51.63
NC,m,1960,17,0.00152,0.00151,0.5,95112,144,95040,4821778,50.70
NC,m,1960,18,0.00207,0.00207,0.5,94968,196,94870,4726738,49.77
NC,m,1960,19,0.00197,0.00196,0.5,94772,186,94679,4631868,48.87
NC,m,1960,20,0.00226,0.00226,0.5,94586,214,94479,4537189,47.97
NC,m,1960,21,0.00186,0.00186,0.5,94372,175,94284,4442710,47.08
NC,m,1960,22,0.00220,0.00220,0.5,94197,207,94093,4348426,46.16
NC,m,1960,23,0.00223,0.00222,0.5,93989,209,93885,4254333,45.26
NC,m,1960,24,0.00166,0.00165,0.5,93780,155,93703,4160448,44.36
NC,m,1960,25,0.00270,0.00270,0.5,93625,253,93499,4066745,43.44
NC,m,1960,26,0.00296,0.00296,0.5,93373,276,93235,3973246,42.55
NC,m,1960,27,0.00230,0.00230,0.5,93096,214,92989,3880012,41.68
