NE: Nebraska, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02032	0.01996	0.11	100000	1996	98223	7557535	75.58
1959	1	0.00102	0.00102	0.5	98004	100	97954	7459312	76.11
1959	2	0.00077	0.00077	0.5	97904	76	97866	7361358	75.19
1959	3	0.00065	0.00065	0.5	97828	63	97796	7263492	74.25
1959	4	0.00072	0.00072	0.5	97765	70	97730	7165696	73.30
1959	5	0.00027	0.00027	0.5	97694	26	97681	7067966	72.35
1959	6	0.00020	0.00020	0.5	97668	20	97659	6970285	71.37
1959	7	0.00014	0.00014	0.5	97649	14	97642	6872626	70.38
1959	8	0.00029	0.00029	0.5	97635	29	97621	6774985	69.39
1959	9	0.00030	0.00030	0.5	97606	29	97592	6677364	68.41
1959	10	0.00030	0.00030	0.5	97577	30	97562	6579772	67.43
1959	11	0.00023	0.00023	0.5	97547	22	97536	6482210	66.45
1959	12	0.00016	0.00016	0.5	97525	15	97517	6384674	65.47
1959	13	0.00035	0.00035	0.5	97510	34	97492	6287157	64.48
1959	14	0.00048	0.00048	0.5	97475	47	97452	6189664	63.50
1959	15	0.00066	0.00066	0.5	97428	65	97396	6092213	62.53
1959	16	0.00038	0.00038	0.5	97364	37	97345	5994817	61.57
1959	17	0.00082	0.00082	0.5	97326	80	97286	5897472	60.59
1959	18	0.00108	0.00108	0.5	97247	105	97194	5800185	59.64
1959	19	0.00045	0.00045	0.5	97142	44	97120	5702991	58.71
1959	20	0.00081	0.00081	0.5	97098	79	97059	5605871	57.73
1959	21	0.00012	0.00012	0.5	97019	11	97013	5508813	56.78
1959	22	0.00058	0.00058	0.5	97008	57	96980	5411799	55.79
1959	23	0.00073	0.00073	0.5	96951	70	96916	5314819	54.82
1959	24	0.00061	0.00061	0.5	96881	59	96851	5217903	53.86
1959	25	0.00086	0.00086	0.5	96822	84	96780	5121052	52.89
1959	26	0.00073	0.00073	0.5	96738	71	96703	5024272	51.94
1959	27	0.00084	0.00084	0.5	96667	81	96626	4927570	50.97
1959	28	0.00047	0.00047	0.5	96586	46	96563	4830943	50.02
1959	29	0.00023	0.00023	0.5	96540	22	96529	4734380	49.04
1959	30	0.00023	0.00023	0.5	96518	22	96507	4637851	48.05
1959	31	0.00104	0.00104	0.5	96496	100	96446	4541344	47.06
1959	32	0.00092	0.00092	0.5	96396	89	96351	4444899	46.11
1959	33	0.00128	0.00128	0.5	96307	123	96245	4348547	45.15
1959	34	0.00092	0.00092	0.5	96183	89	96139	4252302	44.21
1959	35	0.00137	0.00137	0.5	96094	132	96028	4156163	43.25
1959	36	0.00171	0.00171	0.5	95962	164	95880	4060135	42.31
1959	37	0.00090	0.00090	0.5	95798	86	95755	3964255	41.38
1959	38	0.00183	0.00183	0.5	95712	175	95624	3868499	40.42
1959	39	0.00093	0.00093	0.5	95537	89	95492	3772875	39.49
1959	40	0.00150	0.00150	0.5	95448	144	95376	3677382	38.53
1959	41	0.00212	0.00212	0.5	95305	202	95203	3582006	37.58
1959	42	0.00172	0.00171	0.5	95102	163	95021	3486803	36.66
1959	43	0.00284	0.00284	0.5	94939	269	94805	3391782	35.73
1959	44	0.00207	0.00207	0.5	94670	196	94572	3296977	34.83
1959	45	0.00157	0.00157	0.5	94474	149	94400	3202405	33.90
1959	46	0.00353	0.00352	0.5	94325	332	94159	3108006	32.95
1959	47	0.00381	0.00380	0.5	93993	357	93814	3013846	32.06
1959	48	0.00426	0.00425	0.5	93636	398	93437	2920032	31.19
1959	49	0.00282	0.00281	0.5	93238	262	93107	2826595	30.32
1959	50	0.00375	0.00374	0.5	92975	348	92801	2733489	29.40
1959	51	0.00430	0.00429	0.5	92627	397	92429	2640687	28.51
1959	52	0.00301	0.00301	0.5	92230	278	92091	2548259	27.63
1959	53	0.00511	0.00510	0.5	91952	469	91718	2456167	26.71
1959	54	0.00593	0.00592	0.5	91483	541	91213	2364449	25.85
1959	55	0.00346	0.00346	0.5	90942	314	90785	2273237	25.00
1959	56	0.00556	0.00555	0.5	90628	503	90377	2182452	24.08
1959	57	0.00651	0.00649	0.5	90125	585	89833	2092075	23.21
1959	58	0.00804	0.00800	0.5	89540	717	89182	2002242	22.36
1959	59	0.00478	0.00476	0.5	88823	423	88612	1913060	21.54
1959	60	0.01125	0.01119	0.5	88400	989	87906	1824449	20.64
1959	61	0.01091	0.01085	0.5	87411	949	86937	1736543	19.87
1959	62	0.01236	0.01228	0.5	86462	1062	85931	1649606	19.08
1959	63	0.01238	0.01230	0.5	85401	1050	84875	1563675	18.31
1959	64	0.01113	0.01107	0.5	84350	934	83883	1478800	17.53
1959	65	0.01181	0.01174	0.5	83416	979	82927	1394916	16.72
1959	66	0.01556	0.01544	0.5	82437	1273	81801	1311989	15.91
1959	67	0.01972	0.01953	0.5	81165	1585	80372	1230188	15.16
1959	68	0.02186	0.02162	0.5	79579	1720	78719	1149816	14.45
1959	69	0.02206	0.02182	0.5	77859	1699	77010	1071097	13.76
1959	70	0.02355	0.02328	0.5	76160	1773	75274	994087	13.05
1959	71	0.02977	0.02933	0.5	74387	2182	73297	918813	12.35
1959	72	0.03184	0.03134	0.5	72206	2263	71074	845517	11.71
1959	73	0.03834	0.03762	0.5	69943	2631	68627	774443	11.07
1959	74	0.04394	0.04300	0.5	67312	2894	65865	705816	10.49
1959	75	0.04601	0.04497	0.5	64418	2897	62969	639951	9.93
1959	76	0.04782	0.04670	0.5	61520	2873	60084	576982	9.38
1959	77	0.06074	0.05895	0.5	58647	3457	56919	516898	8.81
1959	78	0.05925	0.05754	0.5	55190	3176	53602	459979	8.33
1959	79	0.06840	0.06613	0.5	52015	3440	50295	406377	7.81
1959	80	0.07199	0.06949	0.5	48575	3375	46887	356082	7.33
1959	81	0.07642	0.07361	0.5	45199	3327	43536	309195	6.84
1959	82	0.09523	0.09090	0.5	41872	3806	39969	265659	6.34
1959	83	0.11575	0.10941	0.5	38066	4165	35983	225690	5.93
1959	84	0.11878	0.11213	0.5	33901	3801	32000	189707	5.60
1959	85	0.12893	0.12112	0.5	30100	3646	28277	157706	5.24
1959	86	0.14872	0.13843	0.5	26454	3662	24623	129429	4.89
1959	87	0.16537	0.15274	0.5	22792	3481	21052	104806	4.60
1959	88	0.17944	0.16467	0.5	19311	3180	17721	83755	4.34
1959	89	0.18643	0.17053	0.5	16131	2751	14756	66034	4.09
1959	90	0.20398	0.18511	0.5	13380	2477	12142	51278	3.83
1959	91	0.22274	0.20042	0.5	10903	2185	9811	39137	3.59
1959	92	0.24269	0.21643	0.5	8718	1887	7775	29326	3.36
1959	93	0.26382	0.23308	0.5	6831	1592	6035	21551	3.15
