PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NE,m,1959,0,0.02832,0.02763,0.12,100000,2763,97571,6861014,68.61
NE,m,1959,1,0.00153,0.00153,0.5,97237,149,97162,6763443,69.56
NE,m,1959,2,0.00138,0.00138,0.5,97088,134,97021,6666280,68.66
NE,m,1959,3,0.00075,0.00075,0.5,96954,73,96918,6569259,67.76
NE,m,1959,4,0.00069,0.00069,0.5,96882,67,96848,6472341,66.81
NE,m,1959,5,0.00078,0.00078,0.5,96815,76,96777,6375493,65.85
NE,m,1959,6,0.00047,0.00047,0.5,96739,45,96716,6278716,64.90
NE,m,1959,7,0.00041,0.00041,0.5,96694,39,96674,6182000,63.93
NE,m,1959,8,0.00035,0.00035,0.5,96654,34,96638,6085326,62.96
NE,m,1959,9,0.00043,0.00043,0.5,96621,42,96600,5988688,61.98
NE,m,1959,10,0.00037,0.00037,0.5,96579,35,96561,5892088,61.01
NE,m,1959,11,0.00074,0.00074,0.5,96544,71,96508,5795527,60.03
NE,m,1959,12,0.00076,0.00076,0.5,96473,73,96436,5699018,59.07
NE,m,1959,13,0.00050,0.00050,0.5,96400,48,96376,5602582,58.12
NE,m,1959,14,0.00089,0.00088,0.5,96352,85,96309,5506206,57.15
NE,m,1959,15,0.00044,0.00044,0.5,96267,43,96245,5409897,56.20
NE,m,1959,16,0.00103,0.00103,0.5,96224,99,96174,5313652,55.22
NE,m,1959,17,0.00181,0.00181,0.5,96124,174,96038,5217478,54.28
NE,m,1959,18,0.00182,0.00181,0.5,95951,174,95864,5121440,53.38
NE,m,1959,19,0.00177,0.00177,0.5,95777,169,95692,5025576,52.47
NE,m,1959,20,0.00186,0.00186,0.5,95608,178,95519,4929884,51.56
NE,m,1959,21,0.00211,0.00211,0.5,95430,201,95329,4834366,50.66
NE,m,1959,22,0.00160,0.00160,0.5,95228,152,95152,4739037,49.76
NE,m,1959,23,0.00193,0.00193,0.5,95076,183,94985,4643885,48.84
NE,m,1959,24,0.00145,0.00145,0.5,94893,137,94824,4548900,47.94
NE,m,1959,25,0.00236,0.00235,0.5,94756,223,94644,4454076,47.01
NE,m,1959,26,0.00200,0.00200,0.5,94533,189,94438,4359432,46.12
NE,m,1959,27,0.00193,0.00193,0.5,94343,182,94252,4264994,45.21
NE,m,1959,28,0.00082,0.00082,0.5,94161,78,94122,4170741,44.29
NE,m,1959,29,0.00082,0.00081,0.5,94084,77,94045,4076619,43.33
NE,m,1959,30,0.00115,0.00115,0.5,94007,108,93953,3982574,42.36
NE,m,1959,31,0.00137,0.00137,0.5,93899,129,93835,3888621,41.41
NE,m,1959,32,0.00115,0.00115,0.5,93770,108,93717,3794786,40.47
NE,m,1959,33,0.00217,0.00217,0.5,93663,203,93561,3701070,39.51
NE,m,1959,34,0.00291,0.00291,0.5,93460,272,93324,3607509,38.60
NE,m,1959,35,0.00288,0.00288,0.5,93188,268,93054,3514185,37.71
NE,m,1959,36,0.00213,0.00213,0.5,92920,198,92821,3421131,36.82
NE,m,1959,37,0.00138,0.00137,0.5,92722,127,92658,3328310,35.90
NE,m,1959,38,0.00164,0.00164,0.5,92595,151,92519,3235651,34.94
NE,m,1959,39,0.00369,0.00369,0.5,92443,341,92273,3143132,34.00
NE,m,1959,40,0.00275,0.00275,0.5,92103,253,91976,3050859,33.12
NE,m,1959,41,0.00304,0.00304,0.5,91849,279,91710,2958883,32.21
NE,m,1959,42,0.00298,0.00298,0.5,91570,273,91434,2867173,31.31
NE,m,1959,43,0.00479,0.00478,0.5,91298,437,91080,2775739,30.40
NE,m,1959,44,0.00368,0.00367,0.5,90861,334,90694,2684660,29.55
NE,m,1959,45,0.00474,0.00473,0.5,90527,428,90313,2593966,28.65
NE,m,1959,46,0.00501,0.00500,0.5,90099,451,89874,2503652,27.79
NE,m,1959,47,0.00569,0.00568,0.5,89649,509,89394,2413778,26.92
NE,m,1959,48,0.00590,0.00588,0.5,89140,524,88878,2324384,26.08
NE,m,1959,49,0.00635,0.00633,0.5,88616,561,88335,2235506,25.23
NE,m,1959,50,0.00761,0.00758,0.5,88055,668,87721,2147171,24.38
NE,m,1959,51,0.00931,0.00927,0.5,87387,810,86982,2059450,23.57
NE,m,1959,52,0.00929,0.00924,0.5,86577,800,86177,1972468,22.78
NE,m,1959,53,0.01130,0.01124,0.5,85777,964,85295,1886291,21.99
NE,m,1959,54,0.01155,0.01148,0.5,84813,974,84326,1800996,21.23
NE,m,1959,55,0.01000,0.00995,0.5,83839,834,83422,1716669,20.48
NE,m,1959,56,0.01497,0.01486,0.5,83005,1234,82388,1633247,19.68
NE,m,1959,57,0.01519,0.01507,0.5,81772,1233,81155,1550859,18.97
NE,m,1959,58,0.01765,0.01749,0.5,80539,1409,79835,1469704,18.25
NE,m,1959,59,0.01836,0.01819,0.5,79130,1439,78411,1389869,17.56
NE,m,1959,60,0.01940,0.01922,0.5,77691,1493,76944,1311459,16.88
NE,m,1959,61,0.02110,0.02088,0.5,76198,1591,75402,1234514,16.20
NE,m,1959,62,0.02242,0.02217,0.5,74607,1654,73780,1159112,15.54
NE,m,1959,63,0.02194,0.02170,0.5,72953,1583,72161,1085332,14.88
NE,m,1959,64,0.02649,0.02614,0.5,71370,1866,70437,1013170,14.20
NE,m,1959,65,0.02326,0.02300,0.5,69504,1598,68705,942734,13.56
NE,m,1959,66,0.03338,0.03283,0.5,67906,2229,66791,874029,12.87
NE,m,1959,67,0.03589,0.03526,0.5,65676,2316,64518,807238,12.29
NE,m,1959,68,0.04039,0.03959,0.5,63361,2508,62106,742719,11.72
NE,m,1959,69,0.04392,0.04298,0.5,60852,2615,59545,680613,11.18
NE,m,1959,70,0.04806,0.04693,0.5,58237,2733,56871,621068,10.66
NE,m,1959,71,0.04530,0.04430,0.5,55504,2459,54275,564197,10.17
NE,m,1959,72,0.04955,0.04835,0.5,53045,2565,51763,509923,9.61
NE,m,1959,73,0.05846,0.05680,0.5,50480,2867,49047,458160,9.08
NE,m,1959,74,0.06466,0.06263,0.5,47613,2982,46122,409113,8.59
NE,m,1959,75,0.07222,0.06970,0.5,44631,3111,43075,362991,8.13
NE,m,1959,76,0.08210,0.07887,0.5,41520,3274,39883,319916,7.71
NE,m,1959,77,0.08218,0.07894,0.5,38246,3019,36736,280033,7.32
NE,m,1959,78,0.09151,0.08751,0.5,35227,3083,33685,243297,6.91
NE,m,1959,79,0.10070,0.09588,0.5,32144,3082,30603,209612,6.52
NE,m,1959,80,0.10039,0.09559,0.5,29062,2778,27673,179009,6.16
NE,m,1959,81,0.12526,0.11788,0.5,26284,3098,24735,151336,5.76
NE,m,1959,82,0.12589,0.11844,0.5,23186,2746,21813,126601,5.46
NE,m,1959,83,0.13382,0.12542,0.5,20440,2564,19158,104788,5.13
NE,m,1959,84,0.15574,0.14449,0.5,17876,2583,16584,85631,4.79
NE,m,1959,85,0.16818,0.15514,0.5,15293,2373,14107,69046,4.51
NE,m,1959,86,0.18164,0.16652,0.5,12920,2152,11845,54939,4.25
NE,m,1959,87,0.19471,0.17743,0.5,10769,1911,9814,43095,4.00
NE,m,1959,88,0.21344,0.19286,0.5,8858,1708,8004,33281,3.76
NE,m,1959,89,0.23090,0.20700,0.5,7150,1480,6410,25277,3.54
NE,m,1959,90,0.24972,0.22200,0.5,5670,1259,5040,18867,3.33
NE,m,1959,91,0.26955,0.23753,0.5,4411,1048,3887,13827,3.13
NE,m,1959,92,0.29033,0.25353,0.5,3363,853,2937,9940,2.96
NE,m,1959,93,0.31204,0.26992,0.5,2511,678,2172,7003,2.79
NE,m,1959,94,0.33460,0.28664,0.5,1833,525,1570,4831,2.64
NE,m,1959,95,0.35794,0.30361,0.5,1308,397,1109,3261,2.49
NE,m,1959,96,0.38198,0.32073,0.5,911,292,765,2152,2.36
NE,m,1959,97,0.40661,0.33791,0.5,619,209,514,1387,2.24
NE,m,1959,98,0.43172,0.35507,0.5,410,145,337,873,2.13
NE,m,1959,99,0.45719,0.37212,0.5,264,98,215,536,2.03
NE,m,1959,100,0.48288,0.38897,0.5,166,65,134,321,1.94
NE,m,1959,101,0.50866,0.40552,0.5,101,41,81,188,1.85
NE,m,1959,102,0.53439,0.42171,0.5,60,25,48,107,1.77
NE,m,1959,103,0.55995,0.43747,0.5,35,15,27,59,1.70
NE,m,1959,104,0.58519,0.45272,0.5,20,9,15,32,1.64
NE,m,1959,105,0.60999,0.46743,0.5,11,5,8,17,1.58
NE,m,1959,106,0.63423,0.48153,0.5,6,3,4,9,1.53
NE,m,1959,107,0.65781,0.49500,0.5,3,1,2,4,1.48
NE,m,1959,108,0.68064,0.50782,0.5,1,1,1,2,1.44
NE,m,1959,109,0.70264,0.51996,0.5,1,0,1,1,1.40
NE,m,1959,110+,0.72373,1.00000,1.38,0,0,0,0,1.38
NE,m,1960,0,0.02554,0.02497,0.11,100000,2497,97786,6888270,68.88
NE,m,1960,1,0.00126,0.00126,0.5,97503,123,97441,6790484,69.64
NE,m,1960,2,0.00092,0.00092,0.5,97380,90,97335,6693042,68.73
NE,m,1960,3,0.00069,0.00069,0.5,97290,67,97256,6595707,67.79
NE,m,1960,4,0.00069,0.00069,0.5,97223,67,97189,6498451,66.84
NE,m,1960,5,0.00076,0.00076,0.5,97156,74,97119,6401262,65.89
NE,m,1960,6,0.00046,0.00046,0.5,97082,44,97060,6304142,64.94
NE,m,1960,7,0.00080,0.00080,0.5,97038,78,96999,6207082,63.97
NE,m,1960,8,0.00054,0.00054,0.5,96960,52,96934,6110083,63.02
NE,m,1960,9,0.00063,0.00063,0.5,96907,61,96877,6013149,62.05
NE,m,1960,10,0.00029,0.00029,0.5,96847,28,96833,5916272,61.09
NE,m,1960,11,0.00029,0.00029,0.5,96819,29,96804,5819440,60.11
NE,m,1960,12,0.00059,0.00059,0.5,96790,57,96762,5722635,59.12
NE,m,1960,13,0.00061,0.00061,0.5,96733,59,96703,5625874,58.16
NE,m,1960,14,0.00033,0.00033,0.5,96674,32,96658,5529170,57.19
NE,m,1960,15,0.00027,0.00027,0.5,96642,26,96629,5432512,56.21
NE,m,1960,16,0.00169,0.00169,0.5,96616,164,96534,5335884,55.23
NE,m,1960,17,0.00208,0.00208,0.5,96452,201,96352,5239350,54.32
NE,m,1960,18,0.00118,0.00118,0.5,96252,113,96195,5142998,53.43
NE,m,1960,19,0.00194,0.00194,0.5,96138,187,96045,5046803,52.50
