NH: New Hampshire, Lifetables (period 1x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02195	0.02153	0.11	100000	2153	98083	7083167	70.83
1960-1969	1	0.00118	0.00118	0.5	97847	115	97790	6985084	71.39
1960-1969	2	0.00079	0.00079	0.5	97732	78	97693	6887294	70.47
1960-1969	3	0.00068	0.00068	0.5	97655	67	97621	6789601	69.53
1960-1969	4	0.00053	0.00053	0.5	97588	52	97562	6691980	68.57
1960-1969	5	0.00044	0.00044	0.5	97536	43	97515	6594418	67.61
1960-1969	6	0.00048	0.00048	0.5	97494	47	97470	6496903	66.64
1960-1969	7	0.00035	0.00035	0.5	97447	34	97430	6399432	65.67
1960-1969	8	0.00039	0.00039	0.5	97413	38	97394	6302003	64.69
1960-1969	9	0.00037	0.00037	0.5	97375	36	97356	6204609	63.72
1960-1969	10	0.00025	0.00025	0.5	97338	24	97326	6107253	62.74
1960-1969	11	0.00033	0.00033	0.5	97314	32	97298	6009926	61.76
1960-1969	12	0.00041	0.00041	0.5	97281	39	97262	5912629	60.78
1960-1969	13	0.00036	0.00036	0.5	97242	35	97225	5815367	59.80
1960-1969	14	0.00059	0.00059	0.5	97207	57	97179	5718142	58.82
1960-1969	15	0.00069	0.00069	0.5	97150	67	97116	5620964	57.86
1960-1969	16	0.00091	0.00091	0.5	97083	88	97038	5523847	56.90
1960-1969	17	0.00092	0.00092	0.5	96994	89	96950	5426809	55.95
1960-1969	18	0.00118	0.00118	0.5	96905	114	96848	5329859	55.00
1960-1969	19	0.00115	0.00115	0.5	96791	111	96736	5233011	54.06
1960-1969	20	0.00104	0.00104	0.5	96680	100	96630	5136276	53.13
1960-1969	21	0.00115	0.00115	0.5	96580	111	96524	5039645	52.18
1960-1969	22	0.00112	0.00112	0.5	96469	108	96415	4943121	51.24
1960-1969	23	0.00125	0.00125	0.5	96361	120	96301	4846706	50.30
1960-1969	24	0.00096	0.00096	0.5	96241	92	96194	4750406	49.36
1960-1969	25	0.00125	0.00125	0.5	96148	120	96089	4654211	48.41
1960-1969	26	0.00123	0.00123	0.5	96029	118	95970	4558123	47.47
1960-1969	27	0.00106	0.00106	0.5	95911	102	95860	4462153	46.52
1960-1969	28	0.00114	0.00114	0.5	95809	109	95754	4366293	45.57
1960-1969	29	0.00110	0.00110	0.5	95700	105	95647	4270539	44.62
1960-1969	30	0.00119	0.00119	0.5	95595	114	95538	4174892	43.67
1960-1969	31	0.00115	0.00115	0.5	95481	110	95426	4079354	42.72
1960-1969	32	0.00116	0.00115	0.5	95371	110	95316	3983928	41.77
1960-1969	33	0.00124	0.00124	0.5	95261	118	95202	3888613	40.82
1960-1969	34	0.00133	0.00132	0.5	95143	126	95080	3793411	39.87
1960-1969	35	0.00142	0.00142	0.5	95017	135	94949	3698331	38.92
1960-1969	36	0.00158	0.00158	0.5	94882	149	94807	3603382	37.98
1960-1969	37	0.00219	0.00218	0.5	94732	207	94629	3508574	37.04
1960-1969	38	0.00204	0.00204	0.5	94526	193	94429	3413945	36.12
1960-1969	39	0.00224	0.00223	0.5	94333	211	94227	3319516	35.19
1960-1969	40	0.00261	0.00261	0.5	94122	246	93999	3225289	34.27
1960-1969	41	0.00307	0.00306	0.5	93876	288	93732	3131290	33.36
1960-1969	42	0.00290	0.00290	0.5	93588	271	93453	3037558	32.46
1960-1969	43	0.00378	0.00377	0.5	93317	352	93141	2944105	31.55
1960-1969	44	0.00403	0.00402	0.5	92965	374	92778	2850964	30.67
1960-1969	45	0.00388	0.00387	0.5	92591	358	92412	2758186	29.79
1960-1969	46	0.00498	0.00497	0.5	92233	458	92004	2665774	28.90
1960-1969	47	0.00455	0.00454	0.5	91775	417	91567	2573770	28.04
1960-1969	48	0.00590	0.00588	0.5	91358	537	91090	2482204	27.17
1960-1969	49	0.00643	0.00641	0.5	90821	582	90530	2391114	26.33
1960-1969	50	0.00715	0.00713	0.5	90239	643	89917	2300584	25.49
1960-1969	51	0.00815	0.00812	0.5	89595	727	89232	2210667	24.67
1960-1969	52	0.00900	0.00896	0.5	88868	796	88470	2121435	23.87
1960-1969	53	0.00880	0.00876	0.5	88072	771	87686	2032966	23.08
1960-1969	54	0.01043	0.01037	0.5	87300	906	86848	1945280	22.28
1960-1969	55	0.01033	0.01028	0.5	86395	888	85951	1858432	21.51
1960-1969	56	0.01193	0.01185	0.5	85507	1014	85000	1772481	20.73
1960-1969	57	0.01380	0.01370	0.5	84493	1158	83914	1687482	19.97
1960-1969	58	0.01364	0.01355	0.5	83335	1129	82770	1603568	19.24
1960-1969	59	0.01725	0.01711	0.5	82206	1406	81503	1520797	18.50
1960-1969	60	0.01650	0.01636	0.5	80799	1322	80138	1439295	17.81
1960-1969	61	0.01913	0.01894	0.5	79477	1506	78725	1359156	17.10
1960-1969	62	0.01997	0.01977	0.5	77972	1542	77201	1280432	16.42
1960-1969	63	0.02291	0.02265	0.5	76430	1731	75564	1203231	15.74
1960-1969	64	0.02438	0.02409	0.5	74699	1799	73799	1127667	15.10
1960-1969	65	0.02546	0.02514	0.5	72899	1833	71983	1053868	14.46
1960-1969	66	0.02886	0.02845	0.5	71067	2022	70056	981885	13.82
1960-1969	67	0.03141	0.03092	0.5	69045	2135	67978	911829	13.21
1960-1969	68	0.03504	0.03443	0.5	66910	2304	65758	843851	12.61
1960-1969	69	0.03814	0.03743	0.5	64606	2418	63397	778093	12.04
1960-1969	70	0.04092	0.04010	0.5	62188	2494	60941	714696	11.49
1960-1969	71	0.04297	0.04207	0.5	59694	2511	58439	653755	10.95
1960-1969	72	0.05078	0.04952	0.5	57183	2832	55767	595316	10.41
1960-1969	73	0.05396	0.05254	0.5	54351	2856	52923	539549	9.93
1960-1969	74	0.05814	0.05650	0.5	51495	2909	50041	486626	9.45
1960-1969	75	0.06142	0.05959	0.5	48586	2895	47138	436585	8.99
1960-1969	76	0.06695	0.06478	0.5	45691	2960	44211	389447	8.52
1960-1969	77	0.07048	0.06808	0.5	42731	2909	41277	345236	8.08
1960-1969	78	0.08136	0.07818	0.5	39822	3113	38266	303959	7.63
1960-1969	79	0.08331	0.07998	0.5	36709	2936	35241	265694	7.24
1960-1969	80	0.08970	0.08585	0.5	33773	2899	32323	230453	6.82
1960-1969	81	0.09864	0.09400	0.5	30874	2902	29423	198129	6.42
1960-1969	82	0.10838	0.10281	0.5	27971	2876	26534	168707	6.03
1960-1969	83	0.11898	0.11230	0.5	25096	2818	23687	142173	5.67
1960-1969	84	0.13049	0.12250	0.5	22278	2729	20913	118487	5.32
1960-1969	85	0.14296	0.13343	0.5	19549	2608	18244	97573	4.99
1960-1969	86	0.15645	0.14510	0.5	16940	2458	15711	79329	4.68
1960-1969	87	0.17099	0.15752	0.5	14482	2281	13342	63618	4.39
1960-1969	88	0.18661	0.17069	0.5	12201	2083	11160	50276	4.12
1960-1969	89	0.20337	0.18459	0.5	10119	1868	9185	39116	3.87
1960-1969	90	0.22126	0.19922	0.5	8251	1644	7429	29931	3.63
1960-1969	91	0.24030	0.21452	0.5	6607	1417	5898	22503	3.41
1960-1969	92	0.26048	0.23046	0.5	5190	1196	4592	16604	3.20
1960-1969	93	0.28178	0.24698	0.5	3994	986	3500	12013	3.01
1960-1969	94	0.30417	0.26402	0.5	3007	794	2610	8512	2.83
1960-1969	95	0.32759	0.28148	0.5	2213	623	1902	5902	2.67
1960-1969	96	0.35195	0.29929	0.5	1590	476	1352	4000	2.52
1960-1969	97	0.37718	0.31733	0.5	1114	354	938	2648	2.38
1960-1969	98	0.40315	0.33552	0.5	761	255	633	1710	2.25
1960-1969	99	0.42974	0.35373	0.5	505	179	416	1077	2.13
1960-1969	100	0.45680	0.37187	0.5	327	121	266	661	2.02
1960-1969	101	0.48418	0.38981	0.5	205	80	165	395	1.93
1960-1969	102	0.51171	0.40746	0.5	125	51	100	230	1.84
1960-1969	103	0.53923	0.42472	0.5	74	32	58	130	1.75
1960-1969	104	0.56656	0.44150	0.5	43	19	33	72	1.68
1960-1969	105	0.59354	0.45771	0.5	24	11	18	38	1.61
1960-1969	106	0.62002	0.47329	0.5	13	6	10	20	1.55
1960-1969	107	0.64584	0.48819	0.5	7	3	5	10	1.50
1960-1969	108	0.67088	0.50237	0.5	3	2	3	5	1.45
1960-1969	109	0.69502	0.51578	0.5	2	1	1	2	1.42
1960-1969	110+	0.71817	1.00000	1.39	1	1	1	1	1.39
1970-1979	0	0.01386	0.01369	0.09	100000	1369	98750	7324439	73.24
1970-1979	1	0.00081	0.00081	0.5	98631	80	98591	7225689	73.26
