PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NH,b,1960-1964,0,0.02329,0.02282,0.11,100000,2282,97977,7073218,70.73
NH,b,1960-1964,1,0.00126,0.00126,0.5,97718,123,97656,6975241,71.38
NH,b,1960-1964,2,0.00088,0.00088,0.5,97595,86,97552,6877585,70.47
NH,b,1960-1964,3,0.00070,0.00070,0.5,97509,68,97475,6780033,69.53
NH,b,1960-1964,4,0.00059,0.00059,0.5,97441,57,97412,6682558,68.58
NH,b,1960-1964,5,0.00057,0.00057,0.5,97384,55,97356,6585146,67.62
NH,b,1960-1964,6,0.00047,0.00047,0.5,97328,46,97305,6487790,66.66
NH,b,1960-1964,7,0.00036,0.00036,0.5,97282,35,97265,6390485,65.69
NH,b,1960-1964,8,0.00046,0.00046,0.5,97247,45,97225,6293220,64.71
NH,b,1960-1964,9,0.00042,0.00042,0.5,97202,41,97182,6195996,63.74
NH,b,1960-1964,10,0.00023,0.00023,0.5,97161,22,97150,6098814,62.77
NH,b,1960-1964,11,0.00036,0.00036,0.5,97139,35,97121,6001663,61.78
NH,b,1960-1964,12,0.00043,0.00043,0.5,97104,42,97083,5904542,60.81
NH,b,1960-1964,13,0.00036,0.00036,0.5,97062,35,97044,5807459,59.83
NH,b,1960-1964,14,0.00062,0.00062,0.5,97027,60,96996,5710415,58.85
NH,b,1960-1964,15,0.00063,0.00063,0.5,96966,62,96936,5613418,57.89
NH,b,1960-1964,16,0.00074,0.00074,0.5,96905,72,96869,5516483,56.93
NH,b,1960-1964,17,0.00088,0.00088,0.5,96833,86,96790,5419614,55.97
NH,b,1960-1964,18,0.00119,0.00119,0.5,96747,115,96690,5322824,55.02
NH,b,1960-1964,19,0.00121,0.00121,0.5,96632,117,96574,5226134,54.08
NH,b,1960-1964,20,0.00091,0.00091,0.5,96515,87,96471,5129560,53.15
NH,b,1960-1964,21,0.00097,0.00096,0.5,96428,93,96381,5033089,52.20
NH,b,1960-1964,22,0.00110,0.00110,0.5,96335,106,96282,4936708,51.25
NH,b,1960-1964,23,0.00148,0.00148,0.5,96229,143,96158,4840426,50.30
NH,b,1960-1964,24,0.00110,0.00110,0.5,96086,106,96033,4744268,49.37
NH,b,1960-1964,25,0.00121,0.00121,0.5,95980,116,95922,4648235,48.43
NH,b,1960-1964,26,0.00129,0.00129,0.5,95864,124,95802,4552312,47.49
NH,b,1960-1964,27,0.00109,0.00109,0.5,95740,105,95688,4456510,46.55
NH,b,1960-1964,28,0.00125,0.00125,0.5,95636,120,95576,4360822,45.60
NH,b,1960-1964,29,0.00093,0.00093,0.5,95516,89,95472,4265246,44.65
NH,b,1960-1964,30,0.00105,0.00105,0.5,95427,101,95377,4169774,43.70
NH,b,1960-1964,31,0.00109,0.00109,0.5,95327,104,95275,4074397,42.74
NH,b,1960-1964,32,0.00120,0.00120,0.5,95223,115,95166,3979122,41.79
NH,b,1960-1964,33,0.00135,0.00135,0.5,95108,128,95044,3883957,40.84
NH,b,1960-1964,34,0.00124,0.00124,0.5,94980,118,94921,3788912,39.89
NH,b,1960-1964,35,0.00155,0.00155,0.5,94862,147,94789,3693991,38.94
NH,b,1960-1964,36,0.00160,0.00160,0.5,94716,151,94640,3599202,38.00
NH,b,1960-1964,37,0.00219,0.00218,0.5,94564,207,94461,3504562,37.06
NH,b,1960-1964,38,0.00175,0.00175,0.5,94358,165,94275,3410101,36.14
NH,b,1960-1964,39,0.00214,0.00214,0.5,94192,201,94092,3315826,35.20
NH,b,1960-1964,40,0.00243,0.00243,0.5,93991,228,93877,3221735,34.28
NH,b,1960-1964,41,0.00309,0.00309,0.5,93763,290,93618,3127858,33.36
NH,b,1960-1964,42,0.00298,0.00298,0.5,93473,278,93334,3034240,32.46
NH,b,1960-1964,43,0.00349,0.00349,0.5,93195,325,93032,2940906,31.56
