NH: New Hampshire, Lifetables (period 5x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01838	0.01808	0.1	100000	1808	98381	7455069	74.55
1960-1969	1-4	0.00078	0.00311	1.56	98192	305	392023	7356688	74.92
1960-1969	5-9	0.00032	0.00162	2.25	97887	159	488997	6964665	71.15
1960-1969	10-14	0.00034	0.00168	2.7	97728	164	488263	6475668	66.26
1960-1969	15-19	0.00051	0.00256	2.57	97564	250	487213	5987405	61.37
1960-1969	20-24	0.00052	0.00260	2.35	97315	253	485903	5500192	56.52
1960-1969	25-29	0.00076	0.00380	2.54	97062	369	484402	5014289	51.66
1960-1969	30-34	0.00086	0.00429	2.45	96693	415	482409	4529888	46.85
1960-1969	35-39	0.00142	0.00706	2.71	96278	680	479838	4047479	42.04
1960-1969	40-44	0.00258	0.01281	2.78	95599	1224	475280	3567641	37.32
1960-1969	45-49	0.00393	0.01947	2.69	94374	1837	467625	3092360	32.77
1960-1969	50-54	0.00601	0.02962	2.63	92537	2741	456201	2624735	28.36
1960-1969	55-59	0.00845	0.04144	2.68	89796	3721	440361	2168535	24.15
1960-1969	60-64	0.01329	0.06442	2.63	86075	5545	417243	1728174	20.08
1960-1969	65-69	0.02205	0.10488	2.68	80530	8446	383069	1310931	16.28
1960-1969	70-74	0.03608	0.16614	2.62	72084	11976	331890	927862	12.87
1960-1969	75-79	0.05774	0.25334	2.58	60108	15228	263737	595972	9.91
1960-1969	80-84	0.09223	0.37532	2.52	44880	16845	182637	332235	7.40
1960-1969	85-89	0.15077	0.54075	2.39	28036	15160	100551	149598	5.34
1960-1969	90-94	0.23560	0.70892	2.19	12875	9128	38742	49046	3.81
1960-1969	95-99	0.34731	0.84245	1.94	3748	3157	9091	10304	2.75
1960-1969	100-104	0.47843	0.92411	1.68	590	546	1141	1213	2.05
1960-1969	105-109	0.61346	0.96431	1.45	45	43	70	73	1.62
1960-1969	110+	0.71807	1.00000	1.39	2	2	2	2	1.39
1970-1979	0	0.01203	0.01190	0.09	100000	1190	98913	7703788	77.04
1970-1979	1-4	0.00054	0.00216	1.56	98810	214	394718	7604875	76.96
1970-1979	5-9	0.00024	0.00120	2.33	98596	119	492663	7210157	73.13
1970-1979	10-14	0.00021	0.00104	2.84	98477	103	492166	6717493	68.21
1970-1979	15-19	0.00047	0.00235	2.77	98375	231	491357	6225328	63.28
1970-1979	20-24	0.00046	0.00230	2.73	98143	226	490203	5733971	58.42
1970-1979	25-29	0.00057	0.00283	2.58	97917	278	488916	5243768	53.55
1970-1979	30-34	0.00069	0.00344	2.77	97640	336	487450	4754852	48.70
