PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NH,m,1960-1964,0,0.02729,0.02665,0.12,100000,2665,97650,6726547,67.27
NH,m,1960-1964,1,0.00120,0.00120,0.5,97335,117,97277,6628897,68.10
NH,m,1960-1964,2,0.00077,0.00077,0.5,97218,75,97181,6531620,67.19
NH,m,1960-1964,3,0.00077,0.00077,0.5,97144,75,97106,6434440,66.24
NH,m,1960-1964,4,0.00083,0.00083,0.5,97069,81,97028,6337333,65.29
NH,m,1960-1964,5,0.00061,0.00061,0.5,96988,59,96958,6240305,64.34
NH,m,1960-1964,6,0.00056,0.00056,0.5,96929,55,96901,6143347,63.38
NH,m,1960-1964,7,0.00030,0.00030,0.5,96874,29,96859,6046445,62.42
NH,m,1960-1964,8,0.00053,0.00053,0.5,96845,51,96819,5949586,61.43
NH,m,1960-1964,9,0.00051,0.00051,0.5,96793,49,96769,5852767,60.47
NH,m,1960-1964,10,0.00032,0.00032,0.5,96744,31,96729,5755998,59.50
NH,m,1960-1964,11,0.00033,0.00033,0.5,96713,32,96697,5659270,58.52
NH,m,1960-1964,12,0.00046,0.00046,0.5,96681,44,96659,5562573,57.54
NH,m,1960-1964,13,0.00052,0.00052,0.5,96637,51,96612,5465913,56.56
NH,m,1960-1964,14,0.00078,0.00078,0.5,96586,76,96549,5369302,55.59
NH,m,1960-1964,15,0.00083,0.00083,0.5,96511,80,96471,5272753,54.63
NH,m,1960-1964,16,0.00102,0.00102,0.5,96431,98,96382,5176282,53.68
NH,m,1960-1964,17,0.00135,0.00135,0.5,96333,130,96268,5079900,52.73
NH,m,1960-1964,18,0.00198,0.00198,0.5,96203,190,96108,4983632,51.80
NH,m,1960-1964,19,0.00175,0.00175,0.5,96013,168,95929,4887524,50.90
NH,m,1960-1964,20,0.00126,0.00126,0.5,95845,120,95785,4791595,49.99
NH,m,1960-1964,21,0.00121,0.00120,0.5,95725,115,95667,4695810,49.06
NH,m,1960-1964,22,0.00166,0.00165,0.5,95609,158,95530,4600143,48.11
NH,m,1960-1964,23,0.00222,0.00222,0.5,95451,212,95345,4504613,47.19
NH,m,1960-1964,24,0.00173,0.00173,0.5,95239,165,95157,4409268,46.30
NH,m,1960-1964,25,0.00146,0.00145,0.5,95074,138,95005,4314111,45.38
NH,m,1960-1964,26,0.00184,0.00184,0.5,94936,175,94849,4219105,44.44
NH,m,1960-1964,27,0.00128,0.00128,0.5,94761,122,94701,4124257,43.52
NH,m,1960-1964,28,0.00168,0.00168,0.5,94640,159,94560,4029556,42.58
NH,m,1960-1964,29,0.00102,0.00102,0.5,94481,97,94433,3934996,41.65
NH,m,1960-1964,30,0.00140,0.00140,0.5,94385,132,94319,3840563,40.69
NH,m,1960-1964,31,0.00138,0.00137,0.5,94253,130,94188,3746244,39.75
NH,m,1960-1964,32,0.00157,0.00157,0.5,94123,148,94049,3652057,38.80
NH,m,1960-1964,33,0.00183,0.00183,0.5,93975,172,93890,3558007,37.86
NH,m,1960-1964,34,0.00180,0.00180,0.5,93804,169,93719,3464118,36.93
NH,m,1960-1964,35,0.00214,0.00214,0.5,93635,200,93535,3370398,36.00
NH,m,1960-1964,36,0.00196,0.00196,0.5,93435,183,93344,3276863,35.07
NH,m,1960-1964,37,0.00240,0.00240,0.5,93252,224,93140,3183520,34.14
NH,m,1960-1964,38,0.00218,0.00218,0.5,93029,203,92927,3090379,33.22
NH,m,1960-1964,39,0.00297,0.00297,0.5,92826,276,92688,2997452,32.29
NH,m,1960-1964,40,0.00303,0.00302,0.5,92550,280,92410,2904764,31.39
NH,m,1960-1964,41,0.00420,0.00419,0.5,92270,387,92077,2812354,30.48
NH,m,1960-1964,42,0.00355,0.00355,0.5,91884,326,91721,2720277,29.61
NH,m,1960-1964,43,0.00425,0.00424,0.5,91558,388,91364,2628556,28.71
NH,m,1960-1964,44,0.00481,0.00480,0.5,91170,437,90951,2537192,27.83
NH,m,1960-1964,45,0.00503,0.00501,0.5,90732,455,90505,2446241,26.96
NH,m,1960-1964,46,0.00637,0.00635,0.5,90277,573,89991,2355737,26.09
NH,m,1960-1964,47,0.00525,0.00524,0.5,89704,470,89469,2265746,25.26
NH,m,1960-1964,48,0.00717,0.00714,0.5,89235,637,88916,2176276,24.39
NH,m,1960-1964,49,0.00847,0.00843,0.5,88597,747,88224,2087361,23.56
NH,m,1960-1964,50,0.00858,0.00854,0.5,87850,750,87475,1999137,22.76
NH,m,1960-1964,51,0.01110,0.01104,0.5,87100,961,86620,1911661,21.95
NH,m,1960-1964,52,0.01254,0.01246,0.5,86139,1073,85602,1825042,21.19
NH,m,1960-1964,53,0.01196,0.01189,0.5,85066,1011,84560,1739440,20.45
NH,m,1960-1964,54,0.01395,0.01386,0.5,84054,1165,83472,1654880,19.69
