PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NJ,b,1960-1969,0,0.02307,0.02260,0.11,100000,2260,97994,7022108,70.22
NJ,b,1960-1969,1,0.00127,0.00127,0.5,97740,124,97678,6924114,70.84
NJ,b,1960-1969,2,0.00080,0.00080,0.5,97616,78,97577,6826437,69.93
NJ,b,1960-1969,3,0.00065,0.00065,0.5,97538,63,97506,6728860,68.99
NJ,b,1960-1969,4,0.00058,0.00058,0.5,97474,56,97446,6631354,68.03
NJ,b,1960-1969,5,0.00049,0.00049,0.5,97418,48,97395,6533907,67.07
NJ,b,1960-1969,6,0.00043,0.00043,0.5,97371,42,97350,6436513,66.10
NJ,b,1960-1969,7,0.00041,0.00041,0.5,97329,40,97309,6339163,65.13
NJ,b,1960-1969,8,0.00038,0.00038,0.5,97289,37,97271,6241854,64.16
NJ,b,1960-1969,9,0.00033,0.00033,0.5,97252,32,97236,6144584,63.18
NJ,b,1960-1969,10,0.00032,0.00032,0.5,97220,31,97205,6047347,62.20
NJ,b,1960-1969,11,0.00032,0.00032,0.5,97190,31,97174,5950142,61.22
NJ,b,1960-1969,12,0.00032,0.00032,0.5,97159,31,97143,5852968,60.24
NJ,b,1960-1969,13,0.00037,0.00037,0.5,97127,36,97109,5755825,59.26
NJ,b,1960-1969,14,0.00044,0.00044,0.5,97091,43,97070,5658715,58.28
NJ,b,1960-1969,15,0.00051,0.00051,0.5,97049,49,97024,5561645,57.31
NJ,b,1960-1969,16,0.00055,0.00055,0.5,96999,53,96973,5464621,56.34
NJ,b,1960-1969,17,0.00081,0.00081,0.5,96946,78,96907,5367648,55.37
NJ,b,1960-1969,18,0.00097,0.00097,0.5,96868,94,96821,5270742,54.41
NJ,b,1960-1969,19,0.00104,0.00104,0.5,96774,101,96723,5173921,53.46
NJ,b,1960-1969,20,0.00101,0.00101,0.5,96673,97,96624,5077198,52.52
NJ,b,1960-1969,21,0.00115,0.00115,0.5,96576,111,96520,4980573,51.57
NJ,b,1960-1969,22,0.00112,0.00112,0.5,96464,108,96410,4884053,50.63
NJ,b,1960-1969,23,0.00104,0.00104,0.5,96357,100,96307,4787643,49.69
NJ,b,1960-1969,24,0.00105,0.00105,0.5,96257,101,96206,4691336,48.74
NJ,b,1960-1969,25,0.00112,0.00112,0.5,96155,108,96102,4595130,47.79
NJ,b,1960-1969,26,0.00104,0.00104,0.5,96048,99,95998,4499028,46.84
NJ,b,1960-1969,27,0.00118,0.00118,0.5,95948,113,95891,4403030,45.89
NJ,b,1960-1969,28,0.00123,0.00123,0.5,95835,118,95776,4307139,44.94
NJ,b,1960-1969,29,0.00122,0.00122,0.5,95717,117,95659,4211363,44.00
NJ,b,1960-1969,30,0.00129,0.00129,0.5,95600,123,95539,4115705,43.05
NJ,b,1960-1969,31,0.00128,0.00128,0.5,95477,122,95416,4020166,42.11
NJ,b,1960-1969,32,0.00139,0.00139,0.5,95355,133,95288,3924750,41.16
NJ,b,1960-1969,33,0.00164,0.00164,0.5,95222,156,95144,3829462,40.22
NJ,b,1960-1969,34,0.00167,0.00167,0.5,95066,159,94987,3734318,39.28
NJ,b,1960-1969,35,0.00186,0.00185,0.5,94907,176,94819,3639331,38.35
NJ,b,1960-1969,36,0.00192,0.00192,0.5,94731,182,94640,3544512,37.42
NJ,b,1960-1969,37,0.00220,0.00219,0.5,94549,207,94446,3449872,36.49
NJ,b,1960-1969,38,0.00242,0.00242,0.5,94342,228,94228,3355426,35.57
NJ,b,1960-1969,39,0.00259,0.00258,0.5,94114,243,93992,3261198,34.65
NJ,b,1960-1969,40,0.00291,0.00291,0.5,93871,273,93734,3167206,33.74
NJ,b,1960-1969,41,0.00304,0.00303,0.5,93598,284,93456,3073471,32.84
NJ,b,1960-1969,42,0.00349,0.00349,0.5,93314,326,93151,2980016,31.94
NJ,b,1960-1969,43,0.00380,0.00379,0.5,92988,353,92812,2886864,31.05
NJ,b,1960-1969,44,0.00405,0.00404,0.5,92636,374,92449,2794052,30.16
NJ,b,1960-1969,45,0.00465,0.00464,0.5,92262,428,92048,2701604,29.28
NJ,b,1960-1969,46,0.00496,0.00495,0.5,91834,455,91606,2609556,28.42
NJ,b,1960-1969,47,0.00572,0.00571,0.5,91379,521,91118,2517949,27.56
NJ,b,1960-1969,48,0.00613,0.00611,0.5,90858,555,90580,2426831,26.71
NJ,b,1960-1969,49,0.00680,0.00677,0.5,90303,612,89997,2336251,25.87
NJ,b,1960-1969,50,0.00764,0.00761,0.5,89691,683,89350,2246254,25.04
NJ,b,1960-1969,51,0.00811,0.00808,0.5,89008,719,88649,2156905,24.23
NJ,b,1960-1969,52,0.00929,0.00925,0.5,88289,817,87881,2068256,23.43
NJ,b,1960-1969,53,0.01003,0.00998,0.5,87472,873,87036,1980375,22.64
NJ,b,1960-1969,54,0.01120,0.01114,0.5,86600,965,86117,1893339,21.86
NJ,b,1960-1969,55,0.01176,0.01169,0.5,85635,1001,85135,1807222,21.10
NJ,b,1960-1969,56,0.01289,0.01281,0.5,84634,1084,84092,1722087,20.35
NJ,b,1960-1969,57,0.01427,0.01417,0.5,83550,1184,82959,1637994,19.60
NJ,b,1960-1969,58,0.01527,0.01515,0.5,82367,1248,81743,1555036,18.88
NJ,b,1960-1969,59,0.01679,0.01665,0.5,81119,1351,80443,1473293,18.16
NJ,b,1960-1969,60,0.01806,0.01789,0.5,79768,1427,79054,1392850,17.46
NJ,b,1960-1969,61,0.01947,0.01928,0.5,78340,1511,77585,1313796,16.77
NJ,b,1960-1969,62,0.02241,0.02216,0.5,76830,1702,75979,1236211,16.09
NJ,b,1960-1969,63,0.02397,0.02368,0.5,75127,1779,74238,1160232,15.44
NJ,b,1960-1969,64,0.02539,0.02507,0.5,73348,1839,72429,1085995,14.81
NJ,b,1960-1969,65,0.02834,0.02795,0.5,71509,1999,70510,1013566,14.17
NJ,b,1960-1969,66,0.02958,0.02915,0.5,69510,2026,68497,943056,13.57
NJ,b,1960-1969,67,0.03378,0.03322,0.5,67484,2242,66363,874559,12.96
NJ,b,1960-1969,68,0.03605,0.03541,0.5,65243,2310,64087,808196,12.39
NJ,b,1960-1969,69,0.03801,0.03730,0.5,62932,2347,61759,744108,11.82
NJ,b,1960-1969,70,0.04315,0.04223,0.5,60585,2559,59306,682350,11.26
NJ,b,1960-1969,71,0.04371,0.04277,0.5,58026,2482,56785,623044,10.74
NJ,b,1960-1969,72,0.05162,0.05032,0.5,55544,2795,54147,566259,10.19
NJ,b,1960-1969,73,0.05446,0.05302,0.5,52749,2797,51351,512112,9.71
NJ,b,1960-1969,74,0.05932,0.05761,0.5,49953,2878,48514,460761,9.22
NJ,b,1960-1969,75,0.06575,0.06366,0.5,47075,2997,45576,412248,8.76
NJ,b,1960-1969,76,0.06918,0.06686,0.5,44078,2947,42604,366671,8.32
NJ,b,1960-1969,77,0.07338,0.07078,0.5,41131,2911,39675,324067,7.88
NJ,b,1960-1969,78,0.08246,0.07920,0.5,38219,3027,36706,284392,7.44
NJ,b,1960-1969,79,0.08750,0.08383,0.5,35192,2950,33717,247686,7.04
NJ,b,1960-1969,80,0.09817,0.09358,0.5,32242,3017,30734,213969,6.64
NJ,b,1960-1969,81,0.10043,0.09562,0.5,29225,2795,27828,183235,6.27
NJ,b,1960-1969,82,0.11360,0.10750,0.5,26430,2841,25010,155407,5.88
NJ,b,1960-1969,83,0.12613,0.11865,0.5,23589,2799,22190,130398,5.53
NJ,b,1960-1969,84,0.13872,0.12972,0.5,20790,2697,19442,108208,5.20
NJ,b,1960-1969,85,0.15335,0.14243,0.5,18093,2577,16805,88766,4.91
NJ,b,1960-1969,86,0.16211,0.14996,0.5,15516,2327,14353,71961,4.64
NJ,b,1960-1969,87,0.17755,0.16308,0.5,13190,2151,12114,57608,4.37
NJ,b,1960-1969,88,0.18753,0.17146,0.5,11039,1893,10092,45494,4.12
NJ,b,1960-1969,89,0.20540,0.18627,0.5,9146,1704,8294,35402,3.87
NJ,b,1960-1969,90,0.22933,0.20574,0.5,7442,1531,6677,27108,3.64
NJ,b,1960-1969,91,0.23441,0.20982,0.5,5911,1240,5291,20431,3.46
NJ,b,1960-1969,92,0.26130,0.23111,0.5,4671,1079,4131,15140,3.24
NJ,b,1960-1969,93,0.27858,0.24452,0.5,3591,878,3152,11009,3.07
NJ,b,1960-1969,94,0.29906,0.26016,0.5,2713,706,2360,7856,2.90
NJ,b,1960-1969,95,0.32041,0.27616,0.5,2007,554,1730,5496,2.74
NJ,b,1960-1969,96,0.34258,0.29248,0.5,1453,425,1241,3766,2.59
NJ,b,1960-1969,97,0.36549,0.30902,0.5,1028,318,869,2525,2.46
NJ,b,1960-1969,98,0.38907,0.32571,0.5,710,231,595,1656,2.33
NJ,b,1960-1969,99,0.41322,0.34246,0.5,479,164,397,1061,2.22
NJ,b,1960-1969,100,0.43783,0.35920,0.5,315,113,258,664,2.11
NJ,b,1960-1969,101,0.46279,0.37582,0.5,202,76,164,406,2.01
NJ,b,1960-1969,102,0.48796,0.39226,0.5,126,49,101,242,1.92
NJ,b,1960-1969,103,0.51324,0.40843,0.5,77,31,61,141,1.84
NJ,b,1960-1969,104,0.53847,0.42425,0.5,45,19,36,80,1.76
NJ,b,1960-1969,105,0.56354,0.43966,0.5,26,11,20,44,1.70
NJ,b,1960-1969,106,0.58832,0.45460,0.5,15,7,11,24,1.63
NJ,b,1960-1969,107,0.61268,0.46901,0.5,8,4,6,13,1.58
NJ,b,1960-1969,108,0.63652,0.48285,0.5,4,2,3,6,1.53
NJ,b,1960-1969,109,0.65973,0.49609,0.5,2,1,2,3,1.49
NJ,b,1960-1969,110+,0.68221,1.00000,1.47,1,1,2,2,1.47
NJ,b,1970-1979,0,0.01604,0.01581,0.09,100000,1581,98565,7247036,72.47
NJ,b,1970-1979,1,0.00093,0.00093,0.5,98419,91,98373,7148471,72.63
NJ,b,1970-1979,2,0.00063,0.00063,0.5,98327,62,98296,7050098,71.70
