PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NJ,f,1960-1969,0,0.01992,0.01957,0.11,100000,1957,98256,7347488,73.47
NJ,f,1960-1969,1-4,0.00077,0.00308,1.65,98043,302,391461,7249232,73.94
NJ,f,1960-1969,5-9,0.00034,0.00167,2.29,97741,164,488260,6857771,70.16
NJ,f,1960-1969,10-14,0.00027,0.00136,2.61,97577,133,487568,6369511,65.28
NJ,f,1960-1969,15-19,0.00048,0.00238,2.69,97444,232,486686,5881943,60.36
NJ,f,1960-1969,20-24,0.00063,0.00313,2.57,97212,304,485322,5395257,55.50
NJ,f,1960-1969,25-29,0.00083,0.00413,2.68,96908,401,483612,4909935,50.67
NJ,f,1960-1969,30-34,0.00114,0.00570,2.65,96508,550,481248,4426323,45.86
NJ,f,1960-1969,35-39,0.00176,0.00876,2.67,95958,841,477832,3945075,41.11
NJ,f,1960-1969,40-44,0.00263,0.01308,2.64,95118,1244,472655,3467243,36.45
NJ,f,1960-1969,45-49,0.00423,0.02092,2.67,93873,1964,464783,2994588,31.90
NJ,f,1960-1969,50-54,0.00656,0.03232,2.65,91909,2971,452559,2529805,27.53
NJ,f,1960-1969,55-59,0.00980,0.04789,2.66,88938,4259,434705,2077246,23.36
NJ,f,1960-1969,60-64,0.01496,0.07227,2.66,84679,6120,409055,1642541,19.40
NJ,f,1960-1969,65-69,0.02394,0.11326,2.62,78559,8898,371648,1233486,15.70
NJ,f,1960-1969,70-74,0.03921,0.17927,2.61,69662,12488,318510,861838,12.37
NJ,f,1960-1969,75-79,0.06275,0.27193,2.55,57173,15547,247781,543328,9.50
NJ,f,1960-1969,80-84,0.09975,0.39913,2.5,41626,16614,166563,295547,7.10
NJ,f,1960-1969,85-89,0.16079,0.56289,2.34,25012,14079,87561,128984,5.16
NJ,f,1960-1969,90-94,0.23870,0.71173,2.16,10933,7781,32599,41423,3.79
NJ,f,1960-1969,95-99,0.34106,0.83570,1.95,3152,2634,7722,8824,2.80
NJ,f,1960-1969,100-104,0.46155,0.91571,1.71,518,474,1027,1101,2.13
