PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NJ,m,1960-1969,0,0.02608,0.02549,0.11,100000,2549,97744,6709611,67.10
NJ,m,1960-1969,1,0.00137,0.00137,0.5,97451,133,97384,6611867,67.85
NJ,m,1960-1969,2,0.00079,0.00079,0.5,97318,77,97279,6514482,66.94
NJ,m,1960-1969,3,0.00069,0.00069,0.5,97241,67,97207,6417203,65.99
NJ,m,1960-1969,4,0.00064,0.00064,0.5,97173,62,97142,6319997,65.04
NJ,m,1960-1969,5,0.00056,0.00056,0.5,97111,54,97084,6222854,64.08
NJ,m,1960-1969,6,0.00050,0.00050,0.5,97057,49,97033,6125770,63.11
NJ,m,1960-1969,7,0.00049,0.00049,0.5,97009,48,96985,6028737,62.15
NJ,m,1960-1969,8,0.00044,0.00044,0.5,96961,42,96940,5931752,61.18
NJ,m,1960-1969,9,0.00039,0.00039,0.5,96919,38,96900,5834813,60.20
NJ,m,1960-1969,10,0.00039,0.00039,0.5,96881,38,96862,5737913,59.23
NJ,m,1960-1969,11,0.00036,0.00036,0.5,96843,35,96825,5641051,58.25
NJ,m,1960-1969,12,0.00038,0.00038,0.5,96808,37,96789,5544226,57.27
NJ,m,1960-1969,13,0.00047,0.00047,0.5,96771,45,96748,5447436,56.29
NJ,m,1960-1969,14,0.00056,0.00056,0.5,96725,54,96699,5350688,55.32
NJ,m,1960-1969,15,0.00062,0.00062,0.5,96672,60,96642,5253990,54.35
NJ,m,1960-1969,16,0.00071,0.00071,0.5,96612,69,96577,5157348,53.38
NJ,m,1960-1969,17,0.00114,0.00114,0.5,96543,110,96488,5060770,52.42
NJ,m,1960-1969,18,0.00136,0.00136,0.5,96433,131,96367,4964282,51.48
NJ,m,1960-1969,19,0.00157,0.00156,0.5,96302,151,96226,4867915,50.55
NJ,m,1960-1969,20,0.00146,0.00146,0.5,96151,140,96081,4771689,49.63
NJ,m,1960-1969,21,0.00171,0.00171,0.5,96011,164,95929,4675608,48.70
NJ,m,1960-1969,22,0.00164,0.00163,0.5,95846,157,95768,4579680,47.78
NJ,m,1960-1969,23,0.00150,0.00150,0.5,95690,143,95618,4483912,46.86
NJ,m,1960-1969,24,0.00143,0.00143,0.5,95546,137,95478,4388294,45.93
NJ,m,1960-1969,25,0.00153,0.00152,0.5,95410,145,95337,4292815,44.99
NJ,m,1960-1969,26,0.00141,0.00141,0.5,95264,134,95197,4197478,44.06
NJ,m,1960-1969,27,0.00161,0.00161,0.5,95130,153,95054,4102281,43.12
NJ,m,1960-1969,28,0.00156,0.00156,0.5,94977,148,94903,4007227,42.19
NJ,m,1960-1969,29,0.00145,0.00145,0.5,94829,137,94760,3912324,41.26
NJ,m,1960-1969,30,0.00157,0.00157,0.5,94692,149,94617,3817564,40.32
NJ,m,1960-1969,31,0.00161,0.00161,0.5,94543,153,94466,3722947,39.38
NJ,m,1960-1969,32,0.00166,0.00166,0.5,94390,157,94312,3628481,38.44
NJ,m,1960-1969,33,0.00204,0.00204,0.5,94233,192,94137,3534169,37.50
NJ,m,1960-1969,34,0.00204,0.00204,0.5,94041,192,93945,3440032,36.58
NJ,m,1960-1969,35,0.00225,0.00225,0.5,93849,211,93743,3346087,35.65
NJ,m,1960-1969,36,0.00228,0.00228,0.5,93638,213,93531,3252344,34.73
NJ,m,1960-1969,37,0.00269,0.00269,0.5,93425,251,93299,3158813,33.81
NJ,m,1960-1969,38,0.00296,0.00296,0.5,93173,275,93036,3065514,32.90
NJ,m,1960-1969,39,0.00312,0.00312,0.5,92898,290,92753,2972478,32.00
NJ,m,1960-1969,40,0.00359,0.00358,0.5,92608,332,92442,2879725,31.10
NJ,m,1960-1969,41,0.00379,0.00378,0.5,92276,349,92102,2787282,30.21
NJ,m,1960-1969,42,0.00434,0.00433,0.5,91928,398,91729,2695180,29.32
NJ,m,1960-1969,43,0.00479,0.00478,0.5,91529,437,91311,2603452,28.44
NJ,m,1960-1969,44,0.00517,0.00516,0.5,91092,470,90857,2512141,27.58
NJ,m,1960-1969,45,0.00583,0.00581,0.5,90622,527,90359,2421284,26.72
NJ,m,1960-1969,46,0.00621,0.00619,0.5,90095,558,89816,2330925,25.87
NJ,m,1960-1969,47,0.00726,0.00724,0.5,89538,648,89214,2241109,25.03
NJ,m,1960-1969,48,0.00784,0.00780,0.5,88890,694,88543,2151895,24.21
NJ,m,1960-1969,49,0.00864,0.00861,0.5,88196,759,87817,2063352,23.40
NJ,m,1960-1969,50,0.00964,0.00959,0.5,87437,839,87018,1975536,22.59
NJ,m,1960-1969,51,0.01059,0.01054,0.5,86598,913,86142,1888518,21.81
NJ,m,1960-1969,52,0.01209,0.01202,0.5,85686,1030,85171,1802376,21.03
NJ,m,1960-1969,53,0.01324,0.01315,0.5,84656,1114,84099,1717205,20.28
NJ,m,1960-1969,54,0.01478,0.01467,0.5,83543,1225,82930,1633106,19.55
NJ,m,1960-1969,55,0.01546,0.01534,0.5,82317,1263,81686,1550176,18.83
NJ,m,1960-1969,56,0.01712,0.01698,0.5,81054,1376,80366,1468490,18.12
NJ,m,1960-1969,57,0.01902,0.01884,0.5,79678,1501,78928,1388124,17.42
NJ,m,1960-1969,58,0.02027,0.02006,0.5,78177,1569,77393,1309196,16.75
NJ,m,1960-1969,59,0.02228,0.02203,0.5,76609,1688,75765,1231803,16.08
NJ,m,1960-1969,60,0.02422,0.02393,0.5,74921,1793,74024,1156039,15.43
NJ,m,1960-1969,61,0.02653,0.02618,0.5,73128,1914,72171,1082014,14.80
NJ,m,1960-1969,62,0.03011,0.02966,0.5,71214,2112,70157,1009844,14.18
NJ,m,1960-1969,63,0.03254,0.03202,0.5,69101,2212,67995,939686,13.60
NJ,m,1960-1969,64,0.03444,0.03385,0.5,66889,2264,65757,871691,13.03
NJ,m,1960-1969,65,0.03769,0.03699,0.5,64624,2390,63429,805935,12.47
NJ,m,1960-1969,66,0.03985,0.03907,0.5,62234,2432,61018,742506,11.93
NJ,m,1960-1969,67,0.04583,0.04480,0.5,59802,2679,58463,681488,11.40
NJ,m,1960-1969,68,0.04846,0.04731,0.5,57123,2703,55772,623025,10.91
NJ,m,1960-1969,69,0.05051,0.04926,0.5,54420,2681,53080,567253,10.42
NJ,m,1960-1969,70,0.05610,0.05457,0.5,51739,2824,50328,514174,9.94
NJ,m,1960-1969,71,0.05744,0.05583,0.5,48916,2731,47550,463846,9.48
NJ,m,1960-1969,72,0.06565,0.06356,0.5,46185,2935,44717,416296,9.01
NJ,m,1960-1969,73,0.06980,0.06744,0.5,43249,2917,41791,371579,8.59
NJ,m,1960-1969,74,0.07569,0.07293,0.5,40332,2942,38862,329788,8.18
NJ,m,1960-1969,75,0.08162,0.07842,0.5,37391,2932,35925,290926,7.78
NJ,m,1960-1969,76,0.08671,0.08311,0.5,34459,2864,33027,255001,7.40
NJ,m,1960-1969,77,0.09148,0.08748,0.5,31595,2764,30213,221974,7.03
NJ,m,1960-1969,78,0.09989,0.09513,0.5,28831,2743,27460,191761,6.65
NJ,m,1960-1969,79,0.10560,0.10030,0.5,26088,2617,24780,164301,6.30
NJ,m,1960-1969,80,0.11786,0.11130,0.5,23472,2612,22165,139521,5.94
NJ,m,1960-1969,81,0.12208,0.11506,0.5,20859,2400,19659,117356,5.63
NJ,m,1960-1969,82,0.13630,0.12760,0.5,18459,2355,17282,97697,5.29
NJ,m,1960-1969,83,0.14908,0.13874,0.5,16104,2234,14987,80415,4.99
NJ,m,1960-1969,84,0.16462,0.15210,0.5,13870,2110,12815,65429,4.72
NJ,m,1960-1969,85,0.17908,0.16437,0.5,11760,1933,10793,52614,4.47
NJ,m,1960-1969,86,0.18562,0.16985,0.5,9827,1669,8992,41820,4.26
NJ,m,1960-1969,87,0.19750,0.17975,0.5,8158,1466,7425,32828,4.02
NJ,m,1960-1969,88,0.20722,0.18777,0.5,6692,1256,6063,25403,3.80
NJ,m,1960-1969,89,0.23188,0.20779,0.5,5435,1129,4870,19340,3.56
NJ,m,1960-1969,90,0.25351,0.22499,0.5,4306,969,3821,14470,3.36
NJ,m,1960-1969,91,0.27059,0.23834,0.5,3337,795,2939,10648,3.19
NJ,m,1960-1969,92,0.29258,0.25524,0.5,2542,649,2217,7709,3.03
NJ,m,1960-1969,93,0.30203,0.26240,0.5,1893,497,1645,5492,2.90
NJ,m,1960-1969,94,0.32157,0.27703,0.5,1396,387,1203,3847,2.76
NJ,m,1960-1969,95,0.34176,0.29188,0.5,1009,295,862,2644,2.62
NJ,m,1960-1969,96,0.36253,0.30690,0.5,715,219,605,1782,2.49
NJ,m,1960-1969,97,0.38383,0.32203,0.5,495,160,416,1177,2.38
NJ,m,1960-1969,98,0.40559,0.33721,0.5,336,113,279,761,2.27
NJ,m,1960-1969,99,0.42772,0.35236,0.5,223,78,183,482,2.17
NJ,m,1960-1969,100,0.45015,0.36745,0.5,144,53,118,299,2.07
NJ,m,1960-1969,101,0.47278,0.38239,0.5,91,35,74,181,1.99
NJ,m,1960-1969,102,0.49552,0.39713,0.5,56,22,45,107,1.91
