NJ: New Jersey, Lifetables (period 5x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02746	0.02681	0.12	100000	2681	97637	6704643	67.05
1960-1964	1-4	0.00090	0.00358	1.68	97319	349	388466	6607006	67.89
1960-1964	5-9	0.00049	0.00244	2.4	96970	236	484236	6218540	64.13
1960-1964	10-14	0.00042	0.00212	2.65	96734	205	483186	5734304	59.28
1960-1964	15-19	0.00094	0.00469	2.92	96529	453	481703	5251118	54.40
1960-1964	20-24	0.00145	0.00724	2.44	96076	696	478600	4769415	49.64
1960-1964	25-29	0.00137	0.00685	2.52	95380	653	475282	4290815	44.99
1960-1964	30-34	0.00170	0.00846	2.67	94727	802	471765	3815533	40.28
1960-1964	35-39	0.00258	0.01281	2.69	93925	1203	466851	3343767	35.60
1960-1964	40-44	0.00425	0.02103	2.69	92722	1950	459112	2876916	31.03
1960-1964	45-49	0.00730	0.03588	2.71	90771	3257	446411	2417804	26.64
1960-1964	50-54	0.01232	0.05989	2.69	87515	5241	425463	1971393	22.53
1960-1964	55-59	0.01915	0.09156	2.62	82274	7533	393459	1545930	18.79
1960-1964	60-64	0.02946	0.13772	2.63	74741	10293	349336	1152471	15.42
1960-1964	65-69	0.04454	0.20084	2.55	64447	12943	290569	803135	12.46
1960-1964	70-74	0.06417	0.27676	2.52	51504	14254	222131	512566	9.95
1960-1964	75-79	0.09031	0.36731	2.46	37250	13682	151505	290435	7.80
1960-1964	80-84	0.13555	0.50133	2.4	23568	11815	87163	138930	5.89
1960-1964	85-89	0.19941	0.64264	2.23	11753	7553	37875	51767	4.40
1960-1964	90-94	0.28333	0.77147	2.05	4200	3240	11436	13893	3.31
1960-1964	95-99	0.37822	0.86458	1.86	960	830	2194	2457	2.56
1960-1964	100-104	0.48778	0.92601	1.65	130	120	247	263	2.02
1960-1964	105-109	0.59902	0.96013	1.46	10	9	15	16	1.66
1960-1964	110+	0.68654	1.00000	1.46	0	0	1	1	1.46
1965-1969	0	0.02455	0.02403	0.11	100000	2403	97864	6716146	67.16
1965-1969	1-4	0.00085	0.00339	1.66	97597	330	389615	6618282	67.81
1965-1969	5-9	0.00047	0.00232	2.27	97267	226	485715	6228667	64.04
1965-1969	10-14	0.00044	0.00219	2.75	97041	212	484724	5742952	59.18
1965-1969	15-19	0.00120	0.00597	3	96828	578	482983	5258228	54.30
1965-1969	20-24	0.00162	0.00807	2.48	96250	776	479290	4775245	49.61
1965-1969	25-29	0.00163	0.00812	2.48	95473	775	475416	4295955	45.00
1965-1969	30-34	0.00188	0.00937	2.63	94698	887	471392	3820539	40.34
1965-1969	35-39	0.00275	0.01365	2.66	93811	1281	466058	3349148	35.70
1965-1969	40-44	0.00442	0.02186	2.67	92531	2023	457946	2883090	31.16
1965-1969	45-49	0.00701	0.03447	2.66	90508	3120	445252	2425144	26.79
1965-1969	50-54	0.01178	0.05734	2.69	87388	5010	425371	1979891	22.66
1965-1969	55-59	0.01843	0.08833	2.66	82377	7276	394844	1554520	18.87
1965-1969	60-64	0.02936	0.13715	2.61	75101	10300	350879	1159676	15.44
1965-1969	65-69	0.04379	0.19795	2.58	64801	12827	292946	808797	12.48
