NM: New Mexico, Lifetables (period 1x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02817	0.02749	0.13	100000	2749	97613	7352389	73.52
1960-1964	1	0.00250	0.00250	0.5	97251	243	97129	7254776	74.60
1960-1964	2	0.00115	0.00115	0.5	97008	112	96952	7157647	73.78
1960-1964	3	0.00106	0.00106	0.5	96896	103	96845	7060695	72.87
1960-1964	4	0.00073	0.00073	0.5	96794	70	96759	6963850	71.95
1960-1964	5	0.00054	0.00054	0.5	96723	52	96697	6867091	71.00
1960-1964	6	0.00046	0.00046	0.5	96671	44	96649	6770394	70.04
1960-1964	7	0.00037	0.00037	0.5	96627	36	96609	6673745	69.07
1960-1964	8	0.00036	0.00036	0.5	96591	35	96574	6577136	68.09
1960-1964	9	0.00032	0.00032	0.5	96556	31	96541	6480563	67.12
1960-1964	10	0.00042	0.00042	0.5	96525	41	96505	6384022	66.14
1960-1964	11	0.00040	0.00040	0.5	96484	39	96465	6287517	65.17
1960-1964	12	0.00022	0.00022	0.5	96446	22	96435	6191052	64.19
1960-1964	13	0.00042	0.00042	0.5	96424	41	96404	6094617	63.21
1960-1964	14	0.00042	0.00042	0.5	96383	41	96363	5998214	62.23
1960-1964	15	0.00045	0.00045	0.5	96342	43	96321	5901851	61.26
1960-1964	16	0.00063	0.00063	0.5	96299	60	96269	5805530	60.29
1960-1964	17	0.00074	0.00074	0.5	96239	71	96203	5709261	59.32
1960-1964	18	0.00087	0.00087	0.5	96168	84	96126	5613058	58.37
1960-1964	19	0.00097	0.00097	0.5	96084	93	96037	5516932	57.42
1960-1964	20	0.00095	0.00095	0.5	95991	91	95945	5420895	56.47
1960-1964	21	0.00145	0.00145	0.5	95899	139	95830	5324950	55.53
1960-1964	22	0.00054	0.00054	0.5	95760	51	95735	5229120	54.61
1960-1964	23	0.00097	0.00097	0.5	95709	93	95663	5133385	53.64
1960-1964	24	0.00131	0.00130	0.5	95617	125	95554	5037722	52.69
1960-1964	25	0.00125	0.00125	0.5	95492	119	95432	4942168	51.75
1960-1964	26	0.00095	0.00095	0.5	95373	91	95327	4846736	50.82
1960-1964	27	0.00115	0.00115	0.5	95282	109	95227	4751409	49.87
1960-1964	28	0.00111	0.00111	0.5	95172	106	95119	4656182	48.92
1960-1964	29	0.00120	0.00120	0.5	95066	114	95009	4561062	47.98
1960-1964	30	0.00152	0.00151	0.5	94952	144	94880	4466053	47.03
1960-1964	31	0.00105	0.00105	0.5	94808	100	94758	4371173	46.11
1960-1964	32	0.00111	0.00111	0.5	94709	105	94656	4276415	45.15
1960-1964	33	0.00124	0.00124	0.5	94604	117	94545	4181759	44.20
1960-1964	34	0.00152	0.00152	0.5	94487	143	94415	4087214	43.26
1960-1964	35	0.00201	0.00201	0.5	94343	190	94249	3992799	42.32
1960-1964	36	0.00177	0.00177	0.5	94154	167	94070	3898550	41.41
1960-1964	37	0.00166	0.00166	0.5	93987	156	93909	3804480	40.48
1960-1964	38	0.00174	0.00174	0.5	93831	163	93749	3710571	39.55
1960-1964	39	0.00266	0.00265	0.5	93668	249	93544	3616821	38.61
1960-1964	40	0.00251	0.00250	0.5	93419	234	93302	3523278	37.71
1960-1964	41	0.00262	0.00261	0.5	93185	243	93064	3429975	36.81
1960-1964	42	0.00263	0.00263	0.5	92942	244	92820	3336912	35.90
1960-1964	43	0.00303	0.00303	0.5	92698	280	92558	3244092	35.00
1960-1964	44	0.00328	0.00327	0.5	92417	303	92266	3151534	34.10
1960-1964	45	0.00325	0.00324	0.5	92115	298	91966	3059268	33.21
1960-1964	46	0.00420	0.00419	0.5	91816	385	91624	2967302	32.32
1960-1964	47	0.00448	0.00447	0.5	91432	409	91227	2875678	31.45
1960-1964	48	0.00368	0.00367	0.5	91023	334	90856	2784451	30.59
1960-1964	49	0.00490	0.00489	0.5	90689	444	90467	2693595	29.70
1960-1964	50	0.00468	0.00467	0.5	90245	422	90034	2603128	28.85
1960-1964	51	0.00578	0.00576	0.5	89823	517	89565	2513094	27.98
1960-1964	52	0.00572	0.00570	0.5	89306	509	89051	2423529	27.14
1960-1964	53	0.00526	0.00525	0.5	88797	466	88564	2334478	26.29
1960-1964	54	0.00701	0.00699	0.5	88331	617	88022	2245914	25.43
1960-1964	55	0.00767	0.00764	0.5	87714	670	87379	2157892	24.60
1960-1964	56	0.00813	0.00810	0.5	87043	705	86691	2070513	23.79
1960-1964	57	0.00801	0.00798	0.5	86338	689	85994	1983822	22.98
1960-1964	58	0.00872	0.00869	0.5	85649	744	85277	1897829	22.16
1960-1964	59	0.01050	0.01045	0.5	84905	887	84462	1812551	21.35
1960-1964	60	0.01036	0.01030	0.5	84018	866	83585	1728090	20.57
1960-1964	61	0.01118	0.01112	0.5	83153	924	82690	1644504	19.78
1960-1964	62	0.01365	0.01356	0.5	82228	1115	81671	1561814	18.99
1960-1964	63	0.01543	0.01532	0.5	81114	1242	80492	1480143	18.25
1960-1964	64	0.01507	0.01496	0.5	79871	1195	79274	1399650	17.52
1960-1964	65	0.01729	0.01714	0.5	78677	1349	78002	1320376	16.78
1960-1964	66	0.02071	0.02050	0.5	77328	1585	76535	1242374	16.07
1960-1964	67	0.02035	0.02015	0.5	75743	1526	74980	1165838	15.39
1960-1964	68	0.02137	0.02114	0.5	74217	1569	73432	1090859	14.70
1960-1964	69	0.02187	0.02164	0.5	72648	1572	71862	1017427	14.00
1960-1964	70	0.02507	0.02476	0.5	71076	1760	70196	945565	13.30
1960-1964	71	0.02962	0.02919	0.5	69316	2023	68305	875369	12.63
1960-1964	72	0.03466	0.03407	0.5	67293	2293	66147	807064	11.99
1960-1964	73	0.03755	0.03686	0.5	65000	2396	63802	740918	11.40
1960-1964	74	0.04233	0.04145	0.5	62604	2595	61307	677116	10.82
1960-1964	75	0.04597	0.04493	0.5	60009	2697	58661	615809	10.26
1960-1964	76	0.04891	0.04775	0.5	57313	2736	55945	557147	9.72
1960-1964	77	0.04854	0.04739	0.5	54576	2586	53283	501203	9.18
1960-1964	78	0.05826	0.05661	0.5	51990	2943	50519	447919	8.62
1960-1964	79	0.06462	0.06260	0.5	49047	3070	47512	397401	8.10
1960-1964	80	0.08000	0.07692	0.5	45977	3537	44209	349888	7.61
1960-1964	81	0.08714	0.08350	0.5	42440	3544	40669	305680	7.20
1960-1964	82	0.09485	0.09056	0.5	38897	3522	37135	265011	6.81
1960-1964	83	0.10317	0.09811	0.5	35374	3471	33639	227876	6.44
1960-1964	84	0.11213	0.10617	0.5	31904	3387	30210	194237	6.09
1960-1964	85	0.12176	0.11477	0.5	28516	3273	26880	164027	5.75
1960-1964	86	0.13209	0.12391	0.5	25244	3128	23680	137147	5.43
1960-1964	87	0.14316	0.13359	0.5	22116	2955	20639	113467	5.13
1960-1964	88	0.15498	0.14384	0.5	19161	2756	17783	92828	4.84
1960-1964	89	0.16760	0.15464	0.5	16405	2537	15137	75045	4.57
1960-1964	90	0.18102	0.16600	0.5	13868	2302	12717	59908	4.32
1960-1964	91	0.19526	0.17790	0.5	11566	2058	10537	47191	4.08
1960-1964	92	0.21034	0.19032	0.5	9509	1810	8604	36654	3.85
1960-1964	93	0.22625	0.20326	0.5	7699	1565	6916	28050	3.64
1960-1964	94	0.24300	0.21668	0.5	6134	1329	5469	21133	3.45
1960-1964	95	0.26057	0.23054	0.5	4805	1108	4251	15664	3.26
1960-1964	96	0.27894	0.24480	0.5	3697	905	3245	11413	3.09
1960-1964	97	0.29809	0.25942	0.5	2792	724	2430	8168	2.93
1960-1964	98	0.31797	0.27435	0.5	2068	567	1784	5738	2.78
1960-1964	99	0.33853	0.28953	0.5	1500	434	1283	3954	2.64
1960-1964	100	0.35973	0.30489	0.5	1066	325	904	2671	2.51
1960-1964	101	0.38149	0.32038	0.5	741	237	622	1767	2.38
1960-1964	102	0.40373	0.33592	0.5	504	169	419	1145	2.27
1960-1964	103	0.42637	0.35145	0.5	334	118	276	726	2.17
1960-1964	104	0.44933	0.36690	0.5	217	80	177	450	2.08
1960-1964	105	0.47251	0.38221	0.5	137	52	111	273	1.99
1960-1964	106	0.49580	0.39731	0.5	85	34	68	162	1.91
1960-1964	107	0.51912	0.41214	0.5	51	21	41	94	1.84
1960-1964	108	0.54235	0.42665	0.5	30	13	24	53	1.78
1960-1964	109	0.56539	0.44079	0.5	17	8	13	30	1.73
1960-1964	110+	0.58816	1.00000	1.7	10	10	16	16	1.70
1965-1969	0	0.02215	0.02172	0.12	100000	2172	98078	7457488	74.57
1965-1969	1	0.00193	0.00193	0.5	97828	189	97734	7359410	75.23
1965-1969	2	0.00095	0.00095	0.5	97639	93	97593	7261677	74.37
1965-1969	3	0.00100	0.00100	0.5	97546	97	97498	7164084	73.44
1965-1969	4	0.00057	0.00057	0.5	97449	56	97421	7066586	72.52
1965-1969	5	0.00054	0.00054	0.5	97393	53	97367	6969165	71.56
1965-1969	6	0.00051	0.00051	0.5	97341	49	97316	6871798	70.60
1965-1969	7	0.00025	0.00025	0.5	97291	25	97279	6774482	69.63
1965-1969	8	0.00044	0.00044	0.5	97267	43	97245	6677203	68.65
1965-1969	9	0.00022	0.00022	0.5	97224	22	97213	6579958	67.68
1965-1969	10	0.00028	0.00028	0.5	97202	27	97188	6482745	66.69
1965-1969	11	0.00028	0.00028	0.5	97175	27	97161	6385557	65.71
1965-1969	12	0.00014	0.00014	0.5	97148	13	97141	6288396	64.73
1965-1969	13	0.00047	0.00047	0.5	97135	46	97112	6191254	63.74
1965-1969	14	0.00042	0.00042	0.5	97089	40	97069	6094143	62.77
1965-1969	15	0.00070	0.00070	0.5	97049	68	97015	5997074	61.79
1965-1969	16	0.00069	0.00069	0.5	96981	67	96947	5900059	60.84
1965-1969	17	0.00053	0.00053	0.5	96914	52	96888	5803112	59.88
1965-1969	18	0.00072	0.00072	0.5	96862	70	96827	5706224	58.91
1965-1969	19	0.00082	0.00082	0.5	96793	79	96753	5609396	57.95
1965-1969	20	0.00089	0.00089	0.5	96713	86	96670	5512644	57.00
1965-1969	21	0.00069	0.00069	0.5	96627	67	96594	5415973	56.05
1965-1969	22	0.00081	0.00081	0.5	96560	78	96521	5319380	55.09
1965-1969	23	0.00086	0.00086	0.5	96482	83	96441	5222858	54.13
1965-1969	24	0.00118	0.00118	0.5	96399	114	96342	5126417	53.18
1965-1969	25	0.00115	0.00115	0.5	96285	111	96230	5030075	52.24
1965-1969	26	0.00103	0.00103	0.5	96174	99	96125	4933845	51.30
1965-1969	27	0.00111	0.00111	0.5	96076	107	96022	4837720	50.35
1965-1969	28	0.00103	0.00103	0.5	95969	99	95920	4741698	49.41
1965-1969	29	0.00113	0.00113	0.5	95870	109	95816	4645778	48.46
1965-1969	30	0.00099	0.00098	0.5	95762	94	95714	4549962	47.51
1965-1969	31	0.00132	0.00132	0.5	95667	126	95604	4454247	46.56
1965-1969	32	0.00110	0.00110	0.5	95541	105	95488	4358643	45.62
1965-1969	33	0.00113	0.00113	0.5	95436	108	95382	4263155	44.67
1965-1969	34	0.00165	0.00165	0.5	95328	157	95249	4167773	43.72
1965-1969	35	0.00159	0.00159	0.5	95170	151	95095	4072524	42.79
1965-1969	36	0.00181	0.00181	0.5	95020	172	94934	3977429	41.86
1965-1969	37	0.00156	0.00156	0.5	94848	148	94774	3882495	40.93
1965-1969	38	0.00196	0.00195	0.5	94700	185	94607	3787722	40.00
1965-1969	39	0.00226	0.00226	0.5	94515	213	94408	3693114	39.07
1965-1969	40	0.00214	0.00214	0.5	94302	202	94201	3598706	38.16
1965-1969	41	0.00279	0.00279	0.5	94100	262	93969	3504505	37.24
1965-1969	42	0.00282	0.00281	0.5	93838	264	93706	3410536	36.35
1965-1969	43	0.00324	0.00323	0.5	93574	302	93423	3316830	35.45
1965-1969	44	0.00345	0.00345	0.5	93271	321	93111	3223408	34.56
1965-1969	45	0.00298	0.00298	0.5	92950	277	92812	3130297	33.68
1965-1969	46	0.00388	0.00388	0.5	92673	359	92494	3037485	32.78
1965-1969	47	0.00424	0.00423	0.5	92314	390	92119	2944992	31.90
1965-1969	48	0.00359	0.00358	0.5	91924	329	91759	2852873	31.04
1965-1969	49	0.00402	0.00401	0.5	91595	368	91411	2761113	30.14
1965-1969	50	0.00512	0.00511	0.5	91227	466	90994	2669703	29.26
1965-1969	51	0.00569	0.00567	0.5	90761	515	90504	2578709	28.41
1965-1969	52	0.00642	0.00640	0.5	90246	577	89958	2488205	27.57
1965-1969	53	0.00568	0.00567	0.5	89669	508	89415	2398247	26.75
1965-1969	54	0.00655	0.00653	0.5	89161	582	88870	2308832	25.90
1965-1969	55	0.00645	0.00643	0.5	88579	570	88294	2219962	25.06
