NM: New Mexico, Lifetables (period 5x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02933	0.02860	0.14	100000	2860	97526	7350828	73.51
1959	1-4	0.00160	0.00639	1.46	97140	621	386980	7253301	74.67
1959	5-9	0.00056	0.00280	2.26	96519	270	481854	6866322	71.14
1959	10-14	0.00039	0.00195	2.66	96249	187	480806	6384468	66.33
1959	15-19	0.00099	0.00494	2.26	96062	474	479010	5903662	61.46
1959	20-24	0.00105	0.00523	2.51	95587	500	476689	5424652	56.75
1959	25-29	0.00091	0.00455	2.65	95087	433	474421	4947963	52.04
1959	30-34	0.00136	0.00678	2.58	94654	642	471719	4473543	47.26
1959	35-39	0.00156	0.00778	2.49	94013	731	468229	4001823	42.57
1959	40-44	0.00291	0.01444	2.57	93281	1347	463133	3533594	37.88
1959	45-49	0.00435	0.02154	2.58	91935	1981	454872	3070462	33.40
1959	50-54	0.00599	0.02949	2.51	89954	2652	443164	2615589	29.08
1959	55-59	0.00738	0.03627	2.64	87302	3166	429036	2172425	24.88
1959	60-64	0.01216	0.05910	2.6	84135	4972	408754	1743389	20.72
1959	65-69	0.02088	0.09956	2.67	79163	7882	377417	1334635	16.86
1959	70-74	0.03331	0.15500	2.76	71282	11049	331699	957218	13.43
1959	75-79	0.05318	0.23614	2.63	60233	14223	267456	625519	10.39
1959	80-84	0.09065	0.36914	2.49	46010	16984	187367	358063	7.78
1959	85-89	0.13632	0.50246	2.38	29025	14584	106987	170696	5.88
1959	90-94	0.19938	0.64337	2.24	14441	9291	46599	63710	4.41
1959	95-99	0.28139	0.77043	2.06	5150	3968	14101	17111	3.32
1959	100-104	0.38054	0.86634	1.86	1182	1024	2692	3010	2.55
1959	105-109	0.49072	0.92725	1.65	158	147	299	318	2.01
1959	110+	0.58198	1.00000	1.72	11	11	20	20	1.72
1960	0	0.03086	0.03006	0.14	100000	3006	97413	7292933	72.93
1960	1-4	0.00147	0.00587	1.55	96994	570	386579	7195521	74.19
1960	5-9	0.00043	0.00213	2.01	96424	205	481506	6808941	70.61
