PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NM,m,1960-1964,0,0.03435,0.03336,0.14,100000,3336,97121,6666294,66.66
NM,m,1960-1964,1,0.00270,0.00270,0.5,96664,261,96533,6569172,67.96
NM,m,1960-1964,2,0.00169,0.00168,0.5,96403,162,96322,6472639,67.14
NM,m,1960-1964,3,0.00136,0.00135,0.5,96240,130,96175,6376317,66.25
NM,m,1960-1964,4,0.00088,0.00088,0.5,96110,84,96068,6280142,65.34
NM,m,1960-1964,5,0.00080,0.00080,0.5,96026,77,95987,6184074,64.40
NM,m,1960-1964,6,0.00040,0.00040,0.5,95949,38,95930,6088087,63.45
NM,m,1960-1964,7,0.00067,0.00067,0.5,95911,64,95878,5992157,62.48
NM,m,1960-1964,8,0.00050,0.00050,0.5,95846,48,95822,5896278,61.52
NM,m,1960-1964,9,0.00042,0.00042,0.5,95799,40,95779,5800456,60.55
NM,m,1960-1964,10,0.00043,0.00043,0.5,95759,41,95738,5704677,59.57
NM,m,1960-1964,11,0.00038,0.00038,0.5,95718,36,95700,5608939,58.60
NM,m,1960-1964,12,0.00080,0.00080,0.5,95682,76,95643,5513240,57.62
NM,m,1960-1964,13,0.00086,0.00086,0.5,95605,82,95564,5417596,56.67
NM,m,1960-1964,14,0.00084,0.00084,0.5,95523,80,95483,5322032,55.71
NM,m,1960-1964,15,0.00128,0.00128,0.5,95443,122,95382,5226550,54.76
NM,m,1960-1964,16,0.00155,0.00155,0.5,95321,147,95247,5131168,53.83
NM,m,1960-1964,17,0.00151,0.00151,0.5,95173,143,95102,5035921,52.91
NM,m,1960-1964,18,0.00301,0.00301,0.5,95030,286,94887,4940819,51.99
NM,m,1960-1964,19,0.00260,0.00260,0.5,94744,246,94621,4845932,51.15
NM,m,1960-1964,20,0.00318,0.00317,0.5,94498,300,94348,4751311,50.28
NM,m,1960-1964,21,0.00269,0.00269,0.5,94198,253,94071,4656963,49.44
NM,m,1960-1964,22,0.00260,0.00260,0.5,93945,244,93822,4562892,48.57
NM,m,1960-1964,23,0.00273,0.00273,0.5,93700,255,93573,4469070,47.70
NM,m,1960-1964,24,0.00224,0.00223,0.5,93445,209,93340,4375497,46.82
NM,m,1960-1964,25,0.00259,0.00259,0.5,93236,241,93116,4282157,45.93
NM,m,1960-1964,26,0.00253,0.00253,0.5,92995,235,92877,4189041,45.05
NM,m,1960-1964,27,0.00290,0.00289,0.5,92760,268,92626,4096164,44.16
NM,m,1960-1964,28,0.00233,0.00233,0.5,92491,215,92384,4003538,43.29
NM,m,1960-1964,29,0.00207,0.00207,0.5,92276,191,92181,3911154,42.39
NM,m,1960-1964,30,0.00213,0.00213,0.5,92085,196,91987,3818973,41.47
NM,m,1960-1964,31,0.00275,0.00275,0.5,91889,252,91763,3726986,40.56
NM,m,1960-1964,32,0.00214,0.00213,0.5,91637,196,91539,3635223,39.67
NM,m,1960-1964,33,0.00296,0.00295,0.5,91441,270,91306,3543684,38.75
NM,m,1960-1964,34,0.00282,0.00281,0.5,91171,256,91043,3452378,37.87
NM,m,1960-1964,35,0.00339,0.00339,0.5,90915,308,90761,3361335,36.97
NM,m,1960-1964,36,0.00358,0.00357,0.5,90607,323,90445,3270574,36.10
NM,m,1960-1964,37,0.00313,0.00312,0.5,90284,282,90143,3180129,35.22
NM,m,1960-1964,38,0.00424,0.00423,0.5,90002,381,89811,3089986,34.33
NM,m,1960-1964,39,0.00419,0.00418,0.5,89621,374,89434,3000175,33.48
NM,m,1960-1964,40,0.00476,0.00475,0.5,89247,424,89035,2910741,32.61
NM,m,1960-1964,41,0.00459,0.00458,0.5,88823,407,88620,2821706,31.77
NM,m,1960-1964,42,0.00463,0.00462,0.5,88416,409,88212,2733086,30.91
NM,m,1960-1964,43,0.00377,0.00376,0.5,88008,331,87842,2644875,30.05
NM,m,1960-1964,44,0.00605,0.00603,0.5,87677,528,87412,2557032,29.16
NM,m,1960-1964,45,0.00530,0.00528,0.5,87148,461,86918,2469620,28.34
NM,m,1960-1964,46,0.00624,0.00622,0.5,86688,540,86418,2382702,27.49
