PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NV,f,1959,0,0.02738,0.02675,0.13,100000,2675,97672,7347283,73.47
NV,f,1959,1-4,0.00094,0.00374,1.63,97325,364,388441,7249611,74.49
NV,f,1959,5-9,0.00030,0.00151,2.79,96962,146,484486,6861170,70.76
NV,f,1959,10-14,0.00049,0.00247,2.6,96816,239,483503,6376685,65.86
NV,f,1959,15-19,0.00085,0.00424,1.94,96576,410,481627,5893182,61.02
NV,f,1959,20-24,0.00140,0.00698,3.16,96167,671,479599,5411555,56.27
NV,f,1959,25-29,0.00102,0.00509,2.69,95496,486,476356,4931956,51.65
NV,f,1959,30-34,0.00086,0.00431,2.16,95010,410,473885,4455600,46.90
NV,f,1959,35-39,0.00274,0.01361,2.97,94600,1288,470381,3981715,42.09
NV,f,1959,40-44,0.00398,0.01974,2.73,93312,1842,462384,3511334,37.63
NV,f,1959,45-49,0.00560,0.02759,2.19,91470,2524,450254,3048950,33.33
NV,f,1959,50-54,0.00710,0.03493,2.77,88947,3107,437796,2598695,29.22
NV,f,1959,55-59,0.00980,0.04794,2.8,85840,4115,420145,2160900,25.17
NV,f,1959,60-64,0.01057,0.05176,3,81725,4230,400177,1740754,21.30
NV,f,1959,65-69,0.01868,0.08937,2.59,77495,6926,370776,1340577,17.30
NV,f,1959,70-74,0.02915,0.13663,2.71,70569,9642,330768,969802,13.74
NV,f,1959,75-79,0.04776,0.21350,2.52,60927,13008,272383,639033,10.49
NV,f,1959,80-84,0.07884,0.33186,2.62,47919,15902,201712,366650,7.65
NV,f,1959,85-89,0.15107,0.54498,2.44,32017,17448,115499,164938,5.15
NV,f,1959,90-94,0.26711,0.76005,2.17,14568,11073,41454,49439,3.39
NV,f,1959,95-99,0.42496,0.90183,1.81,3496,3152,7418,7985,2.28
NV,f,1959,100-104,0.60083,0.96364,1.48,343,331,550,567,1.65
NV,f,1959,105-109,0.75674,0.98465,1.24,12,12,16,16,1.32
NV,f,1959,110+,0.85704,1.00000,1.17,0,0,0,0,1.17
NV,f,1960,0,0.02813,0.02746,0.13,100000,2746,97616,7242526,72.43
NV,f,1960,1-4,0.00105,0.00418,1.82,97254,407,388128,7144910,73.47
NV,f,1960,5-9,0.00096,0.00479,2.27,96847,464,482970,6756781,69.77
NV,f,1960,10-14,0.00046,0.00229,2.89,96383,221,481449,6273811,65.09
NV,f,1960,15-19,0.00041,0.00203,2.62,96162,195,480344,5792362,60.24
NV,f,1960,20-24,0.00043,0.00217,1.93,95967,208,479194,5312018,55.35
NV,f,1960,25-29,0.00091,0.00455,3.39,95759,436,478092,4832824,50.47
NV,f,1960,30-34,0.00276,0.01371,2.66,95323,1307,473551,4354732,45.68
NV,f,1960,35-39,0.00230,0.01145,2.9,94016,1077,467815,3881181,41.28
NV,f,1960,40-44,0.00383,0.01897,2.53,92939,1763,460337,3413366,36.73
NV,f,1960,45-49,0.00619,0.03049,2.56,91176,2780,449096,2953030,32.39
NV,f,1960,50-54,0.00704,0.03458,2.53,88396,3057,434439,2503933,28.33
NV,f,1960,55-59,0.00991,0.04844,2.7,85339,4134,417204,2069494,24.25
NV,f,1960,60-64,0.01641,0.07913,2.77,81206,6426,391674,1652290,20.35
NV,f,1960,65-69,0.02180,0.10368,2.65,74780,7753,355688,1260616,16.86
NV,f,1960,70-74,0.04109,0.18699,2.6,67027,12534,305029,904928,13.50
NV,f,1960,75-79,0.04809,0.21645,2.69,54493,11795,245278,599899,11.01
NV,f,1960,80-84,0.08031,0.33487,2.52,42698,14298,178040,354621,8.31
NV,f,1960,85-89,0.12457,0.47141,2.42,28400,13388,107472,176581,6.22
NV,f,1960,90-94,0.18761,0.62101,2.28,15012,9323,49691,69109,4.60
NV,f,1960,95-99,0.27178,0.75897,2.09,5689,4318,15889,19418,3.41
NV,f,1960,100-104,0.37552,0.86336,1.87,1371,1184,3153,3529,2.57
NV,f,1960,105-109,0.49204,0.92831,1.65,187,174,354,376,2.01
NV,f,1960,110+,0.58888,1.00000,1.7,13,13,23,23,1.70
