NV: Nevada, Lifetables (period 1x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03462	0.03361	0.14	100000	3361	97102	6461272	64.61
1960-1964	1	0.00249	0.00248	0.5	96639	240	96519	6364170	65.86
1960-1964	2	0.00159	0.00159	0.5	96399	153	96322	6267652	65.02
1960-1964	3	0.00089	0.00089	0.5	96246	86	96203	6171329	64.12
1960-1964	4	0.00113	0.00113	0.5	96160	108	96105	6075127	63.18
1960-1964	5	0.00055	0.00055	0.5	96051	52	96025	5979021	62.25
1960-1964	6	0.00067	0.00067	0.5	95999	64	95967	5882996	61.28
1960-1964	7	0.00063	0.00063	0.5	95935	60	95905	5787029	60.32
1960-1964	8	0.00070	0.00070	0.5	95875	67	95841	5691125	59.36
1960-1964	9	0.00037	0.00037	0.5	95807	35	95790	5595284	58.40
1960-1964	10	0.00070	0.00070	0.5	95772	67	95739	5499494	57.42
1960-1964	11	0.00046	0.00046	0.5	95705	44	95683	5403755	56.46
1960-1964	12	0.00047	0.00047	0.5	95661	45	95638	5308072	55.49
1960-1964	13	0.00090	0.00089	0.5	95615	86	95573	5212434	54.51
1960-1964	14	0.00119	0.00119	0.5	95530	114	95473	5116861	53.56
1960-1964	15	0.00072	0.00072	0.5	95416	68	95382	5021388	52.63
1960-1964	16	0.00140	0.00140	0.5	95348	134	95281	4926007	51.66
1960-1964	17	0.00170	0.00170	0.5	95214	162	95133	4830726	50.74
1960-1964	18	0.00172	0.00172	0.5	95052	164	94970	4735592	49.82
1960-1964	19	0.00197	0.00197	0.5	94889	187	94795	4640622	48.91
1960-1964	20	0.00305	0.00305	0.5	94702	289	94558	4545827	48.00
1960-1964	21	0.00282	0.00282	0.5	94413	266	94280	4451269	47.15
1960-1964	22	0.00284	0.00284	0.5	94147	267	94014	4356989	46.28
1960-1964	23	0.00248	0.00248	0.5	93880	233	93764	4262975	45.41
1960-1964	24	0.00177	0.00176	0.5	93647	165	93565	4169211	44.52
1960-1964	25	0.00255	0.00255	0.5	93482	238	93363	4075646	43.60
1960-1964	26	0.00222	0.00222	0.5	93244	207	93141	3982283	42.71
1960-1964	27	0.00278	0.00277	0.5	93037	258	92908	3889142	41.80
1960-1964	28	0.00286	0.00286	0.5	92779	265	92647	3796234	40.92
1960-1964	29	0.00213	0.00213	0.5	92514	197	92416	3703587	40.03
1960-1964	30	0.00220	0.00220	0.5	92317	203	92216	3611172	39.12
1960-1964	31	0.00271	0.00270	0.5	92114	249	91990	3518956	38.20
1960-1964	32	0.00241	0.00241	0.5	91865	221	91755	3426967	37.30
1960-1964	33	0.00282	0.00282	0.5	91644	258	91515	3335212	36.39
1960-1964	34	0.00272	0.00272	0.5	91386	248	91262	3243697	35.49
1960-1964	35	0.00294	0.00294	0.5	91138	268	91004	3152435	34.59
1960-1964	36	0.00334	0.00334	0.5	90870	303	90718	3061432	33.69
1960-1964	37	0.00383	0.00382	0.5	90566	346	90393	2970714	32.80
1960-1964	38	0.00470	0.00469	0.5	90220	423	90009	2880320	31.93
1960-1964	39	0.00424	0.00423	0.5	89797	380	89607	2790311	31.07
1960-1964	40	0.00531	0.00530	0.5	89417	474	89180	2700704	30.20
1960-1964	41	0.00535	0.00534	0.5	88943	475	88706	2611524	29.36
1960-1964	42	0.00668	0.00666	0.5	88469	589	88174	2522818	28.52
