NY: New York, Lifetables (period 5x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02560	0.02503	0.12	100000	2503	97796	6954890	69.55
1959	1-4	0.00092	0.00367	1.67	97497	358	389151	6857094	70.33
1959	5-9	0.00053	0.00263	2.35	97139	255	485018	6467943	66.58
1959	10-14	0.00041	0.00205	2.54	96883	199	483928	5982925	61.75
1959	15-19	0.00082	0.00407	2.85	96685	394	482577	5498996	56.88
1959	20-24	0.00105	0.00525	2.56	96291	505	480225	5016419	52.10
1959	25-29	0.00113	0.00566	2.51	95786	542	477582	4536194	47.36
1959	30-34	0.00159	0.00792	2.57	95244	755	474387	4058613	42.61
1959	35-39	0.00223	0.01107	2.68	94490	1046	470025	3584225	37.93
1959	40-44	0.00362	0.01793	2.71	93443	1675	463376	3114200	33.33
1959	45-49	0.00600	0.02960	2.66	91768	2716	452488	2650824	28.89
1959	50-54	0.00952	0.04658	2.64	89052	4148	435480	2198336	24.69
1959	55-59	0.01420	0.06867	2.61	84904	5830	410585	1762855	20.76
1959	60-64	0.02219	0.10537	2.6	79074	8332	375411	1352270	17.10
1959	65-69	0.03398	0.15689	2.56	70742	11099	326591	976859	13.81
1959	70-74	0.05150	0.22847	2.53	59643	13627	264579	650268	10.90
1959	75-79	0.08028	0.33414	2.49	46016	15376	191518	385689	8.38
1959	80-84	0.12151	0.46247	2.42	30640	14170	116619	194171	6.34
1959	85-89	0.18199	0.60777	2.27	16470	10010	55002	77552	4.71
1959	90-94	0.26589	0.75318	2.12	6460	4866	18299	22550	3.49
1959	95-99	0.36110	0.85184	1.9	1594	1358	3761	4251	2.67
1959	100-104	0.47475	0.92097	1.68	236	218	458	490	2.07
1959	105-109	0.59219	0.95891	1.47	19	18	30	31	1.68
1959	110+	0.68523	1.00000	1.46	1	1	1	1	1.46
1960	0	0.02481	0.02428	0.12	100000	2428	97857	6966643	69.67
1960	1-4	0.00105	0.00418	1.68	97572	408	389343	6868786	70.40
1960	5-9	0.00048	0.00238	2.19	97165	232	485172	6479443	66.69
1960	10-14	0.00039	0.00196	2.58	96933	190	484204	5994271	61.84
1960	15-19	0.00076	0.00378	2.89	96743	365	482941	5510067	56.96
1960	20-24	0.00107	0.00534	2.42	96377	515	480556	5027126	52.16
1960	25-29	0.00125	0.00623	2.55	95862	597	477850	4546570	47.43
1960	30-34	0.00157	0.00784	2.67	95265	747	474588	4068720	42.71
1960	35-39	0.00217	0.01080	2.65	94518	1021	470195	3594132	38.03
1960	40-44	0.00364	0.01806	2.7	93497	1688	463594	3123938	33.41
1960	45-49	0.00590	0.02908	2.7	91808	2670	452894	2660344	28.98
1960	50-54	0.00962	0.04703	2.63	89138	4193	435759	2207450	24.76
1960	55-59	0.01439	0.06956	2.63	84946	5909	410716	1771691	20.86
1960	60-64	0.02185	0.10383	2.62	79036	8207	375670	1360976	17.22
1960	65-69	0.03338	0.15440	2.57	70830	10936	327604	985306	13.91
1960	70-74	0.05184	0.23002	2.55	59893	13777	265774	657702	10.98
1960	75-79	0.07803	0.32641	2.5	46117	15053	192914	391928	8.50
1960	80-84	0.12054	0.45980	2.42	31064	14283	118497	199015	6.41
1960	85-89	0.17794	0.59924	2.28	16780	10056	56511	80517	4.80
1960	90-94	0.25843	0.73613	2.08	6725	4950	19155	24006	3.57
1960	95-99	0.35130	0.84341	1.92	1774	1497	4260	4851	2.73
1960	100-104	0.46215	0.91508	1.7	278	254	550	591	2.13
1960	105-109	0.57811	0.95547	1.5	24	23	39	41	1.72
1960	110+	0.67088	1.00000	1.49	1	1	2	2	1.49
1961	0	0.02439	0.02387	0.12	100000	2387	97890	6983871	69.84
1961	1-4	0.00087	0.00348	1.66	97613	339	389657	6885982	70.54
1961	5-9	0.00043	0.00215	2.32	97273	209	485804	6496324	66.78
1961	10-14	0.00034	0.00170	2.68	97064	165	484937	6010520	61.92
1961	15-19	0.00077	0.00382	2.87	96899	370	483707	5525583	57.02
1961	20-24	0.00111	0.00555	2.53	96529	536	481320	5041876	52.23
1961	25-29	0.00121	0.00604	2.55	95993	580	478543	4560555	47.51
1961	30-34	0.00157	0.00780	2.56	95413	744	475251	4082012	42.78
1961	35-39	0.00230	0.01143	2.66	94669	1082	470812	3606761	38.10
1961	40-44	0.00361	0.01788	2.64	93587	1673	463991	3135949	33.51
1961	45-49	0.00588	0.02900	2.64	91913	2665	453276	2671958	29.07
1961	50-54	0.00931	0.04557	2.64	89248	4067	436657	2218682	24.86
1961	55-59	0.01416	0.06847	2.62	85181	5832	412011	1782025	20.92
1961	60-64	0.02201	0.10455	2.61	79349	8296	376958	1370014	17.27
1961	65-69	0.03328	0.15400	2.58	71053	10942	328812	993056	13.98
1961	70-74	0.05062	0.22527	2.56	60110	13541	267502	664244	11.05
1961	75-79	0.07718	0.32378	2.52	46569	15078	195378	396742	8.52
1961	80-84	0.11963	0.45647	2.41	31491	14375	120162	201363	6.39
1961	85-89	0.18032	0.60292	2.25	17116	10320	57231	81201	4.74
1961	90-94	0.26278	0.74865	2.13	6796	5088	19363	23970	3.53
1961	95-99	0.35655	0.84802	1.91	1708	1449	4063	4607	2.70
1961	100-104	0.46914	0.91841	1.69	260	238	508	544	2.10
1961	105-109	0.58600	0.95743	1.48	21	20	35	36	1.70
1961	110+	0.67892	1.00000	1.47	1	1	1	1	1.47
1962	0	0.02490	0.02437	0.12	100000	2437	97849	6979658	69.80
1962	1-4	0.00085	0.00339	1.62	97563	330	389465	6881808	70.54
1962	5-9	0.00045	0.00223	2.22	97233	217	485560	6492344	66.77
1962	10-14	0.00037	0.00184	2.71	97016	178	484672	6006784	61.92
1962	15-19	0.00072	0.00362	2.92	96838	350	483462	5522112	57.02
1962	20-24	0.00118	0.00588	2.57	96488	567	481059	5038650	52.22
1962	25-29	0.00126	0.00630	2.57	95921	604	478136	4557592	47.51
1962	30-34	0.00162	0.00807	2.61	95316	769	474742	4079456	42.80
1962	35-39	0.00235	0.01170	2.66	94547	1107	470149	3604714	38.13
1962	40-44	0.00363	0.01799	2.68	93441	1681	463304	3134565	33.55
1962	45-49	0.00593	0.02926	2.66	91760	2685	452521	2671260	29.11
1962	50-54	0.00949	0.04641	2.65	89074	4134	435660	2218739	24.91
1962	55-59	0.01443	0.06978	2.65	84940	5927	410743	1783079	20.99
1962	60-64	0.02133	0.10151	2.63	79013	8021	376049	1372336	17.37
1962	65-69	0.03332	0.15414	2.58	70992	10943	328438	996287	14.03
1962	70-74	0.05062	0.22549	2.58	60050	13541	267515	667849	11.12
1962	75-79	0.07582	0.31949	2.54	46509	14859	195966	400335	8.61
1962	80-84	0.11805	0.45232	2.42	31650	14316	121268	204369	6.46
1962	85-89	0.17890	0.59962	2.25	17334	10394	58099	83101	4.79
1962	90-94	0.25541	0.73656	2.13	6940	5112	20014	25002	3.60
1962	95-99	0.35212	0.84416	1.92	1828	1543	4383	4988	2.73
1962	100-104	0.46327	0.91560	1.7	285	261	563	604	2.12
1962	105-109	0.57899	0.95565	1.5	24	23	40	41	1.72
1962	110+	0.67124	1.00000	1.49	1	1	2	2	1.49
1963	0	0.02453	0.02401	0.12	100000	2401	97878	6976372	69.76
1963	1-4	0.00086	0.00344	1.65	97599	336	389607	6878494	70.48
1963	5-9	0.00040	0.00199	2.29	97263	194	485792	6488887	66.71
1963	10-14	0.00035	0.00177	2.62	97069	172	484938	6003095	61.84
1963	15-19	0.00075	0.00376	2.81	96897	364	483689	5518158	56.95
1963	20-24	0.00114	0.00567	2.53	96533	548	481311	5034469	52.15
1963	25-29	0.00130	0.00650	2.6	95985	624	478427	4553158	47.44
1963	30-34	0.00160	0.00799	2.65	95361	762	475013	4074731	42.73
1963	35-39	0.00244	0.01212	2.64	94599	1146	470287	3599718	38.05
