PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NY,f,1959,0,0.02206,0.02164,0.11,100000,2164,98085,7258930,72.59
NY,f,1959,1-4,0.00083,0.00333,1.72,97836,326,390603,7160845,73.19
NY,f,1959,5-9,0.00041,0.00207,2.25,97511,201,487000,6770242,69.43
NY,f,1959,10-14,0.00031,0.00157,2.38,97309,153,486148,6283243,64.57
NY,f,1959,15-19,0.00047,0.00234,2.78,97157,228,485280,5797095,59.67
NY,f,1959,20-24,0.00066,0.00330,2.7,96929,320,483911,5311815,54.80
NY,f,1959,25-29,0.00083,0.00416,2.76,96609,402,482147,4827904,49.97
NY,f,1959,30-34,0.00128,0.00639,2.54,96207,615,479525,4345756,45.17
NY,f,1959,35-39,0.00178,0.00889,2.75,95592,850,476051,3866231,40.45
NY,f,1959,40-44,0.00283,0.01408,2.67,94743,1334,470604,3390180,35.78
NY,f,1959,45-49,0.00460,0.02276,2.63,93409,2126,461999,2919575,31.26
NY,f,1959,50-54,0.00678,0.03336,2.61,91283,3045,449133,2457576,26.92
NY,f,1959,55-59,0.00972,0.04752,2.67,88238,4193,431410,2008444,22.76
NY,f,1959,60-64,0.01568,0.07558,2.63,84045,6352,405200,1577034,18.76
NY,f,1959,65-69,0.02544,0.11991,2.6,77692,9316,366123,1171833,15.08
NY,f,1959,70-74,0.04190,0.19021,2.58,68377,13006,310385,805710,11.78
NY,f,1959,75-79,0.07052,0.30003,2.52,55371,16613,235574,495325,8.95
NY,f,1959,80-84,0.10994,0.42939,2.45,38758,16642,151380,259751,6.70
NY,f,1959,85-89,0.17222,0.58684,2.29,22116,12979,75361,108372,4.90
NY,f,1959,90-94,0.25482,0.73994,2.17,9137,6761,26532,33011,3.61
NY,f,1959,95-99,0.35184,0.84459,1.92,2376,2007,5704,6479,2.73
NY,f,1959,100-104,0.46847,0.91846,1.69,369,339,724,775,2.10
NY,f,1959,105-109,0.58919,0.95836,1.48,30,29,49,51,1.69
NY,f,1959,110+,0.68457,1.00000,1.46,1,1,2,2,1.46
NY,f,1960,0,0.02137,0.02097,0.11,100000,2097,98139,7284366,72.84
NY,f,1960,1-4,0.00092,0.00366,1.66,97903,358,390773,7186226,73.40
NY,f,1960,5-9,0.00043,0.00214,2.26,97545,208,487152,6795453,69.67
NY,f,1960,10-14,0.00028,0.00142,2.66,97336,139,486357,6308301,64.81
NY,f,1960,15-19,0.00047,0.00234,2.76,97198,227,485480,5821944,59.90
NY,f,1960,20-24,0.00063,0.00315,2.5,96970,306,484090,5336465,55.03
NY,f,1960,25-29,0.00090,0.00450,2.67,96665,435,482311,4852375,50.20
NY,f,1960,30-34,0.00128,0.00636,2.66,96230,612,479721,4370064,45.41
NY,f,1960,35-39,0.00177,0.00882,2.62,95619,844,476089,3890342,40.69
NY,f,1960,40-44,0.00283,0.01403,2.67,94775,1330,470777,3414253,36.02
NY,f,1960,45-49,0.00431,0.02133,2.66,93445,1994,462562,2943477,31.50
NY,f,1960,50-54,0.00659,0.03244,2.64,91451,2967,450240,2480914,27.13
NY,f,1960,55-59,0.00988,0.04830,2.67,88484,4274,432448,2030674,22.95
NY,f,1960,60-64,0.01544,0.07447,2.64,84211,6271,406266,1598226,18.98
NY,f,1960,65-69,0.02438,0.11521,2.62,77939,8980,368291,1191960,15.29
NY,f,1960,70-74,0.04172,0.18966,2.61,68960,13079,313492,823669,11.94
