NY: New York, Lifetables (period 5x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02136	0.02096	0.11	100000	2096	98140	7299048	72.99
1960-1964	1-4	0.00080	0.00321	1.62	97904	314	390868	7200907	73.55
1960-1964	5-9	0.00037	0.00186	2.29	97589	181	487457	6810039	69.78
1960-1964	10-14	0.00028	0.00141	2.61	97408	137	486715	6322582	64.91
1960-1964	15-19	0.00046	0.00231	2.75	97271	224	485853	5835868	60.00
1960-1964	20-24	0.00067	0.00335	2.56	97047	325	484442	5350015	55.13
1960-1964	25-29	0.00088	0.00437	2.64	96722	423	482613	4865573	50.30
1960-1964	30-34	0.00128	0.00636	2.62	96299	612	480039	4382960	45.51
1960-1964	35-39	0.00184	0.00916	2.66	95687	877	476382	3902921	40.79
1960-1964	40-44	0.00285	0.01415	2.65	94810	1342	470901	3426538	36.14
1960-1964	45-49	0.00442	0.02187	2.65	93468	2044	462538	2955637	31.62
1960-1964	50-54	0.00670	0.03297	2.63	91424	3014	449964	2493099	27.27
1960-1964	55-59	0.00975	0.04766	2.63	88410	4213	432064	2043136	23.11
1960-1964	60-64	0.01514	0.07310	2.64	84196	6154	406479	1611072	19.13
1960-1964	65-69	0.02426	0.11468	2.62	78042	8950	368938	1204593	15.44
1960-1964	70-74	0.04038	0.18411	2.61	69092	12720	315013	835655	12.09
1960-1964	75-79	0.06462	0.27891	2.55	56371	15722	243295	520642	9.24
1960-1964	80-84	0.10694	0.42043	2.46	40649	17090	159819	277348	6.82
1960-1964	85-89	0.16796	0.57781	2.3	23559	13613	81047	117529	4.99
1960-1964	90-94	0.24933	0.72740	2.14	9946	7235	29017	36482	3.67
1960-1964	95-99	0.34787	0.84129	1.93	2711	2281	6557	7466	2.75
1960-1964	100-104	0.46528	0.91710	1.7	430	395	848	909	2.11
1960-1964	105-109	0.58720	0.95796	1.48	36	34	58	60	1.69
1960-1964	110+	0.68364	1.00000	1.46	1	1	2	2	1.46
1965-1969	0	0.01944	0.01911	0.11	100000	1911	98295	7355601	73.56
1965-1969	1-4	0.00071	0.00285	1.66	98089	280	391702	7257307	73.99
1965-1969	5-9	0.00032	0.00161	2.18	97809	158	488602	6865605	70.19
1965-1969	10-14	0.00027	0.00136	2.63	97651	132	487943	6377002	65.30
1965-1969	15-19	0.00049	0.00245	2.75	97519	239	487058	5889059	60.39
1965-1969	20-24	0.00069	0.00345	2.63	97280	336	485604	5402001	55.53
1965-1969	25-29	0.00087	0.00435	2.59	96944	422	483702	4916398	50.71
1965-1969	30-34	0.00129	0.00645	2.65	96522	623	481149	4432696	45.92
1965-1969	35-39	0.00194	0.00966	2.66	95900	926	477336	3951546	41.21
1965-1969	40-44	0.00291	0.01447	2.65	94974	1374	471636	3474211	36.58
1965-1969	45-49	0.00439	0.02175	2.67	93599	2036	463245	3002575	32.08
1965-1969	50-54	0.00662	0.03260	2.64	91564	2985	450769	2539330	27.73
1965-1969	55-59	0.00956	0.04674	2.64	88579	4141	433128	2088560	23.58
1965-1969	60-64	0.01425	0.06894	2.63	84438	5821	408368	1655432	19.61
1965-1969	65-69	0.02279	0.10809	2.62	78617	8498	372877	1247064	15.86
1965-1969	70-74	0.03735	0.17153	2.63	70119	12028	322031	874187	12.47
1965-1969	75-79	0.06125	0.26635	2.56	58091	15473	252629	552156	9.50
1965-1969	80-84	0.10233	0.40649	2.47	42619	17324	169292	299527	7.03
1965-1969	85-89	0.16114	0.56341	2.33	25295	14251	88439	130235	5.15
