PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OH,b,1960-1964,0,0.02327,0.02280,0.11,100000,2280,97977,7036825,70.37
OH,b,1960-1964,1,0.00131,0.00131,0.5,97720,128,97656,6938848,71.01
OH,b,1960-1964,2,0.00084,0.00084,0.5,97591,81,97551,6841193,70.10
OH,b,1960-1964,3,0.00062,0.00062,0.5,97510,60,97480,6743642,69.16
OH,b,1960-1964,4,0.00056,0.00056,0.5,97450,55,97422,6646162,68.20
OH,b,1960-1964,5,0.00051,0.00051,0.5,97395,49,97371,6548740,67.24
OH,b,1960-1964,6,0.00044,0.00044,0.5,97346,43,97324,6451369,66.27
OH,b,1960-1964,7,0.00042,0.00042,0.5,97303,40,97282,6354045,65.30
OH,b,1960-1964,8,0.00034,0.00034,0.5,97262,33,97246,6256762,64.33
OH,b,1960-1964,9,0.00034,0.00034,0.5,97229,34,97212,6159517,63.35
OH,b,1960-1964,10,0.00035,0.00035,0.5,97195,34,97178,6062305,62.37
OH,b,1960-1964,11,0.00037,0.00037,0.5,97161,36,97144,5965126,61.39
OH,b,1960-1964,12,0.00041,0.00041,0.5,97126,40,97106,5867983,60.42
OH,b,1960-1964,13,0.00044,0.00044,0.5,97086,43,97065,5770877,59.44
OH,b,1960-1964,14,0.00049,0.00049,0.5,97044,48,97020,5673812,58.47
OH,b,1960-1964,15,0.00057,0.00057,0.5,96996,56,96968,5576792,57.49
OH,b,1960-1964,16,0.00070,0.00070,0.5,96941,68,96907,5479824,56.53
OH,b,1960-1964,17,0.00081,0.00081,0.5,96873,78,96833,5382917,55.57
OH,b,1960-1964,18,0.00096,0.00096,0.5,96794,93,96748,5286084,54.61
OH,b,1960-1964,19,0.00089,0.00089,0.5,96702,86,96659,5189336,53.66
OH,b,1960-1964,20,0.00095,0.00095,0.5,96616,92,96570,5092677,52.71
OH,b,1960-1964,21,0.00108,0.00108,0.5,96524,105,96472,4996107,51.76
OH,b,1960-1964,22,0.00109,0.00109,0.5,96419,105,96367,4899635,50.82
OH,b,1960-1964,23,0.00105,0.00105,0.5,96314,101,96263,4803269,49.87
OH,b,1960-1964,24,0.00101,0.00101,0.5,96213,97,96164,4707006,48.92
OH,b,1960-1964,25,0.00110,0.00110,0.5,96116,106,96063,4610841,47.97
OH,b,1960-1964,26,0.00103,0.00103,0.5,96010,99,95960,4514779,47.02
OH,b,1960-1964,27,0.00112,0.00112,0.5,95911,107,95857,4418818,46.07
OH,b,1960-1964,28,0.00120,0.00120,0.5,95804,115,95746,4322961,45.12
OH,b,1960-1964,29,0.00114,0.00114,0.5,95689,109,95634,4227215,44.18
OH,b,1960-1964,30,0.00129,0.00129,0.5,95580,123,95518,4131581,43.23
OH,b,1960-1964,31,0.00135,0.00135,0.5,95457,129,95392,4036062,42.28
OH,b,1960-1964,32,0.00135,0.00135,0.5,95328,129,95264,3940670,41.34
OH,b,1960-1964,33,0.00150,0.00150,0.5,95199,143,95128,3845407,40.39
OH,b,1960-1964,34,0.00161,0.00161,0.5,95057,153,94980,3750279,39.45
OH,b,1960-1964,35,0.00182,0.00182,0.5,94904,172,94818,3655298,38.52
OH,b,1960-1964,36,0.00193,0.00192,0.5,94732,182,94640,3560481,37.58
OH,b,1960-1964,37,0.00223,0.00222,0.5,94549,210,94444,3465840,36.66
OH,b,1960-1964,38,0.00224,0.00224,0.5,94339,211,94233,3371396,35.74
OH,b,1960-1964,39,0.00254,0.00253,0.5,94128,238,94008,3277163,34.82
OH,b,1960-1964,40,0.00275,0.00274,0.5,93889,258,93760,3183155,33.90
OH,b,1960-1964,41,0.00301,0.00301,0.5,93632,282,93491,3089394,33.00
OH,b,1960-1964,42,0.00340,0.00340,0.5,93350,317,93191,2995904,32.09
OH,b,1960-1964,43,0.00372,0.00372,0.5,93033,346,92860,2902713,31.20
OH,b,1960-1964,44,0.00410,0.00409,0.5,92687,379,92497,2809853,30.32
OH,b,1960-1964,45,0.00459,0.00458,0.5,92308,423,92096,2717356,29.44
OH,b,1960-1964,46,0.00504,0.00502,0.5,91885,462,91654,2625259,28.57
OH,b,1960-1964,47,0.00558,0.00556,0.5,91423,508,91169,2533605,27.71
OH,b,1960-1964,48,0.00607,0.00605,0.5,90915,550,90640,2442436,26.86
OH,b,1960-1964,49,0.00665,0.00663,0.5,90365,599,90065,2351796,26.03
OH,b,1960-1964,50,0.00791,0.00788,0.5,89766,708,89412,2261730,25.20
OH,b,1960-1964,51,0.00825,0.00822,0.5,89058,732,88692,2172318,24.39
OH,b,1960-1964,52,0.00919,0.00915,0.5,88326,808,87922,2083626,23.59
OH,b,1960-1964,53,0.01001,0.00996,0.5,87518,872,87082,1995704,22.80
OH,b,1960-1964,54,0.01105,0.01099,0.5,86646,952,86170,1908622,22.03
OH,b,1960-1964,55,0.01150,0.01143,0.5,85694,980,85204,1822452,21.27
OH,b,1960-1964,56,0.01273,0.01265,0.5,84714,1072,84179,1737247,20.51
OH,b,1960-1964,57,0.01396,0.01386,0.5,83643,1159,83063,1653069,19.76
OH,b,1960-1964,58,0.01515,0.01504,0.5,82483,1240,81863,1570006,19.03
OH,b,1960-1964,59,0.01650,0.01637,0.5,81243,1330,80578,1488142,18.32
OH,b,1960-1964,60,0.01779,0.01763,0.5,79913,1409,79209,1407564,17.61
OH,b,1960-1964,61,0.01898,0.01880,0.5,78504,1476,77766,1328355,16.92
OH,b,1960-1964,62,0.02129,0.02107,0.5,77028,1623,76217,1250589,16.24
OH,b,1960-1964,63,0.02261,0.02236,0.5,75406,1686,74563,1174372,15.57
OH,b,1960-1964,64,0.02440,0.02410,0.5,73720,1777,72831,1099809,14.92
OH,b,1960-1964,65,0.02696,0.02660,0.5,71943,1914,70986,1026978,14.27
OH,b,1960-1964,66,0.02886,0.02845,0.5,70029,1992,69033,955992,13.65
OH,b,1960-1964,67,0.03233,0.03182,0.5,68036,2165,66954,886960,13.04
OH,b,1960-1964,68,0.03469,0.03410,0.5,65872,2246,64749,820006,12.45
OH,b,1960-1964,69,0.03680,0.03614,0.5,63626,2299,62476,755257,11.87
OH,b,1960-1964,70,0.04030,0.03950,0.5,61326,2423,60115,692781,11.30
OH,b,1960-1964,71,0.04321,0.04229,0.5,58904,2491,57658,632666,10.74
OH,b,1960-1964,72,0.04972,0.04851,0.5,56413,2737,55044,575008,10.19
OH,b,1960-1964,73,0.05232,0.05098,0.5,53676,2737,52308,519964,9.69
OH,b,1960-1964,74,0.05847,0.05681,0.5,50939,2894,49492,467656,9.18
OH,b,1960-1964,75,0.06223,0.06035,0.5,48046,2899,46596,418163,8.70
OH,b,1960-1964,76,0.06714,0.06496,0.5,45146,2933,43680,371568,8.23
OH,b,1960-1964,77,0.07227,0.06975,0.5,42213,2944,40741,327888,7.77
OH,b,1960-1964,78,0.07982,0.07675,0.5,39269,3014,37762,287147,7.31
OH,b,1960-1964,79,0.08872,0.08495,0.5,36255,3080,34715,249385,6.88
OH,b,1960-1964,80,0.09782,0.09326,0.5,33175,3094,31628,214670,6.47
OH,b,1960-1964,81,0.10385,0.09872,0.5,30081,2970,28596,183042,6.08
OH,b,1960-1964,82,0.11537,0.10908,0.5,27112,2957,25633,154445,5.70
OH,b,1960-1964,83,0.13129,0.12321,0.5,24154,2976,22666,128812,5.33
OH,b,1960-1964,84,0.14461,0.13486,0.5,21178,2856,19750,106146,5.01
OH,b,1960-1964,85,0.15612,0.14482,0.5,18322,2653,16996,86396,4.72
OH,b,1960-1964,86,0.17097,0.15751,0.5,15669,2468,14435,69400,4.43
OH,b,1960-1964,87,0.18443,0.16886,0.5,13201,2229,12086,54966,4.16
OH,b,1960-1964,88,0.20354,0.18474,0.5,10972,2027,9958,42879,3.91
OH,b,1960-1964,89,0.21675,0.19556,0.5,8945,1749,8070,32921,3.68
OH,b,1960-1964,90,0.23804,0.21273,0.5,7196,1531,6430,24851,3.45
OH,b,1960-1964,91,0.25289,0.22451,0.5,5665,1272,5029,18420,3.25
OH,b,1960-1964,92,0.27662,0.24301,0.5,4393,1068,3859,13391,3.05
OH,b,1960-1964,93,0.29705,0.25864,0.5,3326,860,2896,9532,2.87
OH,b,1960-1964,94,0.32581,0.28017,0.5,2465,691,2120,6636,2.69
OH,b,1960-1964,95,0.34779,0.29627,0.5,1775,526,1512,4516,2.54
OH,b,1960-1964,96,0.37242,0.31396,0.5,1249,392,1053,3004,2.41
OH,b,1960-1964,97,0.39774,0.33176,0.5,857,284,715,1952,2.28
OH,b,1960-1964,98,0.42365,0.34959,0.5,573,200,472,1237,2.16
OH,b,1960-1964,99,0.45000,0.36734,0.5,372,137,304,764,2.05
OH,b,1960-1964,100,0.47665,0.38491,0.5,236,91,190,460,1.95
OH,b,1960-1964,101,0.50345,0.40221,0.5,145,58,116,270,1.86
OH,b,1960-1964,102,0.53026,0.41913,0.5,87,36,68,154,1.78
OH,b,1960-1964,103,0.55690,0.43561,0.5,50,22,39,86,1.71
OH,b,1960-1964,104,0.58324,0.45156,0.5,28,13,22,47,1.64
OH,b,1960-1964,105,0.60913,0.46692,0.5,16,7,12,25,1.58
OH,b,1960-1964,106,0.63443,0.48164,0.5,8,4,6,13,1.52
OH,b,1960-1964,107,0.65902,0.49568,0.5,4,2,3,6,1.47
OH,b,1960-1964,108,0.68279,0.50902,0.5,2,1,2,3,1.43
OH,b,1960-1964,109,0.70566,0.52162,0.5,1,1,1,1,1.40
OH,b,1960-1964,110+,0.72754,1.00000,1.37,1,1,1,1,1.37
OH,b,1965-1969,0,0.02094,0.02055,0.11,100000,2055,98164,7040372,70.40
OH,b,1965-1969,1,0.00115,0.00115,0.5,97945,113,97888,6942208,70.88
OH,b,1965-1969,2,0.00079,0.00079,0.5,97832,77,97793,6844320,69.96
OH,b,1965-1969,3,0.00064,0.00064,0.5,97755,62,97724,6746527,69.01
OH,b,1965-1969,4,0.00055,0.00055,0.5,97693,54,97666,6648803,68.06
OH,b,1965-1969,5,0.00053,0.00053,0.5,97639,52,97613,6551137,67.10
OH,b,1965-1969,6,0.00049,0.00049,0.5,97587,47,97563,6453524,66.13
OH,b,1965-1969,7,0.00039,0.00039,0.5,97539,38,97520,6355961,65.16
