PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OH,m,1960-1969,0,0.02511,0.02457,0.11,100000,2457,97819,6714229,67.14
OH,m,1960-1969,1-4,0.00088,0.00352,1.66,97543,344,389370,6616410,67.83
OH,m,1960-1969,5-9,0.00050,0.00248,2.32,97200,241,485354,6227039,64.06
OH,m,1960-1969,10-14,0.00050,0.00249,2.74,96959,241,484250,5741686,59.22
OH,m,1960-1969,15-19,0.00130,0.00650,2.85,96718,628,482239,5257436,54.36
OH,m,1960-1969,20-24,0.00168,0.00835,2.5,96090,802,478442,4775196,49.70
OH,m,1960-1969,25-29,0.00159,0.00794,2.51,95288,757,474552,4296754,45.09
OH,m,1960-1969,30-34,0.00185,0.00920,2.59,94531,870,470555,3822202,40.43
OH,m,1960-1969,35-39,0.00268,0.01334,2.66,93661,1249,465386,3351647,35.78
OH,m,1960-1969,40-44,0.00438,0.02168,2.69,92411,2003,457435,2886262,31.23
OH,m,1960-1969,45-49,0.00720,0.03539,2.68,90408,3199,444634,2428827,26.87
OH,m,1960-1969,50-54,0.01209,0.05879,2.67,87209,5127,424074,1984193,22.75
OH,m,1960-1969,55-59,0.01886,0.09029,2.64,82081,7411,392931,1560119,19.01
OH,m,1960-1969,60-64,0.02858,0.13373,2.6,74670,9986,349419,1167188,15.63
OH,m,1960-1969,65-69,0.04222,0.19141,2.56,64684,12381,293267,817769,12.64
OH,m,1960-1969,70-74,0.06240,0.27058,2.55,52303,14152,226791,524501,10.03
OH,m,1960-1969,75-79,0.08989,0.36630,2.47,38151,13975,155457,297710,7.80
OH,m,1960-1969,80-84,0.13462,0.49851,2.4,24176,12052,89530,142254,5.88
OH,m,1960-1969,85-89,0.20167,0.64842,2.25,12124,7862,38982,52724,4.35
OH,m,1960-1969,90-94,0.29130,0.78551,2.07,4263,3348,11494,13742,3.22
OH,m,1960-1969,95-99,0.39493,0.87717,1.83,914,802,2031,2247,2.46
OH,m,1960-1969,100-104,0.51204,0.93581,1.61,112,105,205,217,1.93
OH,m,1960-1969,105-109,0.62852,0.96646,1.42,7,7,11,11,1.58
OH,m,1960-1969,110+,0.71840,1.00000,1.39,0,0,0,0,1.39
OH,m,1970-1979,0,0.01827,0.01797,0.09,100000,1797,98372,6838003,68.38
OH,m,1970-1979,1-4,0.00072,0.00288,1.72,98203,283,392169,6739631,68.63
OH,m,1970-1979,5-9,0.00041,0.00207,2.32,97920,203,489059,6347462,64.82
OH,m,1970-1979,10-14,0.00043,0.00217,2.79,97718,212,488121,5858403,59.95
OH,m,1970-1979,15-19,0.00137,0.00685,2.88,97506,668,486111,5370282,55.08
OH,m,1970-1979,20-24,0.00196,0.00974,2.48,96838,943,481811,4884172,50.44
OH,m,1970-1979,25-29,0.00168,0.00837,2.44,95895,802,477421,4402361,45.91
OH,m,1970-1979,30-34,0.00179,0.00890,2.57,95093,846,473408,3924940,41.27
OH,m,1970-1979,35-39,0.00251,0.01250,2.65,94247,1178,468466,3451532,36.62
OH,m,1970-1979,40-44,0.00400,0.01983,2.72,93069,1846,461139,2983066,32.05
OH,m,1970-1979,45-49,0.00662,0.03260,2.68,91223,2974,449231,2521927,27.65
OH,m,1970-1979,50-54,0.01070,0.05218,2.67,88249,4605,430523,2072696,23.49
OH,m,1970-1979,55-59,0.01687,0.08112,2.64,83644,6785,402234,1642174,19.63
OH,m,1970-1979,60-64,0.02645,0.12442,2.62,76859,9563,361578,1239940,16.13
OH,m,1970-1979,65-69,0.04011,0.18279,2.58,67296,12301,306689,878361,13.05
OH,m,1970-1979,70-74,0.05916,0.25817,2.54,54995,14198,240007,571673,10.39
OH,m,1970-1979,75-79,0.08705,0.35704,2.48,40797,14566,167338,331666,8.13
OH,m,1970-1979,80-84,0.12469,0.47101,2.4,26231,12355,99089,164328,6.26
OH,m,1970-1979,85-89,0.18271,0.61142,2.3,13876,8484,46435,65239,4.70
OH,m,1970-1979,90-94,0.26664,0.75328,2.11,5392,4062,15232,18804,3.49
OH,m,1970-1979,95-99,0.35863,0.84935,1.9,1330,1130,3151,3572,2.69
OH,m,1970-1979,100-104,0.46787,0.91749,1.69,200,184,393,421,2.10
OH,m,1970-1979,105-109,0.58071,0.95591,1.49,17,16,27,28,1.71
OH,m,1970-1979,110+,0.67035,1.00000,1.49,1,1,1,1,1.49
OH,m,1980-1989,0,0.01222,0.01208,0.08,100000,1208,98886,7094994,70.95
OH,m,1980-1989,1-4,0.00056,0.00223,1.66,98792,220,394653,6996108,70.82
OH,m,1980-1989,5-9,0.00029,0.00143,2.37,98572,141,492490,6601455,66.97
OH,m,1980-1989,10-14,0.00033,0.00165,2.83,98431,163,491803,6108965,62.06
OH,m,1980-1989,15-19,0.00109,0.00544,2.88,98269,535,490212,5617162,57.16
OH,m,1980-1989,20-24,0.00154,0.00766,2.51,97734,748,486805,5126951,52.46
OH,m,1980-1989,25-29,0.00157,0.00781,2.48,96986,757,483018,4640146,47.84
OH,m,1980-1989,30-34,0.00162,0.00805,2.56,96229,775,479249,4157127,43.20
OH,m,1980-1989,35-39,0.00205,0.01022,2.61,95454,976,474940,3677878,38.53
OH,m,1980-1989,40-44,0.00301,0.01495,2.64,94478,1413,469051,3202938,33.90
OH,m,1980-1989,45-49,0.00491,0.02426,2.69,93065,2257,460103,2733888,29.38
OH,m,1980-1989,50-54,0.00844,0.04138,2.69,90808,3758,445366,2273785,25.04
OH,m,1980-1989,55-59,0.01373,0.06649,2.66,87050,5788,421707,1828420,21.00
OH,m,1980-1989,60-64,0.02195,0.10433,2.63,81262,8478,386226,1406712,17.31
