PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OK,b,1960-1969,0,0.02320,0.02274,0.11,100000,2274,97983,7117392,71.17
OK,b,1960-1969,1,0.00178,0.00178,0.5,97726,173,97640,7019409,71.83
OK,b,1960-1969,2,0.00105,0.00105,0.5,97553,102,97502,6921770,70.95
OK,b,1960-1969,3,0.00080,0.00080,0.5,97451,78,97412,6824268,70.03
OK,b,1960-1969,4,0.00066,0.00066,0.5,97373,64,97341,6726856,69.08
OK,b,1960-1969,5,0.00055,0.00055,0.5,97309,53,97282,6629515,68.13
OK,b,1960-1969,6,0.00050,0.00050,0.5,97256,48,97231,6532233,67.17
OK,b,1960-1969,7,0.00045,0.00045,0.5,97207,44,97185,6435001,66.20
OK,b,1960-1969,8,0.00039,0.00039,0.5,97163,38,97144,6337816,65.23
OK,b,1960-1969,9,0.00039,0.00039,0.5,97126,38,97106,6240672,64.25
OK,b,1960-1969,10,0.00039,0.00039,0.5,97087,38,97068,6143565,63.28
OK,b,1960-1969,11,0.00038,0.00038,0.5,97050,37,97031,6046497,62.30
OK,b,1960-1969,12,0.00049,0.00049,0.5,97013,48,96989,5949466,61.33
OK,b,1960-1969,13,0.00050,0.00050,0.5,96965,48,96941,5852477,60.36
OK,b,1960-1969,14,0.00061,0.00061,0.5,96917,59,96887,5755536,59.39
OK,b,1960-1969,15,0.00080,0.00080,0.5,96858,78,96819,5658649,58.42
OK,b,1960-1969,16,0.00102,0.00102,0.5,96780,98,96731,5561830,57.47
OK,b,1960-1969,17,0.00108,0.00108,0.5,96681,104,96629,5465100,56.53
OK,b,1960-1969,18,0.00128,0.00128,0.5,96577,124,96515,5368470,55.59
OK,b,1960-1969,19,0.00134,0.00134,0.5,96453,130,96388,5271955,54.66
OK,b,1960-1969,20,0.00124,0.00124,0.5,96324,119,96264,5175567,53.73
OK,b,1960-1969,21,0.00139,0.00138,0.5,96205,133,96138,5079302,52.80
OK,b,1960-1969,22,0.00125,0.00125,0.5,96071,120,96011,4983165,51.87
OK,b,1960-1969,23,0.00144,0.00144,0.5,95951,138,95882,4887153,50.93
OK,b,1960-1969,24,0.00134,0.00134,0.5,95813,128,95749,4791271,50.01
OK,b,1960-1969,25,0.00130,0.00130,0.5,95685,124,95623,4695523,49.07
OK,b,1960-1969,26,0.00131,0.00131,0.5,95561,125,95498,4599900,48.14
OK,b,1960-1969,27,0.00128,0.00128,0.5,95436,122,95375,4504402,47.20
OK,b,1960-1969,28,0.00150,0.00150,0.5,95314,143,95242,4409027,46.26
OK,b,1960-1969,29,0.00134,0.00134,0.5,95171,128,95107,4313785,45.33
OK,b,1960-1969,30,0.00146,0.00146,0.5,95043,139,94974,4218678,44.39
OK,b,1960-1969,31,0.00155,0.00155,0.5,94905,147,94831,4123704,43.45
OK,b,1960-1969,32,0.00171,0.00171,0.5,94758,162,94677,4028873,42.52
OK,b,1960-1969,33,0.00172,0.00172,0.5,94596,163,94515,3934196,41.59
OK,b,1960-1969,34,0.00199,0.00198,0.5,94433,187,94340,3839682,40.66
OK,b,1960-1969,35,0.00186,0.00186,0.5,94246,175,94159,3745342,39.74
OK,b,1960-1969,36,0.00209,0.00209,0.5,94071,196,93973,3651183,38.81
OK,b,1960-1969,37,0.00232,0.00232,0.5,93875,218,93766,3557210,37.89
OK,b,1960-1969,38,0.00254,0.00254,0.5,93657,238,93539,3463444,36.98
OK,b,1960-1969,39,0.00276,0.00276,0.5,93420,258,93291,3369906,36.07
OK,b,1960-1969,40,0.00297,0.00296,0.5,93162,276,93024,3276615,35.17
OK,b,1960-1969,41,0.00306,0.00305,0.5,92886,284,92744,3183590,34.27
OK,b,1960-1969,42,0.00351,0.00350,0.5,92603,324,92441,3090846,33.38
OK,b,1960-1969,43,0.00392,0.00391,0.5,92278,361,92098,2998405,32.49
OK,b,1960-1969,44,0.00414,0.00414,0.5,91918,380,91727,2906307,31.62
OK,b,1960-1969,45,0.00449,0.00448,0.5,91537,410,91332,2814580,30.75
OK,b,1960-1969,46,0.00470,0.00469,0.5,91127,427,90914,2723248,29.88
OK,b,1960-1969,47,0.00574,0.00573,0.5,90700,519,90441,2632334,29.02
OK,b,1960-1969,48,0.00587,0.00586,0.5,90181,528,89917,2541893,28.19
OK,b,1960-1969,49,0.00635,0.00633,0.5,89653,568,89369,2451976,27.35
OK,b,1960-1969,50,0.00680,0.00678,0.5,89085,604,88783,2362607,26.52
OK,b,1960-1969,51,0.00740,0.00738,0.5,88481,653,88155,2273824,25.70
OK,b,1960-1969,52,0.00862,0.00858,0.5,87828,754,87451,2185669,24.89
OK,b,1960-1969,53,0.00930,0.00925,0.5,87074,806,86672,2098218,24.10
OK,b,1960-1969,54,0.00990,0.00985,0.5,86269,850,85844,2011547,23.32
OK,b,1960-1969,55,0.01038,0.01032,0.5,85419,882,84978,1925703,22.54
OK,b,1960-1969,56,0.01102,0.01096,0.5,84537,927,84073,1840725,21.77
OK,b,1960-1969,57,0.01242,0.01234,0.5,83610,1032,83094,1756652,21.01
