PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OK,f,1960-1964,0,0.02151,0.02111,0.11,100000,2111,98128,7502338,75.02
OK,f,1960-1964,1,0.00165,0.00164,0.5,97889,161,97809,7404209,75.64
OK,f,1960-1964,2,0.00097,0.00097,0.5,97728,95,97681,7306401,74.76
OK,f,1960-1964,3,0.00076,0.00076,0.5,97634,75,97596,7208719,73.83
OK,f,1960-1964,4,0.00059,0.00059,0.5,97559,58,97530,7111123,72.89
OK,f,1960-1964,5,0.00053,0.00053,0.5,97501,52,97475,7013593,71.93
OK,f,1960-1964,6,0.00041,0.00041,0.5,97449,40,97429,6916117,70.97
OK,f,1960-1964,7,0.00042,0.00042,0.5,97409,41,97389,6818688,70.00
OK,f,1960-1964,8,0.00036,0.00036,0.5,97369,36,97351,6721299,69.03
OK,f,1960-1964,9,0.00035,0.00035,0.5,97333,34,97316,6623948,68.05
OK,f,1960-1964,10,0.00036,0.00036,0.5,97299,35,97281,6526632,67.08
OK,f,1960-1964,11,0.00030,0.00030,0.5,97264,29,97249,6429351,66.10
OK,f,1960-1964,12,0.00038,0.00038,0.5,97234,37,97215,6332102,65.12
OK,f,1960-1964,13,0.00031,0.00031,0.5,97197,30,97182,6234887,64.15
OK,f,1960-1964,14,0.00031,0.00031,0.5,97167,30,97152,6137705,63.17
OK,f,1960-1964,15,0.00063,0.00063,0.5,97137,61,97106,6040553,62.19
OK,f,1960-1964,16,0.00057,0.00057,0.5,97076,55,97048,5943447,61.22
OK,f,1960-1964,17,0.00046,0.00046,0.5,97021,45,96999,5846398,60.26
OK,f,1960-1964,18,0.00073,0.00073,0.5,96976,71,96941,5749400,59.29
OK,f,1960-1964,19,0.00083,0.00083,0.5,96905,80,96865,5652459,58.33
OK,f,1960-1964,20,0.00056,0.00056,0.5,96825,55,96798,5555594,57.38
OK,f,1960-1964,21,0.00077,0.00077,0.5,96770,74,96733,5458797,56.41
OK,f,1960-1964,22,0.00081,0.00081,0.5,96696,78,96657,5362064,55.45
OK,f,1960-1964,23,0.00096,0.00096,0.5,96618,92,96571,5265407,54.50
OK,f,1960-1964,24,0.00084,0.00084,0.5,96525,81,96485,5168835,53.55
OK,f,1960-1964,25,0.00084,0.00084,0.5,96444,81,96404,5072351,52.59
OK,f,1960-1964,26,0.00077,0.00077,0.5,96363,74,96326,4975947,51.64
OK,f,1960-1964,27,0.00074,0.00074,0.5,96289,71,96253,4879621,50.68
OK,f,1960-1964,28,0.00097,0.00096,0.5,96218,93,96171,4783368,49.71
OK,f,1960-1964,29,0.00101,0.00101,0.5,96125,97,96076,4687196,48.76
OK,f,1960-1964,30,0.00081,0.00081,0.5,96028,78,95989,4591120,47.81
OK,f,1960-1964,31,0.00106,0.00106,0.5,95950,102,95900,4495131,46.85
OK,f,1960-1964,32,0.00116,0.00116,0.5,95849,111,95793,4399231,45.90
OK,f,1960-1964,33,0.00123,0.00123,0.5,95737,117,95679,4303438,44.95
OK,f,1960-1964,34,0.00158,0.00157,0.5,95620,150,95545,4207760,44.01
OK,f,1960-1964,35,0.00138,0.00138,0.5,95469,132,95404,4112215,43.07
OK,f,1960-1964,36,0.00155,0.00155,0.5,95338,148,95264,4016811,42.13
OK,f,1960-1964,37,0.00166,0.00166,0.5,95190,158,95111,3921548,41.20
OK,f,1960-1964,38,0.00180,0.00180,0.5,95032,171,94946,3826437,40.26
OK,f,1960-1964,39,0.00191,0.00190,0.5,94861,181,94771,3731490,39.34
OK,f,1960-1964,40,0.00201,0.00200,0.5,94680,190,94585,3636720,38.41
OK,f,1960-1964,41,0.00222,0.00221,0.5,94490,209,94386,3542135,37.49
OK,f,1960-1964,42,0.00248,0.00248,0.5,94281,234,94164,3447749,36.57
OK,f,1960-1964,43,0.00304,0.00303,0.5,94048,285,93905,3353584,35.66
OK,f,1960-1964,44,0.00289,0.00289,0.5,93762,271,93627,3259679,34.77
OK,f,1960-1964,45,0.00264,0.00264,0.5,93492,246,93368,3166052,33.86
OK,f,1960-1964,46,0.00331,0.00331,0.5,93245,308,93091,3072684,32.95
OK,f,1960-1964,47,0.00385,0.00384,0.5,92937,357,92758,2979593,32.06
OK,f,1960-1964,48,0.00388,0.00387,0.5,92580,359,92400,2886835,31.18
OK,f,1960-1964,49,0.00404,0.00403,0.5,92221,372,92035,2794434,30.30
OK,f,1960-1964,50,0.00474,0.00473,0.5,91850,434,91633,2702399,29.42
OK,f,1960-1964,51,0.00500,0.00499,0.5,91416,456,91188,2610766,28.56
OK,f,1960-1964,52,0.00519,0.00518,0.5,90960,471,90724,2519578,27.70
OK,f,1960-1964,53,0.00574,0.00572,0.5,90489,518,90230,2428854,26.84
OK,f,1960-1964,54,0.00623,0.00621,0.5,89971,559,89692,2338624,25.99
OK,f,1960-1964,55,0.00652,0.00650,0.5,89412,581,89122,2248932,25.15
OK,f,1960-1964,56,0.00676,0.00673,0.5,88831,598,88532,2159811,24.31
OK,f,1960-1964,57,0.00716,0.00714,0.5,88233,630,87918,2071279,23.48
OK,f,1960-1964,58,0.00760,0.00757,0.5,87603,664,87272,1983361,22.64
OK,f,1960-1964,59,0.00858,0.00854,0.5,86940,743,86568,1896089,21.81
OK,f,1960-1964,60,0.00998,0.00993,0.5,86197,856,85769,1809521,20.99
OK,f,1960-1964,61,0.01098,0.01092,0.5,85341,932,84875,1723752,20.20
OK,f,1960-1964,62,0.01240,0.01232,0.5,84409,1040,83889,1638877,19.42
OK,f,1960-1964,63,0.01372,0.01362,0.5,83369,1136,82801,1554987,18.65
OK,f,1960-1964,64,0.01351,0.01342,0.5,82234,1103,81682,1472186,17.90
OK,f,1960-1964,65,0.01458,0.01447,0.5,81130,1174,80543,1390504,17.14
OK,f,1960-1964,66,0.01538,0.01526,0.5,79956,1220,79346,1309961,16.38
OK,f,1960-1964,67,0.01920,0.01902,0.5,78736,1497,77987,1230615,15.63
OK,f,1960-1964,68,0.01920,0.01901,0.5,77239,1469,76504,1152628,14.92
OK,f,1960-1964,69,0.02210,0.02186,0.5,75770,1656,74942,1076124,14.20
OK,f,1960-1964,70,0.02450,0.02420,0.5,74114,1794,73217,1001182,13.51
OK,f,1960-1964,71,0.02486,0.02455,0.5,72320,1776,71433,927965,12.83
OK,f,1960-1964,72,0.03112,0.03064,0.5,70545,2162,69464,856532,12.14
OK,f,1960-1964,73,0.03259,0.03207,0.5,68383,2193,67286,787068,11.51
OK,f,1960-1964,74,0.03680,0.03613,0.5,66190,2392,64994,719782,10.87
OK,f,1960-1964,75,0.04077,0.03996,0.5,63798,2549,62524,654788,10.26
