PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OR,b,1960-1969,0,0.02131,0.02091,0.11,100000,2091,98134,7151228,71.51
OR,b,1960-1969,1,0.00157,0.00157,0.5,97909,154,97832,7053094,72.04
OR,b,1960-1969,2,0.00098,0.00098,0.5,97755,96,97707,6955262,71.15
OR,b,1960-1969,3,0.00077,0.00077,0.5,97659,75,97622,6857554,70.22
OR,b,1960-1969,4,0.00061,0.00061,0.5,97584,59,97555,6759932,69.27
OR,b,1960-1969,5,0.00049,0.00049,0.5,97525,48,97501,6662377,68.31
OR,b,1960-1969,6,0.00046,0.00046,0.5,97477,45,97455,6564876,67.35
OR,b,1960-1969,7,0.00043,0.00043,0.5,97433,42,97412,6467421,66.38
OR,b,1960-1969,8,0.00041,0.00041,0.5,97391,40,97371,6370010,65.41
OR,b,1960-1969,9,0.00034,0.00034,0.5,97351,33,97334,6272639,64.43
OR,b,1960-1969,10,0.00032,0.00032,0.5,97318,32,97302,6175304,63.45
OR,b,1960-1969,11,0.00044,0.00044,0.5,97286,43,97265,6078002,62.48
OR,b,1960-1969,12,0.00049,0.00049,0.5,97243,47,97220,5980737,61.50
OR,b,1960-1969,13,0.00045,0.00045,0.5,97196,44,97174,5883518,60.53
OR,b,1960-1969,14,0.00050,0.00050,0.5,97152,49,97128,5786343,59.56
OR,b,1960-1969,15,0.00073,0.00073,0.5,97104,71,97068,5689215,58.59
OR,b,1960-1969,16,0.00093,0.00093,0.5,97033,90,96987,5592147,57.63
OR,b,1960-1969,17,0.00127,0.00127,0.5,96942,123,96881,5495160,56.68
OR,b,1960-1969,18,0.00142,0.00142,0.5,96819,137,96751,5398279,55.76
OR,b,1960-1969,19,0.00137,0.00137,0.5,96682,133,96616,5301528,54.83
OR,b,1960-1969,20,0.00130,0.00130,0.5,96549,125,96487,5204913,53.91
OR,b,1960-1969,21,0.00149,0.00148,0.5,96424,143,96352,5108426,52.98
OR,b,1960-1969,22,0.00146,0.00146,0.5,96281,140,96211,5012074,52.06
OR,b,1960-1969,23,0.00132,0.00132,0.5,96140,127,96077,4915864,51.13
OR,b,1960-1969,24,0.00120,0.00120,0.5,96014,115,95956,4819787,50.20
OR,b,1960-1969,25,0.00128,0.00128,0.5,95898,123,95837,4723831,49.26
OR,b,1960-1969,26,0.00123,0.00123,0.5,95775,118,95716,4627994,48.32
OR,b,1960-1969,27,0.00128,0.00127,0.5,95657,122,95596,4532278,47.38
OR,b,1960-1969,28,0.00137,0.00137,0.5,95535,131,95470,4436682,46.44
OR,b,1960-1969,29,0.00128,0.00128,0.5,95404,122,95343,4341212,45.50
OR,b,1960-1969,30,0.00130,0.00130,0.5,95282,124,95220,4245869,44.56
OR,b,1960-1969,31,0.00140,0.00140,0.5,95158,133,95091,4150649,43.62
OR,b,1960-1969,32,0.00137,0.00137,0.5,95025,130,94960,4055557,42.68
OR,b,1960-1969,33,0.00156,0.00156,0.5,94895,148,94820,3960598,41.74
OR,b,1960-1969,34,0.00156,0.00156,0.5,94746,148,94672,3865777,40.80
OR,b,1960-1969,35,0.00173,0.00173,0.5,94598,164,94516,3771105,39.86
OR,b,1960-1969,36,0.00183,0.00183,0.5,94434,172,94348,3676588,38.93
OR,b,1960-1969,37,0.00176,0.00176,0.5,94262,166,94179,3582240,38.00
OR,b,1960-1969,38,0.00215,0.00214,0.5,94096,202,93995,3488061,37.07
OR,b,1960-1969,39,0.00248,0.00248,0.5,93894,233,93778,3394066,36.15
OR,b,1960-1969,40,0.00264,0.00264,0.5,93661,247,93538,3300289,35.24
OR,b,1960-1969,41,0.00285,0.00284,0.5,93414,266,93281,3206751,34.33
OR,b,1960-1969,42,0.00308,0.00308,0.5,93148,287,93005,3113470,33.42
OR,b,1960-1969,43,0.00365,0.00364,0.5,92862,338,92692,3020465,32.53
OR,b,1960-1969,44,0.00388,0.00388,0.5,92523,359,92344,2927772,31.64
OR,b,1960-1969,45,0.00429,0.00428,0.5,92165,395,91967,2835428,30.76
OR,b,1960-1969,46,0.00481,0.00479,0.5,91770,440,91550,2743461,29.89
OR,b,1960-1969,47,0.00489,0.00488,0.5,91330,445,91107,2651911,29.04
OR,b,1960-1969,48,0.00543,0.00541,0.5,90885,492,90639,2560803,28.18
OR,b,1960-1969,49,0.00597,0.00595,0.5,90393,538,90123,2470165,27.33
OR,b,1960-1969,50,0.00647,0.00644,0.5,89854,579,89565,2380041,26.49
OR,b,1960-1969,51,0.00719,0.00716,0.5,89275,640,88956,2290477,25.66
OR,b,1960-1969,52,0.00797,0.00794,0.5,88636,703,88284,2201521,24.84
OR,b,1960-1969,53,0.00907,0.00903,0.5,87932,794,87535,2113237,24.03
OR,b,1960-1969,54,0.00965,0.00960,0.5,87138,837,86720,2025702,23.25
OR,b,1960-1969,55,0.01019,0.01013,0.5,86301,875,85864,1938982,22.47
