OR: Oregon, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02029	0.01993	0.11	100000	1993	98226	7491263	74.91
1959	1	0.00131	0.00131	0.5	98007	129	97943	7393036	75.43
1959	2	0.00092	0.00092	0.5	97879	90	97834	7295093	74.53
1959	3	0.00076	0.00076	0.5	97788	74	97751	7197260	73.60
1959	4	0.00069	0.00069	0.5	97714	68	97681	7099508	72.66
1959	5	0.00085	0.00085	0.5	97647	83	97606	7001828	71.71
1959	6	0.00048	0.00048	0.5	97564	47	97541	6904222	70.77
1959	7	0.00071	0.00071	0.5	97518	69	97483	6806681	69.80
1959	8	0.00045	0.00045	0.5	97449	44	97427	6709198	68.85
1959	9	0.00040	0.00040	0.5	97405	39	97385	6611771	67.88
1959	10	0.00022	0.00022	0.5	97366	22	97355	6514386	66.91
1959	11	0.00051	0.00051	0.5	97344	49	97319	6417031	65.92
1959	12	0.00053	0.00053	0.5	97295	51	97269	6319711	64.95
1959	13	0.00026	0.00026	0.5	97243	26	97231	6222442	63.99
1959	14	0.00058	0.00058	0.5	97218	56	97190	6125212	63.01
1959	15	0.00078	0.00078	0.5	97161	76	97124	6028022	62.04
1959	16	0.00029	0.00029	0.5	97086	28	97072	5930899	61.09
1959	17	0.00031	0.00031	0.5	97058	30	97043	5833827	60.11
1959	18	0.00060	0.00060	0.5	97028	58	96999	5736783	59.12
1959	19	0.00064	0.00064	0.5	96970	62	96939	5639784	58.16
1959	20	0.00077	0.00077	0.5	96908	74	96871	5542845	57.20
1959	21	0.00059	0.00059	0.5	96834	57	96805	5445974	56.24
1959	22	0.00041	0.00041	0.5	96776	39	96757	5349169	55.27
1959	23	0.00063	0.00063	0.5	96737	61	96707	5252412	54.30
1959	24	0.00064	0.00064	0.5	96676	62	96645	5155706	53.33
1959	25	0.00075	0.00075	0.5	96614	73	96578	5059060	52.36
1959	26	0.00115	0.00115	0.5	96542	111	96486	4962482	51.40
1959	27	0.00060	0.00060	0.5	96431	58	96402	4865996	50.46
1959	28	0.00086	0.00086	0.5	96373	83	96331	4769594	49.49
1959	29	0.00132	0.00132	0.5	96290	127	96227	4673263	48.53
1959	30	0.00075	0.00075	0.5	96163	72	96127	4577036	47.60
1959	31	0.00064	0.00064	0.5	96091	61	96061	4480909	46.63
1959	32	0.00098	0.00098	0.5	96030	94	95983	4384848	45.66
1959	33	0.00122	0.00122	0.5	95936	117	95878	4288865	44.71
1959	34	0.00118	0.00118	0.5	95820	113	95763	4192987	43.76
1959	35	0.00093	0.00093	0.5	95706	89	95662	4097224	42.81
1959	36	0.00150	0.00150	0.5	95618	143	95546	4001562	41.85
1959	37	0.00105	0.00105	0.5	95475	100	95425	3906016	40.91
1959	38	0.00144	0.00144	0.5	95375	138	95306	3810591	39.95
1959	39	0.00165	0.00165	0.5	95237	157	95159	3715285	39.01
1959	40	0.00225	0.00225	0.5	95081	214	94974	3620126	38.07
1959	41	0.00245	0.00245	0.5	94867	233	94751	3525152	37.16
1959	42	0.00276	0.00275	0.5	94634	261	94504	3430401	36.25
1959	43	0.00247	0.00247	0.5	94374	233	94257	3335897	35.35
1959	44	0.00327	0.00327	0.5	94141	308	93987	3241640	34.43
1959	45	0.00291	0.00291	0.5	93833	273	93697	3147653	33.55
1959	46	0.00444	0.00443	0.5	93560	415	93353	3053956	32.64
1959	47	0.00301	0.00301	0.5	93146	280	93006	2960603	31.78
1959	48	0.00361	0.00361	0.5	92866	335	92698	2867597	30.88
1959	49	0.00462	0.00461	0.5	92531	427	92317	2774899	29.99
1959	50	0.00346	0.00346	0.5	92104	318	91945	2682582	29.13
1959	51	0.00468	0.00467	0.5	91786	429	91571	2590637	28.22
1959	52	0.00590	0.00589	0.5	91357	538	91088	2499065	27.35
1959	53	0.00507	0.00506	0.5	90819	460	90589	2407977	26.51
1959	54	0.00503	0.00501	0.5	90360	453	90133	2317388	25.65
1959	55	0.00679	0.00676	0.5	89906	608	89602	2227255	24.77
1959	56	0.00721	0.00718	0.5	89298	641	88978	2137653	23.94
1959	57	0.00834	0.00830	0.5	88657	736	88289	2048675	23.11
1959	58	0.00993	0.00988	0.5	87921	868	87487	1960386	22.30
1959	59	0.00863	0.00859	0.5	87052	748	86679	1872899	21.51
1959	60	0.01062	0.01057	0.5	86305	912	85849	1786221	20.70
1959	61	0.01193	0.01186	0.5	85393	1013	84886	1700372	19.91
1959	62	0.01079	0.01074	0.5	84380	906	83927	1615485	19.15
1959	63	0.01348	0.01339	0.5	83474	1118	82915	1531558	18.35
1959	64	0.01328	0.01320	0.5	82356	1087	81813	1448643	17.59
1959	65	0.01796	0.01780	0.5	81269	1447	80546	1366831	16.82
1959	66	0.01788	0.01772	0.5	79823	1414	79116	1286284	16.11
1959	67	0.01948	0.01929	0.5	78408	1513	77652	1207169	15.40
1959	68	0.01975	0.01956	0.5	76896	1504	76144	1129517	14.69
1959	69	0.02143	0.02120	0.5	75392	1598	74593	1053373	13.97
1959	70	0.02476	0.02446	0.5	73794	1805	72891	978780	13.26
1959	71	0.02180	0.02157	0.5	71989	1553	71213	905889	12.58
1959	72	0.03021	0.02976	0.5	70436	2097	69388	834676	11.85
1959	73	0.03489	0.03429	0.5	68340	2344	67168	765288	11.20
1959	74	0.04112	0.04029	0.5	65996	2659	64667	698120	10.58
1959	75	0.04832	0.04718	0.5	63337	2988	61843	633453	10.00
1959	76	0.05435	0.05291	0.5	60349	3193	58753	571610	9.47
1959	77	0.04896	0.04779	0.5	57156	2732	55790	512857	8.97
1959	78	0.06146	0.05963	0.5	54424	3245	52802	457067	8.40
1959	79	0.06122	0.05940	0.5	51179	3040	49659	404265	7.90
1959	80	0.07619	0.07339	0.5	48139	3533	46372	354606	7.37
1959	81	0.07978	0.07672	0.5	44606	3422	42895	308234	6.91
1959	82	0.08288	0.07959	0.5	41184	3278	39545	265339	6.44
1959	83	0.10109	0.09622	0.5	37906	3647	36082	225794	5.96
1959	84	0.12432	0.11705	0.5	34259	4010	32254	189712	5.54
1959	85	0.14497	0.13517	0.5	30249	4089	28204	157458	5.21
1959	86	0.14138	0.13204	0.5	26160	3454	24433	129254	4.94
1959	87	0.13243	0.12420	0.5	22706	2820	21296	104821	4.62
1959	88	0.20546	0.18632	0.5	19886	3705	18033	83525	4.20
1959	89	0.18745	0.17138	0.5	16180	2773	14794	65492	4.05
1959	90	0.20582	0.18661	0.5	13407	2502	12156	50698	3.78
1959	91	0.22549	0.20264	0.5	10905	2210	9800	38542	3.53
