OR: Oregon, Lifetables (period 1x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01801	0.01773	0.1	100000	1773	98411	7562162	75.62
1960-1969	1	0.00136	0.00136	0.5	98227	134	98160	7463752	75.98
1960-1969	2	0.00085	0.00084	0.5	98094	83	98052	7365591	75.09
1960-1969	3	0.00071	0.00071	0.5	98011	70	97976	7267539	74.15
1960-1969	4	0.00054	0.00054	0.5	97941	53	97915	7169563	73.20
1960-1969	5	0.00046	0.00046	0.5	97888	45	97866	7071648	72.24
1960-1969	6	0.00035	0.00035	0.5	97844	35	97826	6973783	71.27
1960-1969	7	0.00037	0.00037	0.5	97809	36	97791	6875956	70.30
1960-1969	8	0.00033	0.00033	0.5	97773	33	97757	6778165	69.33
1960-1969	9	0.00026	0.00026	0.5	97741	25	97728	6680408	68.35
1960-1969	10	0.00024	0.00024	0.5	97716	24	97704	6582680	67.37
1960-1969	11	0.00029	0.00029	0.5	97692	28	97678	6484976	66.38
1960-1969	12	0.00039	0.00039	0.5	97664	39	97644	6387298	65.40
1960-1969	13	0.00031	0.00031	0.5	97625	30	97610	6289654	64.43
1960-1969	14	0.00033	0.00033	0.5	97595	32	97579	6192044	63.45
1960-1969	15	0.00043	0.00043	0.5	97563	42	97542	6094465	62.47
1960-1969	16	0.00051	0.00051	0.5	97521	50	97496	5996923	61.49
1960-1969	17	0.00067	0.00067	0.5	97471	65	97438	5899427	60.53
1960-1969	18	0.00069	0.00069	0.5	97406	67	97372	5801989	59.57
1960-1969	19	0.00068	0.00068	0.5	97339	66	97305	5704617	58.61
1960-1969	20	0.00069	0.00069	0.5	97272	67	97239	5607311	57.65
1960-1969	21	0.00072	0.00072	0.5	97205	70	97170	5510073	56.69
1960-1969	22	0.00063	0.00063	0.5	97135	61	97105	5412903	55.73
1960-1969	23	0.00070	0.00069	0.5	97074	67	97040	5315798	54.76
1960-1969	24	0.00061	0.00061	0.5	97006	59	96977	5218758	53.80
1960-1969	25	0.00074	0.00074	0.5	96947	71	96912	5121781	52.83
1960-1969	26	0.00071	0.00071	0.5	96876	69	96842	5024870	51.87
1960-1969	27	0.00073	0.00073	0.5	96807	70	96772	4928028	50.91
1960-1969	28	0.00085	0.00085	0.5	96737	82	96696	4831256	49.94
1960-1969	29	0.00085	0.00085	0.5	96655	82	96614	4734560	48.98
1960-1969	30	0.00088	0.00087	0.5	96573	84	96530	4637946	48.03
1960-1969	31	0.00108	0.00108	0.5	96488	104	96436	4541416	47.07
1960-1969	32	0.00089	0.00089	0.5	96384	86	96341	4444980	46.12
1960-1969	33	0.00097	0.00097	0.5	96298	94	96251	4348639	45.16
1960-1969	34	0.00106	0.00106	0.5	96204	102	96154	4252388	44.20
1960-1969	35	0.00129	0.00129	0.5	96103	124	96041	4156235	43.25
1960-1969	36	0.00120	0.00120	0.5	95979	115	95921	4060194	42.30
1960-1969	37	0.00128	0.00128	0.5	95864	122	95803	3964273	41.35
1960-1969	38	0.00163	0.00163	0.5	95741	156	95663	3868470	40.41
1960-1969	39	0.00164	0.00164	0.5	95585	156	95507	3772807	39.47
1960-1969	40	0.00194	0.00194	0.5	95429	185	95336	3677299	38.53
1960-1969	41	0.00191	0.00191	0.5	95244	182	95153	3581963	37.61
1960-1969	42	0.00215	0.00215	0.5	95062	205	94960	3486810	36.68
1960-1969	43	0.00266	0.00265	0.5	94857	252	94732	3391850	35.76
1960-1969	44	0.00297	0.00296	0.5	94606	280	94466	3297119	34.85
1960-1969	45	0.00301	0.00300	0.5	94325	283	94184	3202653	33.95
1960-1969	46	0.00339	0.00338	0.5	94042	318	93883	3108470	33.05
1960-1969	47	0.00332	0.00332	0.5	93724	311	93569	3014586	32.16
1960-1969	48	0.00406	0.00405	0.5	93413	378	93224	2921018	31.27
1960-1969	49	0.00408	0.00407	0.5	93035	379	92845	2827793	30.39
1960-1969	50	0.00453	0.00452	0.5	92656	419	92447	2734948	29.52
1960-1969	51	0.00488	0.00487	0.5	92237	449	92013	2642501	28.65
1960-1969	52	0.00518	0.00516	0.5	91788	474	91551	2550489	27.79
1960-1969	53	0.00601	0.00599	0.5	91315	547	91041	2458937	26.93
1960-1969	54	0.00660	0.00658	0.5	90768	597	90469	2367896	26.09
1960-1969	55	0.00641	0.00639	0.5	90171	576	89882	2277427	25.26
1960-1969	56	0.00685	0.00683	0.5	89594	612	89288	2187544	24.42
1960-1969	57	0.00766	0.00763	0.5	88982	679	88643	2098256	23.58
1960-1969	58	0.00829	0.00826	0.5	88304	729	87939	2009613	22.76
1960-1969	59	0.00943	0.00938	0.5	87574	822	87163	1921674	21.94
1960-1969	60	0.01007	0.01002	0.5	86752	869	86318	1834511	21.15
1960-1969	61	0.01052	0.01047	0.5	85883	899	85434	1748193	20.36
1960-1969	62	0.01173	0.01166	0.5	84984	991	84489	1662760	19.57
1960-1969	63	0.01211	0.01204	0.5	83993	1011	83488	1578271	18.79
1960-1969	64	0.01307	0.01299	0.5	82982	1078	82443	1494783	18.01
1960-1969	65	0.01456	0.01445	0.5	81904	1184	81313	1412340	17.24
1960-1969	66	0.01610	0.01597	0.5	80721	1289	80076	1331027	16.49
1960-1969	67	0.01804	0.01788	0.5	79431	1420	78721	1250951	15.75
1960-1969	68	0.02003	0.01983	0.5	78011	1547	77238	1172230	15.03
1960-1969	69	0.02200	0.02176	0.5	76464	1664	75633	1094992	14.32
1960-1969	70	0.02315	0.02289	0.5	74801	1712	73945	1019360	13.63
1960-1969	71	0.02589	0.02556	0.5	73089	1868	72155	945415	12.94
1960-1969	72	0.03004	0.02959	0.5	71220	2108	70167	873260	12.26
1960-1969	73	0.03479	0.03419	0.5	69113	2363	67931	803094	11.62
1960-1969	74	0.03767	0.03697	0.5	66750	2468	65516	735162	11.01
