PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OR,f,1960-1964,0,0.01874,0.01843,0.11,100000,1843,98351,7531138,75.31
OR,f,1960-1964,1,0.00139,0.00139,0.5,98157,136,98088,7432787,75.72
OR,f,1960-1964,2,0.00087,0.00087,0.5,98020,85,97978,7334698,74.83
OR,f,1960-1964,3,0.00072,0.00072,0.5,97935,70,97900,7236720,73.89
OR,f,1960-1964,4,0.00053,0.00053,0.5,97865,52,97839,7138820,72.95
OR,f,1960-1964,5,0.00045,0.00045,0.5,97813,44,97791,7040981,71.98
OR,f,1960-1964,6,0.00032,0.00032,0.5,97769,32,97753,6943190,71.02
OR,f,1960-1964,7,0.00036,0.00036,0.5,97737,36,97719,6845437,70.04
OR,f,1960-1964,8,0.00033,0.00033,0.5,97701,33,97685,6747718,69.06
OR,f,1960-1964,9,0.00026,0.00026,0.5,97669,26,97656,6650033,68.09
OR,f,1960-1964,10,0.00028,0.00028,0.5,97643,27,97630,6552377,67.11
OR,f,1960-1964,11,0.00024,0.00024,0.5,97616,23,97604,6454747,66.12
OR,f,1960-1964,12,0.00036,0.00036,0.5,97593,35,97575,6357143,65.14
OR,f,1960-1964,13,0.00040,0.00040,0.5,97557,39,97538,6259568,64.16
OR,f,1960-1964,14,0.00031,0.00031,0.5,97518,31,97503,6162030,63.19
OR,f,1960-1964,15,0.00037,0.00037,0.5,97488,36,97470,6064527,62.21
OR,f,1960-1964,16,0.00052,0.00052,0.5,97452,51,97427,5967057,61.23
OR,f,1960-1964,17,0.00050,0.00050,0.5,97401,48,97377,5869631,60.26
OR,f,1960-1964,18,0.00061,0.00061,0.5,97353,59,97323,5772254,59.29
OR,f,1960-1964,19,0.00065,0.00065,0.5,97294,64,97262,5674930,58.33
OR,f,1960-1964,20,0.00079,0.00079,0.5,97230,77,97191,5577669,57.37
OR,f,1960-1964,21,0.00072,0.00072,0.5,97153,70,97118,5480477,56.41
OR,f,1960-1964,22,0.00054,0.00054,0.5,97083,52,97057,5383359,55.45
OR,f,1960-1964,23,0.00073,0.00073,0.5,97031,71,96995,5286302,54.48
OR,f,1960-1964,24,0.00063,0.00063,0.5,96960,61,96929,5189307,53.52
OR,f,1960-1964,25,0.00074,0.00074,0.5,96899,72,96863,5092378,52.55
OR,f,1960-1964,26,0.00060,0.00060,0.5,96827,58,96798,4995515,51.59
OR,f,1960-1964,27,0.00079,0.00079,0.5,96768,77,96730,4898718,50.62
OR,f,1960-1964,28,0.00073,0.00073,0.5,96692,70,96657,4801987,49.66
OR,f,1960-1964,29,0.00079,0.00079,0.5,96621,77,96583,4705331,48.70
OR,f,1960-1964,30,0.00117,0.00117,0.5,96545,113,96488,4608748,47.74
OR,f,1960-1964,31,0.00105,0.00105,0.5,96432,101,96382,4512259,46.79
OR,f,1960-1964,32,0.00087,0.00087,0.5,96331,84,96289,4415878,45.84
OR,f,1960-1964,33,0.00102,0.00101,0.5,96247,98,96199,4319588,44.88
OR,f,1960-1964,34,0.00100,0.00099,0.5,96150,96,96102,4223390,43.93
OR,f,1960-1964,35,0.00110,0.00110,0.5,96054,105,96001,4127288,42.97
OR,f,1960-1964,36,0.00115,0.00115,0.5,95949,110,95894,4031286,42.01
OR,f,1960-1964,37,0.00136,0.00136,0.5,95839,130,95774,3935393,41.06
OR,f,1960-1964,38,0.00167,0.00166,0.5,95708,159,95629,3839619,40.12
OR,f,1960-1964,39,0.00185,0.00185,0.5,95549,177,95461,3743990,39.18
OR,f,1960-1964,40,0.00223,0.00223,0.5,95372,213,95266,3648529,38.26
OR,f,1960-1964,41,0.00178,0.00178,0.5,95159,169,95075,3553263,37.34
OR,f,1960-1964,42,0.00226,0.00226,0.5,94990,215,94883,3458189,36.41
OR,f,1960-1964,43,0.00261,0.00261,0.5,94775,247,94652,3363306,35.49
OR,f,1960-1964,44,0.00278,0.00277,0.5,94528,262,94397,3268654,34.58
OR,f,1960-1964,45,0.00284,0.00284,0.5,94266,268,94132,3174257,33.67
OR,f,1960-1964,46,0.00309,0.00308,0.5,93998,290,93853,3080125,32.77
OR,f,1960-1964,47,0.00355,0.00355,0.5,93708,332,93542,2986272,31.87
OR,f,1960-1964,48,0.00417,0.00417,0.5,93376,389,93182,2892730,30.98
OR,f,1960-1964,49,0.00398,0.00397,0.5,92987,369,92803,2799548,30.11
OR,f,1960-1964,50,0.00477,0.00476,0.5,92618,441,92398,2706745,29.22
OR,f,1960-1964,51,0.00487,0.00486,0.5,92177,448,91954,2614348,28.36
OR,f,1960-1964,52,0.00514,0.00512,0.5,91730,470,91495,2522394,27.50
OR,f,1960-1964,53,0.00588,0.00586,0.5,91260,535,90992,2430899,26.64
OR,f,1960-1964,54,0.00631,0.00629,0.5,90725,570,90439,2339907,25.79
OR,f,1960-1964,55,0.00664,0.00661,0.5,90154,596,89856,2249468,24.95
OR,f,1960-1964,56,0.00655,0.00653,0.5,89558,585,89266,2159611,24.11
OR,f,1960-1964,57,0.00698,0.00696,0.5,88973,619,88663,2070346,23.27
OR,f,1960-1964,58,0.00841,0.00838,0.5,88354,740,87984,1981682,22.43
OR,f,1960-1964,59,0.01023,0.01018,0.5,87614,892,87168,1893699,21.61
OR,f,1960-1964,60,0.01039,0.01034,0.5,86722,897,86274,1806531,20.83
OR,f,1960-1964,61,0.01061,0.01056,0.5,85825,906,85372,1720257,20.04
OR,f,1960-1964,62,0.01245,0.01237,0.5,84919,1051,84394,1634885,19.25
OR,f,1960-1964,63,0.01231,0.01223,0.5,83868,1026,83355,1550491,18.49
OR,f,1960-1964,64,0.01359,0.01350,0.5,82842,1119,82283,1467135,17.71
OR,f,1960-1964,65,0.01525,0.01513,0.5,81724,1237,81105,1384852,16.95
OR,f,1960-1964,66,0.01672,0.01658,0.5,80487,1334,79820,1303747,16.20
OR,f,1960-1964,67,0.01864,0.01846,0.5,79153,1461,78422,1223927,15.46
OR,f,1960-1964,68,0.02024,0.02003,0.5,77691,1557,76913,1145505,14.74
OR,f,1960-1964,69,0.02209,0.02185,0.5,76135,1663,75303,1068592,14.04
OR,f,1960-1964,70,0.02597,0.02564,0.5,74472,1909,73517,993289,13.34
OR,f,1960-1964,71,0.02637,0.02603,0.5,72562,1889,71618,919772,12.68
OR,f,1960-1964,72,0.03026,0.02981,0.5,70674,2107,69620,848154,12.00
OR,f,1960-1964,73,0.03612,0.03548,0.5,68567,2433,67350,778533,11.35
OR,f,1960-1964,74,0.03983,0.03905,0.5,66134,2583,64843,711183,10.75
OR,f,1960-1964,75,0.04338,0.04246,0.5,63552,2698,62202,646340,10.17
OR,f,1960-1964,76,0.04956,0.04836,0.5,60853,2943,59382,584138,9.60
OR,f,1960-1964,77,0.05279,0.05144,0.5,57910,2979,56421,524756,9.06
OR,f,1960-1964,78,0.06316,0.06123,0.5,54932,3364,53250,468335,8.53
OR,f,1960-1964,79,0.06148,0.05965,0.5,51568,3076,50030,415085,8.05
OR,f,1960-1964,80,0.06888,0.06659,0.5,48492,3229,46878,365054,7.53
OR,f,1960-1964,81,0.08119,0.07802,0.5,45263,3532,43497,318177,7.03
OR,f,1960-1964,82,0.09149,0.08749,0.5,41732,3651,39906,274679,6.58
OR,f,1960-1964,83,0.09731,0.09279,0.5,38081,3534,36314,234773,6.17
OR,f,1960-1964,84,0.11629,0.10990,0.5,34547,3797,32649,198459,5.74
OR,f,1960-1964,85,0.11856,0.11192,0.5,30750,3442,29029,165811,5.39
OR,f,1960-1964,86,0.14296,0.13342,0.5,27309,3644,25487,136781,5.01
OR,f,1960-1964,87,0.14998,0.13952,0.5,23665,3302,22014,111295,4.70
OR,f,1960-1964,88,0.17130,0.15778,0.5,20363,3213,18757,89281,4.38
OR,f,1960-1964,89,0.18281,0.16750,0.5,17150,2873,15714,70524,4.11
OR,f,1960-1964,90,0.20106,0.18269,0.5,14278,2608,12974,54810,3.84
OR,f,1960-1964,91,0.22064,0.19872,0.5,11669,2319,10510,41836,3.59
OR,f,1960-1964,92,0.24155,0.21552,0.5,9350,2015,8343,31326,3.35
OR,f,1960-1964,93,0.26377,0.23304,0.5,7335,1709,6481,22983,3.13
OR,f,1960-1964,94,0.28727,0.25119,0.5,5626,1413,4919,16503,2.93
OR,f,1960-1964,95,0.31197,0.26987,0.5,4213,1137,3644,11584,2.75
OR,f,1960-1964,96,0.33778,0.28898,0.5,3076,889,2631,7940,2.58
OR,f,1960-1964,97,0.36460,0.30838,0.5,2187,674,1850,5308,2.43
OR,f,1960-1964,98,0.39229,0.32796,0.5,1513,496,1265,3458,2.29
OR,f,1960-1964,99,0.42069,0.34758,0.5,1016,353,840,2194,2.16
OR,f,1960-1964,100,0.44962,0.36710,0.5,663,243,541,1354,2.04
OR,f,1960-1964,101,0.47890,0.38638,0.5,420,162,339,813,1.94
OR,f,1960-1964,102,0.50833,0.40531,0.5,258,104,205,474,1.84
OR,f,1960-1964,103,0.53769,0.42376,0.5,153,65,121,269,1.75
OR,f,1960-1964,104,0.56680,0.44164,0.5,88,39,69,148,1.68
OR,f,1960-1964,105,0.59545,0.45884,0.5,49,23,38,79,1.61
OR,f,1960-1964,106,0.62347,0.47530,0.5,27,13,20,41,1.54
OR,f,1960-1964,107,0.65069,0.49096,0.5,14,7,11,21,1.49
