PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
PA,b,1960-1969,0,0.02319,0.02273,0.11,100000,2273,97983,6981113,69.81
PA,b,1960-1969,1,0.00122,0.00122,0.5,97727,120,97668,6883129,70.43
PA,b,1960-1969,2,0.00082,0.00082,0.5,97608,80,97568,6785462,69.52
PA,b,1960-1969,3,0.00067,0.00067,0.5,97528,65,97496,6687893,68.57
PA,b,1960-1969,4,0.00053,0.00053,0.5,97463,52,97437,6590398,67.62
PA,b,1960-1969,5,0.00049,0.00049,0.5,97411,48,97387,6492961,66.66
PA,b,1960-1969,6,0.00045,0.00045,0.5,97363,44,97341,6395574,65.69
PA,b,1960-1969,7,0.00039,0.00039,0.5,97320,38,97301,6298232,64.72
PA,b,1960-1969,8,0.00037,0.00037,0.5,97282,36,97264,6200932,63.74
PA,b,1960-1969,9,0.00038,0.00038,0.5,97246,37,97227,6103668,62.77
PA,b,1960-1969,10,0.00032,0.00032,0.5,97209,31,97194,6006441,61.79
PA,b,1960-1969,11,0.00032,0.00032,0.5,97178,31,97162,5909247,60.81
PA,b,1960-1969,12,0.00032,0.00032,0.5,97147,31,97131,5812085,59.83
PA,b,1960-1969,13,0.00038,0.00038,0.5,97115,37,97097,5714954,58.85
PA,b,1960-1969,14,0.00043,0.00043,0.5,97078,42,97058,5617857,57.87
PA,b,1960-1969,15,0.00058,0.00058,0.5,97037,56,97009,5520799,56.89
PA,b,1960-1969,16,0.00072,0.00072,0.5,96981,70,96946,5423790,55.93
PA,b,1960-1969,17,0.00085,0.00085,0.5,96911,82,96870,5326845,54.97
PA,b,1960-1969,18,0.00099,0.00099,0.5,96829,96,96781,5229975,54.01
PA,b,1960-1969,19,0.00108,0.00108,0.5,96733,105,96681,5133194,53.07
PA,b,1960-1969,20,0.00104,0.00104,0.5,96628,101,96578,5036513,52.12
PA,b,1960-1969,21,0.00113,0.00113,0.5,96528,109,96473,4939935,51.18
PA,b,1960-1969,22,0.00111,0.00111,0.5,96419,107,96365,4843462,50.23
PA,b,1960-1969,23,0.00109,0.00108,0.5,96312,104,96260,4747097,49.29
PA,b,1960-1969,24,0.00109,0.00109,0.5,96207,105,96155,4650837,48.34
PA,b,1960-1969,25,0.00113,0.00113,0.5,96103,108,96049,4554682,47.39
PA,b,1960-1969,26,0.00113,0.00113,0.5,95994,108,95940,4458633,46.45
