PA: Pennsylvania, Lifetables (period 5x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02554	0.02498	0.12	100000	2498	97800	6939007	69.39
1959	1-4	0.00093	0.00371	1.65	97502	361	389160	6841207	70.16
1959	5-9	0.00048	0.00237	2.21	97141	231	485061	6452047	66.42
1959	10-14	0.00040	0.00198	2.54	96910	192	484080	5966986	61.57
1959	15-19	0.00083	0.00414	2.74	96719	400	482687	5482906	56.69
1959	20-24	0.00105	0.00526	2.46	96318	507	480307	5000218	51.91
1959	25-29	0.00110	0.00550	2.56	95812	527	477774	4519911	47.17
1959	30-34	0.00144	0.00716	2.64	95285	682	474813	4042137	42.42
1959	35-39	0.00215	0.01067	2.67	94603	1010	470667	3567324	37.71
1959	40-44	0.00348	0.01725	2.69	93593	1614	464243	3096657	33.09
1959	45-49	0.00597	0.02943	2.71	91979	2707	453699	2632414	28.62
1959	50-54	0.01019	0.04974	2.66	89272	4440	435950	2178715	24.41
1959	55-59	0.01524	0.07360	2.66	84832	6244	409576	1742765	20.54
1959	60-64	0.02295	0.10880	2.62	78588	8550	372552	1333188	16.96
1959	65-69	0.03525	0.16252	2.6	70038	11382	322891	960636	13.72
1959	70-74	0.05214	0.23135	2.57	58656	13570	260290	637745	10.87
1959	75-79	0.07962	0.33223	2.51	45086	14979	188121	377456	8.37
1959	80-84	0.12232	0.46499	2.42	30107	14000	114453	189335	6.29
1959	85-89	0.18422	0.61356	2.28	16107	9883	53647	74881	4.65
1959	90-94	0.27283	0.76409	2.12	6225	4756	17433	21235	3.41
1959	95-99	0.37270	0.86148	1.88	1468	1265	3394	3802	2.59
1959	100-104	0.49157	0.92836	1.65	203	189	384	408	2.00
1959	105-109	0.61273	0.96356	1.44	15	14	23	24	1.62
1959	110+	0.70746	1.00000	1.41	1	1	1	1	1.41
1960	0	0.02502	0.02448	0.12	100000	2448	97840	6946927	69.47
1960	1-4	0.00087	0.00346	1.7	97552	337	389434	6849087	70.21
1960	5-9	0.00043	0.00217	2.35	97215	211	485516	6459653	66.45
1960	10-14	0.00037	0.00187	2.62	97004	181	484588	5974138	61.59
1960	15-19	0.00075	0.00376	2.79	96823	364	483310	5489550	56.70
1960	20-24	0.00102	0.00508	2.52	96459	490	481081	5006240	51.90
1960	25-29	0.00106	0.00529	2.55	95969	508	478601	4525159	47.15
1960	30-34	0.00134	0.00669	2.6	95461	639	475771	4046558	42.39
1960	35-39	0.00222	0.01106	2.71	94822	1049	471710	3570788	37.66
1960	40-44	0.00358	0.01778	2.69	93773	1667	465007	3099078	33.05
1960	45-49	0.00606	0.02987	2.66	92106	2751	454090	2634071	28.60
1960	50-54	0.00976	0.04771	2.67	89355	4263	436827	2179981	24.40
1960	55-59	0.01504	0.07265	2.66	85091	6182	410964	1743154	20.49
1960	60-64	0.02384	0.11284	2.64	78910	8904	373515	1332189	16.88
1960	65-69	0.03541	0.16318	2.6	70005	11424	322606	958674	13.69
1960	70-74	0.05286	0.23412	2.56	58582	13715	259480	636069	10.86
1960	75-79	0.07982	0.33301	2.51	44867	14941	187186	376588	8.39
1960	80-84	0.12194	0.46337	2.41	29926	13867	113718	189402	6.33
1960	85-89	0.18187	0.60923	2.29	16059	9784	53795	75685	4.71
1960	90-94	0.26512	0.74938	2.1	6275	4703	17737	21890	3.49
1960	95-99	0.36488	0.85507	1.89	1573	1345	3686	4153	2.64
1960	100-104	0.48049	0.92358	1.67	228	211	438	467	2.05
1960	105-109	0.59944	0.96062	1.46	17	17	28	29	1.66
