PA: Pennsylvania, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02237	0.02194	0.12	100000	2194	98060	7249049	72.49
1959	1	0.00133	0.00133	0.5	97806	130	97741	7150989	73.11
1959	2	0.00073	0.00073	0.5	97676	71	97640	7053248	72.21
1959	3	0.00062	0.00062	0.5	97605	61	97574	6955608	71.26
1959	4	0.00052	0.00052	0.5	97544	50	97519	6858034	70.31
1959	5	0.00058	0.00058	0.5	97493	56	97465	6760515	69.34
1959	6	0.00050	0.00050	0.5	97437	49	97413	6663050	68.38
1959	7	0.00033	0.00033	0.5	97388	32	97372	6565637	67.42
1959	8	0.00027	0.00027	0.5	97356	27	97343	6468265	66.44
1959	9	0.00030	0.00030	0.5	97330	29	97315	6370922	65.46
1959	10	0.00028	0.00028	0.5	97301	28	97287	6273607	64.48
1959	11	0.00029	0.00029	0.5	97273	28	97259	6176320	63.49
1959	12	0.00032	0.00032	0.5	97245	31	97229	6079061	62.51
1959	13	0.00019	0.00019	0.5	97214	19	97205	5981832	61.53
1959	14	0.00029	0.00029	0.5	97195	28	97181	5884627	60.54
1959	15	0.00042	0.00042	0.5	97168	41	97147	5787446	59.56
1959	16	0.00041	0.00041	0.5	97127	40	97107	5690299	58.59
1959	17	0.00037	0.00037	0.5	97087	36	97069	5593192	57.61
1959	18	0.00056	0.00056	0.5	97051	54	97024	5496123	56.63
1959	19	0.00052	0.00052	0.5	96997	50	96972	5399099	55.66
1959	20	0.00056	0.00056	0.5	96946	55	96919	5302127	54.69
1959	21	0.00074	0.00074	0.5	96892	72	96856	5205208	53.72
1959	22	0.00059	0.00059	0.5	96820	57	96791	5108352	52.76
1959	23	0.00071	0.00071	0.5	96763	69	96728	5011561	51.79
1959	24	0.00050	0.00050	0.5	96694	48	96670	4914833	50.83
1959	25	0.00081	0.00081	0.5	96646	79	96607	4818163	49.85
1959	26	0.00069	0.00069	0.5	96567	67	96534	4721556	48.89
1959	27	0.00093	0.00093	0.5	96501	90	96456	4625022	47.93
1959	28	0.00089	0.00089	0.5	96411	86	96368	4528566	46.97
1959	29	0.00074	0.00074	0.5	96325	71	96290	4432198	46.01
1959	30	0.00106	0.00106	0.5	96254	102	96203	4335908	45.05
1959	31	0.00098	0.00098	0.5	96152	94	96105	4239705	44.09
1959	32	0.00112	0.00112	0.5	96057	107	96004	4143601	43.14
1959	33	0.00149	0.00149	0.5	95950	143	95879	4047597	42.18
1959	34	0.00128	0.00128	0.5	95808	123	95746	3951718	41.25
1959	35	0.00135	0.00135	0.5	95685	129	95620	3855972	40.30
1959	36	0.00155	0.00155	0.5	95556	148	95482	3760351	39.35
1959	37	0.00161	0.00161	0.5	95407	153	95331	3664870	38.41
1959	38	0.00190	0.00190	0.5	95254	181	95164	3569539	37.47
1959	39	0.00202	0.00202	0.5	95074	192	94978	3474375	36.54
1959	40	0.00227	0.00227	0.5	94882	215	94774	3379397	35.62
1959	41	0.00241	0.00241	0.5	94666	228	94552	3284624	34.70
1959	42	0.00266	0.00265	0.5	94438	251	94313	3190071	33.78
1959	43	0.00251	0.00251	0.5	94187	236	94069	3095759	32.87
1959	44	0.00313	0.00313	0.5	93951	294	93804	3001690	31.95
1959	45	0.00307	0.00306	0.5	93657	287	93514	2907885	31.05
1959	46	0.00382	0.00381	0.5	93370	356	93192	2814372	30.14
1959	47	0.00390	0.00389	0.5	93014	362	92833	2721179	29.26
1959	48	0.00520	0.00518	0.5	92652	480	92412	2628346	28.37
1959	49	0.00507	0.00505	0.5	92172	466	91939	2535934	27.51
1959	50	0.00572	0.00570	0.5	91706	523	91445	2443995	26.65
1959	51	0.00627	0.00625	0.5	91183	570	90898	2352550	25.80
1959	52	0.00692	0.00690	0.5	90613	625	90301	2261652	24.96
1959	53	0.00782	0.00779	0.5	89988	701	89638	2171351	24.13
1959	54	0.00812	0.00808	0.5	89287	722	88926	2081713	23.31
1959	55	0.00914	0.00910	0.5	88565	806	88162	1992787	22.50
1959	56	0.00964	0.00960	0.5	87759	842	87338	1904625	21.70
1959	57	0.00990	0.00985	0.5	86917	856	86489	1817287	20.91
1959	58	0.01224	0.01217	0.5	86061	1047	85537	1730798	20.11
1959	59	0.01363	0.01354	0.5	85014	1151	84438	1645261	19.35
1959	60	0.01332	0.01323	0.5	83863	1110	83308	1560823	18.61
1959	61	0.01516	0.01505	0.5	82753	1245	82130	1477515	17.85
1959	62	0.01788	0.01772	0.5	81508	1445	80785	1395385	17.12
1959	63	0.01901	0.01883	0.5	80063	1507	79309	1314600	16.42
1959	64	0.01931	0.01913	0.5	78556	1503	77804	1235290	15.73
1959	65	0.02247	0.02222	0.5	77053	1712	76197	1157486	15.02
1959	66	0.02333	0.02306	0.5	75341	1738	74472	1081289	14.35
1959	67	0.02698	0.02662	0.5	73603	1960	72624	1006816	13.68
1959	68	0.03008	0.02964	0.5	71644	2123	70582	934193	13.04
1959	69	0.03279	0.03226	0.5	69521	2243	68399	863610	12.42
1959	70	0.03457	0.03399	0.5	67278	2287	66135	795211	11.82
1959	71	0.03761	0.03692	0.5	64991	2399	63792	729076	11.22
1959	72	0.04328	0.04236	0.5	62592	2651	61266	665285	10.63
1959	73	0.04779	0.04668	0.5	59941	2798	58542	604018	10.08
1959	74	0.05015	0.04892	0.5	57143	2796	55745	545476	9.55
1959	75	0.05968	0.05795	0.5	54347	3149	52773	489731	9.01
1959	76	0.06003	0.05828	0.5	51198	2984	49706	436959	8.53
1959	77	0.06531	0.06324	0.5	48214	3049	46690	387253	8.03
1959	78	0.07515	0.07243	0.5	45165	3271	43529	340563	7.54
1959	79	0.08704	0.08341	0.5	41894	3494	40146	297034	7.09
1959	80	0.09434	0.09009	0.5	38399	3459	36669	256888	6.69
1959	81	0.09593	0.09154	0.5	34940	3198	33341	220218	6.30
1959	82	0.11467	0.10845	0.5	31741	3442	30020	186878	5.89
1959	83	0.12440	0.11711	0.5	28299	3314	26642	156857	5.54
1959	84	0.13134	0.12325	0.5	24985	3079	23445	130215	5.21
1959	85	0.14947	0.13908	0.5	21905	3047	20382	106770	4.87
1959	86	0.16487	0.15232	0.5	18859	2873	17423	86388	4.58
