PA: Pennsylvania, Lifetables (period 1x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02606	0.02547	0.11	100000	2547	97745	6660845	66.61
1960-1969	1	0.00130	0.00130	0.5	97453	126	97389	6563100	67.35
1960-1969	2	0.00089	0.00089	0.5	97326	87	97283	6465710	66.43
1960-1969	3	0.00074	0.00074	0.5	97240	72	97204	6368427	65.49
1960-1969	4	0.00060	0.00060	0.5	97167	59	97138	6271224	64.54
1960-1969	5	0.00055	0.00055	0.5	97109	54	97082	6174086	63.58
1960-1969	6	0.00055	0.00055	0.5	97055	54	97028	6077004	62.61
1960-1969	7	0.00045	0.00044	0.5	97002	43	96980	5979975	61.65
1960-1969	8	0.00043	0.00043	0.5	96959	42	96938	5882995	60.68
1960-1969	9	0.00043	0.00043	0.5	96917	42	96896	5786057	59.70
1960-1969	10	0.00038	0.00038	0.5	96875	37	96857	5689161	58.73
1960-1969	11	0.00040	0.00040	0.5	96839	39	96819	5592305	57.75
1960-1969	12	0.00041	0.00041	0.5	96800	40	96780	5495485	56.77
1960-1969	13	0.00050	0.00050	0.5	96760	48	96736	5398705	55.79
1960-1969	14	0.00056	0.00056	0.5	96712	54	96685	5301969	54.82
1960-1969	15	0.00076	0.00076	0.5	96658	74	96621	5205284	53.85
1960-1969	16	0.00101	0.00101	0.5	96585	97	96536	5108663	52.89
1960-1969	17	0.00126	0.00126	0.5	96487	121	96427	5012127	51.95
1960-1969	18	0.00154	0.00153	0.5	96366	148	96292	4915700	51.01
1960-1969	19	0.00168	0.00168	0.5	96218	162	96138	4819408	50.09
1960-1969	20	0.00153	0.00152	0.5	96057	146	95984	4723270	49.17
1960-1969	21	0.00170	0.00170	0.5	95910	163	95829	4627287	48.25
1960-1969	22	0.00167	0.00167	0.5	95747	160	95667	4531458	47.33
1960-1969	23	0.00158	0.00158	0.5	95587	151	95512	4435791	46.41
1960-1969	24	0.00159	0.00159	0.5	95436	152	95361	4340279	45.48
1960-1969	25	0.00157	0.00157	0.5	95285	150	95210	4244918	44.55
1960-1969	26	0.00159	0.00159	0.5	95135	151	95059	4149708	43.62
1960-1969	27	0.00152	0.00152	0.5	94984	144	94912	4054649	42.69
1960-1969	28	0.00164	0.00164	0.5	94840	155	94762	3959737	41.75
1960-1969	29	0.00160	0.00160	0.5	94684	152	94608	3864975	40.82
1960-1969	30	0.00165	0.00165	0.5	94533	156	94455	3770366	39.88
1960-1969	31	0.00167	0.00167	0.5	94377	158	94298	3675912	38.95
1960-1969	32	0.00172	0.00172	0.5	94219	162	94138	3581614	38.01
1960-1969	33	0.00191	0.00191	0.5	94057	179	93967	3487476	37.08
1960-1969	34	0.00203	0.00202	0.5	93878	190	93783	3393509	36.15
1960-1969	35	0.00224	0.00224	0.5	93688	210	93583	3299726	35.22
1960-1969	36	0.00247	0.00247	0.5	93478	231	93362	3206143	34.30
1960-1969	37	0.00269	0.00268	0.5	93247	250	93122	3112781	33.38
1960-1969	38	0.00305	0.00305	0.5	92997	284	92855	3019659	32.47
1960-1969	39	0.00335	0.00334	0.5	92713	310	92558	2926804	31.57
1960-1969	40	0.00368	0.00367	0.5	92403	339	92234	2834245	30.67
1960-1969	41	0.00393	0.00392	0.5	92064	361	91884	2742012	29.78
1960-1969	42	0.00441	0.00440	0.5	91703	404	91502	2650128	28.90
1960-1969	43	0.00479	0.00478	0.5	91300	437	91082	2558626	28.02
1960-1969	44	0.00541	0.00539	0.5	90863	490	90618	2467545	27.16
1960-1969	45	0.00612	0.00610	0.5	90373	552	90097	2376926	26.30
1960-1969	46	0.00672	0.00669	0.5	89822	601	89521	2286829	25.46
1960-1969	47	0.00752	0.00749	0.5	89220	669	88886	2197308	24.63
1960-1969	48	0.00822	0.00819	0.5	88552	725	88189	2108422	23.81
1960-1969	49	0.00912	0.00908	0.5	87827	797	87428	2020233	23.00
1960-1969	50	0.01038	0.01033	0.5	87030	899	86580	1932804	22.21
1960-1969	51	0.01121	0.01115	0.5	86131	960	85651	1846224	21.44
1960-1969	52	0.01280	0.01271	0.5	85171	1083	84629	1760573	20.67
1960-1969	53	0.01409	0.01399	0.5	84088	1177	83500	1675944	19.93
1960-1969	54	0.01513	0.01502	0.5	82911	1245	82289	1592444	19.21
1960-1969	55	0.01635	0.01622	0.5	81666	1324	81004	1510155	18.49
1960-1969	56	0.01797	0.01781	0.5	80342	1431	79627	1429151	17.79
1960-1969	57	0.02001	0.01982	0.5	78911	1564	78130	1349524	17.10
1960-1969	58	0.02192	0.02168	0.5	77348	1677	76509	1271394	16.44
1960-1969	59	0.02373	0.02346	0.5	75671	1775	74783	1194885	15.79
1960-1969	60	0.02564	0.02532	0.5	73896	1871	72960	1120102	15.16
1960-1969	61	0.02795	0.02756	0.5	72025	1985	71032	1047141	14.54
1960-1969	62	0.03115	0.03067	0.5	70040	2148	68966	976109	13.94
1960-1969	63	0.03307	0.03253	0.5	67891	2209	66787	907143	13.36
1960-1969	64	0.03575	0.03512	0.5	65683	2307	64529	840356	12.79
