RI: Rhode Island, Lifetables (period 5x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02431	0.02380	0.12	100000	2380	97895	7048439	70.48
1959	1-4	0.00079	0.00315	1.61	97620	308	389743	6950544	71.20
1959	5-9	0.00041	0.00204	2.57	97312	198	486080	6560801	67.42
1959	10-14	0.00035	0.00174	2.42	97114	169	485135	6074722	62.55
1959	15-19	0.00064	0.00322	2.93	96945	312	484081	5589587	57.66
1959	20-24	0.00086	0.00430	2.73	96633	415	482224	5105506	52.83
1959	25-29	0.00083	0.00412	2.41	96218	397	480066	4623281	48.05
1959	30-34	0.00095	0.00472	2.77	95822	453	478101	4143216	43.24
1959	35-39	0.00197	0.00983	2.91	95369	938	474882	3665115	38.43
1959	40-44	0.00292	0.01450	2.71	94431	1369	469020	3190233	33.78
1959	45-49	0.00562	0.02773	2.75	93062	2581	459510	2721214	29.24
1959	50-54	0.00891	0.04362	2.64	90481	3947	443098	2261704	25.00
1959	55-59	0.01388	0.06710	2.55	86534	5806	418443	1818606	21.02
1959	60-64	0.02210	0.10493	2.61	80728	8471	383354	1400163	17.34
1959	65-69	0.03355	0.15531	2.61	72257	11222	334498	1016809	14.07
1959	70-74	0.04891	0.21845	2.56	61035	13333	272630	682311	11.18
1959	75-79	0.07940	0.33270	2.57	47702	15870	199888	409680	8.59
1959	80-84	0.11323	0.43836	2.43	31832	13954	123236	209792	6.59
1959	85-89	0.17369	0.59277	2.32	17878	10597	61014	86557	4.84
1959	90-94	0.26141	0.74640	2.13	7280	5434	20787	25543	3.51
1959	95-99	0.37412	0.86373	1.88	1846	1595	4263	4755	2.58
1959	100-104	0.50361	0.93382	1.63	252	235	467	493	1.96
1959	105-109	0.63439	0.96814	1.41	17	16	25	26	1.57
1959	110+	0.73460	1.00000	1.36	1	1	1	1	1.36
1960	0	0.02345	0.02297	0.11	100000	2297	97963	7057553	70.58
1960	1-4	0.00107	0.00429	1.85	97703	419	389908	6959590	71.23
1960	5-9	0.00032	0.00160	2.49	97284	156	486028	6569682	67.53
1960	10-14	0.00032	0.00160	3.01	97128	156	485329	6083654	62.64
1960	15-19	0.00051	0.00255	2.53	96972	247	484252	5598325	57.73
1960	20-24	0.00057	0.00284	2.55	96725	275	482954	5114073	52.87
1960	25-29	0.00109	0.00546	2.86	96451	526	481130	4631118	48.02
1960	30-34	0.00095	0.00475	2.34	95925	455	478409	4149988	43.26
1960	35-39	0.00177	0.00883	2.83	95469	843	475518	3671579	38.46
1960	40-44	0.00267	0.01325	2.7	94626	1253	470254	3196062	33.78
1960	45-49	0.00535	0.02640	2.63	93373	2465	461015	2725808	29.19
1960	50-54	0.00897	0.04390	2.6	90908	3991	444959	2264793	24.91
1960	55-59	0.01392	0.06734	2.61	86917	5853	420576	1819834	20.94
1960	60-64	0.02188	0.10429	2.76	81064	8454	386354	1399258	17.26
1960	65-69	0.03373	0.15588	2.57	72610	11318	335585	1012904	13.95
1960	70-74	0.05095	0.22679	2.58	61292	13900	272810	677319	11.05
1960	75-79	0.07965	0.33334	2.56	47392	15798	198338	404509	8.54
1960	80-84	0.11675	0.44906	2.43	31594	14188	121525	206171	6.53
1960	85-89	0.17488	0.59431	2.31	17406	10345	59154	84646	4.86
1960	90-94	0.25420	0.73479	2.13	7062	5189	20412	25492	3.61
1960	95-99	0.35404	0.84620	1.92	1873	1585	4476	5080	2.71
1960	100-104	0.46901	0.91858	1.69	288	265	564	604	2.10
1960	105-109	0.58859	0.95818	1.48	23	22	38	40	1.69
1960	110+	0.68356	1.00000	1.46	1	1	1	1	1.46
1961	0	0.02289	0.02243	0.11	100000	2243	98007	7109946	71.10
1961	1-4	0.00066	0.00265	1.68	97757	259	390425	7011939	71.73
1961	5-9	0.00044	0.00222	2.68	97498	217	486984	6621514	67.91
1961	10-14	0.00038	0.00191	2.59	97281	186	485958	6134530	63.06
1961	15-19	0.00047	0.00235	2.95	97095	229	485007	5648572	58.18
1961	20-24	0.00055	0.00274	2.65	96867	266	483710	5163565	53.31
1961	25-29	0.00077	0.00383	2.69	96601	370	482152	4679855	48.45
1961	30-34	0.00106	0.00529	2.4	96231	509	479832	4197702	43.62
1961	35-39	0.00177	0.00879	2.81	95722	842	476765	3717870	38.84
1961	40-44	0.00264	0.01313	2.91	94880	1246	471801	3241105	34.16
1961	45-49	0.00489	0.02417	2.66	93634	2263	462876	2769304	29.58
1961	50-54	0.00892	0.04374	2.76	91371	3997	447904	2306428	25.24
1961	55-59	0.01423	0.06889	2.7	87374	6019	423057	1858524	21.27
1961	60-64	0.02014	0.09633	2.74	81355	7837	389069	1435467	17.64
1961	65-69	0.03187	0.14774	2.54	73518	10862	340819	1046397	14.23
1961	70-74	0.04955	0.22033	2.49	62657	13805	278607	705578	11.26
1961	75-79	0.07497	0.31637	2.53	48852	15455	206160	426971	8.74
1961	80-84	0.11257	0.43753	2.46	33396	14612	129805	220811	6.61
1961	85-89	0.17416	0.59352	2.32	18784	11149	64015	91007	4.84
1961	90-94	0.25954	0.74335	2.13	7635	5676	21869	26992	3.54
1961	95-99	0.36822	0.85872	1.89	1960	1683	4570	5123	2.61
1961	100-104	0.49292	0.92938	1.65	277	257	522	553	2.00
1961	105-109	0.61989	0.96525	1.43	20	19	30	31	1.61
1961	110+	0.71830	1.00000	1.39	1	1	1	1	1.39
1962	0	0.02601	0.02543	0.12	100000	2543	97763	7087581	70.88
1962	1-4	0.00065	0.00260	1.64	97457	254	389231	6989818	71.72
1962	5-9	0.00048	0.00239	2.22	97203	232	485371	6600587	67.90
1962	10-14	0.00035	0.00174	2.51	96971	168	484438	6115216	63.06
1962	15-19	0.00045	0.00226	2.99	96803	219	483575	5630779	58.17
1962	20-24	0.00062	0.00311	2.86	96584	301	482278	5147204	53.29
1962	25-29	0.00072	0.00359	2.39	96283	346	480514	4664926	48.45
1962	30-34	0.00088	0.00438	2.46	95937	420	478618	4184412	43.62
1962	35-39	0.00197	0.00980	2.67	95517	936	475406	3705794	38.80
1962	40-44	0.00294	0.01460	2.75	94581	1381	469799	3230388	34.15
1962	45-49	0.00480	0.02372	2.66	93200	2210	460837	2760589	29.62
1962	50-54	0.00838	0.04108	2.58	90990	3738	445905	2299752	25.27
1962	55-59	0.01300	0.06314	2.72	87252	5509	423682	1853847	21.25
1962	60-64	0.02062	0.09840	2.69	81744	8044	390127	1430165	17.50
1962	65-69	0.03309	0.15304	2.55	73700	11279	340822	1040038	14.11
1962	70-74	0.05071	0.22517	2.51	62421	14055	277167	699216	11.20
1962	75-79	0.07295	0.30872	2.51	48366	14931	204671	422048	8.73
1962	80-84	0.11410	0.44302	2.48	33434	14812	129812	217377	6.50
1962	85-89	0.18072	0.60771	2.31	18622	11317	62621	87565	4.70
1962	90-94	0.27024	0.75822	2.11	7305	5539	20496	24944	3.41
1962	95-99	0.38371	0.87063	1.86	1766	1538	4008	4448	2.52
1962	100-104	0.51208	0.93670	1.61	228	214	418	440	1.93
1962	105-109	0.63972	0.96893	1.4	14	14	22	23	1.56
1962	110+	0.73646	1.00000	1.36	0	0	1	1	1.36
1963	0	0.02435	0.02384	0.12	100000	2384	97892	7052977	70.53
1963	1-4	0.00098	0.00390	1.48	97616	381	389504	6955085	71.25
1963	5-9	0.00049	0.00246	2.33	97235	239	485536	6565581	67.52
1963	10-14	0.00027	0.00135	2.53	96996	131	484656	6080045	62.68
1963	15-19	0.00069	0.00345	2.78	96865	334	483585	5595389	57.76
1963	20-24	0.00073	0.00364	2.47	96531	351	481767	5111804	52.96
1963	25-29	0.00097	0.00486	2.32	96180	467	479647	4630038	48.14
1963	30-34	0.00084	0.00421	2.74	95713	403	477655	4150391	43.36
1963	35-39	0.00166	0.00828	2.8	95310	790	474816	3672736	38.53
1963	40-44	0.00287	0.01426	2.61	94521	1348	469385	3197920	33.83
1963	45-49	0.00528	0.02609	2.65	93173	2431	460152	2728535	29.28
1963	50-54	0.00864	0.04236	2.76	90742	3844	445097	2268383	25.00
1963	55-59	0.01407	0.06818	2.76	86897	5924	421190	1823286	20.98
1963	60-64	0.02081	0.09905	2.59	80973	8021	385517	1402096	17.32
1963	65-69	0.03396	0.15680	2.56	72952	11439	336855	1016580	13.93
1963	70-74	0.05189	0.23048	2.58	61514	14178	273240	679725	11.05
1963	75-79	0.07745	0.32409	2.48	47336	15341	198068	406484	8.59
1963	80-84	0.11346	0.44076	2.47	31995	14102	124290	208417	6.51
1963	85-89	0.18010	0.60684	2.31	17893	10858	60287	84126	4.70
1963	90-94	0.27238	0.76139	2.1	7035	5356	19665	23839	3.39
1963	95-99	0.38891	0.87459	1.85	1679	1468	3775	4174	2.49
1963	100-104	0.52019	0.93970	1.6	211	198	380	400	1.90
1963	105-109	0.65013	0.97082	1.39	13	12	19	19	1.53
1963	110+	0.74830	1.00000	1.34	0	0	0	0	1.34
1964	0	0.02532	0.02477	0.12	100000	2477	97816	7087607	70.88
1964	1-4	0.00069	0.00275	1.6	97523	269	389446	6989790	71.67
1964	5-9	0.00029	0.00147	2.36	97254	143	485894	6600345	67.87
1964	10-14	0.00035	0.00175	2.52	97111	170	485135	6114450	62.96
1964	15-19	0.00075	0.00373	2.95	96941	362	483964	5629316	58.07
1964	20-24	0.00077	0.00382	2.31	96579	369	481903	5145352	53.28
1964	25-29	0.00079	0.00395	2.69	96210	380	480175	4663449	48.47
1964	30-34	0.00148	0.00736	2.6	95831	705	477458	4183274	43.65
1964	35-39	0.00170	0.00847	2.87	95125	806	473912	3705817	38.96
1964	40-44	0.00282	0.01401	2.64	94320	1322	468481	3231904	34.27
1964	45-49	0.00482	0.02383	2.77	92998	2216	460049	2763423	29.71
1964	50-54	0.00862	0.04222	2.58	90782	3832	444652	2303374	25.37
1964	55-59	0.01262	0.06121	2.54	86950	5323	421676	1858722	21.38
1964	60-64	0.02157	0.10249	2.58	81627	8366	387865	1437046	17.61
1964	65-69	0.03125	0.14511	2.55	73261	10631	340238	1049182	14.32
1964	70-74	0.05030	0.22416	2.58	62630	14039	279127	708944	11.32
1964	75-79	0.07130	0.30206	2.47	48591	14678	205861	429816	8.85
1964	80-84	0.11592	0.44682	2.44	33913	15153	130726	223955	6.60
1964	85-89	0.17204	0.58722	2.3	18760	11016	64035	93229	4.97
1964	90-94	0.24283	0.71677	2.14	7744	5550	22858	29195	3.77
1964	95-99	0.33081	0.82399	1.95	2193	1807	5463	6337	2.89
1964	100-104	0.43252	0.89922	1.75	386	347	803	874	2.26
1964	105-109	0.54081	0.94467	1.56	39	37	68	71	1.83
1964	110+	0.62873	1.00000	1.59	2	2	3	3	1.59
1965	0	0.02256	0.02212	0.11	100000	2212	98035	7084256	70.84
1965	1-4	0.00068	0.00272	1.62	97788	266	390518	6986221	71.44
1965	5-9	0.00035	0.00174	2.33	97522	170	487154	6595703	67.63
1965	10-14	0.00029	0.00144	3.22	97352	140	486510	6108549	62.75
1965	15-19	0.00055	0.00274	2.98	97212	266	485520	5622039	57.83
1965	20-24	0.00087	0.00435	2.31	96945	422	483592	5136519	52.98
1965	25-29	0.00077	0.00385	2.67	96524	372	481753	4652927	48.21
