RI: Rhode Island, Lifetables (period 1x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02694	0.02631	0.12	100000	2631	97677	6745999	67.46
1959	1	0.00140	0.00140	0.5	97369	137	97300	6648322	68.28
1959	2	0.00078	0.00078	0.5	97232	76	97194	6551021	67.38
1959	3	0.00079	0.00079	0.5	97156	77	97118	6453827	66.43
1959	4	0.00035	0.00035	0.5	97079	34	97062	6356710	65.48
1959	5	0.00047	0.00047	0.5	97045	46	97022	6259647	64.50
1959	6	0.00000	0.00000	0.5	96999	0	96999	6162625	63.53
1959	7	0.00025	0.00025	0.5	96999	24	96987	6065626	62.53
1959	8	0.00091	0.00091	0.5	96975	88	96931	5968638	61.55
1959	9	0.00026	0.00026	0.5	96887	25	96875	5871707	60.60
1959	10	0.00038	0.00038	0.5	96862	37	96844	5774832	59.62
1959	11	0.00050	0.00050	0.5	96825	48	96801	5677988	58.64
1959	12	0.00065	0.00065	0.5	96777	62	96746	5581187	57.67
1959	13	0.00045	0.00045	0.5	96714	43	96693	5484441	56.71
1959	14	0.00049	0.00049	0.5	96671	48	96647	5387749	55.73
1959	15	0.00016	0.00016	0.5	96623	15	96616	5291101	54.76
1959	16	0.00046	0.00046	0.5	96608	45	96586	5194486	53.77
1959	17	0.00104	0.00104	0.5	96563	100	96513	5097900	52.79
1959	18	0.00139	0.00139	0.5	96463	134	96396	5001387	51.85
1959	19	0.00094	0.00094	0.5	96329	91	96284	4904990	50.92
1959	20	0.00088	0.00088	0.5	96239	85	96196	4808706	49.97
1959	21	0.00067	0.00067	0.5	96154	64	96122	4712510	49.01
1959	22	0.00131	0.00131	0.5	96090	126	96027	4616389	48.04
1959	23	0.00160	0.00160	0.5	95964	154	95887	4520362	47.10
1959	24	0.00145	0.00145	0.5	95810	138	95741	4424475	46.18
1959	25	0.00129	0.00128	0.5	95672	123	95611	4328734	45.25
1959	26	0.00086	0.00086	0.5	95549	82	95508	4233123	44.30
1959	27	0.00108	0.00108	0.5	95467	103	95416	4137615	43.34
1959	28	0.00104	0.00104	0.5	95364	100	95314	4042199	42.39
1959	29	0.00097	0.00097	0.5	95264	92	95218	3946885	41.43
1959	30	0.00074	0.00074	0.5	95172	71	95137	3851667	40.47
1959	31	0.00088	0.00088	0.5	95102	84	95060	3756530	39.50
1959	32	0.00121	0.00121	0.5	95018	115	94960	3661470	38.53
1959	33	0.00119	0.00119	0.5	94903	113	94846	3566510	37.58
1959	34	0.00149	0.00149	0.5	94790	141	94719	3471664	36.62
1959	35	0.00195	0.00195	0.5	94649	185	94556	3376945	35.68
1959	36	0.00181	0.00181	0.5	94464	171	94379	3282388	34.75
1959	37	0.00330	0.00330	0.5	94293	311	94138	3188010	33.81
1959	38	0.00198	0.00198	0.5	93982	186	93889	3093872	32.92
1959	39	0.00423	0.00422	0.5	93796	395	93599	2999983	31.98
1959	40	0.00299	0.00298	0.5	93401	279	93261	2906385	31.12
1959	41	0.00327	0.00327	0.5	93122	304	92970	2813123	30.21
1959	42	0.00464	0.00463	0.5	92818	430	92603	2720153	29.31
1959	43	0.00277	0.00277	0.5	92388	256	92260	2627551	28.44
