RI: Rhode Island, Lifetables (period 1x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02581	0.02523	0.11	100000	2523	97765	6779657	67.80
1960-1969	1	0.00101	0.00101	0.5	97477	98	97428	6681892	68.55
1960-1969	2	0.00099	0.00099	0.5	97379	97	97330	6584464	67.62
1960-1969	3	0.00061	0.00061	0.5	97282	59	97252	6487134	66.68
1960-1969	4	0.00049	0.00049	0.5	97223	48	97199	6389881	65.72
1960-1969	5	0.00055	0.00055	0.5	97175	53	97149	6292682	64.76
1960-1969	6	0.00052	0.00052	0.5	97122	50	97097	6195534	63.79
1960-1969	7	0.00050	0.00050	0.5	97072	48	97048	6098437	62.82
1960-1969	8	0.00045	0.00045	0.5	97023	43	97002	6001389	61.86
1960-1969	9	0.00045	0.00045	0.5	96980	44	96958	5904387	60.88
1960-1969	10	0.00033	0.00033	0.5	96936	32	96920	5807429	59.91
1960-1969	11	0.00039	0.00039	0.5	96905	38	96886	5710509	58.93
1960-1969	12	0.00027	0.00027	0.5	96867	26	96854	5613623	57.95
1960-1969	13	0.00045	0.00045	0.5	96841	43	96819	5516769	56.97
1960-1969	14	0.00062	0.00062	0.5	96797	60	96767	5419950	55.99
1960-1969	15	0.00053	0.00053	0.5	96737	51	96712	5323183	55.03
1960-1969	16	0.00083	0.00083	0.5	96686	80	96646	5226472	54.06
1960-1969	17	0.00085	0.00085	0.5	96606	82	96565	5129825	53.10
1960-1969	18	0.00076	0.00076	0.5	96524	73	96487	5033260	52.15
1960-1969	19	0.00119	0.00119	0.5	96450	114	96393	4936773	51.18
1960-1969	20	0.00093	0.00093	0.5	96336	90	96291	4840380	50.24
1960-1969	21	0.00137	0.00136	0.5	96246	131	96181	4744089	49.29
1960-1969	22	0.00105	0.00105	0.5	96115	101	96064	4647908	48.36
1960-1969	23	0.00094	0.00094	0.5	96014	91	95969	4551844	47.41
1960-1969	24	0.00100	0.00100	0.5	95923	96	95875	4455875	46.45
1960-1969	25	0.00101	0.00101	0.5	95828	96	95780	4360000	45.50
1960-1969	26	0.00106	0.00106	0.5	95731	101	95681	4264220	44.54
1960-1969	27	0.00140	0.00140	0.5	95630	134	95563	4168540	43.59
1960-1969	28	0.00094	0.00094	0.5	95496	90	95451	4072977	42.65
1960-1969	29	0.00107	0.00107	0.5	95406	102	95355	3977525	41.69
1960-1969	30	0.00148	0.00148	0.5	95304	141	95233	3882171	40.73
1960-1969	31	0.00133	0.00133	0.5	95163	127	95099	3786937	39.79
1960-1969	32	0.00127	0.00127	0.5	95036	121	94976	3691838	38.85
1960-1969	33	0.00111	0.00110	0.5	94915	105	94863	3596862	37.90
1960-1969	34	0.00151	0.00151	0.5	94810	143	94739	3502000	36.94
1960-1969	35	0.00172	0.00172	0.5	94667	162	94586	3407261	35.99
1960-1969	36	0.00174	0.00174	0.5	94505	165	94423	3312675	35.05
1960-1969	37	0.00212	0.00212	0.5	94340	200	94240	3218252	34.11
1960-1969	38	0.00267	0.00267	0.5	94140	251	94015	3124012	33.18
1960-1969	39	0.00268	0.00268	0.5	93889	251	93763	3029997	32.27
1960-1969	40	0.00309	0.00308	0.5	93638	288	93493	2936234	31.36
1960-1969	41	0.00304	0.00304	0.5	93349	283	93207	2842740	30.45
1960-1969	42	0.00355	0.00355	0.5	93066	330	92901	2749533	29.54
1960-1969	43	0.00419	0.00418	0.5	92736	388	92541	2656632	28.65
1960-1969	44	0.00466	0.00464	0.5	92347	429	92133	2564091	27.77
1960-1969	45	0.00520	0.00518	0.5	91919	476	91680	2471958	26.89
1960-1969	46	0.00571	0.00569	0.5	91442	520	91182	2380278	26.03
1960-1969	47	0.00645	0.00643	0.5	90922	585	90629	2289096	25.18
1960-1969	48	0.00704	0.00702	0.5	90337	634	90020	2198466	24.34
1960-1969	49	0.00787	0.00784	0.5	89703	703	89352	2108446	23.50
1960-1969	50	0.00894	0.00890	0.5	89000	792	88604	2019095	22.69
1960-1969	51	0.00954	0.00949	0.5	88208	837	87789	1930491	21.89
1960-1969	52	0.01159	0.01153	0.5	87371	1007	86867	1842701	21.09
1960-1969	53	0.01288	0.01279	0.5	86363	1105	85811	1755834	20.33
1960-1969	54	0.01372	0.01363	0.5	85258	1162	84678	1670024	19.59
1960-1969	55	0.01489	0.01478	0.5	84097	1243	83475	1585346	18.85
1960-1969	56	0.01593	0.01581	0.5	82854	1310	82199	1501870	18.13
1960-1969	57	0.01982	0.01963	0.5	81544	1601	80744	1419671	17.41
1960-1969	58	0.02041	0.02020	0.5	79944	1615	79136	1338927	16.75
1960-1969	59	0.02287	0.02262	0.5	78329	1771	77443	1259791	16.08
1960-1969	60	0.02475	0.02444	0.5	76557	1871	75622	1182347	15.44
1960-1969	61	0.02544	0.02512	0.5	74686	1876	73748	1106726	14.82
1960-1969	62	0.03086	0.03039	0.5	72810	2213	71704	1032978	14.19
1960-1969	63	0.03147	0.03099	0.5	70597	2188	69503	961274	13.62
1960-1969	64	0.03620	0.03556	0.5	68410	2432	67194	891770	13.04
1960-1969	65	0.03754	0.03685	0.5	65977	2431	64762	824577	12.50
1960-1969	66	0.04133	0.04049	0.5	63546	2573	62260	759815	11.96
1960-1969	67	0.04500	0.04401	0.5	60973	2683	59632	697555	11.44
1960-1969	68	0.04783	0.04671	0.5	58290	2723	56928	637924	10.94
1960-1969	69	0.04963	0.04843	0.5	55567	2691	54221	580995	10.46
1960-1969	70	0.05571	0.05420	0.5	52876	2866	51443	526774	9.96
1960-1969	71	0.05848	0.05682	0.5	50010	2841	48589	475331	9.50
1960-1969	72	0.06927	0.06695	0.5	47169	3158	45590	426741	9.05
1960-1969	73	0.06717	0.06499	0.5	44011	2860	42581	381152	8.66
1960-1969	74	0.07322	0.07063	0.5	41151	2907	39697	338571	8.23
1960-1969	75	0.08190	0.07868	0.5	38244	3009	36740	298873	7.81
1960-1969	76	0.08437	0.08095	0.5	35235	2852	33809	262134	7.44
1960-1969	77	0.08880	0.08502	0.5	32383	2753	31006	228325	7.05
1960-1969	78	0.09581	0.09143	0.5	29629	2709	28275	197319	6.66
1960-1969	79	0.10378	0.09866	0.5	26920	2656	25592	169044	6.28
1960-1969	80	0.11382	0.10769	0.5	24264	2613	22958	143451	5.91
1960-1969	81	0.12549	0.11808	0.5	21651	2557	20373	120494	5.57
1960-1969	82	0.13669	0.12794	0.5	19095	2443	17873	100121	5.24
1960-1969	83	0.14871	0.13841	0.5	16652	2305	15499	82248	4.94
1960-1969	84	0.16159	0.14951	0.5	14347	2145	13274	66749	4.65
1960-1969	85	0.17535	0.16122	0.5	12202	1967	11218	53474	4.38
1960-1969	86	0.19002	0.17353	0.5	10235	1776	9347	42256	4.13
1960-1969	87	0.20561	0.18645	0.5	8459	1577	7670	32909	3.89
1960-1969	88	0.22214	0.19993	0.5	6882	1376	6194	25239	3.67
1960-1969	89	0.23959	0.21396	0.5	5506	1178	4917	19046	3.46
1960-1969	90	0.25795	0.22848	0.5	4328	989	3833	14129	3.26
1960-1969	91	0.27721	0.24346	0.5	3339	813	2932	10296	3.08
1960-1969	92	0.29733	0.25885	0.5	2526	654	2199	7363	2.91
1960-1969	93	0.31827	0.27458	0.5	1872	514	1615	5164	2.76
1960-1969	94	0.33997	0.29058	0.5	1358	395	1161	3549	2.61
1960-1969	95	0.36236	0.30678	0.5	963	296	816	2388	2.48
1960-1969	96	0.38537	0.32311	0.5	668	216	560	1572	2.35
1960-1969	97	0.40890	0.33949	0.5	452	153	375	1012	2.24
1960-1969	98	0.43286	0.35584	0.5	299	106	245	637	2.13
1960-1969	99	0.45713	0.37209	0.5	192	72	157	392	2.04
