SC: South Carolina, Lifetables (period 5x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.03099	0.03018	0.13	100000	3018	97387	6694036	66.94
1960-1969	1-4	0.00152	0.00605	1.54	96982	587	386485	6596649	68.02
1960-1969	5-9	0.00061	0.00303	2.3	96395	292	481184	6210164	64.42
1960-1969	10-14	0.00058	0.00289	2.74	96103	278	479884	5728980	59.61
1960-1969	15-19	0.00118	0.00589	2.77	95825	564	477866	5249096	54.78
1960-1969	20-24	0.00165	0.00824	2.55	95261	785	474378	4771230	50.09
1960-1969	25-29	0.00189	0.00939	2.54	94476	887	470194	4296852	45.48
1960-1969	30-34	0.00255	0.01269	2.59	93588	1188	465080	3826658	40.89
1960-1969	35-39	0.00356	0.01768	2.66	92401	1633	458181	3361579	36.38
1960-1969	40-44	0.00555	0.02738	2.65	90767	2485	447992	2903397	31.99
1960-1969	45-49	0.00824	0.04044	2.64	88282	3570	432998	2455405	27.81
1960-1969	50-54	0.01271	0.06166	2.61	84712	5223	411058	2022407	23.87
1960-1969	55-59	0.01817	0.08703	2.58	79489	6918	380704	1611349	20.27
1960-1969	60-64	0.02759	0.12922	2.55	72571	9377	339913	1230645	16.96
1960-1969	65-69	0.03884	0.17698	2.5	63193	11184	287990	890731	14.10
1960-1969	70-74	0.05073	0.22492	2.48	52009	11698	230583	602741	11.59
1960-1969	75-79	0.06672	0.28565	2.48	40311	11515	172586	372158	9.23
1960-1969	80-84	0.11314	0.43751	2.41	28796	12599	111350	199572	6.93
1960-1969	85-89	0.15615	0.54986	2.31	16198	8906	57037	88222	5.45
1960-1969	90-94	0.21109	0.66269	2.19	7291	4832	22890	31186	4.28
1960-1969	95-99	0.27918	0.76523	2.05	2459	1882	6741	8296	3.37
1960-1969	100-104	0.35959	0.84786	1.88	577	490	1361	1554	2.69
1960-1969	105-109	0.44935	0.90681	1.71	88	80	177	193	2.20
1960-1969	110+	0.52405	1.00000	1.91	8	8	16	16	1.91
1970-1979	0	0.02116	0.02077	0.11	100000	2077	98145	6969950	69.70
1970-1979	1-4	0.00087	0.00347	1.61	97923	340	390882	6871805	70.18
1970-1979	5-9	0.00049	0.00243	2.38	97584	237	487295	6480923	66.41
1970-1979	10-14	0.00046	0.00231	2.74	97346	225	486222	5993628	61.57
1970-1979	15-19	0.00113	0.00565	2.79	97121	549	484391	5507407	56.71
1970-1979	20-24	0.00148	0.00737	2.54	96572	712	481109	5023016	52.01
1970-1979	25-29	0.00170	0.00847	2.59	95861	812	477346	4541907	47.38
