SC: South Carolina, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03084	0.03004	0.14	100000	3004	97415	7010747	70.11
1959	1	0.00255	0.00254	0.5	96996	247	96873	6913332	71.27
1959	2	0.00199	0.00199	0.5	96750	193	96653	6816459	70.45
1959	3	0.00080	0.00080	0.5	96557	77	96518	6719806	69.59
1959	4	0.00089	0.00089	0.5	96480	86	96437	6623287	68.65
1959	5	0.00045	0.00045	0.5	96394	43	96372	6526851	67.71
1959	6	0.00081	0.00081	0.5	96351	78	96312	6430479	66.74
1959	7	0.00065	0.00065	0.5	96273	63	96242	6334167	65.79
1959	8	0.00048	0.00048	0.5	96210	46	96187	6237925	64.84
1959	9	0.00055	0.00055	0.5	96164	53	96138	6141738	63.87
1959	10	0.00059	0.00059	0.5	96111	56	96083	6045600	62.90
1959	11	0.00018	0.00018	0.5	96055	18	96046	5949517	61.94
1959	12	0.00045	0.00045	0.5	96037	43	96016	5853471	60.95
1959	13	0.00053	0.00053	0.5	95995	51	95969	5757455	59.98
1959	14	0.00070	0.00070	0.5	95944	67	95910	5661486	59.01
1959	15	0.00057	0.00057	0.5	95876	55	95849	5565576	58.05
1959	16	0.00054	0.00054	0.5	95822	51	95796	5469727	57.08
1959	17	0.00043	0.00043	0.5	95770	41	95750	5373931	56.11
1959	18	0.00078	0.00078	0.5	95729	75	95692	5278182	55.14
1959	19	0.00128	0.00127	0.5	95654	122	95593	5182490	54.18
1959	20	0.00108	0.00108	0.5	95532	103	95481	5086897	53.25
1959	21	0.00057	0.00057	0.5	95430	55	95402	4991415	52.30
1959	22	0.00111	0.00111	0.5	95375	106	95322	4896013	51.33
1959	23	0.00136	0.00136	0.5	95269	130	95204	4800691	50.39
1959	24	0.00096	0.00096	0.5	95139	91	95094	4705487	49.46
1959	25	0.00145	0.00145	0.5	95048	137	94980	4610393	48.51
1959	26	0.00100	0.00100	0.5	94911	95	94863	4515414	47.58
1959	27	0.00127	0.00127	0.5	94816	120	94756	4420550	46.62
1959	28	0.00153	0.00153	0.5	94696	145	94623	4325794	45.68
1959	29	0.00210	0.00209	0.5	94551	198	94452	4231171	44.75
1959	30	0.00202	0.00202	0.5	94353	191	94258	4136719	43.84
1959	31	0.00141	0.00141	0.5	94162	133	94096	4042462	42.93
1959	32	0.00218	0.00218	0.5	94030	205	93927	3948366	41.99
1959	33	0.00222	0.00222	0.5	93825	209	93720	3854438	41.08
1959	34	0.00219	0.00219	0.5	93616	205	93514	3760718	40.17
1959	35	0.00229	0.00229	0.5	93411	214	93304	3667204	39.26
1959	36	0.00241	0.00241	0.5	93198	224	93085	3573900	38.35
1959	37	0.00273	0.00273	0.5	92973	253	92847	3480814	37.44
1959	38	0.00293	0.00293	0.5	92720	271	92584	3387968	36.54
1959	39	0.00341	0.00341	0.5	92449	315	92291	3295384	35.65
1959	40	0.00429	0.00429	0.5	92134	395	91936	3203092	34.77
1959	41	0.00432	0.00431	0.5	91739	396	91541	3111156	33.91
1959	42	0.00357	0.00356	0.5	91343	325	91180	3019615	33.06
1959	43	0.00440	0.00440	0.5	91018	400	90818	2928435	32.17
1959	44	0.00432	0.00431	0.5	90618	390	90423	2837617	31.31
1959	45	0.00512	0.00511	0.5	90228	461	89997	2747194	30.45
1959	46	0.00568	0.00567	0.5	89767	509	89512	2657197	29.60
1959	47	0.00582	0.00581	0.5	89258	518	88999	2567685	28.77
1959	48	0.00551	0.00550	0.5	88740	488	88496	2478686	27.93
1959	49	0.00805	0.00802	0.5	88252	708	87898	2390190	27.08
1959	50	0.00978	0.00974	0.5	87544	852	87118	2302292	26.30
1959	51	0.00918	0.00913	0.5	86692	792	86296	2215174	25.55
1959	52	0.00913	0.00909	0.5	85900	781	85510	2128878	24.78
1959	53	0.01081	0.01075	0.5	85119	915	84662	2043369	24.01
1959	54	0.01323	0.01315	0.5	84204	1107	83651	1958707	23.26
1959	55	0.01545	0.01533	0.5	83097	1274	82460	1875056	22.56
1959	56	0.01341	0.01332	0.5	81823	1090	81278	1792596	21.91
1959	57	0.01360	0.01350	0.5	80733	1090	80188	1711318	21.20
1959	58	0.01855	0.01838	0.5	79643	1464	78911	1631129	20.48
1959	59	0.01858	0.01841	0.5	78179	1439	77460	1552218	19.85
1959	60	0.02225	0.02201	0.5	76740	1689	75896	1474759	19.22
1959	61	0.01984	0.01965	0.5	75051	1475	74314	1398863	18.64
1959	62	0.02049	0.02028	0.5	73577	1492	72830	1324549	18.00
1959	63	0.02046	0.02026	0.5	72084	1460	71354	1251719	17.36
1959	64	0.02358	0.02331	0.5	70624	1646	69801	1180365	16.71
1959	65	0.02710	0.02674	0.5	68978	1844	68056	1110563	16.10
1959	66	0.02333	0.02306	0.5	67134	1548	66359	1042508	15.53
1959	67	0.03000	0.02956	0.5	65585	1939	64616	976148	14.88
1959	68	0.02829	0.02790	0.5	63647	1775	62759	911532	14.32
1959	69	0.03207	0.03157	0.5	61871	1953	60895	848773	13.72
1959	70	0.04258	0.04169	0.5	59918	2498	58669	787878	13.15
1959	71	0.02965	0.02922	0.5	57420	1678	56581	729209	12.70
1959	72	0.03799	0.03728	0.5	55743	2078	54704	672628	12.07
1959	73	0.03312	0.03258	0.5	53665	1748	52790	617924	11.51
1959	74	0.04165	0.04080	0.5	51916	2118	50857	565134	10.89
1959	75	0.05210	0.05078	0.5	49798	2529	48534	514277	10.33
1959	76	0.05251	0.05116	0.5	47270	2419	46060	465743	9.85
1959	77	0.05216	0.05083	0.5	44851	2280	43711	419683	9.36
1959	78	0.05924	0.05753	0.5	42571	2449	41346	375972	8.83
1959	79	0.06267	0.06076	0.5	40122	2438	38903	334625	8.34
1959	80	0.08732	0.08367	0.5	37684	3153	36107	295723	7.85
1959	81	0.09072	0.08679	0.5	34531	2997	33032	259615	7.52
1959	82	0.09680	0.09233	0.5	31534	2912	30078	226583	7.19
1959	83	0.10324	0.09817	0.5	28622	2810	27218	196504	6.87
1959	84	0.11005	0.10431	0.5	25813	2692	24466	169287	6.56
1959	85	0.11725	0.11076	0.5	23120	2561	21840	144820	6.26
1959	86	0.12486	0.11752	0.5	20559	2416	19351	122981	5.98
1959	87	0.13289	0.12461	0.5	18143	2261	17013	103629	5.71
1959	88	0.14135	0.13202	0.5	15882	2097	14834	86616	5.45
1959	89	0.15025	0.13975	0.5	13786	1927	12822	71782	5.21
1959	90	0.15962	0.14782	0.5	11859	1753	10983	58960	4.97
1959	91	0.16945	0.15621	0.5	10106	1579	9317	47977	4.75
1959	92	0.17975	0.16493	0.5	8527	1406	7824	38661	4.53
1959	93	0.19054	0.17397	0.5	7121	1239	6502	30836	4.33
1959	94	0.20182	0.18332	0.5	5882	1078	5343	24335	4.14
1959	95	0.21358	0.19298	0.5	4804	927	4340	18992	3.95
1959	96	0.22584	0.20293	0.5	3877	787	3483	14651	3.78
1959	97	0.23859	0.21316	0.5	3090	659	2761	11168	3.61
1959	98	0.25183	0.22367	0.5	2431	544	2160	8407	3.46
1959	99	0.26554	0.23442	0.5	1888	442	1666	6248	3.31
1959	100	0.27972	0.24540	0.5	1445	355	1268	4581	3.17
1959	101	0.29436	0.25659	0.5	1090	280	951	3313	3.04
1959	102	0.30943	0.26797	0.5	811	217	702	2363	2.91
1959	103	0.32492	0.27951	0.5	593	166	510	1661	2.80
1959	104	0.34080	0.29118	0.5	428	124	365	1150	2.69
1959	105	0.35705	0.30296	0.5	303	92	257	785	2.59
1959	106	0.37363	0.31482	0.5	211	67	178	528	2.50
1959	107	0.39052	0.32672	0.5	145	47	121	350	2.42
1959	108	0.40767	0.33864	0.5	97	33	81	229	2.35
1959	109	0.42505	0.35055	0.5	64	23	53	148	2.29
1959	110+	0.44261	1.00000	2.26	42	42	95	95	2.26
1960	0	0.03059	0.02981	0.14	100000	2981	97433	6985026	69.85
