SC: South Carolina, Lifetables (period 5x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02879	0.02809	0.13	100000	2809	97566	7042119	70.42
1960-1964	1-4	0.00150	0.00599	1.53	97191	582	387326	6944553	71.45
1960-1964	5-9	0.00056	0.00280	2.09	96609	271	482259	6557227	67.87
1960-1964	10-14	0.00047	0.00234	2.54	96338	226	481136	6074968	63.06
1960-1964	15-19	0.00067	0.00337	2.7	96113	324	479819	5593832	58.20
1960-1964	20-24	0.00099	0.00495	2.66	95789	474	477834	5114013	53.39
1960-1964	25-29	0.00133	0.00665	2.56	95315	634	475032	4636180	48.64
1960-1964	30-34	0.00195	0.00971	2.61	94681	920	471207	4161147	43.95
1960-1964	35-39	0.00279	0.01384	2.63	93762	1297	465731	3689940	39.35
1960-1964	40-44	0.00398	0.01973	2.61	92465	1824	457969	3224209	34.87
1960-1964	45-49	0.00612	0.03014	2.66	90640	2732	446798	2766240	30.52
1960-1964	50-54	0.00932	0.04557	2.63	87908	4006	430056	2319442	26.38
1960-1964	55-59	0.01333	0.06457	2.59	83902	5417	406463	1889386	22.52
1960-1964	60-64	0.02258	0.10693	2.53	78484	8392	371711	1482923	18.89
1960-1964	65-69	0.02844	0.13284	2.52	70092	9311	327387	1111212	15.85
1960-1964	70-74	0.03794	0.17334	2.51	60781	10536	277700	783825	12.90
1960-1964	75-79	0.05378	0.23767	2.56	50245	11942	222065	506125	10.07
1960-1964	80-84	0.10164	0.40366	2.45	38303	15462	152115	284060	7.42
1960-1964	85-89	0.14385	0.52035	2.34	22842	11886	82626	131945	5.78
1960-1964	90-94	0.19779	0.63849	2.22	10956	6995	35368	49319	4.50
1960-1964	95-99	0.26527	0.74740	2.08	3961	2960	11159	13951	3.52
1960-1964	100-104	0.34551	0.83599	1.91	1000	836	2421	2792	2.79
1960-1964	105-109	0.43548	0.89954	1.74	164	148	339	371	2.26
1960-1964	110+	0.51017	1.00000	1.96	16	16	32	32	1.96
1965-1969	0	0.02524	0.02469	0.12	100000	2469	97836	7147091	71.47
1965-1969	1-4	0.00125	0.00499	1.58	97531	487	388944	7049255	72.28
1965-1969	5-9	0.00052	0.00257	2.29	97044	250	484544	6660311	68.63
1965-1969	10-14	0.00037	0.00187	2.63	96795	181	483544	6175767	63.80
1965-1969	15-19	0.00070	0.00350	2.78	96614	338	482317	5692224	58.92
1965-1969	20-24	0.00093	0.00464	2.6	96276	447	480308	5209906	54.11
1965-1969	25-29	0.00113	0.00564	2.55	95829	541	477820	4729599	49.35
1965-1969	30-34	0.00171	0.00854	2.69	95288	813	474560	4251779	44.62
1965-1969	35-39	0.00257	0.01280	2.65	94475	1209	469528	3777219	39.98
1965-1969	40-44	0.00407	0.02018	2.64	93266	1882	461879	3307691	35.47
1965-1969	45-49	0.00558	0.02754	2.66	91384	2517	451029	2845812	31.14
1965-1969	50-54	0.00856	0.04191	2.57	88867	3724	435291	2394782	26.95
1965-1969	55-59	0.01210	0.05882	2.61	85143	5008	413758	1959492	23.01
1965-1969	60-64	0.01865	0.08925	2.6	80135	7152	383538	1545734	19.29
1965-1969	65-69	0.02868	0.13396	2.54	72984	9777	340872	1162195	15.92
1965-1969	70-74	0.03872	0.17684	2.55	63206	11177	288666	821323	12.99
1965-1969	75-79	0.05453	0.24040	2.54	52029	12508	229354	532657	10.24
1965-1969	80-84	0.09414	0.38112	2.5	39521	15063	160003	303303	7.67
1965-1969	85-89	0.14008	0.51118	2.36	24459	12503	89257	143300	5.86
