PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SC,m,1960-1964,0,0.03722,0.03607,0.14,100000,3607,96916,6315141,63.15
SC,m,1960-1964,1,0.00292,0.00291,0.5,96393,281,96253,6218225,64.51
SC,m,1960-1964,2,0.00181,0.00180,0.5,96112,173,96026,6121973,63.70
SC,m,1960-1964,3,0.00116,0.00116,0.5,95939,111,95883,6025947,62.81
SC,m,1960-1964,4,0.00094,0.00094,0.5,95828,90,95783,5930064,61.88
SC,m,1960-1964,5,0.00091,0.00091,0.5,95738,87,95694,5834281,60.94
SC,m,1960-1964,6,0.00077,0.00077,0.5,95650,74,95614,5738587,60.00
SC,m,1960-1964,7,0.00060,0.00060,0.5,95577,57,95548,5642973,59.04
SC,m,1960-1964,8,0.00058,0.00058,0.5,95519,55,95492,5547425,58.08
SC,m,1960-1964,9,0.00065,0.00065,0.5,95464,62,95434,5451933,57.11
SC,m,1960-1964,10,0.00055,0.00055,0.5,95403,53,95376,5356500,56.15
SC,m,1960-1964,11,0.00064,0.00064,0.5,95350,61,95319,5261123,55.18
SC,m,1960-1964,12,0.00065,0.00065,0.5,95289,62,95258,5165804,54.21
SC,m,1960-1964,13,0.00083,0.00083,0.5,95227,79,95188,5070546,53.25
SC,m,1960-1964,14,0.00102,0.00102,0.5,95148,97,95100,4975358,52.29
SC,m,1960-1964,15,0.00099,0.00099,0.5,95051,94,95004,4880258,51.34
SC,m,1960-1964,16,0.00146,0.00146,0.5,94957,139,94888,4785254,50.39
SC,m,1960-1964,17,0.00163,0.00163,0.5,94819,155,94741,4690366,49.47
SC,m,1960-1964,18,0.00168,0.00167,0.5,94664,159,94585,4595625,48.55
SC,m,1960-1964,19,0.00196,0.00196,0.5,94505,185,94413,4501041,47.63
SC,m,1960-1964,20,0.00211,0.00211,0.5,94320,199,94221,4406628,46.72
SC,m,1960-1964,21,0.00186,0.00186,0.5,94121,175,94034,4312407,45.82
SC,m,1960-1964,22,0.00219,0.00218,0.5,93947,205,93844,4218373,44.90
SC,m,1960-1964,23,0.00223,0.00223,0.5,93742,209,93637,4124528,44.00
SC,m,1960-1964,24,0.00231,0.00230,0.5,93533,215,93425,4030891,43.10
SC,m,1960-1964,25,0.00254,0.00254,0.5,93318,237,93199,3937466,42.19
SC,m,1960-1964,26,0.00242,0.00242,0.5,93080,225,92968,3844267,41.30
SC,m,1960-1964,27,0.00252,0.00251,0.5,92855,233,92738,3751299,40.40
SC,m,1960-1964,28,0.00259,0.00259,0.5,92622,240,92502,3658561,39.50
SC,m,1960-1964,29,0.00256,0.00256,0.5,92382,236,92264,3566059,38.60
SC,m,1960-1964,30,0.00305,0.00304,0.5,92145,280,92005,3473795,37.70
SC,m,1960-1964,31,0.00298,0.00298,0.5,91865,273,91728,3381790,36.81
SC,m,1960-1964,32,0.00290,0.00290,0.5,91592,266,91459,3290062,35.92
SC,m,1960-1964,33,0.00331,0.00331,0.5,91326,302,91175,3198603,35.02
SC,m,1960-1964,34,0.00347,0.00346,0.5,91024,315,90866,3107428,34.14
SC,m,1960-1964,35,0.00397,0.00396,0.5,90709,360,90529,3016561,33.26
SC,m,1960-1964,36,0.00380,0.00380,0.5,90349,343,90178,2926032,32.39
SC,m,1960-1964,37,0.00467,0.00466,0.5,90006,420,89796,2835855,31.51
SC,m,1960-1964,38,0.00468,0.00467,0.5,89586,418,89377,2746058,30.65
SC,m,1960-1964,39,0.00559,0.00557,0.5,89168,497,88920,2656681,29.79
SC,m,1960-1964,40,0.00595,0.00593,0.5,88671,526,88409,2567761,28.96
SC,m,1960-1964,41,0.00573,0.00572,0.5,88146,504,87894,2479352,28.13
SC,m,1960-1964,42,0.00735,0.00732,0.5,87642,642,87321,2391459,27.29
SC,m,1960-1964,43,0.00828,0.00825,0.5,87000,718,86641,2304138,26.48
SC,m,1960-1964,44,0.00848,0.00845,0.5,86282,729,85918,2217496,25.70
SC,m,1960-1964,45,0.00921,0.00917,0.5,85554,784,85161,2131578,24.92
SC,m,1960-1964,46,0.00973,0.00968,0.5,84769,821,84359,2046417,24.14
SC,m,1960-1964,47,0.01134,0.01128,0.5,83949,947,83475,1962058,23.37
SC,m,1960-1964,48,0.01155,0.01149,0.5,83002,953,82525,1878583,22.63
SC,m,1960-1964,49,0.01241,0.01234,0.5,82048,1012,81542,1796058,21.89
SC,m,1960-1964,50,0.01513,0.01501,0.5,81036,1217,80428,1714516,21.16
SC,m,1960-1964,51,0.01475,0.01465,0.5,79820,1169,79235,1634088,20.47
SC,m,1960-1964,52,0.01629,0.01616,0.5,78651,1271,78015,1554853,19.77
SC,m,1960-1964,53,0.01793,0.01777,0.5,77380,1375,76692,1476838,19.09
SC,m,1960-1964,54,0.01908,0.01890,0.5,76005,1436,75287,1400145,18.42
SC,m,1960-1964,55,0.02137,0.02114,0.5,74569,1577,73780,1324858,17.77
SC,m,1960-1964,56,0.02313,0.02286,0.5,72992,1669,72158,1251078,17.14
SC,m,1960-1964,57,0.02369,0.02341,0.5,71323,1670,70488,1178921,16.53
SC,m,1960-1964,58,0.02591,0.02558,0.5,69654,1782,68763,1108432,15.91
SC,m,1960-1964,59,0.02740,0.02703,0.5,67872,1835,66955,1039670,15.32
SC,m,1960-1964,60,0.03285,0.03232,0.5,66037,2135,64970,972715,14.73
SC,m,1960-1964,61,0.03346,0.03291,0.5,63903,2103,62851,907745,14.21
SC,m,1960-1964,62,0.04023,0.03944,0.5,61799,2437,60581,844894,13.67
SC,m,1960-1964,63,0.03980,0.03902,0.5,59362,2316,58204,784313,13.21
SC,m,1960-1964,64,0.04009,0.03931,0.5,57046,2242,55924,726109,12.73
SC,m,1960-1964,65,0.04982,0.04861,0.5,54803,2664,53471,670185,12.23
SC,m,1960-1964,66,0.04702,0.04594,0.5,52139,2395,50942,616714,11.83
SC,m,1960-1964,67,0.05263,0.05128,0.5,49744,2551,48469,565772,11.37
SC,m,1960-1964,68,0.05323,0.05185,0.5,47193,2447,45970,517303,10.96
SC,m,1960-1964,69,0.05534,0.05385,0.5,44746,2409,43542,471333,10.53
SC,m,1960-1964,70,0.06386,0.06188,0.5,42337,2620,41027,427791,10.10
SC,m,1960-1964,71,0.06135,0.05952,0.5,39717,2364,38535,386764,9.74
SC,m,1960-1964,72,0.06848,0.06621,0.5,37353,2473,36117,348229,9.32
SC,m,1960-1964,73,0.06750,0.06530,0.5,34880,2278,33741,312113,8.95
SC,m,1960-1964,74,0.06700,0.06483,0.5,32602,2114,31546,278371,8.54
SC,m,1960-1964,75,0.07583,0.07306,0.5,30489,2227,29375,246826,8.10
SC,m,1960-1964,76,0.07567,0.07291,0.5,28261,2061,27231,217451,7.69
SC,m,1960-1964,77,0.07639,0.07358,0.5,26201,1928,25237,190220,7.26
SC,m,1960-1964,78,0.09040,0.08649,0.5,24273,2099,23223,164983,6.80
SC,m,1960-1964,79,0.09309,0.08895,0.5,22174,1972,21187,141759,6.39
SC,m,1960-1964,80,0.12886,0.12106,0.5,20201,2446,18978,120572,5.97
SC,m,1960-1964,81,0.13374,0.12535,0.5,17756,2226,16643,101594,5.72
SC,m,1960-1964,82,0.14194,0.13254,0.5,15530,2058,14501,84951,5.47
SC,m,1960-1964,83,0.15057,0.14003,0.5,13472,1886,12528,70450,5.23
SC,m,1960-1964,84,0.15962,0.14782,0.5,11585,1713,10729,57922,5.00
SC,m,1960-1964,85,0.16911,0.15592,0.5,9873,1539,9103,47193,4.78
SC,m,1960-1964,86,0.17904,0.16433,0.5,8333,1369,7649,38090,4.57
SC,m,1960-1964,87,0.18942,0.17303,0.5,6964,1205,6361,30441,4.37
SC,m,1960-1964,88,0.20026,0.18203,0.5,5759,1048,5235,24080,4.18
SC,m,1960-1964,89,0.21155,0.19131,0.5,4711,901,4260,18845,4.00
SC,m,1960-1964,90,0.22330,0.20087,0.5,3809,765,3427,14585,3.83
SC,m,1960-1964,91,0.23551,0.21070,0.5,3044,641,2723,11159,3.67
SC,m,1960-1964,92,0.24818,0.22078,0.5,2403,530,2138,8435,3.51
SC,m,1960-1964,93,0.26129,0.23110,0.5,1872,433,1656,6298,3.36
SC,m,1960-1964,94,0.27485,0.24164,0.5,1440,348,1266,4642,3.22
SC,m,1960-1964,95,0.28883,0.25238,0.5,1092,276,954,3376,3.09
SC,m,1960-1964,96,0.30322,0.26330,0.5,816,215,709,2422,2.97
SC,m,1960-1964,97,0.31802,0.27439,0.5,601,165,519,1713,2.85
SC,m,1960-1964,98,0.33319,0.28561,0.5,436,125,374,1194,2.74
SC,m,1960-1964,99,0.34871,0.29694,0.5,312,93,265,820,2.63
SC,m,1960-1964,100,0.36456,0.30835,0.5,219,68,185,555,2.53
SC,m,1960-1964,101,0.38071,0.31983,0.5,152,48,127,370,2.44
SC,m,1960-1964,102,0.39713,0.33133,0.5,103,34,86,242,2.35
SC,m,1960-1964,103,0.41378,0.34285,0.5,69,24,57,156,2.27
SC,m,1960-1964,104,0.43063,0.35434,0.5,45,16,37,99,2.19
SC,m,1960-1964,105,0.44764,0.36578,0.5,29,11,24,62,2.12
SC,m,1960-1964,106,0.46478,0.37714,0.5,19,7,15,38,2.05
SC,m,1960-1964,107,0.48200,0.38840,0.5,12,4,9,23,1.99
SC,m,1960-1964,108,0.49927,0.39953,0.5,7,3,6,14,1.94
SC,m,1960-1964,109,0.51653,0.41051,0.5,4,2,3,8,1.90
SC,m,1960-1964,110+,0.53376,1.00000,1.87,3,3,5,5,1.87
SC,m,1965-1969,0,0.03178,0.03093,0.13,100000,3093,97310,6321070,63.21
SC,m,1965-1969,1,0.00261,0.00261,0.5,96907,253,96781,6223759,64.22
SC,m,1965-1969,2,0.00170,0.00170,0.5,96655,165,96572,6126978,63.39
SC,m,1965-1969,3,0.00106,0.00106,0.5,96490,102,96439,6030406,62.50
SC,m,1965-1969,4,0.00097,0.00097,0.5,96388,93,96341,5933967,61.56
SC,m,1965-1969,5,0.00068,0.00067,0.5,96294,65,96262,5837626,60.62
