SC: South Carolina, Lifetables (period 5x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.03470	0.03369	0.14	100000	3369	97096	6315438	63.15
1960-1969	1-4	0.00165	0.00658	1.54	96631	635	384957	6218342	64.35
1960-1969	5-9	0.00067	0.00337	2.38	95995	323	479131	5833385	60.77
1960-1969	10-14	0.00073	0.00364	2.82	95672	348	477602	5354254	55.96
1960-1969	15-19	0.00163	0.00813	2.78	95324	775	474896	4876652	51.16
1960-1969	20-24	0.00230	0.01144	2.52	94549	1082	470062	4401756	46.56
1960-1969	25-29	0.00255	0.01265	2.54	93467	1182	464423	3931694	42.06
1960-1969	30-34	0.00332	0.01648	2.56	92285	1520	457715	3467271	37.57
1960-1969	35-39	0.00452	0.02236	2.67	90765	2029	449102	3009556	33.16
1960-1969	40-44	0.00717	0.03527	2.66	88735	3129	436351	2560454	28.86
1960-1969	45-49	0.01080	0.05267	2.63	85606	4509	417353	2124103	24.81
1960-1969	50-54	0.01680	0.08073	2.61	81097	6547	389832	1706749	21.05
1960-1969	55-59	0.02446	0.11544	2.57	74549	8606	351815	1316917	17.67
1960-1969	60-64	0.03637	0.16694	2.54	65943	11009	302681	965103	14.64
1960-1969	65-69	0.05235	0.23111	2.47	54935	12696	242530	662422	12.06
1960-1969	70-74	0.06800	0.28947	2.43	42239	12227	179809	419892	9.94
1960-1969	75-79	0.08603	0.35194	2.42	30012	10562	122781	240082	8.00
1960-1969	80-84	0.13812	0.50483	2.34	19450	9819	71088	117301	6.03
1960-1969	85-89	0.18446	0.61139	2.24	9631	5888	31922	46214	4.80
1960-1969	90-94	0.24271	0.71413	2.12	3743	2673	11012	14291	3.82
1960-1969	95-99	0.31203	0.80249	1.97	1070	859	2752	3279	3.07
1960-1969	100-104	0.39075	0.87084	1.82	211	184	471	528	2.50
1960-1969	105-109	0.47559	0.91870	1.66	27	25	53	57	2.08
1960-1969	110+	0.54501	1.00000	1.83	2	2	4	4	1.83
1970-1979	0	0.02340	0.02292	0.11	100000	2292	97955	6543087	65.43
1970-1979	1-4	0.00091	0.00364	1.65	97708	355	389999	6445132	65.96
1970-1979	5-9	0.00056	0.00281	2.42	97353	274	486058	6055134	62.20
1970-1979	10-14	0.00060	0.00298	2.77	97079	289	484748	5569076	57.37
1970-1979	15-19	0.00165	0.00822	2.79	96790	796	482193	5084328	52.53
1970-1979	20-24	0.00215	0.01067	2.53	95994	1024	477434	4602135	47.94
1970-1979	25-29	0.00245	0.01218	2.57	94969	1157	472034	4124701	43.43
1970-1979	30-34	0.00276	0.01373	2.63	93812	1288	466010	3652668	38.94
1970-1979	35-39	0.00417	0.02063	2.67	92524	1909	458168	3186658	34.44
1970-1979	40-44	0.00650	0.03201	2.68	90616	2900	446344	2728489	30.11
1970-1979	45-49	0.00971	0.04748	2.64	87715	4165	428743	2282145	26.02
1970-1979	50-54	0.01487	0.07180	2.63	83551	5999	403532	1853402	22.18
1970-1979	55-59	0.02206	0.10481	2.62	77552	8128	368439	1449870	18.70
1970-1979	60-64	0.03237	0.15007	2.57	69424	10418	321801	1081430	15.58
1970-1979	65-69	0.04373	0.19725	2.52	59005	11639	266166	759629	12.87
1970-1979	70-74	0.06327	0.27308	2.5	47366	12935	204447	493463	10.42
1970-1979	75-79	0.08377	0.34541	2.46	34431	11893	141976	289016	8.39
1970-1979	80-84	0.12339	0.46677	2.39	22539	10520	85258	147040	6.52
1970-1979	85-89	0.16953	0.57975	2.27	12018	6968	41099	61782	5.14
1970-1979	90-94	0.22370	0.68377	2.16	5051	3453	15438	20683	4.10
1970-1979	95-99	0.28887	0.77629	2.02	1597	1240	4292	5245	3.28
1970-1979	100-104	0.36390	0.85051	1.87	357	304	835	953	2.67
1970-1979	105-109	0.44613	0.90437	1.71	53	48	108	118	2.21
1970-1979	110+	0.51369	1.00000	1.95	5	5	10	10	1.95
1980-1989	0	0.01580	0.01558	0.09	100000	1558	98578	6873294	68.73
1980-1989	1-4	0.00074	0.00295	1.63	98442	290	393083	6774716	68.82
1980-1989	5-9	0.00035	0.00176	2.47	98152	173	490324	6381633	65.02
1980-1989	10-14	0.00045	0.00225	2.84	97979	220	489420	5891309	60.13
1980-1989	15-19	0.00130	0.00649	2.78	97759	635	487385	5401889	55.26
1980-1989	20-24	0.00178	0.00888	2.56	97124	862	483518	4914505	50.60
1980-1989	25-29	0.00198	0.00986	2.58	96262	949	479016	4430986	46.03
1980-1989	30-34	0.00240	0.01191	2.54	95313	1135	473765	3951970	41.46
1980-1989	35-39	0.00307	0.01522	2.59	94177	1433	467430	3478205	36.93
1980-1989	40-44	0.00454	0.02246	2.64	92744	2083	458800	3010775	32.46
1980-1989	45-49	0.00696	0.03423	2.7	90661	3103	446169	2551975	28.15
1980-1989	50-54	0.01087	0.05301	2.66	87557	4641	426907	2105806	24.05
1980-1989	55-59	0.01685	0.08098	2.61	82916	6714	398546	1678899	20.25
1980-1989	60-64	0.02521	0.11886	2.6	76202	9057	359275	1280353	16.80
1980-1989	65-69	0.03724	0.17081	2.58	67145	11469	307933	921079	13.72
1980-1989	70-74	0.05455	0.24054	2.54	55676	13392	245484	613145	11.01
1980-1989	75-79	0.07748	0.32361	2.46	42284	13683	176608	367661	8.70
1980-1989	80-84	0.11691	0.44941	2.43	28600	12853	109943	191053	6.68
1980-1989	85-89	0.16638	0.57361	2.29	15747	9033	54289	81110	5.15
1980-1989	90-94	0.22811	0.69245	2.16	6714	4649	20382	26821	3.99
