SD: South Dakota, Lifetables (period 1x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02417	0.02367	0.12	100000	2367	97906	7149094	71.49
1960-1969	1	0.00150	0.00149	0.5	97633	146	97560	7051188	72.22
1960-1969	2	0.00117	0.00117	0.5	97487	114	97430	6953628	71.33
1960-1969	3	0.00082	0.00082	0.5	97374	80	97334	6856197	70.41
1960-1969	4	0.00064	0.00064	0.5	97294	62	97263	6758864	69.47
1960-1969	5	0.00054	0.00054	0.5	97232	52	97205	6661601	68.51
1960-1969	6	0.00041	0.00041	0.5	97179	40	97159	6564396	67.55
1960-1969	7	0.00049	0.00049	0.5	97139	48	97116	6467236	66.58
1960-1969	8	0.00044	0.00044	0.5	97092	43	97070	6370121	65.61
1960-1969	9	0.00035	0.00035	0.5	97049	34	97032	6273050	64.64
1960-1969	10	0.00037	0.00037	0.5	97015	36	96997	6176018	63.66
1960-1969	11	0.00048	0.00048	0.5	96979	46	96956	6079021	62.68
1960-1969	12	0.00047	0.00047	0.5	96933	45	96910	5982066	61.71
1960-1969	13	0.00057	0.00057	0.5	96888	55	96860	5885155	60.74
1960-1969	14	0.00065	0.00065	0.5	96833	63	96801	5788295	59.78
1960-1969	15	0.00100	0.00100	0.5	96770	96	96722	5691494	58.81
1960-1969	16	0.00133	0.00133	0.5	96674	128	96609	5594772	57.87
1960-1969	17	0.00145	0.00145	0.5	96545	140	96475	5498163	56.95
1960-1969	18	0.00141	0.00141	0.5	96405	136	96337	5401687	56.03
1960-1969	19	0.00155	0.00155	0.5	96270	149	96195	5305350	55.11
1960-1969	20	0.00188	0.00188	0.5	96121	181	96030	5209155	54.19
1960-1969	21	0.00177	0.00177	0.5	95940	170	95855	5113125	53.30
1960-1969	22	0.00190	0.00189	0.5	95770	181	95680	5017270	52.39
1960-1969	23	0.00187	0.00187	0.5	95589	179	95500	4921590	51.49
1960-1969	24	0.00169	0.00169	0.5	95410	161	95330	4826090	50.58
1960-1969	25	0.00143	0.00143	0.5	95249	136	95181	4730761	49.67
1960-1969	26	0.00142	0.00142	0.5	95113	135	95046	4635580	48.74
1960-1969	27	0.00175	0.00175	0.5	94978	166	94895	4540534	47.81
1960-1969	28	0.00139	0.00139	0.5	94812	132	94746	4445639	46.89
1960-1969	29	0.00192	0.00192	0.5	94680	182	94589	4350894	45.95
1960-1969	30	0.00167	0.00167	0.5	94498	158	94419	4256305	45.04
1960-1969	31	0.00150	0.00150	0.5	94340	142	94269	4161885	44.12
1960-1969	32	0.00168	0.00168	0.5	94199	158	94120	4067616	43.18
1960-1969	33	0.00179	0.00178	0.5	94040	168	93956	3973496	42.25
1960-1969	34	0.00148	0.00148	0.5	93873	139	93803	3879540	41.33
1960-1969	35	0.00170	0.00170	0.5	93734	160	93654	3785737	40.39
1960-1969	36	0.00186	0.00186	0.5	93574	174	93487	3692083	39.46
1960-1969	37	0.00237	0.00236	0.5	93400	221	93290	3598596	38.53
1960-1969	38	0.00229	0.00228	0.5	93179	213	93073	3505306	37.62
1960-1969	39	0.00246	0.00246	0.5	92967	228	92852	3412233	36.70
1960-1969	40	0.00255	0.00255	0.5	92738	236	92620	3319381	35.79
1960-1969	41	0.00268	0.00267	0.5	92502	247	92379	3226760	34.88
1960-1969	42	0.00306	0.00305	0.5	92255	281	92114	3134382	33.98
1960-1969	43	0.00330	0.00330	0.5	91973	303	91822	3042268	33.08
1960-1969	44	0.00337	0.00337	0.5	91670	309	91516	2950446	32.19
1960-1969	45	0.00330	0.00329	0.5	91361	301	91211	2858930	31.29
1960-1969	46	0.00429	0.00428	0.5	91060	390	90865	2767719	30.39
1960-1969	47	0.00476	0.00474	0.5	90670	430	90455	2676854	29.52
1960-1969	48	0.00524	0.00523	0.5	90240	472	90004	2586399	28.66
1960-1969	49	0.00560	0.00558	0.5	89768	501	89518	2496395	27.81
1960-1969	50	0.00567	0.00566	0.5	89267	505	89015	2406877	26.96
1960-1969	51	0.00689	0.00687	0.5	88762	609	88458	2317862	26.11
1960-1969	52	0.00770	0.00767	0.5	88153	676	87815	2229404	25.29
1960-1969	53	0.00737	0.00734	0.5	87477	642	87156	2141590	24.48
1960-1969	54	0.00864	0.00860	0.5	86835	747	86461	2054434	23.66
1960-1969	55	0.00988	0.00983	0.5	86088	847	85664	1967973	22.86
1960-1969	56	0.00999	0.00994	0.5	85241	847	84817	1882309	22.08
1960-1969	57	0.01108	0.01102	0.5	84394	930	83929	1797491	21.30
1960-1969	58	0.01180	0.01174	0.5	83464	979	82974	1713563	20.53
1960-1969	59	0.01308	0.01300	0.5	82484	1072	81948	1630589	19.77
1960-1969	60	0.01371	0.01362	0.5	81412	1109	80858	1548641	19.02
1960-1969	61	0.01499	0.01488	0.5	80304	1195	79706	1467783	18.28
1960-1969	62	0.01734	0.01719	0.5	79109	1360	78429	1388077	17.55
1960-1969	63	0.01919	0.01901	0.5	77749	1478	77010	1309648	16.84
1960-1969	64	0.01973	0.01954	0.5	76271	1490	75526	1232638	16.16
1960-1969	65	0.02264	0.02239	0.5	74781	1674	73944	1157112	15.47
1960-1969	66	0.02359	0.02331	0.5	73107	1704	72254	1083169	14.82
1960-1969	67	0.02515	0.02484	0.5	71402	1773	70516	1010914	14.16
1960-1969	68	0.02850	0.02810	0.5	69629	1956	68651	940399	13.51
1960-1969	69	0.02897	0.02856	0.5	67672	1933	66706	871748	12.88
1960-1969	70	0.03284	0.03231	0.5	65740	2124	64678	805042	12.25
1960-1969	71	0.03548	0.03486	0.5	63615	2217	62507	740365	11.64
1960-1969	72	0.04096	0.04014	0.5	61398	2464	60166	677858	11.04
1960-1969	73	0.04409	0.04314	0.5	58934	2543	57662	617692	10.48
1960-1969	74	0.04746	0.04636	0.5	56391	2614	55084	560030	9.93
1960-1969	75	0.05445	0.05301	0.5	53777	2851	52352	504946	9.39
1960-1969	76	0.05991	0.05817	0.5	50926	2962	49445	452595	8.89
1960-1969	77	0.06178	0.05993	0.5	47964	2874	46527	403150	8.41
1960-1969	78	0.06881	0.06653	0.5	45089	3000	43590	356623	7.91
1960-1969	79	0.07739	0.07451	0.5	42090	3136	40522	313034	7.44
1960-1969	80	0.08510	0.08163	0.5	38954	3180	37364	272512	7.00
1960-1969	81	0.09390	0.08969	0.5	35774	3208	34170	235148	6.57
1960-1969	82	0.10351	0.09842	0.5	32566	3205	30963	200978	6.17
1960-1969	83	0.11401	0.10786	0.5	29360	3167	27777	170015	5.79
1960-1969	84	0.12544	0.11804	0.5	26194	3092	24648	142238	5.43
