PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SD,b,1960-1964,0,0.02570,0.02513,0.12,100000,2513,97788,7107045,71.07
SD,b,1960-1964,1,0.00152,0.00152,0.5,97487,148,97413,7009257,71.90
SD,b,1960-1964,2,0.00117,0.00117,0.5,97339,114,97282,6911844,71.01
SD,b,1960-1964,3,0.00084,0.00084,0.5,97225,81,97184,6814562,70.09
SD,b,1960-1964,4,0.00067,0.00067,0.5,97144,65,97111,6717378,69.15
SD,b,1960-1964,5,0.00056,0.00056,0.5,97079,54,97052,6620267,68.19
SD,b,1960-1964,6,0.00039,0.00039,0.5,97024,38,97006,6523215,67.23
SD,b,1960-1964,7,0.00038,0.00038,0.5,96987,37,96968,6426209,66.26
SD,b,1960-1964,8,0.00051,0.00051,0.5,96950,49,96925,6329241,65.28
SD,b,1960-1964,9,0.00042,0.00042,0.5,96901,40,96880,6232316,64.32
SD,b,1960-1964,10,0.00036,0.00036,0.5,96860,35,96843,6135435,63.34
SD,b,1960-1964,11,0.00055,0.00055,0.5,96825,53,96799,6038592,62.37
SD,b,1960-1964,12,0.00048,0.00048,0.5,96772,47,96749,5941794,61.40
SD,b,1960-1964,13,0.00059,0.00059,0.5,96726,57,96697,5845045,60.43
SD,b,1960-1964,14,0.00070,0.00070,0.5,96669,67,96635,5748348,59.46
SD,b,1960-1964,15,0.00103,0.00103,0.5,96601,100,96552,5651713,58.51
SD,b,1960-1964,16,0.00148,0.00148,0.5,96502,143,96430,5555161,57.57
SD,b,1960-1964,17,0.00126,0.00126,0.5,96359,121,96298,5458731,56.65
SD,b,1960-1964,18,0.00138,0.00138,0.5,96238,133,96171,5362433,55.72
SD,b,1960-1964,19,0.00147,0.00147,0.5,96105,141,96034,5266261,54.80
SD,b,1960-1964,20,0.00204,0.00204,0.5,95964,196,95866,5170227,53.88
SD,b,1960-1964,21,0.00185,0.00185,0.5,95768,177,95680,5074361,52.99
SD,b,1960-1964,22,0.00188,0.00188,0.5,95591,179,95502,4978682,52.08
SD,b,1960-1964,23,0.00179,0.00179,0.5,95412,171,95327,4883180,51.18
SD,b,1960-1964,24,0.00188,0.00188,0.5,95241,179,95152,4787854,50.27
SD,b,1960-1964,25,0.00130,0.00130,0.5,95063,124,95001,4692702,49.36
SD,b,1960-1964,26,0.00187,0.00187,0.5,94939,177,94850,4597701,48.43
SD,b,1960-1964,27,0.00217,0.00217,0.5,94762,206,94659,4502851,47.52
SD,b,1960-1964,28,0.00139,0.00139,0.5,94556,132,94490,4408192,46.62
SD,b,1960-1964,29,0.00193,0.00193,0.5,94424,182,94333,4313702,45.68
SD,b,1960-1964,30,0.00177,0.00177,0.5,94242,167,94158,4219369,44.77
SD,b,1960-1964,31,0.00142,0.00142,0.5,94075,134,94008,4125211,43.85
SD,b,1960-1964,32,0.00182,0.00182,0.5,93941,171,93856,4031203,42.91
SD,b,1960-1964,33,0.00203,0.00203,0.5,93770,190,93675,3937347,41.99
SD,b,1960-1964,34,0.00160,0.00160,0.5,93580,150,93505,3843672,41.07
SD,b,1960-1964,35,0.00197,0.00197,0.5,93430,184,93339,3750167,40.14
SD,b,1960-1964,36,0.00174,0.00173,0.5,93247,162,93166,3656828,39.22
SD,b,1960-1964,37,0.00239,0.00238,0.5,93085,222,92974,3563662,38.28
SD,b,1960-1964,38,0.00218,0.00218,0.5,92863,202,92762,3470688,37.37
SD,b,1960-1964,39,0.00271,0.00271,0.5,92661,251,92535,3377926,36.45
SD,b,1960-1964,40,0.00245,0.00244,0.5,92410,226,92297,3285391,35.55
SD,b,1960-1964,41,0.00276,0.00275,0.5,92184,254,92057,3193095,34.64
SD,b,1960-1964,42,0.00291,0.00291,0.5,91930,267,91796,3101038,33.73
SD,b,1960-1964,43,0.00333,0.00332,0.5,91663,305,91510,3009241,32.83
SD,b,1960-1964,44,0.00332,0.00331,0.5,91358,303,91207,2917731,31.94
SD,b,1960-1964,45,0.00309,0.00309,0.5,91055,281,90915,2826524,31.04
SD,b,1960-1964,46,0.00393,0.00392,0.5,90775,356,90597,2735609,30.14
SD,b,1960-1964,47,0.00467,0.00466,0.5,90419,421,90208,2645013,29.25
SD,b,1960-1964,48,0.00542,0.00541,0.5,89997,487,89754,2554805,28.39
SD,b,1960-1964,49,0.00582,0.00580,0.5,89511,520,89251,2465051,27.54
SD,b,1960-1964,50,0.00579,0.00577,0.5,88991,513,88735,2375800,26.70
SD,b,1960-1964,51,0.00706,0.00703,0.5,88478,622,88167,2287065,25.85
SD,b,1960-1964,52,0.00763,0.00760,0.5,87856,668,87522,2198898,25.03
SD,b,1960-1964,53,0.00784,0.00781,0.5,87188,681,86848,2111376,24.22
SD,b,1960-1964,54,0.00864,0.00860,0.5,86507,744,86135,2024529,23.40
SD,b,1960-1964,55,0.01076,0.01071,0.5,85763,918,85304,1938393,22.60
SD,b,1960-1964,56,0.01107,0.01101,0.5,84845,934,84378,1853089,21.84
SD,b,1960-1964,57,0.01084,0.01078,0.5,83911,905,83458,1768711,21.08
SD,b,1960-1964,58,0.01153,0.01147,0.5,83006,952,82530,1685253,20.30
