SD: South Dakota, Lifetables (period 1x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02956	0.02882	0.12	100000	2882	97477	6752155	67.52
1960-1964	1	0.00162	0.00162	0.5	97118	157	97040	6654678	68.52
1960-1964	2	0.00130	0.00130	0.5	96962	126	96899	6557638	67.63
1960-1964	3	0.00094	0.00094	0.5	96836	91	96790	6460739	66.72
1960-1964	4	0.00078	0.00078	0.5	96744	75	96707	6363949	65.78
1960-1964	5	0.00054	0.00054	0.5	96669	52	96643	6267242	64.83
1960-1964	6	0.00064	0.00064	0.5	96617	62	96586	6170599	63.87
1960-1964	7	0.00054	0.00054	0.5	96556	52	96529	6074013	62.91
1960-1964	8	0.00067	0.00067	0.5	96503	65	96471	5977483	61.94
1960-1964	9	0.00054	0.00054	0.5	96438	52	96412	5881012	60.98
1960-1964	10	0.00055	0.00055	0.5	96387	53	96360	5784600	60.01
1960-1964	11	0.00068	0.00068	0.5	96333	65	96301	5688240	59.05
1960-1964	12	0.00073	0.00073	0.5	96268	70	96233	5591939	58.09
1960-1964	13	0.00099	0.00099	0.5	96198	95	96150	5495707	57.13
1960-1964	14	0.00080	0.00079	0.5	96103	76	96064	5399556	56.19
1960-1964	15	0.00148	0.00148	0.5	96026	142	95955	5303492	55.23
1960-1964	16	0.00190	0.00190	0.5	95884	182	95793	5207537	54.31
1960-1964	17	0.00158	0.00158	0.5	95702	151	95627	5111744	53.41
1960-1964	18	0.00193	0.00193	0.5	95551	184	95459	5016118	52.50
1960-1964	19	0.00215	0.00214	0.5	95367	205	95265	4920658	51.60
1960-1964	20	0.00325	0.00324	0.5	95163	309	95008	4825393	50.71
1960-1964	21	0.00276	0.00276	0.5	94854	261	94723	4730385	49.87
1960-1964	22	0.00291	0.00290	0.5	94593	275	94455	4635662	49.01
1960-1964	23	0.00265	0.00264	0.5	94318	249	94193	4541206	48.15
1960-1964	24	0.00276	0.00276	0.5	94069	259	93939	4447013	47.27
1960-1964	25	0.00192	0.00191	0.5	93809	180	93720	4353074	46.40
1960-1964	26	0.00261	0.00260	0.5	93630	244	93508	4259354	45.49
1960-1964	27	0.00294	0.00294	0.5	93386	274	93249	4165846	44.61
1960-1964	28	0.00177	0.00176	0.5	93112	164	93030	4072597	43.74
1960-1964	29	0.00287	0.00286	0.5	92947	266	92814	3979568	42.82
1960-1964	30	0.00235	0.00234	0.5	92681	217	92573	3886753	41.94
1960-1964	31	0.00203	0.00202	0.5	92464	187	92370	3794181	41.03
1960-1964	32	0.00287	0.00287	0.5	92277	265	92145	3701810	40.12
1960-1964	33	0.00282	0.00282	0.5	92012	259	91883	3609666	39.23
1960-1964	34	0.00187	0.00186	0.5	91753	171	91667	3517783	38.34
1960-1964	35	0.00253	0.00252	0.5	91582	231	91466	3426116	37.41
1960-1964	36	0.00265	0.00265	0.5	91351	242	91230	3334650	36.50
1960-1964	37	0.00304	0.00304	0.5	91109	277	90970	3243420	35.60
1960-1964	38	0.00279	0.00279	0.5	90832	253	90705	3152449	34.71
1960-1964	39	0.00379	0.00378	0.5	90579	342	90407	3061744	33.80
1960-1964	40	0.00317	0.00317	0.5	90236	286	90093	2971337	32.93
1960-1964	41	0.00388	0.00387	0.5	89950	348	89776	2881244	32.03
1960-1964	42	0.00374	0.00374	0.5	89602	335	89435	2791467	31.15
1960-1964	43	0.00415	0.00414	0.5	89268	369	89083	2702032	30.27
1960-1964	44	0.00446	0.00445	0.5	88898	396	88700	2612949	29.39
1960-1964	45	0.00415	0.00414	0.5	88503	366	88320	2524249	28.52
1960-1964	46	0.00495	0.00493	0.5	88136	435	87919	2435929	27.64
1960-1964	47	0.00547	0.00546	0.5	87701	479	87462	2348010	26.77
1960-1964	48	0.00734	0.00731	0.5	87223	638	86904	2260548	25.92
1960-1964	49	0.00751	0.00748	0.5	86585	647	86261	2173645	25.10
1960-1964	50	0.00827	0.00823	0.5	85938	707	85584	2087383	24.29
1960-1964	51	0.00973	0.00968	0.5	85230	825	84817	2001799	23.49
1960-1964	52	0.01092	0.01086	0.5	84405	917	83946	1916982	22.71
1960-1964	53	0.01080	0.01074	0.5	83488	896	83040	1833036	21.96
1960-1964	54	0.01204	0.01197	0.5	82591	989	82097	1749996	21.19
1960-1964	55	0.01479	0.01468	0.5	81602	1198	81004	1667899	20.44
1960-1964	56	0.01544	0.01532	0.5	80405	1232	79789	1586896	19.74
1960-1964	57	0.01487	0.01476	0.5	79173	1169	78588	1507107	19.04
1960-1964	58	0.01661	0.01647	0.5	78004	1285	77362	1428519	18.31
1960-1964	59	0.01909	0.01891	0.5	76719	1451	75994	1351157	17.61
1960-1964	60	0.02006	0.01986	0.5	75268	1495	74521	1275163	16.94
1960-1964	61	0.01933	0.01914	0.5	73774	1412	73068	1200642	16.27
1960-1964	62	0.02362	0.02335	0.5	72362	1690	71517	1127575	15.58
1960-1964	63	0.02687	0.02651	0.5	70672	1874	69735	1056058	14.94
1960-1964	64	0.02793	0.02755	0.5	68798	1895	67851	986323	14.34
1960-1964	65	0.02962	0.02918	0.5	66903	1952	65927	918472	13.73
1960-1964	66	0.03264	0.03211	0.5	64951	2086	63908	852545	13.13
1960-1964	67	0.03235	0.03183	0.5	62865	2001	61865	788637	12.54
1960-1964	68	0.04050	0.03970	0.5	60864	2416	59656	726772	11.94
1960-1964	69	0.03979	0.03902	0.5	58448	2280	57307	667116	11.41
1960-1964	70	0.04433	0.04337	0.5	56167	2436	54949	609809	10.86
1960-1964	71	0.04461	0.04364	0.5	53731	2345	52559	554860	10.33
1960-1964	72	0.05272	0.05136	0.5	51386	2639	50067	502301	9.77
1960-1964	73	0.05892	0.05724	0.5	48747	2790	47352	452234	9.28
1960-1964	74	0.06024	0.05848	0.5	45957	2687	44613	404882	8.81
1960-1964	75	0.06941	0.06708	0.5	43269	2903	41818	360269	8.33
1960-1964	76	0.07463	0.07194	0.5	40367	2904	38915	318450	7.89
1960-1964	77	0.08000	0.07692	0.5	37463	2882	36022	279536	7.46
1960-1964	78	0.08090	0.07776	0.5	34581	2689	33237	243514	7.04
1960-1964	79	0.09985	0.09510	0.5	31892	3033	30376	210277	6.59
1960-1964	80	0.10333	0.09825	0.5	28859	2836	27441	179902	6.23
1960-1964	81	0.11351	0.10742	0.5	26024	2795	24626	152460	5.86
1960-1964	82	0.12456	0.11726	0.5	23228	2724	21866	127834	5.50
1960-1964	83	0.13651	0.12779	0.5	20505	2620	19194	105968	5.17
1960-1964	84	0.14942	0.13903	0.5	17884	2486	16641	86773	4.85
1960-1964	85	0.16331	0.15099	0.5	15398	2325	14235	70132	4.55
1960-1964	86	0.17823	0.16365	0.5	13073	2139	12003	55897	4.28
1960-1964	87	0.19420	0.17701	0.5	10934	1935	9966	43894	4.01
1960-1964	88	0.21122	0.19105	0.5	8998	1719	8139	33928	3.77
1960-1964	89	0.22932	0.20573	0.5	7279	1498	6530	25789	3.54
1960-1964	90	0.24847	0.22101	0.5	5782	1278	5143	19258	3.33
1960-1964	91	0.26867	0.23685	0.5	4504	1067	3970	14116	3.13
1960-1964	92	0.28988	0.25318	0.5	3437	870	3002	10145	2.95
1960-1964	93	0.31204	0.26993	0.5	2567	693	2220	7143	2.78
1960-1964	94	0.33510	0.28701	0.5	1874	538	1605	4923	2.63
1960-1964	95	0.35898	0.30435	0.5	1336	407	1133	3318	2.48
1960-1964	96	0.38357	0.32185	0.5	929	299	780	2185	2.35
1960-1964	97	0.40878	0.33941	0.5	630	214	523	1405	2.23
1960-1964	98	0.43448	0.35694	0.5	416	149	342	882	2.12
1960-1964	99	0.46053	0.37433	0.5	268	100	218	540	2.01
1960-1964	100	0.48680	0.39151	0.5	168	66	135	322	1.92
1960-1964	101	0.51314	0.40837	0.5	102	42	81	187	1.84
1960-1964	102	0.53941	0.42483	0.5	60	26	48	106	1.76
1960-1964	103	0.56547	0.44083	0.5	35	15	27	59	1.69
1960-1964	104	0.59116	0.45629	0.5	19	9	15	31	1.62
1960-1964	105	0.61637	0.47116	0.5	11	5	8	16	1.56
1960-1964	106	0.64097	0.48540	0.5	6	3	4	8	1.51
1960-1964	107	0.66485	0.49897	0.5	3	1	2	4	1.46
1960-1964	108	0.68791	0.51185	0.5	1	1	1	2	1.42
1960-1964	109	0.71008	0.52403	0.5	1	0	1	1	1.39
1960-1964	110+	0.73129	1.00000	1.37	0	0	0	0	1.37
1965-1969	0	0.02368	0.02319	0.11	100000	2319	97932	6851935	68.52
1965-1969	1	0.00155	0.00155	0.5	97681	152	97605	6754003	69.14
1965-1969	2	0.00154	0.00153	0.5	97529	150	97454	6656398	68.25
1965-1969	3	0.00082	0.00082	0.5	97379	79	97340	6558944	67.35
1965-1969	4	0.00068	0.00068	0.5	97300	66	97267	6461604	66.41
1965-1969	5	0.00058	0.00058	0.5	97234	56	97206	6364337	65.45
1965-1969	6	0.00049	0.00049	0.5	97178	48	97154	6267131	64.49
1965-1969	7	0.00067	0.00067	0.5	97130	65	97097	6169977	63.52
1965-1969	8	0.00034	0.00034	0.5	97064	33	97048	6072880	62.57
1965-1969	9	0.00033	0.00033	0.5	97032	32	97016	5975832	61.59
1965-1969	10	0.00044	0.00044	0.5	96999	42	96978	5878817	60.61
1965-1969	11	0.00041	0.00041	0.5	96957	40	96937	5781838	59.63
1965-1969	12	0.00062	0.00062	0.5	96917	60	96887	5684901	58.66
1965-1969	13	0.00066	0.00066	0.5	96857	64	96825	5588014	57.69
1965-1969	14	0.00086	0.00086	0.5	96793	84	96751	5491189	56.73
1965-1969	15	0.00110	0.00110	0.5	96710	106	96657	5394438	55.78
1965-1969	16	0.00168	0.00168	0.5	96604	162	96522	5297781	54.84
1965-1969	17	0.00246	0.00246	0.5	96441	237	96323	5201259	53.93
1965-1969	18	0.00203	0.00203	0.5	96204	195	96107	5104936	53.06
1965-1969	19	0.00237	0.00236	0.5	96009	227	95896	5008830	52.17
1965-1969	20	0.00232	0.00232	0.5	95782	222	95671	4912934	51.29
1965-1969	21	0.00224	0.00223	0.5	95560	213	95454	4817263	50.41
1965-1969	22	0.00293	0.00293	0.5	95347	279	95208	4721809	49.52
1965-1969	23	0.00272	0.00272	0.5	95068	258	94939	4626601	48.67
1965-1969	24	0.00227	0.00227	0.5	94810	215	94702	4531662	47.80
1965-1969	25	0.00221	0.00221	0.5	94595	209	94490	4436960	46.90
1965-1969	26	0.00143	0.00143	0.5	94386	135	94318	4342470	46.01
1965-1969	27	0.00179	0.00178	0.5	94251	168	94167	4248152	45.07
1965-1969	28	0.00222	0.00222	0.5	94083	208	93978	4153985	44.15
1965-1969	29	0.00256	0.00255	0.5	93874	240	93754	4060006	43.25
1965-1969	30	0.00172	0.00171	0.5	93635	160	93554	3966252	42.36
1965-1969	31	0.00203	0.00203	0.5	93474	189	93379	3872698	41.43
1965-1969	32	0.00220	0.00219	0.5	93285	205	93182	3779318	40.51
1965-1969	33	0.00181	0.00181	0.5	93080	168	92996	3686136	39.60
1965-1969	34	0.00186	0.00185	0.5	92912	172	92826	3593140	38.67
1965-1969	35	0.00176	0.00176	0.5	92740	164	92658	3500314	37.74
1965-1969	36	0.00275	0.00274	0.5	92576	254	92449	3407656	36.81
1965-1969	37	0.00234	0.00234	0.5	92322	216	92214	3315207	35.91
1965-1969	38	0.00301	0.00300	0.5	92106	277	91968	3222993	34.99
1965-1969	39	0.00274	0.00274	0.5	91829	251	91704	3131026	34.10
1965-1969	40	0.00339	0.00338	0.5	91578	310	91423	3039322	33.19
1965-1969	41	0.00362	0.00362	0.5	91268	330	91103	2947899	32.30
1965-1969	42	0.00367	0.00366	0.5	90938	333	90772	2856796	31.41
1965-1969	43	0.00413	0.00412	0.5	90605	374	90418	2766024	30.53
1965-1969	44	0.00419	0.00418	0.5	90232	377	90043	2675605	29.65
1965-1969	45	0.00425	0.00424	0.5	89855	381	89664	2585562	28.77
1965-1969	46	0.00600	0.00598	0.5	89474	535	89206	2495898	27.90
1965-1969	47	0.00610	0.00608	0.5	88939	541	88668	2406692	27.06
