PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SD,m,1960-1964,0,0.02956,0.02882,0.12,100000,2882,97477,6752155,67.52
SD,m,1960-1964,1-4,0.00116,0.00463,1.69,97118,449,387435,6654678,68.52
SD,m,1960-1964,5-9,0.00059,0.00292,2.51,96669,283,482642,6267242,64.83
SD,m,1960-1964,10-14,0.00075,0.00374,2.71,96387,360,481108,5784600,60.01
SD,m,1960-1964,15-19,0.00181,0.00899,2.65,96026,864,478099,5303492,55.23
SD,m,1960-1964,20-24,0.00287,0.01422,2.42,95163,1353,472320,4825393,50.71
SD,m,1960-1964,25-29,0.00242,0.01203,2.58,93809,1128,466320,4353074,46.40
SD,m,1960-1964,30-34,0.00239,0.01186,2.48,92681,1100,460637,3886753,41.94
SD,m,1960-1964,35-39,0.00296,0.01469,2.67,91582,1346,454779,3426116,37.41
SD,m,1960-1964,40-44,0.00388,0.01921,2.64,90236,1733,447088,2971337,32.93
SD,m,1960-1964,45-49,0.00587,0.02898,2.8,88503,2565,436866,2524249,28.52
SD,m,1960-1964,50-54,0.01033,0.05044,2.65,85938,4335,419484,2087383,24.29
SD,m,1960-1964,55-59,0.01613,0.07762,2.59,81602,6334,392736,1667899,20.44
SD,m,1960-1964,60-64,0.02345,0.11113,2.65,75268,8365,356692,1275163,16.94
SD,m,1960-1964,65-69,0.03478,0.16047,2.59,66903,10736,308663,918472,13.73
SD,m,1960-1964,70-74,0.05169,0.22963,2.57,56167,12898,249540,609809,10.86
SD,m,1960-1964,75-79,0.07989,0.33304,2.5,43269,14410,180367,360269,8.33
SD,m,1960-1964,80-84,0.12263,0.46645,2.44,28859,13461,109769,179902,6.23
SD,m,1960-1964,85-89,0.18902,0.62451,2.28,15398,9616,50874,70132,4.55
SD,m,1960-1964,90-94,0.27888,0.76890,2.08,5782,4446,15941,19258,3.33
SD,m,1960-1964,95-99,0.39008,0.87461,1.85,1336,1169,2996,3318,2.48
SD,m,1960-1964,100-104,0.51406,0.93705,1.61,168,157,305,322,1.92
SD,m,1960-1964,105-109,0.63717,0.96832,1.41,11,10,16,16,1.56
SD,m,1960-1964,110+,0.73129,1.00000,1.37,0,0,0,0,1.37
SD,m,1965-1969,0,0.02368,0.02319,0.11,100000,2319,97932,6851935,68.52
SD,m,1965-1969,1-4,0.00115,0.00457,1.63,97681,446,389666,6754003,69.14
SD,m,1965-1969,5-9,0.00048,0.00242,2.23,97234,235,485520,6364337,65.45
SD,m,1965-1969,10-14,0.00060,0.00299,2.87,96999,290,484379,5878817,60.61
SD,m,1965-1969,15-19,0.00193,0.00959,2.8,96710,927,481504,5394438,55.78
SD,m,1965-1969,20-24,0.00250,0.01240,2.53,95782,1188,475974,4912934,51.29
SD,m,1965-1969,25-29,0.00204,0.01015,2.64,94595,960,470708,4436960,46.90
SD,m,1965-1969,30-34,0.00192,0.00956,2.5,93635,895,465938,3966252,42.36
SD,m,1965-1969,35-39,0.00252,0.01253,2.67,92740,1162,460992,3500314,37.74
SD,m,1965-1969,40-44,0.00380,0.01882,2.6,91578,1723,453760,3039322,33.19
SD,m,1965-1969,45-49,0.00621,0.03062,2.74,89855,2751,443047,2585562,28.77
SD,m,1965-1969,50-54,0.00961,0.04701,2.7,87103,4095,426088,2142515,24.60
SD,m,1965-1969,55-59,0.01477,0.07138,2.67,83009,5925,401215,1716427,20.68
SD,m,1965-1969,60-64,0.02281,0.10823,2.64,77084,8343,365730,1315211,17.06
SD,m,1965-1969,65-69,0.03381,0.15617,2.56,68741,10735,317495,949482,13.81
SD,m,1965-1969,70-74,0.05135,0.22841,2.58,58006,13249,258030,631986,10.90
SD,m,1965-1969,75-79,0.07985,0.33257,2.49,44756,14885,186410,373956,8.36
SD,m,1965-1969,80-84,0.12306,0.46715,2.42,29872,13955,113397,187546,6.28
SD,m,1965-1969,85-89,0.18492,0.61545,2.28,15917,9796,52975,74149,4.66
SD,m,1965-1969,90-94,0.26755,0.75327,2.1,6121,4611,17233,21175,3.46
SD,m,1965-1969,95-99,0.36963,0.85875,1.88,1510,1297,3509,3942,2.61
SD,m,1965-1969,100-104,0.48477,0.92528,1.66,213,197,407,433,2.03
SD,m,1965-1969,105-109,0.60212,0.96111,1.46,16,15,25,26,1.65
SD,m,1965-1969,110+,0.69416,1.00000,1.44,1,1,1,1,1.44
SD,m,1970-1974,0,0.02148,0.02108,0.1,100000,2108,98109,6875683,68.76
SD,m,1970-1974,1-4,0.00126,0.00504,1.49,97892,494,390329,6777574,69.23
SD,m,1970-1974,5-9,0.00060,0.00301,2.63,97399,293,486299,6387245,65.58
SD,m,1970-1974,10-14,0.00059,0.00296,2.97,97105,288,484944,5900946,60.77
SD,m,1970-1974,15-19,0.00201,0.01000,2.76,96818,968,481915,5416002,55.94
SD,m,1970-1974,20-24,0.00239,0.01186,2.34,95849,1136,476220,4934087,51.48
SD,m,1970-1974,25-29,0.00198,0.00984,2.52,94713,932,471251,4457867,47.07
SD,m,1970-1974,30-34,0.00220,0.01094,2.61,93781,1026,466453,3986616,42.51
SD,m,1970-1974,35-39,0.00271,0.01345,2.67,92755,1248,460866,3520163,37.95
SD,m,1970-1974,40-44,0.00400,0.01983,2.69,91507,1815,453339,3059297,33.43
SD,m,1970-1974,45-49,0.00608,0.02999,2.78,89692,2690,442490,2605958,29.05
SD,m,1970-1974,50-54,0.00858,0.04205,2.68,87002,3659,426527,2163468,24.87
SD,m,1970-1974,55-59,0.01435,0.06936,2.59,83344,5780,402810,1736941,20.84
SD,m,1970-1974,60-64,0.02225,0.10564,2.62,77563,8194,368338,1334131,17.20
SD,m,1970-1974,65-69,0.03431,0.15833,2.56,69369,10983,320093,965792,13.92
SD,m,1970-1974,70-74,0.05191,0.23072,2.59,58386,13471,259505,645699,11.06
SD,m,1970-1974,75-79,0.07892,0.32891,2.47,44916,14773,187188,386194,8.60
SD,m,1970-1974,80-84,0.11361,0.44043,2.45,30143,13276,116852,199006,6.60
SD,m,1970-1974,85-89,0.17379,0.59235,2.31,16867,9991,57490,82154,4.87
SD,m,1970-1974,90-94,0.25574,0.73740,2.13,6876,5070,19825,24664,3.59
SD,m,1970-1974,95-99,0.35871,0.85040,1.91,1806,1535,4281,4838,2.68
SD,m,1970-1974,100-104,0.47640,0.92201,1.68,270,249,523,558,2.07
SD,m,1970-1974,105-109,0.59735,0.96024,1.47,21,20,34,35,1.66
SD,m,1970-1974,110+,0.69243,1.00000,1.44,1,1,1,1,1.44
SD,m,1975-1979,0,0.01647,0.01622,0.09,100000,1622,98522,7031087,70.31
SD,m,1975-1979,1-4,0.00084,0.00334,1.69,98378,329,392752,6932564,70.47
SD,m,1975-1979,5-9,0.00045,0.00224,2.52,98049,220,489701,6539813,66.70
SD,m,1975-1979,10-14,0.00057,0.00286,2.81,97829,280,488533,6050112,61.84
SD,m,1975-1979,15-19,0.00161,0.00803,2.82,97550,784,486037,5561578,57.01
SD,m,1975-1979,20-24,0.00210,0.01045,2.55,96766,1011,481352,5075542,52.45
SD,m,1975-1979,25-29,0.00174,0.00868,2.39,95755,831,476605,4594190,47.98
SD,m,1975-1979,30-34,0.00197,0.00981,2.57,94924,931,472355,4117586,43.38
SD,m,1975-1979,35-39,0.00289,0.01436,2.56,93992,1350,466665,3645230,38.78
SD,m,1975-1979,40-44,0.00410,0.02031,2.78,92643,1881,459038,3178565,34.31
SD,m,1975-1979,45-49,0.00531,0.02622,2.68,90761,2379,448294,2719527,29.96
SD,m,1975-1979,50-54,0.00870,0.04262,2.61,88382,3767,432915,2271233,25.70
SD,m,1975-1979,55-59,0.01295,0.06279,2.61,84615,5313,410398,1838318,21.73
SD,m,1975-1979,60-64,0.02028,0.09675,2.63,79303,7673,378329,1427919,18.01
SD,m,1975-1979,65-69,0.03163,0.14684,2.57,71630,10518,332593,1049590,14.65
SD,m,1975-1979,70-74,0.04639,0.20852,2.58,61112,12743,274674,716997,11.73
SD,m,1975-1979,75-79,0.06902,0.29427,2.5,48368,14234,206222,442324,9.14
SD,m,1975-1979,80-84,0.10867,0.42523,2.44,34135,14515,133567,236102,6.92
SD,m,1975-1979,85-89,0.16047,0.56155,2.33,19620,11017,68658,102535,5.23
SD,m,1975-1979,90-94,0.22995,0.69686,2.17,8602,5995,26069,33877,3.94
SD,m,1975-1979,95-99,0.31749,0.81105,1.98,2608,2115,6661,7808,2.99
SD,m,1975-1979,100-104,0.41980,0.89211,1.78,493,440,1047,1147,2.33
SD,m,1975-1979,105-109,0.52968,0.94125,1.58,53,50,94,100,1.87
SD,m,1975-1979,110+,0.61912,1.00000,1.62,3,3,5,5,1.62
SD,m,1980-1984,0,0.01211,0.01197,0.08,100000,1197,98895,7156144,71.56
SD,m,1980-1984,1-4,0.00078,0.00311,1.5,98803,307,394444,7057248,71.43
SD,m,1980-1984,5-9,0.00045,0.00222,2.18,98495,219,491859,6662805,67.65
SD,m,1980-1984,10-14,0.00041,0.00203,2.97,98276,199,490977,6170945,62.79
SD,m,1980-1984,15-19,0.00148,0.00738,2.74,98077,724,488752,5679969,57.91
SD,m,1980-1984,20-24,0.00174,0.00868,2.49,97353,845,484642,5191216,53.32
SD,m,1980-1984,25-29,0.00165,0.00824,2.46,96508,795,480517,4706575,48.77
SD,m,1980-1984,30-34,0.00168,0.00834,2.56,95713,798,476615,4226058,44.15
SD,m,1980-1984,35-39,0.00222,0.01105,2.66,94914,1049,472112,3749442,39.50
SD,m,1980-1984,40-44,0.00280,0.01389,2.56,93865,1304,466144,3277330,34.92
SD,m,1980-1984,45-49,0.00514,0.02540,2.67,92561,2351,457326,2811186,30.37
SD,m,1980-1984,50-54,0.00857,0.04202,2.65,90210,3790,442151,2353860,26.09
SD,m,1980-1984,55-59,0.01242,0.06039,2.69,86419,5219,420052,1911709,22.12
SD,m,1980-1984,60-64,0.01959,0.09375,2.71,81201,7613,388592,1491657,18.37
SD,m,1980-1984,65-69,0.02955,0.13797,2.6,73588,10153,343531,1103065,14.99
SD,m,1980-1984,70-74,0.04477,0.20178,2.56,63435,12800,285930,759534,11.97
SD,m,1980-1984,75-79,0.06777,0.28991,2.51,50635,14680,216605,473604,9.35
SD,m,1980-1984,80-84,0.10193,0.40512,2.47,35956,14566,142911,256999,7.15
SD,m,1980-1984,85-89,0.15473,0.54868,2.35,21389,11736,75848,114088,5.33
SD,m,1980-1984,90-94,0.22722,0.69317,2.19,9654,6692,29449,38239,3.96
SD,m,1980-1984,95-99,0.32001,0.81444,1.99,2962,2412,7538,8790,2.97
SD,m,1980-1984,100-104,0.42921,0.89822,1.76,550,494,1150,1252,2.28
