TN: Tennessee, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02938	0.02865	0.13	100000	2865	97508	6952873	69.53
1960-1964	1	0.00191	0.00191	0.5	97135	185	97043	6855366	70.58
1960-1964	2	0.00110	0.00110	0.5	96950	107	96897	6758323	69.71
1960-1964	3	0.00073	0.00073	0.5	96843	70	96808	6661426	68.79
1960-1964	4	0.00068	0.00068	0.5	96773	66	96740	6564618	67.84
1960-1964	5	0.00059	0.00059	0.5	96707	57	96679	6467878	66.88
1960-1964	6	0.00048	0.00048	0.5	96650	46	96627	6371199	65.92
1960-1964	7	0.00051	0.00051	0.5	96604	50	96580	6274572	64.95
1960-1964	8	0.00045	0.00045	0.5	96555	43	96533	6177992	63.98
1960-1964	9	0.00041	0.00041	0.5	96512	40	96492	6081459	63.01
1960-1964	10	0.00042	0.00042	0.5	96472	41	96452	5984967	62.04
1960-1964	11	0.00043	0.00043	0.5	96431	42	96410	5888516	61.06
1960-1964	12	0.00044	0.00044	0.5	96389	43	96368	5792105	60.09
1960-1964	13	0.00048	0.00048	0.5	96347	46	96324	5695737	59.12
1960-1964	14	0.00064	0.00064	0.5	96300	61	96270	5599414	58.15
1960-1964	15	0.00065	0.00065	0.5	96239	62	96208	5503144	57.18
1960-1964	16	0.00094	0.00094	0.5	96177	90	96132	5406936	56.22
1960-1964	17	0.00114	0.00114	0.5	96087	110	96032	5310804	55.27
1960-1964	18	0.00110	0.00110	0.5	95977	106	95925	5214771	54.33
1960-1964	19	0.00121	0.00121	0.5	95872	116	95814	5118847	53.39
1960-1964	20	0.00126	0.00126	0.5	95756	121	95696	5023033	52.46
1960-1964	21	0.00139	0.00139	0.5	95635	133	95569	4927337	51.52
1960-1964	22	0.00131	0.00130	0.5	95502	125	95440	4831769	50.59
1960-1964	23	0.00126	0.00126	0.5	95378	120	95318	4736329	49.66
1960-1964	24	0.00134	0.00134	0.5	95258	128	95194	4641011	48.72
1960-1964	25	0.00144	0.00144	0.5	95130	137	95061	4545818	47.79
1960-1964	26	0.00146	0.00146	0.5	94992	138	94923	4450757	46.85
1960-1964	27	0.00144	0.00144	0.5	94854	136	94786	4355834	45.92
