PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
TN,b,1960-1964,0,0.02938,0.02865,0.13,100000,2865,97508,6952873,69.53
TN,b,1960-1964,1-4,0.00110,0.00441,1.54,97135,428,387488,6855366,70.58
TN,b,1960-1964,5-9,0.00049,0.00243,2.34,96707,235,482911,6467878,66.88
TN,b,1960-1964,10-14,0.00048,0.00241,2.7,96472,233,481824,5984967,62.04
TN,b,1960-1964,15-19,0.00101,0.00502,2.75,96239,483,480111,5503144,57.18
TN,b,1960-1964,20-24,0.00131,0.00654,2.5,95756,626,477215,5023033,52.46
TN,b,1960-1964,25-29,0.00150,0.00747,2.55,95130,710,473905,4545818,47.79
TN,b,1960-1964,30-34,0.00186,0.00927,2.67,94419,875,470058,4071913,43.13
TN,b,1960-1964,35-39,0.00256,0.01274,2.66,93544,1192,464930,3601854,38.50
TN,b,1960-1964,40-44,0.00406,0.02011,2.68,92352,1857,457456,3136924,33.97
TN,b,1960-1964,45-49,0.00615,0.03030,2.7,90494,2742,446156,2679468,29.61
TN,b,1960-1964,50-54,0.00948,0.04636,2.62,87752,4068,429074,2233312,25.45
TN,b,1960-1964,55-59,0.01398,0.06763,2.62,83684,5660,404979,1804238,21.56
TN,b,1960-1964,60-64,0.02058,0.09812,2.63,78025,7656,372014,1399259,17.93
TN,b,1960-1964,65-69,0.03059,0.14248,2.6,70369,10026,327798,1027245,14.60
TN,b,1960-1964,70-74,0.04611,0.20743,2.58,60342,12517,271463,699448,11.59
TN,b,1960-1964,75-79,0.06963,0.29694,2.52,47825,14201,203945,427985,8.95
TN,b,1960-1964,80-84,0.11150,0.43540,2.48,33624,14640,131297,224040,6.66
TN,b,1960-1964,85-89,0.17547,0.59645,2.32,18984,11323,64529,92742,4.89
TN,b,1960-1964,90-94,0.24906,0.72492,2.12,7661,5554,22298,28213,3.68
TN,b,1960-1964,95-99,0.34099,0.83446,1.94,2107,1759,5157,5915,2.81
TN,b,1960-1964,100-104,0.45184,0.91016,1.72,349,318,703,758,2.17
TN,b,1960-1964,105-109,0.56844,0.95301,1.51,31,30,53,55,1.75
TN,b,1960-1964,110+,0.66188,1.00000,1.51,1,1,2,2,1.51
TN,b,1965-1969,0,0.02509,0.02454,0.12,100000,2454,97835,6987341,69.87
TN,b,1965-1969,1-4,0.00097,0.00387,1.54,97546,378,389254,6889505,70.63
TN,b,1965-1969,5-9,0.00045,0.00227,2.37,97168,220,485261,6500252,66.90
TN,b,1965-1969,10-14,0.00048,0.00239,2.76,96948,231,484221,6014991,62.04
TN,b,1965-1969,15-19,0.00116,0.00580,2.79,96716,561,482344,5530771,57.19
TN,b,1965-1969,20-24,0.00142,0.00708,2.53,96155,680,479100,5048426,52.50
TN,b,1965-1969,25-29,0.00148,0.00736,2.54,95475,703,475644,4569326,47.86
TN,b,1965-1969,30-34,0.00180,0.00895,2.67,94772,848,471882,4093682,43.19
TN,b,1965-1969,35-39,0.00267,0.01325,2.63,93924,1245,466665,3621801,38.56
TN,b,1965-1969,40-44,0.00415,0.02053,2.66,92680,1902,458951,3155136,34.04
TN,b,1965-1969,45-49,0.00622,0.03064,2.67,90777,2781,447417,2696185,29.70
TN,b,1965-1969,50-54,0.00953,0.04660,2.65,87996,4101,430340,2248768,25.56
TN,b,1965-1969,55-59,0.01395,0.06753,2.62,83895,5666,406003,1818428,21.68
TN,b,1965-1969,60-64,0.02016,0.09618,2.62,78229,7524,373265,1412425,18.05
TN,b,1965-1969,65-69,0.03066,0.14270,2.58,70705,10090,329105,1039161,14.70
TN,b,1965-1969,70-74,0.04551,0.20515,2.6,60615,12435,273231,710055,11.71
TN,b,1965-1969,75-79,0.06999,0.29816,2.52,48180,14365,205244,436825,9.07
TN,b,1965-1969,80-84,0.10736,0.42282,2.49,33815,14298,133178,231580,6.85
TN,b,1965-1969,85-89,0.16828,0.58101,2.34,19517,11340,67386,98403,5.04
TN,b,1965-1969,90-94,0.23924,0.71335,2.17,8178,5833,24383,31016,3.79
TN,b,1965-1969,95-99,0.33761,0.83165,1.95,2344,1949,5774,6633,2.83
TN,b,1965-1969,100-104,0.45055,0.90975,1.72,395,359,797,859,2.18
TN,b,1965-1969,105-109,0.56970,0.95349,1.51,36,34,60,62,1.74
TN,b,1965-1969,110+,0.66519,1.00000,1.5,2,2,2,2,1.50
TN,b,1970-1974,0,0.02077,0.02039,0.11,100000,2039,98177,7052925,70.53
TN,b,1970-1974,1-4,0.00083,0.00332,1.56,97961,326,391049,6954749,71.00
TN,b,1970-1974,5-9,0.00045,0.00226,2.34,97635,221,487590,6563700,67.23
TN,b,1970-1974,10-14,0.00046,0.00232,2.8,97414,226,486576,6076109,62.37
TN,b,1970-1974,15-19,0.00123,0.00612,2.8,97189,595,484637,5589533,57.51
TN,b,1970-1974,20-24,0.00154,0.00768,2.56,96594,742,481165,5104896,52.85
TN,b,1970-1974,25-29,0.00159,0.00791,2.49,95853,758,477363,4623731,48.24
TN,b,1970-1974,30-34,0.00185,0.00919,2.65,95095,874,473419,4146368,43.60
TN,b,1970-1974,35-39,0.00261,0.01298,2.74,94221,1223,468343,3672949,38.98
TN,b,1970-1974,40-44,0.00393,0.01948,2.68,92998,1812,460798,3204607,34.46
TN,b,1970-1974,45-49,0.00618,0.03044,2.68,91187,2776,449501,2743809,30.09
TN,b,1970-1974,50-54,0.00933,0.04567,2.66,88411,4038,432599,2294309,25.95
TN,b,1970-1974,55-59,0.01342,0.06507,2.65,84373,5490,408977,1861710,22.07
TN,b,1970-1974,60-64,0.02018,0.09623,2.6,78883,7591,376200,1452732,18.42
TN,b,1970-1974,65-69,0.02886,0.13489,2.59,71292,9616,333246,1076532,15.10
TN,b,1970-1974,70-74,0.04384,0.19816,2.58,61675,12222,278775,743286,12.05
TN,b,1970-1974,75-79,0.06632,0.28507,2.54,49454,14098,212562,464512,9.39
TN,b,1970-1974,80-84,0.10165,0.40482,2.49,35356,14313,140799,251950,7.13
TN,b,1970-1974,85-89,0.15748,0.55542,2.35,21043,11688,74218,111150,5.28
TN,b,1970-1974,90-94,0.22826,0.69422,2.18,9355,6495,28453,36932,3.95
TN,b,1970-1974,95-99,0.32031,0.81488,1.99,2861,2331,7278,8479,2.96
TN,b,1970-1974,100-104,0.43110,0.89950,1.76,530,476,1105,1201,2.27
TN,b,1970-1974,105-109,0.55045,0.94826,1.54,53,50,92,96,1.80
TN,b,1970-1974,110+,0.64731,1.00000,1.54,3,3,4,4,1.54
TN,b,1975-1979,0,0.01576,0.01554,0.09,100000,1554,98589,7251272,72.51
TN,b,1975-1979,1-4,0.00065,0.00260,1.7,98446,256,393196,7152683,72.66
TN,b,1975-1979,5-9,0.00033,0.00163,2.33,98190,160,490522,6759487,68.84
TN,b,1975-1979,10-14,0.00039,0.00193,2.85,98030,189,489743,6268965,63.95
TN,b,1975-1979,15-19,0.00109,0.00545,2.86,97841,533,488063,5779222,59.07
TN,b,1975-1979,20-24,0.00139,0.00694,2.47,97307,675,484828,5291159,54.38
TN,b,1975-1979,25-29,0.00135,0.00671,2.5,96632,649,481537,4806331,49.74
TN,b,1975-1979,30-34,0.00151,0.00754,2.58,95983,724,478166,4324794,45.06
TN,b,1975-1979,35-39,0.00214,0.01063,2.65,95260,1013,473919,3846628,40.38
TN,b,1975-1979,40-44,0.00337,0.01675,2.72,94247,1578,467629,3372709,35.79
TN,b,1975-1979,45-49,0.00517,0.02555,2.67,92668,2368,457824,2905080,31.35
TN,b,1975-1979,50-54,0.00823,0.04039,2.66,90300,3647,442968,2447255,27.10
TN,b,1975-1979,55-59,0.01234,0.05997,2.64,86653,5197,420999,2004287,23.13
TN,b,1975-1979,60-64,0.01815,0.08702,2.64,81456,7088,390583,1583288,19.44
TN,b,1975-1979,65-69,0.02607,0.12266,2.6,74368,9122,349950,1192705,16.04
TN,b,1975-1979,70-74,0.03842,0.17578,2.58,65246,11469,298485,842755,12.92
TN,b,1975-1979,75-79,0.05789,0.25346,2.55,53777,13630,235461,544271,10.12
TN,b,1975-1979,80-84,0.09162,0.37301,2.51,40147,14975,163446,308810,7.69
TN,b,1975-1979,85-89,0.13844,0.50830,2.39,25171,12795,92418,145365,5.77
TN,b,1975-1979,90-94,0.20629,0.65685,2.24,12377,8130,39409,52946,4.28
TN,b,1975-1979,95-99,0.29450,0.78690,2.04,4247,3342,11348,13537,3.19
TN,b,1975-1979,100-104,0.40191,0.88194,1.82,905,798,1986,2189,2.42
TN,b,1975-1979,105-109,0.52091,0.93905,1.6,107,100,193,203,1.90
TN,b,1975-1979,110+,0.61913,1.00000,1.62,7,7,11,11,1.62
TN,b,1980-1984,0,0.01256,0.01242,0.08,100000,1242,98861,7363133,73.63
TN,b,1980-1984,1-4,0.00056,0.00222,1.55,98758,220,394495,7264272,73.56
TN,b,1980-1984,5-9,0.00029,0.00147,2.32,98539,145,492306,6869776,69.72
TN,b,1980-1984,10-14,0.00033,0.00167,2.76,98394,164,491602,6377470,64.82
TN,b,1980-1984,15-19,0.00093,0.00463,2.87,98230,455,490177,5885869,59.92
TN,b,1980-1984,20-24,0.00122,0.00610,2.53,97774,596,487400,5395691,55.19
TN,b,1980-1984,25-29,0.00131,0.00654,2.56,97178,636,484340,4908292,50.51
TN,b,1980-1984,30-34,0.00145,0.00720,2.64,96542,695,481067,4423951,45.82
TN,b,1980-1984,35-39,0.00196,0.00978,2.7,95847,937,477082,3942884,41.14
TN,b,1980-1984,40-44,0.00288,0.01433,2.67,94909,1360,471378,3465802,36.52
TN,b,1980-1984,45-49,0.00461,0.02282,2.69,93550,2135,462808,2994424,32.01
TN,b,1980-1984,50-54,0.00748,0.03675,2.67,91415,3359,449251,2531616,27.69
TN,b,1980-1984,55-59,0.01155,0.05621,2.66,88055,4950,428682,2082366,23.65
TN,b,1980-1984,60-64,0.01728,0.08295,2.61,83106,6894,399055,1653684,19.90
TN,b,1980-1984,65-69,0.02471,0.11664,2.6,76212,8889,359715,1254629,16.46
TN,b,1980-1984,70-74,0.03674,0.16866,2.58,67322,11355,309084,894915,13.29
TN,b,1980-1984,75-79,0.05429,0.23917,2.51,55967,13386,246557,585831,10.47
TN,b,1980-1984,80-84,0.08622,0.35504,2.52,42582,15118,175347,339274,7.97
TN,b,1980-1984,85-89,0.13226,0.49318,2.42,27464,13544,102405,163927,5.97
TN,b,1980-1984,90-94,0.19698,0.64024,2.27,13919,8912,45242,61522,4.42
TN,b,1980-1984,95-99,0.28744,0.77890,2.06,5008,3900,13569,16280,3.25
TN,b,1980-1984,100-104,0.39645,0.87863,1.83,1107,973,2454,2711,2.45
TN,b,1980-1984,105-109,0.51814,0.93832,1.6,134,126,243,257,1.91
TN,b,1980-1984,110+,0.61883,1.00000,1.62,8,8,13,13,1.62
TN,b,1985-1989,0,0.01151,0.01139,0.08,100000,1139,98952,7398012,73.98
TN,b,1985-1989,1-4,0.00050,0.00201,1.65,98861,199,394975,7299059,73.83
TN,b,1985-1989,5-9,0.00025,0.00127,2.39,98662,125,492983,6904084,69.98
TN,b,1985-1989,10-14,0.00033,0.00165,2.82,98537,163,492328,6411101,65.06
TN,b,1985-1989,15-19,0.00097,0.00483,2.9,98374,475,490872,5918773,60.17
TN,b,1985-1989,20-24,0.00123,0.00613,2.53,97899,600,488014,5427901,55.44
TN,b,1985-1989,25-29,0.00129,0.00643,2.59,97299,625,484987,4939887,50.77
TN,b,1985-1989,30-34,0.00153,0.00763,2.53,96674,738,481547,4454900,46.08
TN,b,1985-1989,35-39,0.00187,0.00933,2.65,95936,895,477580,3973353,41.42
TN,b,1985-1989,40-44,0.00270,0.01340,2.7,95041,1273,472273,3495773,36.78
TN,b,1985-1989,45-49,0.00430,0.02129,2.69,93768,1996,464229,3023500,32.24
TN,b,1985-1989,50-54,0.00698,0.03436,2.69,91772,3153,451573,2559271,27.89
TN,b,1985-1989,55-59,0.01088,0.05303,2.65,88619,4699,432062,2107698,23.78
TN,b,1985-1989,60-64,0.01670,0.08029,2.62,83920,6738,403562,1675637,19.97
TN,b,1985-1989,65-69,0.02448,0.11558,2.59,77181,8920,364426,1272074,16.48
